700260 BARROW W POST-W ROGERS AK  -9  N71 19  W156 37    10  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1     3 J7     1    67 J8    43     2 J7     0    11   912  5.6  4.5  0.32  0.05 -21.84 -28.31 -25.06  -6.86  78  1346     0  5.7
  2   281 J7    27  1035 J8   355   181 J7    15   725  9357  5.4  4.3  0.33  0.06 -22.33 -28.60 -25.39 -25.11  77  1238     0  5.9
  3  1540 J7   144  3389 J7   782   754 J7    65  3062 16074  5.1  3.8  0.33  0.08 -21.25 -28.07 -24.46 -23.73  76  1333     0  5.4
  4  3020 J7   200  3622 J7   798  1744 J7   139  6502 22561  6.9  5.9  0.50  0.09 -12.43 -19.35 -15.58 -15.10  82  1027     0  5.4
  5  3797 J7   469  2934 J7   990  2554 J7   189  9986 30642  8.4  7.6  0.80  0.10  -3.46  -7.99  -5.51  -5.46  87   746     0  5.7
  6  4351 J7   491  4105 J7  1176  2492 J7   147 11841 31777  8.0  7.1  1.29  0.09   4.46  -0.51   1.91   1.91  87   491     0  5.4
  7  4084 J7   477  3953 J7  1097  2311 J7   116 10830 31744  8.2  7.0  1.62  0.08   8.08   1.77   4.78   4.78  88   416     0  5.6
  8  2128 J7   283  1562 J7   655  1524 J7    88  7583 24858  9.1  8.5  1.50  0.06   6.63   1.55   4.04   4.28  89   441     0  5.5
  9  1021 J7   129   684 J8   333   836 J7    68  4086 17931  9.4  9.0  1.03  0.05   2.40  -1.17   0.67   1.00  87   532     0  5.8
 10   434 J7    37   465 J8   205   371 J7    32  1328 11600  9.2  8.5  0.62  0.03  -4.96  -9.47  -6.96  -6.82  83   792     0  6.3
 11    24 J7     3   176 J8    88    19 J7     2    82  2900  7.5  6.6  0.46  0.03 -12.85 -18.68 -15.61  -7.81  81  1023     0  6.0
 12     0 I0     0     0 I0     0     0 I0     0     0     0  6.0  5.0  0.36  0.04 -18.96 -25.05 -21.90   0.00  78  1250     0  5.8
 13  1724 J7    94  1833 J7   283  1066 J7    45  4670 16696  7.4  6.5  0.76  0.06  -8.04 -13.66 -10.76  -6.58  83 10633     0  5.7
 1991
  1     3 I5     8   122 I7   302     2 I5     4    11   883  5.8  4.7  0.35  0.04 -21.02 -29.13 -24.88  -5.51  72  1346     0  6.4
  2   278 I5   204  1170 I7   999   173 I5   126   707  9270  4.7  3.7  0.35  0.05 -24.95 -30.67 -27.71 -27.11  70  1292     0  5.5
  3  1589 I5   738  3678 I6  2526   725 I5   301  3017 15979  4.7  3.4  0.30  0.07 -23.96 -31.27 -27.32 -26.37  70  1424     0  4.7
  4  2982 I5   948  4107 I6  3299  1578 I5   509  6447 22455  6.8  5.7  0.48  0.08 -12.41 -19.50 -15.79 -15.22  79  1028     0  5.1
  5  2651 I5  1039   908 I6  2060  2274 I5   435  9941 30552  9.4  9.1  0.84  0.08  -0.44  -4.07  -2.17  -2.11  87   638     0  6.1
  6  5034 I5  2465  6548 I6  5844  2032 I5   449 11834 31778  6.6  5.7  1.25  0.08   5.54  -0.39   2.49   2.49  80   473     0  6.0
  7  4599 I5  2085  5637 I6  4905  2006 I5   473 10866 31744  7.3  6.1  1.30  0.07   6.04   0.08   3.16   3.16  86   473     0  5.3
  8  2767 I5  1370  3460 I6  3753  1440 I5   417  7637 25015  7.6  6.8  1.42  0.08   5.74  -1.35   2.18   2.71  85   500     0  6.4
  9   973 I5   798   878 I6  2002   700 I5   308  4136 18024  9.0  8.7  1.06  0.10   0.57  -2.91  -1.13  -0.87  89   585     0  6.8
 10   403 I5   263   405 I6   714   343 I5   189  1359 11703  8.4  7.7  0.61  0.11  -4.68 -11.36  -7.44  -7.14  87   817     0  5.6
 11    23 I5    38   117 I7   265    18 I5    31    88  3009  3.4  2.5  0.46  0.13 -18.40 -26.01 -22.19  -9.71  76  1216     0  4.8
 12     0 I0     0     0 I0     0     0 I0     0     0     0  3.7  2.8  0.28  0.15 -23.78 -29.20 -26.33   0.00  73  1389     0  5.5
 13  1775 I5  1808  2252 I6  2322   941 I5   875  4670 16701  6.5  5.6  0.73  0.09  -9.31 -15.48 -12.26  -7.14  79 11182     0  5.7
 1992
  1     1 I6     3     9 I7    33     1 I6     3    10   842  4.1  3.2  0.28  0.19 -25.97 -30.34 -28.17  -8.43  73  1441     0  6.6
  2   255 I5   194   414 I7   509   207 I5   147   725  9331  3.7  2.6  0.30  0.22 -26.10 -31.96 -28.92 -28.24  70  1373     0  4.6
  3  1105 I5   454   883 I6   845   895 I5   335  3093 16134  7.2  5.8  0.34  0.25 -19.58 -26.32 -22.58 -21.95  75  1280     0  4.8
  4  3009 I5  1119  2513 I6  2245  2014 I5   522  6537 22626  6.8  5.7  0.39  0.27 -13.75 -20.95 -17.01 -16.51  79  1070     0  6.2
  5  3791 I5  1479  2314 I6  2358  2713 I5   638 10016 30689  8.5  7.4  0.70  0.27  -3.19  -9.40  -5.89  -5.82  83   763     0  6.3
  6  3553 I5  1942  2300 I6  3114  2428 I5   655 11845 31772  8.5  7.6  1.27  0.25   4.54  -0.40   1.98   1.98  85   488     0  6.2
  7  4375 I5  2108  4607 I6  4316  2237 I5   512 10807 31747  6.5  5.5  1.58  0.21   7.32   0.78   3.90   3.90  84   443     0  5.8
  8  2208 I5   780  1610 I6  1719  1560 I5   319  7549 24763  8.5  7.7  1.41  0.18   6.98   0.38   3.57   4.01  86   454     0  5.9
  9   836 I5   339   242 I6   430   762 I5   238  4054 17873  9.7  9.5  0.57  0.15  -2.03  -5.63  -3.48  -3.19  83   665     0  5.8
 10   395 I5   255   324 I6   478   342 I5   183  1307 11532  8.7  7.7  0.54  0.13  -7.68 -13.81 -10.41 -10.31  84   901     0  6.2
 11    19 I5    34    58 I7   148    17 I5    28    78  2816  6.7  5.8  0.38  0.11 -14.41 -22.04 -18.19  -8.69  80  1097     0  6.4
 12     0 I0     0     0 I0     0     0 I0     0     0     0  5.0  4.1  0.28  0.10 -18.82 -26.32 -22.56   0.00  77  1268     0  6.9
 13  1629 I5  1661  1273 I6  1429  1098 I5  1037  4668 16677  7.0  6.1  0.67  0.19  -9.39 -15.50 -12.31  -7.77  80 11243     0  6.0
 1993
  1     2 I5     5    24 I7    64     2 I5     4    13   961  6.5  5.7  0.31  0.11 -20.14 -29.39 -25.03  -9.19  79  1336     0  6.5
  2   262 I5   205   609 I7   564   203 I5   153   734  9413  5.8  4.4  0.43  0.11 -19.90 -27.72 -23.88 -23.73  77  1180     0  6.3
  3  1443 I5   699  2559 I6  2114   818 I5   332  3070 16090  5.9  4.6  0.35  0.12 -21.13 -28.15 -24.18 -23.37  73  1332     0  5.6
  4  3068 I5  1652  4335 I6  4565  1461 I5   348  6511 22581  5.8  5.2  0.53  0.13 -11.32 -17.13 -14.07 -13.69  80   977     0  6.0
  5  3747 I5  1835  3468 I6  4818  2262 I5   612  9995 30661  7.5  7.0  0.90  0.13  -2.78  -7.21  -4.88  -4.81  84   723     0  6.7
  6  3984 I5  1739  3111 I6  3064  2444 I5   520 11843 31778  8.6  7.6  1.28  0.12   4.60  -0.10   2.15   2.15  87   482     0  5.2
  7  3979 I5  1710  3785 I6  3291  2236 I5   486 10825 31744  8.2  7.2  1.99  0.10  10.86   3.38   6.91   6.91  85   348     0  5.7
  8  1652 I5   706   664 I6  1161  1387 I5   338  7575 24835  9.6  9.3  1.32  0.08   4.41   0.64   2.31   2.48  88   490     0  5.2
  9   986 I5   377   508 I6   766   846 I5   244  4079 17913  9.5  9.2  0.80  0.06   2.01  -1.56   0.38   0.69  82   543     0  7.2
 10   354 I5   238   214 I6   406   325 I5   192  1323 11579  9.4  8.8  0.70  0.05  -2.87  -7.12  -4.77  -4.54  84   723     0  7.8
 11    18 I5    35    58 I7   195    15 I5    28    81  2882  8.0  7.3  0.46  0.04 -11.52 -18.19 -14.83  -5.86  80   996     0  5.4
 12     0 I0     0     0 I0     0     0 I0     0     0     0  6.0  5.1  0.38  0.04 -19.72 -24.49 -22.05   0.00  76  1253     0  7.8
 13  1625 I5  1637  1611 I6  1688  1000 I5   938  4671 16703  7.6  6.8  0.79  0.09  -7.29 -13.09 -10.16  -6.08  81 10383     0  6.3
 1994
  1     2 I5     6    35 I7   128     2 I5     6    12   925  3.7  3.3  0.38  0.05 -20.22 -25.23 -22.85  -5.77  74  1273     0  7.8
  2   304 I5   236  1205 I7  1081   174 I5   114   722  9346  4.3  3.6  0.40  0.07 -19.70 -25.65 -22.73 -22.80  75  1148     0  6.5
  3  1494 I5   621  3109 I6  2157   778 I5   317  3045 16042  5.3  3.9  0.30  0.08 -24.28 -31.15 -27.67 -26.96  70  1427     0  5.5
  4  2829 I5  1208  3693 I6  3910  1530 I5   406  6481 22520  6.7  5.8  0.42  0.09 -14.22 -21.35 -17.56 -16.91  78  1084     0  4.7
  5  3692 I5  1744  3174 I6  4207  2341 I5   487  9969 30622  7.8  7.4  0.73  0.09  -5.35  -9.54  -7.22  -7.20  83   799     0  7.1
  6  4148 I5  1556  3391 I6  3405  2607 I5   352 11839 31778  8.5  7.5  1.13  0.09   2.29  -1.95   0.25   0.25  86   545     0  5.0
  7  4017 I5  1751  3826 I6  3900  2287 I5   552 10844 31744  8.3  7.1  1.84  0.07   9.07   1.20   4.87   4.87  88   409     0  5.1
  8  2295 I5  1297  2030 I6  3106  1520 I5   339  7604 24915  8.5  8.0  1.64  0.06   9.51   2.78   6.16   6.37  86   378     0  6.0
  9  1043 I5   612  1132 I6  2260   745 I5   190  4105 17969  8.9  8.5  0.87  0.04  -0.56  -4.71  -2.58  -2.25  86   629     0  6.4
 10   426 I5   281   883 I6  1507   304 I5   142  1340 11639  8.3  7.9  0.52  0.03  -9.33 -16.72 -12.73 -12.34  87   972     0  5.6
 11    25 I5    39   257 I7   543    17 I5    28    85  2946  6.1  4.9  0.34  0.03 -19.52 -25.47 -22.44 -11.12  77  1225     0  7.1
 12     0 I0     0     0 I0     0     0 I0     0     0     0  6.0  5.1  0.29  0.03 -22.54 -30.58 -26.39   0.00  74  1392     0  5.5
 13  1690 I5  1640  1894 I6  1482  1025 I5   992  4670 16704  6.9  6.1  0.74  0.06  -9.57 -15.70 -12.57  -7.82  80 11280     0  6.0
 1995
  1     3 I5     7    85 I7   200     2 I5     4    11   889  5.7  4.8  0.38  0.04 -21.19 -27.54 -24.46  -8.49  80  1324     0  5.7
  2   279 I5   213  1143 I7  1208   163 I5   110   709  9281  5.0  4.3  0.37  0.05 -23.13 -30.28 -26.33 -25.62  80  1261     0  6.2
  3  1557 I5   810  3724 I6  2838   654 I5   283  3020 15985  4.9  3.8  0.33  0.07 -22.98 -30.88 -26.70 -25.86  79  1403     0  6.0
