700637 DEADHORSE              AK  -9  N70 12  W148 29    23  1010
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1     8 J7     2   142 J8    74     6 J7     1    33  1752  6.0  5.1  0.32  0.05 -22.84 -29.70 -26.36 -11.45  79  1383     0  5.7
  2   343 J7    34  1115 J8   379   221 J7    16   879  9923  5.9  4.9  0.34  0.06 -23.56 -30.32 -26.85 -26.59  79  1280     0  5.6
  3  1645 J7   168  3485 J8   985   788 J7    83  3251 16103  5.1  3.9  0.33  0.08 -22.51 -29.84 -26.01 -25.24  77  1380     0  5.5
  4  3026 J7   317  4037 J7   995  1539 J7   120  6630 22103  6.9  5.9  0.53  0.09 -11.93 -19.96 -15.64 -15.04  81  1028     0  5.1
  5  3226 J7   426  2844 J7   996  1967 J7   100  9961 29808  8.4  7.8  0.85  0.09  -2.18  -7.37  -4.54  -4.45  86   716     0  5.9
  6  4600 J7   474  4533 J7  1083  2417 J7   155 11765 31777  7.7  6.9  1.34  0.09   7.55   1.02   4.27   4.27  83   421     0  5.7
  7  4451 J7   335  4794 J7   857  2225 J7   101 10767 31366  7.6  6.5  1.70  0.08  12.22   4.29   8.18   8.19  81   313     0  5.3
  8  2423 J7   366  2127 J8   938  1559 J7   104  7674 24006  8.7  8.2  1.52  0.06   9.65   3.03   6.22   6.66  85   372     0  4.9
  9  1206 J7   144  1281 J8   496   844 J7    57  4268 17830  8.8  8.4  1.03  0.05   3.73  -1.20   1.16   1.74  87   512     0  5.2
 10   418 J7    38   659 J8   242   321 J7    23  1505 11943  8.7  8.1  0.65  0.03  -5.70 -11.19  -8.15  -7.83  85   830     0  5.4
 11    40 J7     6   278 J8   151    30 J7     3   141  4029  7.4  6.7  0.46  0.03 -14.17 -20.81 -17.36 -12.20  81  1074     0  5.4
 12     0 I0     0     0 I0     0     0 I0     0     0     0  6.6  5.6  0.36  0.04 -19.85 -26.39 -23.06   0.00  78  1285     0  5.6
 13  1782 J7   109  2108 J8   389   993 J7    35  4739 16720  7.3  6.5  0.79  0.06  -7.47 -14.04 -10.68  -6.83  82 10593     0  5.4
 1991
  1     5 J6     8    33 J7    97     4 J6     8    32  1717  7.3  5.7  0.33  0.04 -22.22 -29.37 -25.98  -8.05  80  1368     0  6.4
  2   351 J5   240  1134 J7  1161   222 J5   121   860  9849  5.8  4.0  0.37  0.05 -27.87 -34.10 -30.89 -30.65  79  1381     0  5.6
  3  1574 J5   788  3154 J7  2760   768 J5   290  3206 16015  5.7  4.5  0.28  0.07 -23.79 -31.64 -27.69 -26.93  74  1427     0  5.4
  4  2796 J5  1143  3994 J6  3367  1375 J5   480  6577 22008  6.2  5.7  0.45  0.08 -12.15 -19.68 -16.12 -15.52  84  1027     0  4.5
  5  2394 J5  1147  1062 J6  1663  1913 J5   534  9918 29720  9.6  9.1  0.88  0.08   0.11  -3.59  -1.61  -1.52  93   622     0  6.1
  6  4320 J5  2238  4331 J6  4987  2271 J5   610 11758 31778  7.6  7.1  1.30  0.08   7.10   0.64   4.07   4.07  81   434     0  6.1
  7  4089 J5  1927  3795 J6  3695  2221 J5   572 10802 31424  8.2  7.3  1.31  0.07   9.82   2.32   5.94   5.95  81   380     0  4.8
  8  2459 J5  1222  2328 J6  2783  1506 J5   427  7726 24118  8.3  7.7  1.25  0.08   7.35   0.41   3.51   3.99  84   448     0  5.4
  9  1092 J5   901  1259 J7  2212   700 J5   236  4316 17911  8.9  8.5  1.03  0.10   2.08  -1.33   0.21   0.60  91   539     0  6.2
 10   411 J5   363   708 J7  1239   286 J5   162  1537 12037  7.4  7.1  0.57  0.11  -4.68 -12.02  -8.02  -7.20  87   827     0  4.3
 11    36 J6    51   137 J7   296    30 J6    38   149  4150  4.4  4.3  0.38  0.13 -21.32 -28.34 -25.23 -17.26  74  1295     0  5.0
 12     0 I0     0     0 I0     0     0 I0     0     0     0  4.5  3.7  0.27  0.16 -27.39 -32.17 -29.77   0.00  73  1491     0  4.8
