701043 POINT HOPE (AWOS)      AK  -9  N68 21  W166 48     4  1013
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1    31 J8     5   292 J9   140    22 J8     3   108  3695  5.0  4.4  0.37  0.06 -15.50 -22.21 -18.85 -14.96  70  1153     0  7.0
  2   463 J8    59  1552 J8   634   261 J8    34  1153 10697  4.5  4.1  0.40  0.08 -16.18 -23.13 -19.57 -19.33  73  1073     0  6.7
  3  1747 J8   170  3410 J8   979   836 J8    97  3571 16161  4.6  4.0  0.40  0.11 -14.78 -21.31 -17.92 -17.45  69  1128     0  6.5
  4  3272 J8   448  4355 J8  1457  1568 J8   171  6856 21497  5.7  4.9  0.57  0.12  -8.19 -14.52 -11.10 -10.56  77   891     0  6.0
  5  4087 J8   476  4458 J8  1217  1991 J8   140  9954 27997  6.6  6.1  0.91  0.13   0.22  -4.05  -1.78  -1.65  81   628     0  5.1
  6  4890 J8   684  5429 J8  1706  2252 J8   246 11631 31777  6.3  5.7  1.38  0.12   5.40   1.22   3.34   3.34  79   451     0  5.3
  7  4433 J8   484  5067 J8  1173  2049 J8   200 10681 30119  6.5  5.9  1.80  0.10   9.59   5.62   7.59   7.63  82   333     0  5.8
  8  2944 J8   420  3477 J8  1140  1516 J8   116  7828 23029  7.0  6.7  1.61  0.08   9.70   6.29   8.04   8.25  81   320     0  6.6
  9  1919 J8   198  2782 J8   820  1081 J8    77  4555 17669  7.0  6.5  1.15  0.06   5.96   2.61   4.36   4.64  77   421     0  7.1
 10   682 J8    93  1547 J8   636   422 J8    36  1798 12401  7.0  6.4  0.72  0.04  -1.25  -5.42  -3.14  -2.79  75   672     0  7.8
 11    94 J8    12   601 J8   234    62 J8     5   282  6206  6.4  6.0  0.51  0.04  -5.99 -11.38  -8.55  -8.59  75   811     0  8.1
 12     0 J9     0    14 J9    14     0 J9     0     0   120  5.5  5.0  0.42  0.05 -13.27 -18.78 -16.01  -1.19  74  1065     0  8.2
 13  2047 J8   133  2749 J8   517  1005 J8    72  4868 16781  6.0  5.5  0.85  0.08  -3.69  -8.76  -6.13  -4.39  76  8944     0  6.7
 1991
