701195 SHISHMAREF (AWOS)      AK  -9  N66 16  W166  3     2  1013
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1    86 J8    12   617 J8   271    57 J8     5   269  6244  4.4  4.0  0.40  0.07 -15.21 -22.55 -18.99 -19.18  73  1153     0  5.4
  2   625 J8    76  1847 J8   639   337 J8    34  1474 11377  4.4  4.0  0.44  0.09 -15.19 -22.96 -18.98 -18.45  74  1057     0  5.5
  3  2011 J8   204  3808 J8  1067   896 J8   100  3922 16205  4.2  3.7  0.43  0.11 -15.17 -23.02 -19.00 -18.19  70  1160     0  5.0
  4  3388 J8   367  4281 J8  1143  1613 J8   162  7107 20940  5.9  5.1  0.60  0.13  -7.24 -14.98 -10.76 -10.08  78   883     0  4.9
  5  4073 J8   512  3931 J8  1260  2127 J8   214  9998 25853  7.0  6.4  0.96  0.13   0.96  -3.67  -1.25  -1.03  82   610     0  4.1
  6  5097 J8   694  5587 J8  1607  2229 J8   182 11482 30971  6.2  5.5  1.47  0.13   6.09   1.62   3.81   3.82  82   434     0  4.0
  7  4866 J8   623  5510 J8  1557  2122 J8   218 10634 27597  6.1  5.3  1.91  0.11  11.77   7.37   9.50   9.60  79   271     0  4.8
  8  3235 J8   348  3774 J8   920  1603 J8   119  8021 22205  6.8  6.3  1.76  0.08  10.78   7.14   8.92   9.14  79   291     0  5.4
  9  1967 J8   222  2898 J8   959  1027 J8    99  4882 17530  6.9  6.2  1.24  0.06   6.82   3.62   5.27   5.58  76   393     0  5.9
 10   772 J8   139  1785 J8   843   437 J8    40  2139 12834  7.0  6.3  0.78  0.05  -0.02  -3.23  -1.58  -1.39  74   619     0  5.9
 11   173 J8    23   705 J8   330   118 J8    11   503  7763  6.9  6.4  0.57  0.04  -7.16 -13.16  -9.98  -9.74  73   855     0  6.4
 12    12 J8     3   383 J9   207     6 J8     1    49  3690  5.3  4.8  0.45  0.05 -13.64 -20.07 -16.77 -16.77  72  1091     0  6.0
 13  2192 J8   172  2927 J8   596  1048 J8    71  5040 16934  5.9  5.3  0.92  0.09  -3.10  -8.66  -5.82  -5.56  76  8818     0  5.3
 1991
  1    91 J8    74   710 J8   577    61 J8    57   265  6211  4.3  3.8  0.50  0.06 -13.85 -22.51 -18.70 -18.60  70  1132     0  5.7
  2   640 J8   356  1954 J8  1728   316 J8   124  1452 11322  4.4  4.2  0.46  0.08 -15.52 -23.64 -19.63 -19.35  76  1061     0  6.5
  3  1823 J8   708  2833 J8  2097   976 J8   329  3877 16132  5.5  4.8  0.44  0.10 -12.22 -22.37 -17.53 -16.98  74  1104     0  5.7
  4  2703 J8  1315  2830 J8  3088  1524 J8   543  7058 20868  7.8  6.9  0.58  0.12  -5.83 -12.17  -8.64  -8.18  80   820     0  4.5
  5  3593 J8  1806  3073 J8  3527  2046 J8   629  9962 25773  8.0  7.3  0.90  0.12   0.27  -3.72  -1.51  -1.33  84   622     0  3.5
  6  5226 J8  2131  5846 J8  4411  2169 J8   552 11476 30930  6.2  5.7  1.64  0.12   6.10   1.72   3.63   3.65  86   433     0  3.8
