701330 KOTZEBUE RALPH WEIN ME AK  -9  N66 53  W162 36     3  1013
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1    65 J7     8   448 J8   187    46 J7     5   213  5674  5.1  4.4  0.39  0.06 -16.63 -23.31 -19.89 -19.70  76  1187     0  5.1
  2   540 J7    60  1443 J8   544   329 J7    33  1377 11191  5.3  4.7  0.44  0.08 -14.12 -21.28 -17.55 -17.11  77  1018     0  5.5
  3  1928 J7   197  3483 J8   928   944 J7    90  3817 16191  4.8  3.9  0.42  0.10 -13.70 -21.30 -17.32 -16.47  73  1111     0  4.8
  4  3617 J7   400  4259 J7  1159  1892 J7   157  7031 21090  5.9  4.9  0.62  0.12  -5.67 -13.33  -9.20  -8.48  80   835     0  4.9
  5  4447 J7   427  4787 J7  1064  2146 J7   142  9979 26355  6.6  5.7  0.97  0.12   2.84  -2.94  -0.02   0.24  82   570     0  4.4
  6  5354 J7   479  5643 J7  1197  2528 J7   244 11524 31554  6.6  5.4  1.52  0.12  10.67   5.03   7.65   7.65  80   315     1  4.7
  7  4638 J7   437  4666 J7  1004  2355 J7   155 10641 28527  7.2  6.1  1.93  0.10  15.08  10.17  12.55  12.63  80   179     2  5.1
  8  3115 J7   436  3308 J7  1150  1730 J7   117  7964 22428  7.3  6.6  1.73  0.08  13.02   8.63  10.85  11.17  82   233     0  5.4
  9  1912 J7   252  2795 J7   947  1038 J7    90  4787 17566  6.9  6.1  1.21  0.06   8.20   3.75   5.93   6.49  78   371     0  5.4
 10   720 J7    75  1558 J8   419   442 J7    27  2039 12718  6.9  6.2  0.75  0.04  -1.82  -5.99  -3.86  -3.29  80   689     0  5.7
 11   154 J7    21   731 J8   341   105 J7     9   433  7373  6.0  5.5  0.53  0.04  -9.69 -14.81 -12.14 -11.86  79   917     0  5.9
