701718 AMBLER                 AK  -9  N67  6  W157 51    88  1003
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1    60 J8     8   552 J9   253    39 J8     4   194  5441  5.3  4.5  0.38  0.05 -17.66 -25.37 -21.35 -21.16  73  1235     0  2.6
  2   516 J8    74  1373 J8   600   318 J8    35  1342 11121  6.2  5.1  0.44  0.07 -13.33 -21.03 -17.04 -16.35  71  1003     0  3.2
  3  1904 J8   228  3804 J8  1124   840 J8   120  3779 16186  4.9  3.9  0.42  0.09 -10.50 -18.57 -14.37 -13.45  60  1019     0  3.2
  4  3574 J8   341  4698 J8  1247  1704 J8   235  7004 21145  5.9  5.0  0.61  0.10  -2.93 -11.22  -6.87  -6.02  61   762     0  3.3
  5  4888 J8   568  6019 J8  1496  2058 J8   220  9972 26564  5.6  4.8  0.97  0.11   8.78   0.22   4.70   5.11  60   429     0  3.0
  6  5687 J8   596  6790 J8  1592  2352 J8   256 11539 31675  5.7  4.7  1.59  0.10  18.40   8.17  13.55  13.55  58   157     5  2.4
  7  4820 J8   600  5569 J8  1452  2168 J8   170 10645 28795  6.3  5.4  1.94  0.09  19.06  10.28  14.88  15.08  65   123     9  2.2
  8  3291 J8   459  4213 J8  1386  1554 J8   158  7945 22511  6.6  5.9  1.68  0.07  14.77   6.93  10.91  11.63  72   233     1  2.3
  9  1897 J8   273  3047 J8  1143   959 J8   111  4754 17585  6.8  6.1  1.16  0.05   8.27   1.64   4.90   5.82  70   401     0  2.7
 10   795 J8   105  2053 J8   747   428 J8    47  2004 12674  6.7  5.9  0.71  0.04  -3.30  -8.61  -5.88  -5.11  72   753     0  2.9
 11   148 J8    18  1001 J8   397    85 J8    12   410  7228  5.3  4.8  0.53  0.04 -11.89 -17.81 -14.78 -14.46  69   995     0  2.9
 12     3 J9     1   227 J9    96     2 J9     0    13  1923  5.7  5.1  0.43  0.04 -15.71 -21.98 -18.71 -18.66  69  1152     0  3.0
 13  2299 J8   142  3279 J8   482  1042 J8    82  4967 16904  5.9  5.1  0.91  0.07  -0.50  -8.11  -4.17  -3.67  67  8263    16  2.8
 1991
  1    55 J8    67   436 J8   611    38 J8    41   191  5403  5.8  5.2  0.46  0.04 -18.26 -27.65 -23.03 -23.00  73  1280     0  2.8
  2   583 J8   343  1962 J8  1591   298 J8   167  1321 11057  4.4  3.7  0.47  0.06 -16.81 -25.87 -21.27 -19.98  72  1111     0  3.4
  3  1943 J8   827  4229 J8  2691   766 J8   313  3735 16110  4.1  3.4  0.46  0.08 -10.48 -20.90 -15.52 -14.28  63  1055     0  3.7
  4  3463 J8  1118  4157 J8  3284  1843 J8   632  6955 21069  6.4  5.4  0.60  0.09  -2.71 -11.95  -6.98  -6.00  69   770     0  2.4
  5  4801 J8  1302  5371 J8  3628  2373 J8   681  9935 26470  5.8  5.1  0.97  0.09   8.88  -1.74   3.91   4.41  67   458     0  3.1
  6  5643 J8  1837  6465 J8  4312  2398 J8   610 11533 31647  5.6  4.9  1.68  0.09  21.89  10.26  16.59  16.60  62   108    40  2.9
  7  4601 J8  1972  4572 J8  4341  2315 J8   601 10675 28889  7.2  6.2  1.69  0.08  19.20   9.18  14.80  15.05  66   136     8  3.0
  8  3792 J8  1057  4793 J8  3357  1708 J8   526  7992 22591  5.7  5.2  1.54  0.09  17.77   5.26  11.84  13.17  69   211     0  2.5
  9  1837 J8   971  2260 J8  2563  1066 J8   350  4801 17660  7.4  6.4  1.23  0.10  12.67   3.29   7.79   9.21  67   310     0  3.5
 10   694 J8   385  1317 J8  1616   447 J8   198  2037 12744  5.8  5.5  0.71  0.12  -1.90  -7.92  -4.94  -3.68  76   721     0  3.1
 11   151 J8   127   679 J8   657    93 J8    67   423  7317  1.1  1.0  0.54  0.14 -19.84 -26.65 -23.47 -22.23  68  1247     0  2.0
 12     1 J9     2    24 J9    61     1 J9     2    14  1947  5.1  4.5  0.36  0.16 -20.55 -27.40 -24.01 -24.22  71  1311     0  2.4
 13  2297 J8  2070  3022 J8  2162  1112 J8   964  4968 16909  5.4  4.7  0.89  0.10  -0.85 -10.17  -5.36  -4.58  69  8717    48  2.9
 1992
  1    46 J8    50   107 J8   193    39 J8    41   186  5354  5.2  4.6  0.38  0.19 -17.73 -24.65 -20.89 -20.53  72  1225     0  2.9
  2   473 J8   244   818 J8   934   346 J8   162  1341 11104  3.8  3.5  0.37  0.23 -22.09 -30.87 -26.32 -24.85  65  1299     0  2.2
