701740 BETTLES FIELD          AK  -9  N66 55  W151 31   196   990
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1    65 J7     9   450 J8   197    47 J7     3   209  5633  5.4  4.7  0.36  0.06 -19.73 -27.65 -23.52 -22.98  77  1303     0  2.1
  2   559 J7    59  1373 J7   508   355 J7    30  1369 11173  5.8  4.8  0.41  0.08 -14.74 -24.49 -19.39 -17.79  74  1072     0  2.3
  3  1884 J7   176  3388 J7   933   925 J7    97  3808 16183  5.1  4.1  0.39  0.09  -9.41 -22.42 -15.82 -13.51  63  1062     0  2.6
  4  3824 J7   270  4804 J7   951  1872 J7   137  7024 21094  5.8  4.4  0.58  0.11   1.73  -9.78  -3.64  -2.22  60   671     0  2.9
  5  5012 J7   327  5719 J7   890  2288 J7   163  9976 26411  6.3  4.7  0.93  0.11  12.47   1.42   7.47   8.11  56   353     0  2.8
  6  5666 J7   354  5784 J7   886  2778 J7   171 11526 31573  6.9  5.3  1.51  0.11  20.53   8.95  15.24  15.24  59   115     7  2.5
  7  4916 J7   407  4795 J7   997  2586 J7   144 10642 28547  7.3  5.8  1.82  0.09  20.69   9.95  15.61  15.91  68   102     9  2.4
  8  3448 J7   366  3812 J7  1065  1819 J7   108  7964 22446  7.4  6.2  1.56  0.07  16.54   6.21  11.49  12.58  74   217     2  2.3
  9  1977 J7   189  2781 J7   795  1085 J7    75  4785 17576  7.1  6.1  1.07  0.05   9.43   0.61   4.85   6.23  74   399     0  2.4
 10   723 J7    74  1532 J7   448   444 J7    18  2035 12715  7.3  6.4  0.67  0.04  -3.29 -10.30  -6.70  -5.54  77   779     0  2.4
 11   155 J7    19   778 J8   298   104 J7     8   431  7356  6.1  5.3  0.49  0.04 -14.06 -21.32 -17.46 -16.75  77  1081     0  2.1
 12     4 J8     1   223 J8   103     3 J8     0    19  2489  6.0  5.0  0.40  0.04 -17.68 -25.39 -21.38 -21.29  76  1236     0  2.1
 13  2353 J7    96  2953 J7   330  1192 J7    49  4982 16933  6.4  5.2  0.85  0.07   0.21  -9.52  -4.44  -3.50  70  8390    18  2.4
 1991
  1    58 I5    65   435 I7   497    42 I5    43   205  5594  5.3  4.8  0.41  0.05 -18.02 -26.54 -22.26 -21.86  71  1259     0  2.7
  2   604 I5   293  1711 I6  1407   343 I5   154  1348 11115  4.6  3.5  0.43  0.06 -15.71 -26.69 -20.91 -18.81  63  1107     0  2.7
  3  1710 I5   614  2668 I6  1901   973 I5   349  3764 16111  6.0  5.1  0.41  0.08 -10.10 -22.77 -16.49 -14.41  61  1078     0  3.1
  4  3965 I5   839  5619 I6  2585  1743 I5   602  6975 21017  4.7  3.5  0.57  0.09   3.19  -8.90  -2.40  -0.86  58   636     0  3.6
  5  4897 I5  1246  5567 I6  3079  2233 I5   497  9939 26319  6.3  4.8  0.97  0.10  14.73   3.88   9.75  10.39  58   280     0  3.2
  6  6480 I5  1338  8325 I6  3571  2358 I5   640 11520 31540  5.1  3.7  1.48  0.10  22.41  10.33  16.87  16.87  53    99    40  3.1
  7  5037 I5  1184  4730 I6  2794  2609 I5   448 10672 28645  7.8  6.2  1.49  0.08  19.98   9.92  14.99  15.26  65   112     7  3.1
  8  4095 I5   733  5458 I6  3111  1754 I5   664  8011 22524  5.0  4.0  1.29  0.09  17.08   5.01  11.33  12.78  66   226     0  3.2
  9  2089 I5  1065  2984 I6  2803  1049 I5   314  4832 17644  6.1  5.0  1.10  0.11  12.50   2.04   7.26   8.86  71   332     0  3.1
 10   723 I5   372  1410 I6  1472   441 I5   188  2069 12791  6.2  5.4  0.58  0.12  -2.42 -10.19  -6.24  -4.95  79   764     0  2.6
 11   161 I5   130   656 I7   705   103 I5    65   444  7440  2.6  1.9  0.45  0.14 -17.14 -24.50 -20.81 -19.66  55  1175     0  2.8
 12     2 I6     3    21 I7    47     2 I6     3    20  2512  5.6  4.4  0.32  0.16 -18.01 -24.51 -21.04 -20.64  51  1227     0  3.4
 13  2485 I5  2295  3299 I6  2612  1137 I5   968  4983 16938  5.4  4.4  0.79  0.10   0.71  -9.41  -4.16  -3.09  63  8293    47  3.0
 1992
  1    54 I5    57   138 I7   261    45 I5    45   201  5549  5.3  4.4  0.35  0.20 -17.25 -23.31 -20.29 -19.66  58  1197     0  2.8
  2   502 I5   243   870 I6   975   359 I5   136  1368 11160  5.2  4.5  0.34  0.23 -19.44 -28.33 -23.72 -21.93  50  1224     0  2.5
  3  1633 I5   650  1802 I6  1739  1087 I5   322  3838 16232  5.5  4.8  0.37  0.26  -6.44 -18.17 -12.49 -10.48  66   950     0  2.9
  4  3640 I6  1168  3418 I7  2283  2115 I6   450  7055 21140  4.9  3.7  0.44  0.29  -1.13 -13.06  -6.60  -5.23  55   763     0  3.0
  5  5203 J6  1120  5170 J7  2897  2589 J6   644  9999 26466  5.6  3.8  0.69  0.28   6.73  -4.83   1.62   2.26  63   539     0  3.9
  6  5814 I6  1066  4825 I7  2290  3207 I6   453 11530 31590  6.8  4.6  1.33  0.26  21.27   9.30  15.62  15.62  60   100     9  3.0
  7  5568 I5  1120  5415 I6  2409  2740 I5   476 10623 28490  5.2  3.7  1.58  0.22  22.97  10.76  17.28  17.60  63    53     8  2.8
  8  3154 I5  1394  2812 I6  2839  1862 I5   385  7935 22400  7.7  6.5  1.38  0.19  16.09   7.20  11.88  12.80  75   208     1  3.0
  9  1904 I5   623  2290 I6  1852  1146 I5   330  4755 17527  6.4  5.1  0.61  0.15   2.92  -5.20  -1.18  -0.02  64   584     0  3.5
 10   611 I5   307   972 I6  1033   427 I5   189  2013 12667  6.8  6.1  0.50  0.13  -6.72 -13.55 -10.22  -8.94  71   882     0  2.6
 11   124 I5   110   383 I7   633    93 I5    68   421  7302  5.9  5.4  0.45  0.11 -14.10 -20.27 -17.07 -16.49  72  1066     0  2.5
 12     2 I6     3    51 I7    85     2 I6     3    18  2463  5.3  4.5  0.31  0.11 -20.98 -28.56 -24.72 -24.66  65  1336     0  2.5
