701780 TANANA RALPH M CALHOUN AK  -9  N65 10  W152  6    71  1005
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   126 J7    16   590 J8   289    90 J7     8   380  7064  5.5  4.9  0.41  0.06 -18.97 -26.47 -22.59 -21.98  75  1272     0  2.4
  2   695 J7    67  1531 J8   516   436 J7    43  1646 11675  5.7  4.7  0.46  0.08 -13.66 -22.46 -17.85 -16.55  71  1028     0  2.8
  3  2044 J7   193  3423 J7   904  1005 J7   110  4102 16220  5.0  4.1  0.44  0.10  -7.78 -20.38 -13.74 -11.66  61  1005     0  2.9
  4  3986 J7   260  4772 J7   887  1956 J7   130  7235 20683  5.6  4.3  0.64  0.11   4.29  -7.81  -1.20   0.30  58   603     0  2.8
  5  5005 J7   268  5316 J7   772  2386 J7   157 10034 25140  5.9  4.6  1.00  0.12  14.54   1.53   8.82   9.78  55   320     0  2.9
  6  5532 J7   411  5374 J7  1055  2811 J7   186 11435 28506  6.3  5.1  1.60  0.11  20.85   8.02  15.38  15.74  62   122     6  2.5
  7  4950 J7   248  4669 J8   685  2635 J7   138 10640 26389  6.7  5.5  1.92  0.09  21.27   9.70  16.18  16.79  70    96     8  2.4
  8  3469 J7   315  3479 J7   945  1929 J7    96  8128 21852  7.3  6.3  1.70  0.07  17.20   6.80  12.33  13.55  76   197     1  2.3
  9  2086 J7   218  2727 J7   871  1152 J7    84  5056 17470  7.0  6.1  1.18  0.06  10.75   1.32   6.11   7.67  75   369     0  2.5
 10   849 J7    90  1612 J8   474   520 J7    43  2324 13038  7.1  6.4  0.73  0.04  -1.44  -8.28  -4.63  -3.42  77   719     0  2.5
 11   233 J7    30   840 J8   332   160 J7    14   638  8377  6.3  5.5  0.54  0.04 -12.39 -19.37 -15.62 -14.74  76  1026     0  2.3
 12    34 J7     5   380 J8   159    25 J7     2   122  5011  6.0  5.1  0.46  0.04 -17.31 -24.53 -20.77 -20.61  74  1217     0  2.3
 13  2417 J7    78  2893 J8   303  1259 J7    47  5145 16785  6.2  5.2  0.92  0.08   1.45  -8.49  -3.13  -2.09  69  7974    15  2.6
 1991
  1   119 J5    88   560 J7   699    86 J5    60   375  7035  6.2  5.5  0.49  0.05 -16.90 -24.58 -20.38 -19.77  77  1211     0  2.8
  2   719 J5   336  1679 J7  1397   429 J5   188  1624 11625  5.1  3.8  0.49  0.07 -15.98 -24.41 -20.13 -19.10  64  1079     0  3.7
  3  1759 J5   866  2523 J7  2452   972 J5   384  4058 16151  6.4  5.5  0.48  0.09  -8.04 -20.25 -14.14 -12.18  71  1007     0  3.0
  4  4195 J6   882  5643 J7  3023  1814 J6   726  7188 20616  4.7  3.6  0.63  0.10   6.09  -8.02  -0.15   1.52  57   579     0  2.9
  5  4842 J6  1230  4988 J7  3043  2359 J6   523  9999 25075  6.4  5.3  0.99  0.11  15.15   1.09   9.05  10.19  60   316     0  2.9
  6  6368 J6  1578  7977 J7  4004  2281 J6   670 11430 28493  4.7  3.6  1.64  0.10  22.90   9.02  16.95  17.33  54   104    33  3.3
  7  4748 J6  1446  4365 J7  3106  2546 J6   528 10667 26455  6.8  5.9  1.66  0.09  19.97   8.83  14.94  15.55  68   128     7  2.7
  8  3836 J6  1023  4524 J7  3478  1849 J6   704  8173 21922  6.0  5.1  1.57  0.10  16.25   5.56  11.35  12.69  71   230     0  3.3
  9  1973 J6   955  2205 J7  2141  1153 J6   258  5102 17538  7.0  6.2  1.29  0.11  12.66   3.20   7.88   9.41  70   312     0  3.0
 10   710 J5   391  1149 J7  1493   462 J5   163  2358 13105  6.8  6.1  0.70  0.12  -1.02  -6.99  -3.66  -2.82  79   692     0  3.1
 11   240 J5   162   739 J7   848   156 J5    72   654  8444  3.9  3.3  0.51  0.14 -15.19 -21.26 -17.99 -16.83  66  1097     0  3.0
 12    23 J6    11    39 J7    91    22 J6    11   124  5027  7.2  6.5  0.40  0.17 -17.98 -24.05 -20.88 -20.97  70  1220     0  3.1
 13  2461 J6  2221  3033 J7  2445  1177 J6   955  5146 16790  5.9  5.0  0.90  0.10   1.49  -8.49  -3.10  -2.08  67  7975    39  3.1
 1992
  1   101 J5    76   159 J7   262    88 J5    61   370  6999  5.5  5.0  0.41  0.20 -16.69 -24.15 -20.14 -19.44  70  1201     0  2.7
  2   563 J5   238   690 J7   853   444 J5   175  1644 11664  5.7  4.8  0.42  0.24 -18.15 -25.17 -21.40 -20.43  68  1160     0  2.6
  3  1769 J5   674  1847 J7  1522  1160 J5   354  4131 16262  5.6  4.8  0.42  0.27  -5.59 -17.37 -11.47  -9.33  63   924     0  2.7
  4  3683 J5  1137  3290 J7  2546  2186 J5   550  7265 20722  5.5  4.3  0.52  0.30   1.20 -10.38  -4.06  -2.61  57   688     0  3.9
  5  4973 J5  1295  4042 J7  2879  2831 J5   662 10055 25181  5.5  4.2  0.83  0.28   8.45  -2.80   3.58   4.44  59   481     0  3.7
  6  5300 J6  1476  4088 J7  2645  3077 J6   480 11438 28517  5.9  4.9  1.36  0.26  20.75   7.55  15.11  15.48  63   129     4  2.7
  7  5113 J6  1225  4067 J7  2696  2884 J6   395 10623 26347  5.9  5.1  1.69  0.22  22.15   9.79  16.84  17.54  68    81     8  2.6
  8  3020 J5  1152  2086 J7  2126  2022 J5   458  8100 21812  8.5  7.5  1.60  0.19  17.06   8.37  12.79  13.92  69   175     1  2.7
  9  1885 J5   837  2077 J7  2278  1156 J5   386  5027 17429  6.5  6.0  0.67  0.15   3.90  -4.14   0.01   1.41  68   554     0  2.7
 10   694 J5   370  1408 J7  1591   410 J5   153  2301 12996  6.1  5.8  0.58  0.13  -4.68 -11.35  -7.81  -6.78  77   817     0  3.2
 11   181 J5   145   344 J7   704   141 J5    82   628  8331  7.7  7.0  0.53  0.11 -11.75 -16.65 -14.12 -13.24  78   976     0  2.9
 12    25 J6    12   117 J7   149    22 J6    10   121  4996  6.3  5.1  0.38  0.11 -19.04 -27.27 -23.09 -23.50  73  1286     0  2.8
 13  2276 J5  2068  2018 J7  1544  1368 J5  1178  5142 16771  6.2  5.4  0.78  0.21  -0.20  -9.46  -4.48  -3.55  68  8470    12  2.9
 1993
  1   103 J5    80   180 J7   290    88 J5    61   387  7111  7.9  7.5  0.35  0.12 -17.25 -25.73 -21.18 -20.81  84  1234     0  2.7
  2   541 J5   224   763 J7   971   423 J5   175  1658 11708  6.6  5.7  0.58  0.13 -13.57 -20.70 -16.87 -16.05  75   993     0  3.6
  3  1832 J5   618  2578 J7  2015  1060 J5   405  4109 16233  5.6  4.8  0.48  0.14  -3.21 -15.68  -9.43  -7.23  65   861     0  2.7
  4  4267 J5   940  5304 J7  2577  1921 J5   538  7243 20696  4.3  3.2  0.67  0.15   6.76  -4.14   1.56   3.05  58   511     0  3.2
  5  5457 J5  1580  6609 J7  3629  2103 J5   529 10040 25154  4.3  3.4  1.11  0.15  15.44   3.37  10.01  10.88  49   277     0  4.1
  6  6066 J6  1130  6336 J7  3185  2661 J6   631 11437 28512  5.3  4.6  1.51  0.14  21.47   7.87  15.79  16.18  62   114     4  2.8
  7  5337 J6  1518  5812 J7  3387  2321 J6   527 10636 26383  5.5  4.5  2.01  0.12  23.54  10.47  17.87  18.60  64    59    18  2.8
  8  3401 J5  1045  3274 J7  2857  1904 J5   547  8121 21839  7.8  6.8  1.56  0.09  16.66   7.01  12.09  13.23  77   201     0  2.6
  9  1810 J5   659  2053 J7  2237  1129 J5   416  5049 17458  8.1  7.3  1.07  0.07   8.31   1.70   5.06   6.07  82   400     0  3.2
 10   676 J5   379   816 J7  1470   504 J5   222  2318 13026  8.3  7.9  0.83  0.05   0.33  -3.62  -1.68  -1.11  84   619     0  3.2
 11   168 J5    94   347 J7   510   145 J5    78   636  8364  7.3  6.4  0.51  0.05 -11.26 -17.56 -14.03 -13.59  80   982     0  3.3
 12    28 J6    15   229 J7   367    22 J6     7   122  5006  6.4  5.3  0.49  0.05 -12.68 -18.09 -15.09 -14.57  72  1045     0  3.9
 13  2474 J5  2312  2858 J7  2536  1190 J5   957  5146 16791  6.4  5.6  0.93  0.10   2.88  -6.26  -1.33  -0.45  71  7297    22  3.2
 1994
  1   119 J6    76   515 J7   515    94 J6    69   381  7074  5.3  4.8  0.48  0.06 -15.61 -20.02 -17.62 -17.15  60  1120     0  4.2
  2   759 J5   392  2249 J7  1858   357 J5   156  1642 11668  3.5  3.0  0.40  0.08 -15.80 -24.42 -20.16 -18.33  65  1076     0  2.9
