701940 FORT YUKON             AK  -9  N66 34  W145 16   136   997
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1    74 J8    10   576 J8   236    48 J8     4   240  5970  5.2  4.9  0.38  0.05 -20.42 -30.93 -26.23 -26.36  76  1364     0  1.2
  2   563 J8    79  1682 J8   629   310 J8    36  1423 11277  5.1  4.7  0.44  0.07 -18.34 -27.97 -22.99 -21.39  73  1172     0  1.4
  3  1991 J8   198  4209 J8  1158   788 J8   126  3865 16190  3.7  3.4  0.42  0.09 -10.29 -22.46 -16.26 -14.19  59  1076     0  2.5
  4  3982 J8   307  6458 J8  1296  1374 J8   206  7064 21003  3.4  3.0  0.67  0.10   2.89  -9.14  -2.85  -1.35  55   644     0  2.9
  5  5563 J8   284  7712 J8  1023  1886 J8   216  9984 26114  3.7  3.3  1.06  0.11  13.58   1.72   8.36   9.09  47   331     0  3.0
  6  6391 J8   450  8538 J8  1527  2217 J8   290 11502 31321  3.8  3.4  1.64  0.10  20.80  10.00  16.03  16.06  51    97     9  2.3
  7  5674 J8   345  7405 J8   763  2093 J8   162 10638 28039  4.8  4.0  1.99  0.09  21.12  11.15  16.60  16.93  58    80    12  2.3
  8  3958 J8   385  5709 J8  1216  1546 J8   169  7998 22322  4.9  4.5  1.75  0.07  17.36   7.45  12.54  13.61  66   187     3  2.1
  9  2289 J8   249  4332 J8  1090   903 J8   109  4841 17557  5.0  4.7  1.21  0.05   9.59   0.62   5.02   6.45  69   397     0  2.3
 10   794 J8   108  2112 J8   739   394 J8    43  2094 12787  6.2  5.9  0.76  0.04  -3.73 -10.89  -7.15  -6.08  78   795     0  2.0
 11   166 J8    20   930 J8   338   102 J8     9   471  7589  5.8  5.6  0.54  0.04 -15.76 -23.41 -19.42 -18.81  76  1137     0  1.2
 12     8 J8     2   351 J9   158     4 J8     1    34  3212  5.8  5.5  0.44  0.04 -19.34 -28.78 -24.36 -24.69  75  1314     0  1.2
