702000 NOME MUNICIPAL ARPT    AK  -9  N64 31  W165 27     4  1013
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   146 J7    16   616 J8   201   102 J7     6   453  7484  5.5  4.9  0.44  0.07 -11.56 -19.22 -15.20 -14.85  73  1045     0  3.8
  2   675 J7    64  1402 J8   468   424 J7    35  1753 11847  6.1  5.3  0.50  0.09  -9.12 -16.83 -12.68 -11.95  74   885     0  4.6
  3  2049 J7   229  3223 J7   923  1038 J7    86  4213 16238  5.4  4.5  0.46  0.11  -8.59 -16.62 -12.31 -11.20  71   959     0  4.0
  4  3385 J7   480  3817 J7  1196  1718 J7   134  7317 20551  6.4  5.4  0.64  0.13  -2.29  -8.98  -5.30  -4.57  75   719     0  4.0
  5  4370 J7   520  4433 J7  1060  2095 J7   112 10063 24770  6.7  5.7  0.99  0.14   5.74  -0.56   2.71   3.15  76   488     0  3.8
  6  4946 J7   554  4622 J7  1067  2447 J7   188 11420 27695  7.1  5.9  1.51  0.13  11.99   5.19   8.71   8.90  77   292     0  3.9
  7  4142 J7   395  3498 J7   723  2326 J7   138 10646 25904  7.9  6.8  1.94  0.11  13.99   8.07  11.29  11.59  81   227     1  3.9
  8  2911 J7   562  2666 J7  1183  1713 J7    99  8186 21653  7.8  7.2  1.81  0.09  12.93   7.01  10.26  10.95  82   260     0  4.2
  9  1938 J7   194  2355 J7   675  1135 J7    62  5152 17429  7.4  6.7  1.29  0.06   9.20   3.24   6.42   7.45  77   363     0  4.3
 10   879 J7   114  1652 J8   598   524 J7    27  2429 13140  7.0  6.4  0.79  0.05   1.34  -4.49  -1.37  -0.29  76   617     0  4.0
 11   242 J7    40   851 J8   389   162 J7    13   720  8689  6.3  5.8  0.58  0.04  -5.06 -10.95  -7.77  -7.20  75   790     0  4.5
 12    48 J7     7   418 J8   168    35 J7     3   175  5609  5.9  5.3  0.48  0.05  -9.74 -16.76 -13.12 -12.90  74   979     0  4.3
 13  2144 J7   113  2463 J7   332  1143 J7    45  5211 16751  6.6  5.8  0.95  0.09   0.73  -5.91  -2.36  -1.74  76  7624     1  4.1
 1991
  1   136 I5   103   649 I7   777    94 I5    64   448  7459  5.9  5.2  0.56  0.06  -9.71 -18.28 -14.15 -14.49  74  1002     0  4.8
  2   729 I5   361  1799 I6  1625   412 I5   164  1731 11796  5.1  4.3  0.46  0.08 -10.00 -18.79 -14.14 -13.47  69   916     0  5.2
  3  1864 I5   921  2864 I6  2844   976 I5   380  4170 16169  6.5  5.7  0.49  0.10  -8.77 -17.14 -12.57 -11.66  76   970     0  4.8
  4  3667 I5  1242  4681 I6  3150  1636 I5   544  7270 20487  5.5  4.5  0.66  0.12  -0.42  -7.23  -3.62  -2.68  75   665     0  3.4
  5  4442 I5  1454  4196 I6  3385  2268 I5   483 10029 24709  6.8  5.8  1.00  0.13   6.68   0.75   3.92   4.40  76   453     0  3.8
  6  5027 I5  2204  5393 I6  4337  2126 I5   538 11415 27683  6.5  5.6  1.73  0.12  13.89   7.04  10.64  10.85  76   236     0  4.4
  7  4836 I5  2110  4872 I6  4324  2283 I5   623 10673 25960  6.9  5.6  1.77  0.11  16.84   8.78  13.05  13.44  72   171     0  4.0
  8  3916 I5  1309  4812 I6  3336  1716 I5   483  8230 21721  5.9  4.7  1.68  0.11  15.00   6.88  11.54  12.66  74   229     0  3.9
  9  1886 I5  1016  2048 I6  2576  1126 I5   263  5198 17494  7.6  6.7  1.51  0.12  11.74   6.06   8.96   9.97  76   283     0  4.8
 10   741 I5   400   970 I6  1201   514 I5   184  2463 13203  7.4  6.6  0.92  0.13   3.17  -1.44   1.10   1.90  80   541     0  5.4
 11   274 I5   150   846 I7   698   180 I5    87   736  8751  2.1  1.8  0.47  0.15  -4.84 -11.46  -8.08  -7.00  58   794     0  4.7
 12    39 I5    17    67 I7   124    36 I5    14   177  5620  5.5  4.7  0.36  0.17 -13.48 -21.86 -17.49 -16.85  70  1116     0  3.0
 13  2296 I5  1956  2766 I6  1939  1114 I5   869  5212 16754  6.0  5.1  0.97  0.12   1.67  -5.56  -1.74  -1.08  73  7377     0  4.3
 1992
  1   127 I5    86   142 I7   212   113 I5    69   442  7424  5.8  5.1  0.45  0.21  -9.20 -16.81 -12.98 -12.80  75   971     0  3.5
