702005 SAINT MARY`S (AWOS)    AK  -9  N62  4  W163 18    95  1002
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   280 J8    41  1159 J8   525   165 J8    16   756  8747  4.9  4.4  0.52  0.07 -11.35 -16.89 -14.00 -13.77  74  1006     0  5.8
  2   936 J8    97  2130 J8   685   496 J8    57  2154 12395  5.4  4.6  0.58  0.09  -8.14 -14.16 -11.02 -10.52  77   832     0  6.5
  3  2379 J8   274  3955 J8  1207  1033 J8   140  4616 16277  4.7  4.1  0.53  0.11  -6.36 -12.90  -9.59  -8.93  72   867     0  5.9
  4  3837 J8   461  4688 J8  1304  1690 J8   163  7607 20095  5.4  4.7  0.70  0.13  -0.50  -7.33  -3.81  -3.05  75   667     0  5.4
  5  4794 J8   541  4997 J8  1231  2131 J8   185 10174 23632  6.1  5.3  1.07  0.13   9.02   0.64   4.88   5.66  72   419     0  4.6
  6  5243 J8   653  4999 J8  1414  2472 J8   213 11404 25747  6.4  5.5  1.60  0.13  14.96   5.83  10.55  11.23  71   238     0  4.1
  7  4456 J8   365  3948 J8   810  2333 J8   142 10701 24443  7.2  6.5  2.01  0.11  15.66   8.27  11.92  12.47  78   198     1  4.0
  8  3064 J8   559  2878 J8  1306  1728 J8   121  8420 21019  7.4  7.0  1.92  0.08  13.71   7.56  10.57  11.28  83   239     0  4.3
  9  2167 J8   249  2726 J8   834  1164 J8    90  5525 17311  7.2  6.5  1.39  0.06   9.31   3.20   6.17   7.17  82   362     0  4.4
 10  1113 J8   176  2296 J8   962   564 J8    63  2838 13502  6.5  5.8  0.86  0.05   0.72  -4.59  -1.90  -1.01  81   628     0  4.5
 11   421 J8    63  1405 J8   663   246 J8    26  1056  9695  6.2  5.5  0.67  0.04  -5.94 -11.27  -8.53  -8.13  78   808     0  5.3
 12   144 J8    18   907 J8   396    88 J8     9   422  7305  5.3  4.9  0.56  0.05 -10.05 -15.77 -12.80 -12.69  78   969     0  5.6
 13  2403 J8   167  3007 J8   568  1176 J8    67  5473 16681  6.1  5.4  1.03  0.09   1.75  -4.79  -1.46  -0.86  77  7233     1  5.0
 1991
  1   258 J8   144  1006 J8  1003   160 J8    73   750  8725  5.4  4.9  0.65  0.06 -11.59 -16.53 -14.02 -13.71  78  1004     0  7.2
  2   932 J8   433  2327 J8  1888   467 J8   185  2131 12351  5.2  4.1  0.57  0.08 -12.57 -17.51 -15.09 -14.42  88   934     0  6.7
  3  1865 J8  1014  2387 J8  2449  1043 J8   352  4573 16217  7.1  6.4  0.64  0.10  -5.70 -12.84  -9.43  -8.76  83   856     0  7.1
  4  3851 J8  1389  4655 J8  3230  1698 J8   542  7563 20038  5.7  5.0  0.69  0.12   1.86  -5.44  -1.93  -1.23  85   604     0  4.8
  5  4621 J8  1694  4638 J8  3636  2192 J8   503 10143 23585  6.4  5.7  0.98  0.12  10.78   0.92   5.96   6.71  76   387     0  4.6
  6  5217 J8  1760  4945 J8  3677  2481 J8   598 11399 25735  7.2  5.7  1.68  0.12  16.67   6.97  11.93  12.60  76   195     0  4.8
  7  4724 J8  1886  4250 J8  3706  2364 J8   569 10725 24482  7.3  6.4  1.89  0.10  18.18   8.55  13.32  14.03  77   155     1  4.4
  8  3756 J8  1029  3644 J8  2700  2000 J8   564  8461 21075  7.1  6.4  1.91  0.11  16.57   8.55  12.26  13.14  79   179     0  3.9
  9  2447 J8   829  3121 J8  1986  1250 J8   255  5569 17368  6.2  5.4  1.51  0.12  11.65   5.52   8.36   9.33  83   292     0  4.9
 10   961 J8   455  1262 J8  1101   637 J8   252  2872 13563  7.4  6.6  1.02  0.13   2.82  -1.45   0.76   1.25  84   547     0  6.1
 11   389 J8   211   603 J8   843   295 J8   107  1073  9748  6.7  5.4  0.73  0.15  -6.74 -12.59  -9.39  -8.74  72   840     0  6.2
 12   119 J8    41   199 J8   289   103 J8    24   423  7315  6.6  6.2  0.52  0.17 -10.32 -18.08 -14.60 -14.96  64  1009     0  5.7
 13  2428 J8  1920  2753 J8  1703  1224 J8   897  5474 16684  6.5  5.7  1.07  0.11   2.63  -4.50  -0.99  -0.40  79  7001     1  5.5
 1992
  1   227 J8   112   236 J8   306   198 J8    83   744  8699  6.0  4.9  0.56  0.21  -9.09 -14.99 -11.75 -11.28  71   942     0  7.2
  2   793 J8   330   739 J8   846   624 J8   229  2151 12389  7.0  6.1  0.54  0.25  -7.79 -14.90 -11.14 -10.44  74   861     0  4.3
  3  2257 J8   828  2386 J8  1992  1351 J8   281  4644 16311  4.5  3.6  0.44  0.29  -5.85 -11.98  -8.70  -7.97  70   845     0  4.4
  4  4137 J8  1106  4639 J8  2275  1899 J8   498  7635 20128  2.8  2.5  0.68  0.31  -3.96 -11.63  -7.79  -6.95  71   784     0  4.6
  5  5005 J8  1339  4413 J8  2730  2526 J8   573 10193 23659  5.3  4.5  0.98  0.30  10.42   1.12   5.77   6.74  71   389     0  4.5
  6  5897 J8  1293  5101 J8  2378  2896 J8   524 11406 25752  4.6  3.9  1.38  0.27  17.13   6.93  12.24  13.01  70   189     0  3.6
  7  5060 J8  1527  4374 J8  2577  2573 J8   452 10686 24418  6.1  5.3  1.91  0.23  17.36   8.71  12.96  13.68  76   164     0  3.6
  8  3009 J8  1516  2329 J8  2422  1817 J8   503  8394 20988  7.5  6.7  1.79  0.19  15.29   9.05  11.97  12.67  85   191     0  4.1
  9  2156 J8   811  2486 J8  1936  1216 J8   372  5497 17277  6.4  5.6  1.05  0.16   4.59  -0.82   2.01   2.83  82   493     0  4.9
 10  1193 J8   411  2442 J8  1392   592 J8   182  2815 13464  3.5  2.9  0.86  0.13  -1.58  -7.19  -4.56  -3.53  78   704     0  5.1
 11   403 J8   226   868 J8   988   272 J8    88  1044  9658  6.2  5.5  0.62  0.11  -6.86 -12.36  -9.72  -9.65  82   838     0  4.8
 12   124 J8    37   218 J8   242   108 J8    31   420  7297  6.7  5.5  0.56  0.11 -10.60 -17.24 -13.76 -13.57  80  1000     0  4.6
 13  2522 J8  2074  2519 J8  1775  1339 J8   997  5469 16670  5.5  4.7  0.95  0.21   1.59  -5.44  -1.87  -1.21  76  7399     0  4.6
 1993
  1   237 J8   121   361 J8   454   197 J8    90   765  8779  7.7  6.4  0.45  0.12 -14.29 -19.62 -16.78 -16.77  83  1094     0  6.0
  2   841 J8   339  1038 J8   817   611 J8   224  2166 12422  7.7  6.1  0.63  0.13  -6.06 -12.07  -8.73  -8.31  74   767     0  8.7
  3  2076 J8   936  2224 J8  1964  1275 J8   451  4623 16288  7.0  5.7  0.60  0.15  -4.57 -10.00  -7.26  -6.75  76   794     0  6.8
  4  3600 J8  1240  3629 J8  2420  1879 J8   347  7615 20105  6.6  5.6  0.70  0.16   1.62  -3.38  -0.84  -0.28  78   576     0  5.1
  5  4139 J8  1598  3224 J8  2594  2349 J8   528 10180 23640  7.5  6.6  1.22  0.16   8.79   1.00   5.00   5.68  73   416     0  5.2
  6  5004 J8  1564  3945 J8  2926  2702 J8   492 11406 25752  7.5  6.2  1.46  0.15  14.27   6.17  10.16  10.77  70   243     0  4.2
