702040 GAMBELL                AK  -9  N63 47  W171 45     8  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   159 J8    22   682 J8   315   106 J8     9   539  7908  6.0  5.3  0.43  0.07 -11.21 -16.26 -13.74 -13.70  72   994     0  9.8
  2   633 J8    91  1426 J8   513   368 J8    29  1873 12026  6.5  5.8  0.47  0.09 -11.27 -17.02 -14.24 -14.04  70   917     0 10.3
  3  1880 J8   152  2965 J8   643   917 J8    81  4337 16253  6.1  5.1  0.47  0.12  -9.92 -15.48 -12.76 -12.41  68   962     0  9.0
  4  3072 J8   517  3394 J8  1190  1569 J8    96  7406 20408  7.1  6.0  0.62  0.13  -5.65 -10.00  -7.72  -7.36  77   785     0  8.3
  5  3327 J8   539  2607 J8  1025  1958 J8   102 10095 24383  8.1  7.5  0.98  0.14   0.92  -2.07  -0.57  -0.41  82   586     0  6.4
  6  4296 J8   752  3825 J8  1516  2195 J8   159 11410 26988  7.3  6.7  1.49  0.13   5.84   2.14   3.87   4.00  82   430     0  5.6
  7  3639 J8   446  2954 J8   786  2069 J8   130 10659 25416  8.0  7.5  1.99  0.11   9.48   6.22   7.78   7.92  80   325     0  5.9
  8  2654 J8   274  2275 J8   652  1596 J8    84  8254 21445  8.2  7.8  1.88  0.09   9.44   6.13   7.89   8.07  81   327     0  6.6
  9  1848 J8   208  2184 J8   742  1082 J8    64  5263 17389  7.8  7.2  1.30  0.06   6.52   3.99   5.24   5.48  78   392     0  7.5
 10   825 J8   105  1190 J8   455   558 J8    28  2550 13253  8.3  7.7  0.82  0.05   1.49  -0.83   0.38   0.53  72   558     0  8.3
 11   226 J8    37   556 J8   347   169 J8     7   817  9017  8.4  7.6  0.62  0.04  -3.36  -6.71  -4.98  -4.93  73   701     0 10.1
 12    59 J8     7   374 J8   183    44 J8     3   242  6193  7.1  6.3  0.48  0.05  -9.31 -13.73 -11.72 -11.71  71   925     0 10.5
 13  1885 J8   142  2036 J8   381  1053 J8    35  5287 16723  7.4  6.7  0.96  0.09  -1.42  -5.30  -3.38  -3.21  76  7903     0  8.2
 1991
  1   143 J8    75   465 J8   414   111 J8    56   534  7883  6.2  5.5  0.52  0.06  -9.01 -15.80 -12.47 -12.44  70   953     0  9.0
  2   701 J8   410  1805 J8  1527   356 J8   126  1851 11978  5.5  4.8  0.47  0.08 -12.77 -18.83 -16.07 -16.09  62   956     0  9.2
  3  1842 J8   939  2887 J8  2239   887 J8   292  4293 16189  6.4  5.1  0.49  0.10  -9.08 -16.40 -13.10 -12.86  73   963     0  9.7
  4  2609 J8  1065  2311 J8  1958  1615 J8   431  7360 20347  8.3  7.1  0.57  0.12  -5.17  -8.54  -6.88  -6.63  80   756     0  8.9
  5  2383 J8  1240   878 J8  1669  1904 J8   482 10063 24324  9.7  9.1  1.02  0.13   1.11  -1.42  -0.18  -0.03  83   573     0  6.7
  6  3582 J8  2044  2694 J8  3083  2132 J8   555 11405 26975  8.4  7.5  1.79  0.13   4.92   1.80   3.35   3.43  87   449     0  5.1
  7  4377 J8  2299  4658 J8  4331  1836 J8   426 10685 25466  6.9  6.4  1.85  0.11   9.29   6.21   7.72   7.85  87   328     0  5.6
  8  2971 J8  1420  2559 J8  2378  1647 J8   401  8298 21511  8.1  7.7  2.05  0.11   9.62   5.88   8.05   8.31  86   328     0  5.9
  9  1857 J8  1019  2111 J8  2270  1070 J8   256  5308 17451  7.4  6.8  1.59  0.12   6.47   4.53   5.50   5.55  80   385     0  8.7
