702070 UNALAKLEET FIELD       AK  -9  N63 53  W160 48     5  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   188 J8    25   957 J8   415   115 J8    12   527  7849  4.9  4.6  0.47  0.06 -11.90 -18.27 -14.87 -14.56  65  1036     0  6.4
  2   754 J8    76  1780 J8   549   433 J8    39  1855 11998  5.8  5.3  0.53  0.08  -8.03 -14.74 -11.26 -10.75  67   840     0  6.6
  3  2145 J7   264  3709 J8  1151   975 J7   121  4317 16247  4.9  4.4  0.49  0.09  -6.86 -14.71 -10.59  -9.78  63   903     0  5.5
  4  3667 J7   379  4316 J8  1092  1778 J7   158  7391 20423  5.8  5.4  0.67  0.11   0.26  -6.50  -2.93  -2.29  65   644     0  4.5
  5  4345 J7   540  4649 J8  1241  1967 J7   185 10089 24441  6.4  5.9  1.03  0.11   7.34   0.51   4.03   4.52  67   447     0  3.8
  6  4848 J7   660  4727 J8  1370  2298 J7   185 11411 27095  6.5  6.3  1.61  0.11  13.63   6.77  10.48  10.74  70   244     0  3.6
  7  4258 J7   404  3863 J8   930  2197 J7   169 10658 25453  7.2  7.0  2.00  0.09  15.59   9.70  12.92  13.26  72   177     0  4.1
  8  3139 J8   482  3169 J8  1341  1681 J8   157  8248 21477  7.3  7.1  1.84  0.07  13.86   7.91  11.12  11.72  74   231     0  4.3
  9  2075 J8   211  2902 J8   826  1060 J8    98  5251 17398  6.9  6.6  1.30  0.05   9.26   2.99   6.23   7.12  71   366     0  4.5
 10   960 J8   120  2145 J8   713   490 J8    46  2536 13242  6.5  6.2  0.80  0.04   0.76  -4.91  -2.02  -1.21  71   633     0  4.9
 11   308 J8    39  1244 J8   453   184 J8    18   804  8977  5.9  5.6  0.62  0.04  -7.15 -13.52 -10.24 -10.00  68   860     0  6.1
 12    68 J8     8   597 J8   231    45 J8     4   233  6119  6.0  5.7  0.52  0.04 -11.48 -17.89 -14.55 -14.39  67  1023     0  6.5
 13  2230 J8   115  2838 J8   417  1102 J8    74  5277 16726  6.2  5.8  0.99  0.07   1.27  -5.22  -1.81  -1.30  68  7403     2  5.1
 1991
  1   177 J7    93   792 J8   650   122 J7    63   521  7825  5.2  4.9  0.57  0.04  -9.59 -17.64 -13.54 -13.36  70   990     0  7.3
  2   761 J7   301  1835 J8  1407   449 J7   191  1833 11950  5.3  4.8  0.54  0.06  -8.83 -17.26 -12.98 -12.62  67   878     0  6.8
  3  1921 J7   843  2744 J8  2284  1027 J7   344  4274 16183  6.3  5.7  0.55  0.08  -6.07 -15.04 -10.65 -10.22  76   895     0  6.4
  4  4271 J7   875  5417 J7  1942  1856 J7   462  7345 20359  5.2  4.7  0.66  0.10  -0.47  -6.63  -3.30  -2.63  76   656     0  3.6
  5  4073 J7  1572  3888 J7  3270  2011 J7   380 10056 24385  7.3  6.9  0.94  0.10   8.34   1.85   5.19   5.67  77   410     0  4.5
  6  4943 J7  1919  5046 J8  3668  2296 J7   407 11406 27084  6.3  6.1  1.70  0.10  15.08   8.60  12.02  12.22  71   195     0  4.3
  7  4557 J7  1554  4259 J7  2767  2250 J7   332 10684 25499  6.8  6.6  1.79  0.09  15.54   9.02  12.72  13.04  75   188     0  4.2
  8  3599 J7  1129  3928 J8  2636  1747 J7   367  8291 21537  6.3  6.0  1.75  0.10  15.05   8.71  12.06  12.79  74   200     0  4.2
  9  2286 J7   972  3113 J8  2363  1097 J7   217  5296 17458  6.1  5.6  1.40  0.11  11.65   5.38   8.43   9.20  71   294     0  5.1
