702084 EMMONAK                AK  -9  N62 47  W164 30     4  1013
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   247 J8    26  1172 J8   319   140 J8    11   663  8417  4.2  3.7  0.50  0.07 -11.09 -18.00 -14.52 -14.03  74  1019     0  4.8
  2   838 J8   103  2004 J8   595   441 J8    35  2036 12246  5.2  4.8  0.56  0.09  -8.45 -15.55 -11.76 -11.03  78   857     0  5.4
  3  2308 J8   303  3972 J8  1200   991 J8   111  4499 16266  4.3  3.7  0.52  0.11  -6.89 -14.69 -10.48  -9.35  75   903     0  5.3
  4  3561 J8   371  4109 J8  1054  1696 J8   189  7523 20219  6.0  5.3  0.68  0.13  -1.66  -9.88  -5.55  -4.57  76   723     0  5.1
  5  4483 J8   504  4554 J8  1191  2067 J8   196 10140 23931  6.3  5.7  1.04  0.14   5.63  -0.62   2.57   3.07  78   490     0  4.1
  6  5261 J8   633  5178 J8  1293  2406 J8   194 11404 26221  6.1  5.4  1.57  0.13  13.26   6.16   9.82  10.34  76   259     0  4.0
  7  4222 J8   375  3652 J8   752  2282 J8   182 10682 24809  7.4  6.7  1.99  0.11  14.74   9.11  11.98  12.38  81   199     1  4.0
  8  2986 J8   428  2644 J8  1033  1772 J8   128  8352 21190  7.8  7.2  1.90  0.09  13.60   7.92  10.75  11.42  81   235     0  4.0
  9  2126 J8   355  2882 J8  1049  1108 J8    74  5417 17343  6.7  6.2  1.38  0.06   9.06   4.18   6.66   7.46  82   351     0  4.4
 10  1031 J8   160  2043 J8   856   554 J8    48  2718 13403  6.9  6.4  0.85  0.05   2.11  -2.33  -0.06   0.68  82   572     0  4.2
 11   357 J8    51  1203 J8   571   222 J8    23   955  9427  6.3  5.9  0.65  0.04  -3.53  -8.93  -6.05  -5.56  83   737     0  4.8
 12   111 J8    14   805 J8   323    69 J8     4   343  6877  5.2  4.8  0.54  0.05  -8.65 -15.42 -12.33 -11.77  80   941     0  4.7
 13  2294 J8   127  2851 J8   435  1146 J8    64  5394 16696  6.0  5.5  1.02  0.09   1.51  -4.84  -1.58  -0.91  79  7286     1  4.6
 1991
  1   217 J8   127   860 J8   973   141 J8    60   657  8394  5.6  5.1  0.63  0.06 -10.34 -17.15 -13.60 -13.29  84   994     0  5.8
  2   792 J8   439  1776 J8  1696   441 J8   205  2013 12203  5.4  5.0  0.56  0.08  -8.42 -16.11 -12.18 -11.37  76   857     0  4.6
  3  1630 J8   948  1871 J8  2236  1004 J8   365  4456 16205  7.3  6.8  0.60  0.10  -7.12 -15.26 -11.04 -10.06  88   915     0  5.9
  4  3626 J8  1281  4124 J8  2885  1755 J8   518  7478 20160  6.3  5.3  0.67  0.12   0.86  -8.79  -3.78  -2.50  87   669     0  4.5
  5  4718 J8  1505  4437 J8  3086  2319 J8   501 10108 23880  7.1  5.7  0.93  0.13   8.22   0.54   4.38   5.01  81   432     0  3.8
  6  4367 J8  1864  3489 J8  3435  2518 J8   559 11399 26211  7.5  6.7  1.73  0.12  15.38   7.12  11.64  12.30  81   212     0  4.5
  7  5005 J8  1753  5073 J8  3274  2231 J8   493 10707 24854  6.5  5.6  1.78  0.11  16.73   9.29  13.11  13.66  84   165     0  4.4
  8  3500 J8  1058  3295 J8  2735  1953 J8   560  8394 21251  7.3  6.3  1.88  0.11  14.42   7.57  10.99  11.85  87   227     0  3.7
  9  2838 J8  1019  4572 J8  2615  1082 J8   266  5461 17402  3.8  3.1  1.55  0.12   9.89   4.65   7.27   8.16  83   332     0  6.3
 10   887 J8   426   905 J8   947   651 J8   245  2753 13460  8.0  6.9  1.04  0.13   3.92  -0.18   1.78   2.53  95   510     0  5.8
 11   361 J8   193   725 J8   809   260 J8   111   972  9480  5.1  4.7  0.76  0.15  -4.61  -9.54  -7.05  -6.60  84   762     0  5.1
 12    81 J8    28   157 J8   249    71 J8    16   345  6887  5.4  5.2  0.47  0.17 -12.76 -18.31 -15.51 -15.25  85  1050     0  4.7
 13  2335 J8  1874  2607 J8  1747  1202 J8   911  5395 16699  6.3  5.5  1.05  0.12   2.18  -4.68  -1.17  -0.46  85  7126     0  4.9
 1992
  1   218 J8   110   529 J8   405   163 J8    69   651  8370  1.6  1.4  0.54  0.21 -13.60 -20.15 -16.89 -16.45  78  1091     0  4.1
  2   764 J8   407  1153 J8  1303   512 J8   202  2033 12233  4.7  4.3  0.52  0.25 -13.58 -20.31 -16.59 -15.67  84  1023     0  4.3
  3  1869 J8   742  1587 J8  1543  1315 J8   450  4528 16302  6.2  5.3  0.42  0.29  -8.54 -18.41 -13.26 -11.74  85   986     0  4.4
  4  3599 J8  1365  2915 J8  2347  2137 J8   573  7551 20254  5.8  4.8  0.65  0.32  -2.13 -11.00  -6.24  -5.29  80   747     0  4.9
  5  3899 J8  1609  2424 J8  2339  2520 J8   719 10159 23961  7.6  6.8  0.92  0.30   1.37  -5.51  -1.88  -1.31  90   632     0  3.9
  6  5081 J8  1346  3513 J8  2617  3045 J8   555 11406 26225  6.1  5.6  1.38  0.28  14.11   5.43  10.00  10.64  82   257     0  4.1
  7  4306 J8  1744  3104 J8  3291  2549 J8   547 10667 24782  6.9  6.5  1.91  0.24  12.89   7.18  10.25  10.64  81   257     0  3.6
  8  2867 J8  1192  1825 J8  2029  1957 J8   531  8325 21153  7.9  7.3  1.78  0.20  12.91   8.10  10.39  10.91  85   243     0  4.1
  9  1927 J8   779  2187 J8  2534  1153 J8   327  5388 17308  5.9  5.5  1.02  0.16   8.60   3.68   6.20   6.99  81   366     0  5.0
 10   892 J8   479  1218 J8  1606   582 J8   232  2695 13364  7.4  6.9  0.93  0.13   0.35  -4.43  -1.88  -1.19  78   631     0  4.3
 11   311 J8   133   501 J9   610   245 J8    78   943  9388  7.5  6.8  0.60  0.12  -6.89 -13.00  -9.55  -8.80  80   848     0  5.8
 12    93 J8    31   268 J9   342    77 J8    17   342  6867  5.5  5.2  0.49  0.11 -16.51 -24.02 -20.66 -19.78  65  1196     0  4.7
 13  2152 J8  1755  1769 J8  1081  1355 J8  1055  5391 16684  6.1  5.5  0.93  0.22  -0.92  -7.70  -4.18  -3.42  81  8278     0  4.4
 1993
  1   251 J8   138   931 J8   715   155 J8    62   671  8451  2.7  2.6  0.44  0.12 -18.87 -25.90 -22.60 -22.06  73  1262     0  4.1
  2   740 J8   396  1038 J8  1294   512 J8   158  2048 12274  6.7  6.0  0.65  0.14  -5.24 -11.72  -8.15  -7.45  80   751     0  4.1
  3  2609 J8   520  4822 J8  1743  1009 J8   443  4506 16277  1.9  1.5  0.61  0.15  -4.70 -10.48  -7.15  -6.30  69   804     0  6.3
  4  3388 J8  1334  3075 J8  2715  1944 J8   447  7531 20232  7.1  6.3  0.72  0.17  -0.05  -8.26  -3.80  -2.69  78   675     0  2.4
  5  3919 J8  1696  2891 J8  2917  2329 J8   479 10146 23939  8.0  7.0  1.19  0.17   8.44   0.80   4.83   5.49  83   425     0  2.5
  6  5317 J8  1823  4861 J8  3627  2555 J8   482 11406 26227  6.9  5.7  1.44  0.16  14.32   5.90  10.47  11.11  78   246     0  2.6
  7  3870 J8  1872  3139 J8  3469  2208 J8   509 10679 24801  7.4  6.9  2.10  0.13  17.05  10.58  13.97  14.49  81   150    10  2.5
  8  2547 J8   948  1626 J8  1968  1806 J8   341  8345 21180  8.6  8.1  1.87  0.11  13.79   6.65  10.51  11.45  86   251     0  2.8
  9  1562 J8   755  1230 J8  1770  1138 J8   344  5409 17332  8.5  7.9  1.15  0.08   7.10   2.28   4.86   5.60  85   409     0  3.4
 10   671 J8   367   560 J8   992   541 J8   199  2712 13391  8.4  8.2  0.95  0.06   2.43  -1.42   0.55   1.26  86   553     0  2.9
 11   268 J8   135   627 J8  1006   201 J8    81   952  9418  7.4  7.1  0.70  0.05  -3.80  -9.60  -6.50  -5.95  84   751     0  3.9
 12    94 J8    35   387 J8   492    73 J8    20   343  6873  7.0  6.4  0.58  0.05  -7.61 -15.99 -12.81 -11.84  77   934     0  3.1
 13  2103 J8  1755  2099 J8  1613  1206 J8   922  5396 16699  6.7  6.1  1.03  0.12   1.91  -4.76  -1.32  -0.57  80  7211    10  3.4
 1994
  1   239 J8   143   943 J8   850   142 J8    58   665  8424  4.2  3.8  0.57  0.07 -12.63 -18.25 -15.27 -14.74  69  1047     0  3.2
  2   768 J8   389  1671 J8  1409   432 J8   125  2032 12243  6.2  5.6  0.56  0.09 -10.25 -16.86 -13.31 -12.74  77   893     0  5.2
  3  2034 J8   920  2830 J8  2573  1076 J8   320  4483 16243  6.0  5.0  0.45  0.11  -9.89 -18.14 -13.89 -12.56  74  1003     0  4.5
  4  3833 J8  1696  4871 J8  3774  1553 J8   581  7506 20200  5.8  4.8  0.60  0.13  -5.60 -15.41 -10.29  -9.06  74   865     0  6.2
  5  3923 J8  1939  3423 J8  3172  2006 J8   494 10128 23914  7.6  6.8  1.07  0.14   4.28  -0.96   1.73   2.15  74   517     0  4.2
  6  5093 J8  1751  5092 J8  3397  2333 J8   592 11403 26219  6.1  5.6  1.40  0.13  12.25   5.75   9.01   9.42  77   280     0  4.1
  7  4043 J8  2235  4104 J8  4294  1830 J8   491 10692 24829  6.9  6.5  1.93  0.11  15.45   9.71  12.52  12.91  81   178     0  4.6
  8  2818 J8  1510  2431 J8  2751  1643 J8   567  8368 21212  7.9  7.3  2.02  0.08  14.06   6.87  10.51  11.45  77   244     1  4.2
  9  1889 J8   873  2559 J8  3001  1034 J8   330  5434 17365  6.8  6.2  1.28  0.06   8.07   2.89   5.54   6.51  79   385     0  4.1
 10  1020 J8   517  1598 J8  1575   618 J8   217  2731 13426  7.9  7.1  0.67  0.04   0.06  -4.55  -2.16  -1.48  78   638     0  3.8
 11   277 J8   124   473 J8   819   230 J8   111   961  9450  8.0  7.8  0.53  0.04  -5.81 -10.92  -8.36  -8.15  79   801     0  5.5
 12   105 J8    43   754 J8   702    66 J8    17   344  6881  4.7  4.5  0.49  0.04 -14.00 -19.96 -16.87 -16.40  87  1095     0  4.8
 13  2170 J8  1739  2562 J8  1564  1080 J8   786  5395 16700  6.5  5.9  0.96  0.09  -0.33  -6.65  -3.40  -2.73  77  7946     1  4.5
 1995
  1   245 J8   124   994 J8   841   155 J8    69   658  8399  5.5  4.6  0.54  0.06 -12.81 -19.09 -15.84 -15.62  78  1063     0  5.8
  2   887 J8   467  2163 J8  1977   437 J8   168  2015 12206  4.6  4.2  0.59  0.08 -10.43 -17.57 -13.74 -12.74  80   905     0  6.0
