702185 MEKORYUK               AK  -9  N60 22  W166 16    15  1011
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   376 J8    44  1129 J8   469   238 J8    20   989  9438  6.0  5.2  0.58  0.07  -7.48 -13.91 -10.50 -10.36  79   900     0  6.9
  2   931 J8   148  1452 J8   699   604 J8    46  2437 12721  7.1  6.2  0.62  0.10  -5.57 -11.72  -8.49  -8.20  80   762     0  7.2
  3  2324 J8   292  2985 J8  1005  1247 J8    98  4892 16301  6.1  5.5  0.58  0.12  -5.09 -11.13  -7.83  -7.31  79   820     0  6.4
  4  3375 J8   413  3139 J8  1088  1872 J8   165  7806 19826  7.2  6.4  0.73  0.14  -1.34  -6.26  -3.53  -3.05  80   664     0  6.2
  5  3764 J8   524  2992 J8  1082  2122 J8   135 10259 23006  7.8  7.1  1.06  0.15   3.86  -0.75   1.61   2.05  83   520     0  5.2
  6  4550 J8   702  3700 J8  1336  2400 J8   176 11414 24804  7.6  6.7  1.57  0.14   9.46   3.13   6.45   6.90  82   361     0  5.0
  7  3831 J8   310  2591 J8   676  2351 J8   137 10751 23691  8.5  7.7  2.02  0.12  12.01   6.60   9.41   9.88  84   280     0  4.7
  8  2725 J8   381  1871 J8   783  1797 J8   104  8580 20648  8.7  8.2  2.03  0.09  12.36   7.81  10.16  10.67  84   255     0  5.7
  9  2139 J8   213  2135 J8   561  1305 J8    65  5777 17238  8.1  7.2  1.49  0.07   9.48   4.83   7.36   8.05  79   335     0  6.3
 10  1157 J8   118  1907 J8   498   662 J8    41  3121 13717  7.5  6.6  0.92  0.05   3.41  -0.92   1.42   2.01  74   530     0  6.7
 11   500 J8    48  1215 J8   414   325 J8    16  1304 10261  6.9  6.2  0.72  0.05  -1.60  -7.11  -3.93  -3.54  78   680     0  7.3
 12   211 J8    31   843 J8   416   139 J8     9   625  8183  6.6  5.9  0.61  0.05  -6.39 -12.00  -9.01  -8.91  78   853     0  7.2
 13  2157 J8   152  2163 J8   453  1255 J8    54  5663 16653  7.3  6.6  1.08  0.10   1.93  -3.45  -0.57  -0.15  80  6960     0  6.2
 1991
  1   354 J8   171   733 J8   852   264 J8   117   983  9418  6.8  5.8  0.76  0.06  -6.17 -14.66 -10.31 -10.18  83   891     0  7.6
  2   929 J8   448  1423 J8  1546   603 J8   193  2414 12680  6.8  5.9  0.64  0.08  -9.37 -16.13 -12.76 -12.57  82   870     0  6.0
  3  2202 J8   952  2535 J8  2279  1296 J8   431  4850 16250  7.1  6.2  0.70  0.11  -1.94  -8.68  -5.08  -4.50  87   733     0  5.6
  4  3261 J8  1401  2928 J8  3069  1887 J8   683  7763 19767  7.8  6.8  0.67  0.13  -2.27  -7.67  -4.73  -4.20  90   699     0  4.6
  5  4343 J8  1659  3641 J8  3094  2298 J8   496 10229 22965  7.7  6.5  1.06  0.14   5.48  -0.50   2.54   3.12  89   491     0  4.9
  6  4583 J8  1719  3273 J8  2714  2610 J8   525 11410 24798  9.0  7.1  1.68  0.13  10.31   1.89   6.49   7.08  90   367     0  5.2
  7  3686 J8  1470  1882 J8  1904  2583 J8   584 10774 23726  9.1  8.2  1.90  0.12  11.86   6.58   9.44   9.88  87   282     0  5.3
  8  2899 J8  1292  1803 J8  2055  1994 J8   589  8619 20699  8.8  8.0  2.16  0.12  14.08   8.93  11.53  12.06  91   212     0  3.9
  9  2198 J8  1010  1907 J8  1750  1382 J8   369  5820 17290  8.1  7.0  1.76  0.12  10.46   6.01   8.38   8.79  93   303     0  5.3
 10   976 J8   501  1150 J8  1274   649 J8   200  3156 13772  7.9  6.9  1.32  0.13   5.63   1.09   3.34   3.75  89   464     0  7.5
 11   493 J8   217   843 J8   794   355 J8   116  1323 10307  5.0  4.1  0.93  0.15  -3.31  -8.51  -5.51  -5.08  88   727     0  6.2
 12   169 J8    59   172 J9   294   152 J8    45   627  8188  8.0  7.3  0.69  0.18 -10.37 -15.51 -12.71 -12.56  79   969     0  7.8
 13  2174 J8  1585  1857 J8  1071  1339 J8   923  5664 16655  7.7  6.7  1.19  0.12   2.03  -3.93  -0.78  -0.37  87  7009     0  5.8
 1992
  1   315 J8   137   319 J8   386   270 J8   100   976  9398  6.5  5.8  0.62  0.22  -6.83 -13.03  -9.86  -9.68  84   876     0  4.9
  2   817 J8   327   509 J8   595   692 J8   223  2434 12711  7.8  6.6  0.60  0.26  -7.02 -14.02 -10.46 -10.14  80   837     0  7.4
  3  2167 J8   803  1906 J8  1782  1445 J8   372  4920 16335  5.9  5.4  0.47  0.30  -8.48 -16.40 -12.21 -11.77  81   954     0  4.1
  4  3113 J8  1271  1566 J8  1535  2298 J8   715  7832 19857  8.3  7.2  0.74  0.32  -2.57  -7.73  -4.74  -4.25  94   704     0  4.3
  5  2979 J8  1369  1304 J8  1565  2220 J8   677 10276 23029  8.8  8.4  1.00  0.31  -0.93  -4.20  -2.38  -2.16  93   648     0  5.8
  6  4673 J8  1506  2997 J8  2126  2859 J8   527 11416 24807  7.2  6.4  1.54  0.28  10.38   2.38   6.28   6.82  88   358     0  4.6
  7  3831 J8  1659  2123 J8  2380  2544 J8   683 10737 23669  8.7  7.6  2.00  0.24  10.78   5.86   8.45   8.82  95   310     0  3.8
  8  2558 J8  1243  1407 J8  1775  1849 J8   469  8555 20620  8.9  8.2  1.83  0.20  11.04   6.66   9.00   9.45  93   294     0  6.1
  9  1895 J8   711  1627 J8  1774  1251 J8   277  5749 17207  8.2  7.4  1.37  0.16   5.93   2.16   4.22   4.67  82   428     0  6.7
 10  1104 J8   372  1518 J8  1363   709 J8   254  3099 13684  6.5  5.7  1.10  0.13   1.47  -2.28  -0.20   0.18  68   581     0  7.1
 11   475 J8   260   912 J8  1025   321 J8   117  1292 10229  7.0  5.9  0.76  0.12  -4.07 -10.25  -6.70  -6.07  73   765     0  6.8
 12   162 J8    64   167 J8   273   146 J8    50   623  8178  8.5  7.6  0.70  0.11  -6.29 -12.58  -9.36  -9.12  67   861     0  6.7
 13  2007 J8  1471  1363 J8   806  1384 J8   960  5659 16644  7.7  6.8  1.06  0.22   0.29  -5.28  -2.33  -1.94  83  7616     0  5.7
 1993
  1   329 J8   155   489 J8   643   264 J8    97   998  9470  7.4  5.9  0.54  0.13  -5.67 -11.29  -8.43  -8.38  73   831     0  8.6
  2   801 J8   295   788 J8   950   635 J8   234  2450 12745  8.7  7.2  0.69  0.14  -3.96  -9.93  -6.58  -6.19  75   708     0  7.5
  3  1790 J8   803  1389 J8  1421  1270 J8   371  4900 16311  8.3  7.4  0.73  0.16  -4.77  -9.66  -6.88  -6.34  73   792     0  5.9
