702186 HOOPER BAY             AK  -9  N61 31  W166  9     6  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   308 J8    39  1039 J8   439   197 J8    20   830  8984  5.8  5.1  0.53  0.07  -9.49 -16.31 -13.09 -13.11  73   968     0  7.0
  2   934 J8   136  1800 J8   841   549 J8    54  2245 12506  6.3  5.4  0.58  0.09  -7.80 -13.79 -10.72 -10.48  77   822     0  8.2
  3  2231 J8   373  3202 J8  1532  1138 J8   158  4706 16285  5.7  5.1  0.54  0.12  -6.76 -13.19  -9.71  -9.15  76   877     0  7.2
  4  3313 J8   349  3300 J8   923  1781 J8   135  7672 20005  6.8  6.1  0.70  0.14  -1.78  -7.10  -4.16  -3.69  79   683     0  6.6
  5  4111 J8   488  3808 J8  1072  2029 J8   203 10201 23419  7.0  6.3  1.06  0.14   4.38  -0.08   2.20   2.54  81   501     0  5.8
  6  4607 J8   688  3957 J8  1383  2353 J8   156 11406 25418  7.4  6.5  1.59  0.14  10.45   5.38   7.83   8.12  78   313     0  5.7
  7  4032 J8   562  3124 J8  1067  2318 J8   121 10716 24183  7.9  7.2  2.05  0.11  12.70   8.63  10.61  10.85  81   238     0  5.4
  8  2992 J8   409  2581 J8   937  1752 J8    88  8471 20893  7.9  7.4  1.99  0.09  12.58   9.06  10.81  11.12  82   233     1  6.3
  9  2154 J8   303  2554 J8   936  1190 J8    90  5606 17285  7.6  6.8  1.45  0.07   9.10   5.03   7.13   7.71  79   338     0  6.3
 10  1109 J8   139  2074 J8   698   599 J8    40  2929 13573  7.1  6.3  0.88  0.05   2.04  -2.21   0.13   0.64  77   571     0  6.1
 11   445 J8    43  1223 J8   498   285 J8    26  1135  9887  6.9  6.0  0.68  0.04  -3.31  -8.48  -5.77  -5.63  76   727     0  7.0
 12   156 J8    20   700 J8   338   107 J8     9   485  7609  6.6  6.0  0.57  0.05  -7.73 -13.77 -10.61 -10.52  76   901     0  7.2
 13  2199 J8   180  2447 J8   569  1192 J8    60  5534 16671  6.9  6.2  1.05  0.09   1.20  -3.90  -1.28  -0.97  78  7173     1  6.6
 1991
  1   268 J7   130   782 J7   865   195 J7    94   824  8963  7.1  6.3  0.62  0.06 -11.29 -18.44 -15.20 -15.46  69  1029     0  5.9
  2   870 J8   388  1121 J8  1221   621 J8   190  2223 12461  7.5  6.3  0.57  0.08 -10.30 -18.28 -14.57 -14.24  66   913     0  9.1
  3  1859 J8   854  1440 J8  1682  1324 J8   426  4664 16226  8.6  8.0  0.63  0.11 -11.07 -17.37 -14.09 -13.58  68  1009     0  7.9
  4  3059 J8  1318  2713 J8  2364  1788 J8   385  7628 19946  7.5  7.0  0.64  0.12  -1.25  -5.55  -3.16  -2.81  82   652     0  5.6
  5  5000 J8  1668  5137 J8  3022  2127 J8   417 10171 23371  6.0  5.1  1.08  0.13   4.73   0.97   2.92   3.20  81   480     0  4.6
  6  5026 J8  1797  4658 J8  3723  2420 J8   653 11402 25410  7.0  6.0  1.85  0.13   9.64   4.56   7.11   7.41  77   337     0  5.8
  7  4972 J8  1879  4950 J8  4239  2230 J8   689 10740 24222  6.4  5.7  2.02  0.11  12.27   7.84  10.01  10.28  79   257     0  5.9
  8  3161 J8  1403  2773 J8  2701  1737 J8   409  8512 20946  7.6  7.2  2.14  0.12  11.22   8.24   9.69   9.92  82   267     0  8.1
  9  2066 J8   906  1972 J8  1735  1282 J8   311  5650 17341  8.0  7.1  1.79  0.12  10.65   7.09   8.93   9.40  82   284     0  6.3
 10   994 J8   381  1438 J8  1421   631 J8   229  2964 13629  6.4  5.7  1.33  0.13   2.08  -2.44   0.11   0.62  77   574     0  6.6
 11   436 J8   209   723 J8   676   326 J8   130  1153  9936  6.3  5.3  0.89  0.15  -3.67  -8.38  -5.83  -5.66  77   731     0  6.9
 12   135 J8    31   215 J8   239   119 J8    25   487  7619  6.7  5.9  0.53  0.18 -10.41 -17.15 -13.62 -13.69  77   995     0  7.3
 13  2321 J8  1894  2327 J8  1736  1233 J8   834  5535 16673  7.1  6.3  1.17  0.12   0.22  -4.91  -2.31  -2.05  76  7527     0  6.7
 1992
  1   271 J8   124   252 J8   301   238 J8    96   817  8939  6.6  5.8  0.55  0.22  -8.93 -14.94 -12.26 -12.23  83   938     0  7.1
  2   825 J8   386   754 J8   976   644 J8   229  2243 12494  6.4  5.8  0.52  0.26 -11.02 -17.24 -13.99 -13.85  77   941     0  7.5
  3  1836 J8   689  1414 J8  1403  1332 J8   437  4734 16319  6.7  6.0  0.42  0.29  -7.12 -15.25 -11.02 -10.32  83   915     0  5.9
  4  3073 J8  1192  1885 J8  1837  2143 J8   556  7700 20037  7.4  6.7  0.68  0.32  -2.07  -6.78  -4.31  -4.09  84   683     0  5.8
  5  3812 J8  1623  2380 J8  2226  2420 J8   697 10220 23446  8.0  7.0  0.94  0.31  -0.83  -4.23  -2.32  -2.13  85   647     0  5.8
  6  4437 J8  1613  2996 J8  2292  2674 J8   523 11408 25424  7.7  6.8  1.65  0.28  10.94   4.63   7.70   8.06  79   316     0  5.1
  7  3548 J8  1404  1802 J8  2115  2508 J8   650 10701 24160  8.5  8.0  2.11  0.24  13.01   8.66  10.69  10.93  84   232     0  4.4
  8  2498 J8  1204  1480 J8  2126  1770 J8   489  8446 20862  8.4  8.0  1.97  0.20  11.22   8.17   9.71   9.92  85   268     0  6.6
  9  1934 J8   710  1784 J8  1650  1249 J8   346  5578 17253  6.9  6.3  1.24  0.16   5.21   1.09   3.39   3.87  76   455     0  6.3
 10   974 J8   343  1674 J8  1620   588 J8   207  2906 13538  5.8  4.9  1.14  0.13   0.31  -3.18  -1.42  -1.01  76   613     0  6.4
 11   391 J8   220   728 J8   965   278 J8    96  1123  9854  6.7  5.9  0.71  0.12  -5.90 -11.26  -8.19  -7.51  78   807     0  6.8
 12   131 J8    50   271 J8   298   110 J8    37   483  7603  7.3  6.6  0.56  0.11  -9.06 -16.49 -12.27 -11.61  77   964     0  6.7
 13  1977 J8  1494  1452 J8   829  1330 J8   956  5530 16661  7.2  6.5  1.04  0.22  -0.35  -5.57  -2.86  -2.50  80  7780     0  6.2
 1993
  1   278 J8   151   545 J8   723   211 J8    79   839  9014  7.3  6.6  0.49  0.12  -6.29 -13.25  -9.95 -10.00  79   871     0  7.5
  2   772 J8   350   702 J8   739   615 J8   223  2258 12535  8.7  7.1  0.64  0.14  -4.79 -10.84  -7.65  -7.56  81   732     0  8.5
  3  2146 J8   831  2071 J8  1660  1397 J8   396  4714 16297  7.3  5.8  0.65  0.16  -5.47 -11.60  -8.10  -7.32  83   833     0  6.6
  4  3174 J8  1359  2668 J8  2459  1925 J8   498  7680 20016  7.4  6.5  0.76  0.17  -0.32  -4.19  -2.13  -1.71  83   618     0  5.9
