702190 BETHEL AIRPORT         AK  -9  N60 47  W161 50    38  1008
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   348 J7    34   910 J8   308   243 J7    17   930  9279  6.2  5.3  0.58  0.06 -11.64 -17.60 -14.51 -14.15  79  1021     0  6.3
  2   979 J7    98  1524 J7   593   647 J7    55  2367 12643  6.7  5.7  0.63  0.08  -7.28 -14.23 -10.59  -9.83  80   822     0  5.9
  3  2364 J7   273  3111 J7  1035  1269 J7   120  4824 16294  5.9  5.0  0.57  0.11  -6.10 -13.88  -9.89  -8.86  77   878     0  5.8
  4  3766 J7   373  3274 J7   846  2240 J7   141  7756 19888  7.0  5.9  0.77  0.12   1.86  -6.04  -2.04  -1.05  79   613     0  5.3
  5  4586 J7   447  3494 J7  1028  2705 J7   158 10237 23149  7.5  6.4  1.12  0.13  10.39   1.11   5.82   6.78  72   390     0  4.8
  6  4796 J7   361  3569 J7   697  2796 J7   168 11410 25016  8.0  6.7  1.66  0.12  15.96   7.00  11.62  12.26  73   206     1  4.4
  7  4030 J7   349  2586 J7   646  2613 J7   103 10739 23863  8.5  7.5  2.07  0.10  17.14   9.54  13.28  13.89  79   156     1  4.3
  8  2836 J7   375  1809 J7   704  1969 J7    81  8542 20736  8.7  8.0  2.01  0.08  15.28   8.61  11.85  12.66  84   199     1  4.7
  9  2060 J7   193  1881 J7   571  1363 J7    64  5716 17256  8.1  7.3  1.47  0.06  11.07   4.24   7.52   8.67  84   320     0  4.7
 10  1109 J7   113  1656 J7   487   686 J7    43  3053 13668  7.5  6.6  0.91  0.04   2.20  -3.76  -0.79   0.27  84   592     0  5.0
 11   484 J7    54  1047 J8   429   338 J7    20  1243 10131  7.0  6.2  0.71  0.04  -4.83 -10.90  -7.73  -7.20  84   786     0  5.4
 12   194 J7    23   641 J8   315   145 J7     9   573  7982  6.7  5.9  0.60  0.05  -9.65 -16.46 -12.94 -12.59  81   973     0  5.5
 13  2296 J7   108  2125 J7   271  1418 J7    39  5616 16659  7.3  6.4  1.09  0.08   2.87  -4.36  -0.70   0.07  80  6956     2  5.2
 1991
  1   340 I5   162  1080 I7  1164   218 I5    86   924  9260  6.0  5.0  0.68  0.05 -10.02 -15.83 -12.72 -12.09  78   969     0  8.1
  2   971 I5   467  1996 I6  2059   557 I5   241  2344 12603  6.0  5.3  0.62  0.07 -11.31 -17.45 -14.29 -13.61  76   916     0  6.6
  3  1785 I5   974  1792 I6  2468  1145 I5   371  4782 16239  7.7  7.1  0.76  0.09  -4.12 -12.05  -7.78  -6.98  87   819     0  6.4
  4  4352 I5  1018  4533 I6  3061  2221 I5   802  7713 19832  6.5  5.4  0.75  0.11   2.47  -4.86  -1.27  -0.32  79   586     0  5.0
  5  4764 I5  1623  4102 I6  3572  2583 I5   544 10207 23105  7.2  6.1  1.07  0.12  11.05   1.81   6.65   7.66  70   369     0  5.4
  6  4998 I5  1634  4070 I6  2761  2625 I5   395 11406 25009  8.0  6.5  1.72  0.11  16.28   7.41  11.86  12.52  72   195     1  5.3
  7  4677 I5  1562  3796 I6  2865  2545 I5   417 10762 23897  7.9  6.5  1.85  0.10  18.38   9.55  13.99  14.74  77   136     0  5.0
  8  3109 I5  1208  2367 I6  2691  1944 I5   382  8582 20792  7.9  7.1  1.87  0.11  16.01   7.90  12.03  13.11  81   198     0  4.0
  9  1864 I5   775  1175 I6  1264  1387 I5   297  5760 17310  8.7  7.7  1.61  0.11  13.40   5.70   9.46  10.80  82   263     0  5.3
 10   965 I5   483   945 I6  1194   697 I5   241  3087 13720  8.1  7.4  1.06  0.13   4.70  -0.49   2.01   3.03  83   503     0  6.1
 11   500 I5   222  1005 I6   983   341 I5   140  1261 10180  4.1  3.6  0.73  0.15  -7.33 -13.32 -10.29  -9.46  74   860     0  7.5
 12   154 I5    47   146 I7   262   142 I5    37   575  7989  7.9  7.0  0.56  0.17 -12.43 -20.95 -16.19 -15.62  84  1086     0  6.4
 13  2373 I5  1895  2251 I6  1503  1367 I5   979  5617 16661  7.2  6.2  1.11  0.11   3.09  -4.38  -0.55   0.32  79  6898     1  5.9
 1992
  1   324 I5   160   440 I7   710   259 I5    82   917  9239  5.5  4.5  0.54  0.21 -11.48 -18.30 -14.86 -14.62  82  1030     0  6.3
  2   885 I5   438   760 I6   936   692 I5   297  2364 12634  5.4  4.6  0.52  0.25 -14.64 -21.20 -17.66 -16.94  78  1051     0  5.8
  3  2183 I5   893  1938 I6  2072  1441 I5   401  4852 16328  6.1  5.1  0.53  0.28  -7.77 -16.49 -12.09 -11.15  82   944     0  5.6
  4  3937 I5  1490  2964 I6  2467  2425 I5   705  7783 19920  6.2  5.1  0.69  0.30   0.54  -7.41  -3.29  -2.34  80   653     0  5.0
  5  5075 I5  1944  4081 I6  3260  2714 I5   699 10255 23173  5.2  4.4  0.95  0.29   7.71  -3.05   2.38   3.39  73   496     0  5.9
  6  4734 I5  1184  2550 I6  1482  3250 I5   482 11412 25019  8.0  6.5  1.58  0.26  16.06   6.37  11.30  11.99  72   214     0  4.7
  7  3921 I5  1325  1964 I6  1805  2766 I5   403 10724 23839  8.3  7.2  2.04  0.23  18.30   9.54  13.93  14.70  79   137     0  3.4
  8  2446 I5  1107   937 I6  1471  1943 I5   462  8517 20705  9.5  9.0  1.96  0.19  14.42   9.04  11.61  12.19  84   205     0  4.9
  9  2011 I5   778  1745 I6  1723  1330 I5   295  5689 17226  7.6  6.7  1.08  0.15   6.21  -0.15   3.00   4.06  78   459     0  5.4
 10  1032 I5   435  1475 I6  1690   645 I5   175  3030 13633  6.5  5.6  0.79  0.13  -0.24  -5.76  -3.02  -2.05  78   661     0  6.7
 11   446 I5   259   836 I6  1054   311 I5   116  1230 10099  6.8  5.9  0.65  0.11  -4.80 -11.95  -8.30  -7.80  83   801     0  6.1
 12   156 I5    55   172 I7   234   142 I5    41   571  7976  7.6  6.7  0.65  0.11  -8.74 -16.91 -12.15 -11.62  83   966     0  5.7
 13  2263 I5  1773  1655 I6  1139  1493 I5  1104  5612 16649  6.9  5.9  1.00  0.21   1.30  -6.36  -2.43  -1.68  79  7616     0  5.4
 1993
  1   337 I5   188   665 I7   843   244 I5    93   939  9308  6.0  5.4  0.55  0.12 -13.27 -18.05 -15.46 -15.22  79  1054     0  8.1
  2   904 I5   306  1095 I6  1176   674 I5   241  2379 12668  7.0  6.3  0.73  0.13  -3.43 -10.61  -6.76  -5.96  81   710     0  6.3
  3  2168 I5   714  2168 I6  2194  1393 I5   492  4831 16304  7.2  6.4  0.68  0.14  -2.41  -9.21  -5.52  -4.65  80   748     0  6.0
  4  4036 I5  1243  3458 I6  2834  2342 I5   589  7764 19899  6.7  5.5  0.86  0.16   4.79  -1.63   1.40   2.19  81   502     0  4.8
  5  4713 I5  1503  3296 I6  2602  2847 I5   531 10243 23161  7.9  6.5  1.26  0.16  12.10   3.05   7.60   8.57  73   334     1  4.9
  6  4664 I5  1748  3328 I6  2886  2708 I5   328 11412 25019  8.2  7.0  1.45  0.15  15.83   7.75  11.80  12.36  71   196     0  4.8
  7  4296 I5  1590  3120 I6  3047  2551 I5   468 10735 23860  8.0  6.9  2.06  0.12  18.11  10.20  14.03  14.74  77   134     5  4.8
  8  2785 I5  1154  1787 I6  2258  1904 I5   384  8535 20724  8.8  8.1  2.15  0.10  15.43   9.09  12.17  12.98  85   188     0  5.8
  9  1684 I5   693  1136 I6  1837  1276 I5   332  5709 17247  8.8  8.2  1.52  0.07   9.60   4.23   6.94   7.71  86   342     0  6.4
 10   959 I5   450  1067 I6  1539   681 I5   178  3047 13661  8.5  7.6  1.00  0.06   3.91  -1.10   1.51   2.34  87   525     0  5.2
 11   401 I5   153   490 I6   793   335 I5   133  1240 10122  8.6  8.0  0.83  0.05  -1.48  -6.37  -3.73  -3.32  86   668     0  6.8
 12   182 I5    52   370 I7   418   153 I5    41   573  7978  8.0  7.2  0.70  0.05  -6.06 -11.33  -8.60  -8.49  83   838     0  6.3
 13  2261 I5  1777  1832 I6  1195  1426 I5  1016  5617 16662  7.8  6.9  1.15  0.11   4.43  -2.00   1.28   1.94  81  6240     6  5.8
 1994
  1   331 I5   129   674 I7   735   255 I5   101   932  9284  6.8  5.8  0.68  0.07 -10.80 -16.66 -13.61 -13.05  78   994     0  7.1
  2  1217 I5   539  2923 I6  2020   530 I5   171  2363 12638  3.8  3.1  0.50  0.09  -9.49 -14.23 -11.91 -11.27  73   845     0  7.9
  3  2321 I5   789  2880 I6  2413  1313 I5   452  4808 16273  5.7  4.7  0.55  0.10  -9.64 -17.53 -13.35 -12.28  77   989     0  6.7
  4  3410 I5  1351  2602 I6  2700  2196 I5   614  7740 19867  7.6  6.5  0.77  0.12   2.17  -5.36  -1.58  -0.70  82   598     0  5.4
  5  4276 I5  1374  2762 I6  2393  2758 I5   451 10226 23133  8.4  7.3  1.12  0.13  11.40   2.01   6.84   7.82  72   360     0  4.6
  6  4899 I5  1790  4026 I6  3167  2601 I5   494 11409 25015  7.7  6.2  1.63  0.12  15.61   6.93  11.37  11.98  74   212     0  4.9
  7  3604 I5  1471  1979 I6  2149  2502 I5   379 10748 23878  9.0  8.2  2.13  0.10  16.30   9.63  12.91  13.41  81   166     0  4.8
  8  2080 I5   880   647 I6  1204  1757 I5   364  8557 20755  9.6  9.4  2.13  0.08  13.45   8.95  11.10  11.55  87   221     0  6.8
  9  2096 I5   679  2061 I6  2193  1322 I5   361  5733 17275  7.9  7.0  1.42  0.05  10.75   4.04   7.20   8.34  81   328     0  5.1
 10  1172 I5   551  1726 I6  1810   708 I5   277  3066 13688  7.4  6.4  0.80  0.04   0.43  -5.37  -2.41  -1.41  77   645     0  6.0
 11   410 I5   140   891 I6  1188   309 I5   128  1250 10148  7.3  6.6  0.66  0.03  -4.33 -12.67  -8.56  -8.06  84   805     0  6.5
 12   184 I5    67   719 I7   873   129 I5    34   574  7986  6.5  6.0  0.57  0.04  -9.76 -17.41 -13.31 -13.22  77   989     0  6.3
 13  2167 I5  1591  1991 I6  1096  1365 I5   982  5617 16662  7.3  6.4  1.08  0.08   2.17  -4.81  -1.28  -0.58  79  7153     0  6.0
 1995
  1   324 I5   171   746 I7  1136   236 I5   108   925  9263  7.6  6.9  0.65  0.05  -8.94 -15.87 -12.08 -11.77  82   953     0  5.3
  2  1025 I5   484  2132 I6  2316   546 I5   211  2346 12611  5.6  5.0  0.71  0.07  -7.48 -13.83 -10.28  -9.42  77   812     0  6.2
  3  2625 I5   791  4510 I6  2567  1092 I5   442  4785 16242  3.9  3.1  0.54  0.09  -8.89 -16.27 -12.61 -11.82  72   958     0  6.2
  4  3382 I5   981  2463 I6  2260  2244 I5   447  7716 19840  7.5  6.7  0.89  0.11   2.94  -3.58  -0.36   0.44  84   559     0  5.4
  5  4339 I5  1064  2591 I6  1890  2902 I5   410 10209 23110  8.1  7.4  1.27  0.12  12.21   3.45   7.71   8.65  73   326     0  4.8
  6  5054 I5  1551  4187 I6  3281  2679 I5   581 11406 25009  7.6  6.3  1.55  0.11  15.20   6.85  11.16  11.76  74   219     0  4.0
  7  4208 I5  1467  2910 I6  2592  2557 I5   358 10760 23895  8.4  7.6  2.03  0.09  17.32   9.95  13.44  14.05  79   146     0  4.2
  8  2768 I5  1060  1570 I6  2371  2005 I5   419  8579 20789  9.0  8.5  1.95  0.07  14.40   9.26  11.70  12.37  87   201     0  4.4
  9  2233 I5   631  1889 I6  1843  1507 I5   326  5756 17305  8.4  7.6  1.72  0.05  13.51   6.46   9.73  10.99  84   250     0  4.7
 10  1241 I5   468  2116 I6  1945   713 I5   255  3085 13719  7.0  6.2  0.83  0.03   2.63  -3.41  -0.38   0.74  84   580     0  5.1
 11   618 I5   248  2298 I6  1618   303 I5   195  1260 10177  4.2  3.6  0.53  0.03  -8.07 -13.64 -10.71 -10.32  78   876     0  5.7
 12   211 I5    68   737 I7   884   150 I5    42   575  7990  6.8  5.8  0.71  0.03  -8.82 -14.53 -11.75 -11.36  79   930     0  6.3
 13  2336 I5  1671  2346 I6  1149  1411 I5  1033  5617 16662  7.0  6.2  1.11  0.07   3.00  -3.76  -0.37   0.36  79  6810     0  5.2
 1996
  1   353 I5   112   925 I7   940   260 I5   126   918  9241  6.2  5.3  0.55  0.05 -11.46 -16.27 -13.67 -13.27  76   998     0  5.9
  2   971 I5   285  1710 I6  1663   634 I5   260  2366 12639  6.0  5.4  0.53  0.07  -9.21 -17.08 -13.02 -12.20  77   913     0  6.1
  3  2550 I5   923  3554 I6  2630  1294 I5   539  4855 16331  5.4  4.6  0.65  0.09   0.75  -6.62  -2.89  -1.86  77   659     0  6.2
  4  4562 I5   821  4829 I6  2520  2286 I5   634  7786 19923  5.8  4.6  0.63  0.11   2.53  -6.23  -1.79  -0.58  68   605     0  5.3
  5  5321 I5  1687  5144 I6  3898  2535 I5   778 10257 23177  6.3  5.0  1.12  0.12  12.08   1.89   7.22   8.35  69   352     0  4.7
