702310 MCGRATH ARPT           AK  -9  N62 57  W155 36   105  1000
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   229 J7    21   751 J8   298   163 J7    10   641  8332  6.3  5.5  0.50  0.06 -17.17 -25.94 -21.43 -20.51  79  1236     0  1.3
  2   824 J7    97  1563 J7   592   514 J7    49  2007 12207  6.7  5.8  0.55  0.08 -10.18 -21.32 -15.50 -13.75  76   963     0  1.5
  3  2229 J7   237  3386 J7   991  1122 J7   118  4469 16260  5.7  4.6  0.51  0.09  -4.91 -18.61 -11.32  -9.08  64   933     0  2.2
  4  3987 J7   344  4287 J7   918  2069 J7   138  7500 20246  6.6  5.0  0.72  0.11   5.52  -6.19   0.11   1.62  61   560     0  2.5
  5  4955 J7   336  4579 J7   837  2552 J7   155 10130 24001  7.3  5.6  1.10  0.11  14.26   2.81   9.01  10.00  58   304     0  2.7
  6  5201 J7   359  4257 J7   822  2865 J7   152 11404 26344  7.8  6.2  1.70  0.11  19.86   8.70  14.67  15.25  64   125     3  2.4
  7  4561 J7   345  3486 J7   695  2693 J7   100 10679 24902  8.2  6.9  2.11  0.09  20.38  10.68  15.63  16.27  73    93     6  2.2
  8  3212 J7   305  2527 J7   708  2029 J7    82  8338 21235  8.3  7.4  1.92  0.07  17.21   8.04  12.61  13.68  79   178     2  2.1
  9  2261 J7   257  2373 J7   884  1399 J7   100  5394 17354  7.7  6.9  1.34  0.05  11.83   2.71   7.09   8.61  77   332     0  2.1
 10   930 J7   112  1433 J8   611   596 J7    44  2692 13382  7.8  7.1  0.83  0.04   0.26  -6.83  -3.21  -2.04  81   670     0  1.9
 11   339 J7    53   947 J8   499   231 J7    19   932  9365  7.0  6.2  0.61  0.04 -10.14 -17.92 -13.80 -12.77  80   971     0  1.4
 12   104 J7    12   527 J8   239    78 J7     6   326  6770  6.9  6.0  0.52  0.04 -16.06 -24.83 -20.24 -19.72  79  1202     0  0.9
 13  2403 J7    88  2510 J7   263  1359 J7    49  5376 16700  7.2  6.1  1.03  0.07   2.57  -7.39  -2.20  -1.04  73  7567    11  1.9
 1991
  1   222 I5   128   800 I7  1038   151 I5    59   636  8308  6.4  5.5  0.59  0.04 -15.06 -23.50 -19.01 -18.53  76  1166     0  2.9
  2   848 I5   409  1834 I6  1757   495 I5   210  1984 12165  6.2  5.0  0.58  0.06 -12.74 -23.23 -17.81 -16.47  70  1017     0  2.6
  3  1913 I5   987  2648 I6  2909  1049 I5   333  4426 16196  6.8  5.8  0.65  0.08  -3.66 -16.88  -9.81  -7.66  74   887     0  3.3
  4  4140 I5   982  5142 I6  3089  1911 I5   723  7456 20184  5.4  4.1  0.69  0.10   6.70  -7.20   0.34   2.13  59   557     0  2.9
  5  5273 I5  1222  5296 I6  2752  2491 I5   476 10098 23949  6.5  4.8  1.04  0.10  14.08   2.56   8.79   9.85  58   310     0  3.4
  6  5829 I5  1416  5893 I6  2919  2598 I5   367 11400 26334  7.0  4.8  1.74  0.10  21.20   8.94  15.71  16.39  59   113    15  3.3
  7  4742 I5  1346  3899 I6  2733  2645 I5   367 10705 24951  7.8  6.5  1.92  0.08  18.89   9.47  14.26  14.87  74   134     5  3.1
  8  3334 I5  1022  2873 I6  2587  1974 I5   430  8380 21293  7.7  6.9  1.81  0.10  16.58   7.22  11.67  12.81  78   199     0  2.9
  9  2354 I5   930  2238 I6  2112  1449 I5   290  5438 17413  8.0  6.9  1.50  0.11  13.99   4.74   9.21  10.73  77   269     0  2.9
 10   896 I5   445  1173 I6  1471   601 I5   200  2727 13440  7.4  6.6  0.90  0.12   1.19  -5.43  -1.99  -0.80  82   634     0  2.6
 11   370 I5   193   955 I7   889   241 I5    89   949  9422  4.4  3.6  0.61  0.14 -11.85 -20.37 -15.98 -14.57  74  1033     0  2.5
 12    86 I5    20   137 I7   220    79 I5    19   327  6780  6.6  5.4  0.49  0.17 -16.92 -26.59 -21.61 -20.93  77  1243     0  1.2
 13  2501 I5  2098  2741 I6  1928  1307 I5   995  5377 16703  6.7  5.5  1.04  0.10   2.70  -7.52  -2.19  -1.01  72  7562    21  2.8
 1992
  1   201 I5   104   247 I7   365   173 I5    75   629  8284  6.3  5.3  0.51  0.20 -15.18 -23.82 -19.31 -18.66  79  1173     0  1.9
  2   726 I5   329   858 I6  1019   543 I5   203  2004 12199  5.3  4.8  0.45  0.24 -14.97 -25.18 -20.03 -18.27  72  1114     0  2.4
  3  1941 I5   822  1723 I6  2056  1322 I5   325  4498 16298  6.5  5.5  0.56  0.27  -4.56 -17.52 -10.75  -8.77  70   910     0  2.6
  4  4027 I5  1124  3687 I6  2495  2285 I5   663  7529 20280  5.3  4.3  0.61  0.29   3.12  -8.52  -2.15  -0.78  60   631     0  3.2
  5  4889 I5  1595  4209 I6  3375  2610 I5   562 10150 24030  5.6  4.6  0.96  0.28   9.64  -0.99   4.88   5.69  57   434     0  3.9
  6  5274 I5  1215  3533 I6  2537  3216 I5   485 11407 26348  7.3  6.0  1.63  0.25  19.66   8.58  14.49  15.06  61   126     0  3.1
  7  4546 I5  1388  3125 I6  2858  2764 I5   514 10664 24874  7.9  6.8  2.26  0.22  20.82  10.98  15.88  16.54  77    81     5  2.6
  8  2744 I5   958  1155 I6  1260  2134 I5   473  8312 21199  9.2  8.4  1.97  0.18  16.58   8.91  12.63  13.41  81   173     0  2.7
  9  2046 I5   781  2064 I6  2204  1284 I5   356  5365 17320  7.0  6.5  0.97  0.15   4.52  -2.81   0.87   2.00  76   524     0  3.1
 10   921 I5   428  1583 I6  1759   555 I5   216  2669 13346  6.0  5.5  0.71  0.12  -3.05 -11.51  -7.04  -5.53  79   794     0  2.5
 11   267 I5   161   343 I7   615   222 I5   108   921  9329  8.1  7.1  0.68  0.11  -7.35 -14.92 -10.73 -10.00  84   884     0  2.0
 12    77 I5    21   153 I7   258    68 I5    14   324  6761  7.2  6.6  0.55  0.10 -15.06 -24.78 -19.78 -19.20  76  1186     0  1.5
 13  2305 I5  1950  1890 I6  1437  1431 I5  1131  5373 16689  6.8  5.9  0.99  0.20   1.18  -8.46  -3.42  -2.38  73  8030     5  2.6
 1993
  1   211 I5   139   524 I7   829   153 I5    71   649  8370  6.4  6.0  0.56  0.11 -14.12 -22.38 -18.28 -17.99  82  1134     0  3.1
  2   723 I5   285  1037 I6  1214   523 I5   195  2019 12234  7.0  6.2  0.73  0.12  -9.70 -20.16 -14.40 -12.71  83   931     0  1.7
  3  1997 I5   669  2238 I6  1838  1260 I5   453  4477 16272  6.3  4.9  0.60  0.13  -0.40 -14.21  -6.86  -4.64  67   795     0  2.6
  4  4535 I5   823  5306 I6  2205  2143 I5   540  7508 20258  5.1  2.9  0.77  0.14   9.49  -3.91   3.10   4.94  59   466     0  2.5
  5  5309 I5  1573  5504 I6  3281  2366 I5   452 10136 24011  6.2  4.6  1.25  0.14  16.27   4.19  10.71  11.80  59   251     0  3.1
  6  5793 I5  1173  5142 I6  2605  2863 I5   407 11406 26347  7.1  5.4  1.61  0.13  20.48   8.30  14.82  15.41  64   118     0  2.9
  7  5354 I5  1265  5069 I6  2904  2566 I5   530 10676 24897  6.9  5.6  2.22  0.11  22.86  11.39  17.51  18.35  67    54    17  2.7
  8  2973 I5  1125  2113 I6  2572  1956 I5   418  8332 21225  8.7  7.7  2.07  0.09  16.60   8.76  12.74  13.57  80   175     0  3.1
  9  1731 I5   619  1275 I6  1922  1282 I5   311  5387 17343  8.4  7.8  1.44  0.07   9.20   2.61   6.00   6.79  83   373     0  3.7
 10   776 I5   475   839 I6  1310   563 I5   209  2686 13373  8.7  7.9  1.04  0.05   1.63  -2.82  -0.69  -0.09  88   587     0  2.9
 11   257 I5   149   465 I7   740   206 I5    91   929  9355  8.0  7.2  0.69  0.04  -7.77 -14.17 -10.79 -10.16  83   879     0  2.6
 12    91 I5    32   223 I7   320    79 I5    24   325  6766  8.3  7.2  0.65  0.05 -10.99 -18.48 -14.01 -13.67  82  1025     0  1.8
 13  2479 I5  2222  2478 I6  2139  1330 I5  1021  5378 16704  7.3  6.1  1.13  0.10   4.46  -5.07  -0.01   0.97  75  6788    17  2.7
 1994
  1   197 I5   102   462 I7   599   161 I5    90   643  8340  6.7  6.0  0.62  0.06 -14.65 -21.90 -18.06 -17.07  79  1135     0  2.0
  2  1024 I5   476  2843 I6  2131   429 I5   141  2003 12198  3.9  3.3  0.44  0.08 -10.48 -20.86 -15.51 -13.70  65   952     0  3.4
  3  2010 I5   822  2679 I6  2501  1116 I5   288  4453 16238  6.6  5.5  0.57  0.09  -7.74 -19.68 -13.38 -11.54  67   993     0  2.8
  4  4061 I5  1002  4270 I6  2560  2141 I5   586  7484 20225  6.7  4.9  0.76  0.11   5.44  -5.86   0.06   1.49  62   556     0  3.2
  5  5125 I5   912  4541 I6  1842  2692 I5   329 10118 23981  7.7  5.6  1.09  0.11  15.67   3.50  10.20  11.25  55   271     0  3.6
  6  5287 I5  1491  4408 I6  2834  2822 I5   484 11403 26342  8.0  6.3  1.63  0.11  18.65   8.02  13.65  14.19  67   151     1  3.3
  7  4390 I5  1401  3159 I6  2689  2650 I5   428 10689 24921  8.4  7.2  2.17  0.09  19.97  10.70  15.37  15.99  74    97     4  3.0
  8  3294 I5  1247  2926 I6  2831  1901 I5   422  8354 21259  8.1  6.9  2.13  0.07  17.01   8.42  12.79  13.74  80   177     2  3.4
  9  2443 I5   757  3068 I6  2831  1347 I5   478  5411 17376  7.1  6.0  1.31  0.05  11.72   1.65   6.46   8.27  73   349     0  2.8
 10   847 I5   378  1040 I6  1434   607 I5   183  2705 13402  8.0  7.5  0.75  0.03  -1.61  -9.94  -5.31  -4.09  76   747     0  2.8
 11   268 I5    83   567 I7   888   219 I5    88   939  9384  7.6  7.3  0.53  0.03 -11.28 -20.40 -15.35 -14.55  80  1025     0  2.9
 12    89 I5    38   364 I7   701    71 I5    25   326  6776  7.8  7.4  0.49  0.03 -16.87 -25.55 -20.78 -19.90  76  1226     0  2.1
 13  2420 I5  1965  2527 I6  1555  1346 I5  1060  5377 16703  7.2  6.2  1.04  0.07   2.15  -7.66  -2.49  -1.33  71  7679     8  2.9
 1995
  1   217 I5   102   514 I7   679   171 I5    63   636  8311  7.1  6.2  0.57  0.04 -16.21 -24.98 -20.28 -19.57  79  1207     0  1.3
  2   833 I5   402  1933 I6  2002   448 I5   178  1986 12169  5.6  5.1  0.55  0.06  -9.11 -20.12 -13.94 -12.31  72   922     0  2.5
  3  2566 I5   911  5063 I6  2720   903 I5   380  4429 16201  3.2  2.4  0.40  0.08  -7.44 -23.34 -14.63 -12.05  60  1045     0  3.0
  4  4022 I5  1059  4712 I6  2846  1892 I5   504  7459 20191  6.3  4.8  0.85  0.10   8.63  -2.72   3.22   4.90  62   461     0  3.0
  5  4509 I5  1238  3568 I6  2312  2520 I5   329 10100 23953  8.0  6.9  1.28  0.10  15.87   4.78  10.43  11.28  63   248     0  3.1
  6  4964 I5  1458  4025 I6  2925  2755 I5   421 11400 26337  7.6  6.6  1.71  0.10  18.20   8.20  13.61  14.13  67   154     0  3.0
  7  4426 I5  1440  3691 I6  2814  2460 I5   318 10703 24943  7.6  6.9  2.19  0.08  19.86  10.16  14.75  15.41  77   104     1  2.4
  8  3007 I5  1106  2287 I6  2917  1952 I5   427  8377 21288  8.4  7.8  1.86  0.06  16.27   7.95  11.98  13.02  83   193     0  2.0
  9  2113 I5   733  1772 I6  1822  1476 I5   365  5435 17409  8.4  7.6  1.72  0.04  14.31   5.27   9.66  11.13  79   256     0  1.9
 10   944 I5   449  1354 I6  1664   618 I5   248  2724 13440  8.1  7.3  0.87  0.03   0.11  -6.81  -3.24  -2.17  83   672     0  1.6
 11   420 I5   194  2010 I7  1669   196 I5   106   948  9417  4.1  3.6  0.45  0.03 -12.21 -20.91 -16.74 -15.16  76  1047     0  1.3
 12   117 I5    44   912 I7   891    70 I5    24   327  6779  5.1  4.4  0.55  0.03 -17.72 -25.06 -21.07 -20.36  76  1231     0  1.1
 13  2345 I5  1826  2653 I6  1507  1288 I5  1005  5377 16703  6.6  5.8  1.08  0.06   2.55  -7.30  -2.19  -0.98  73  7541     1  2.2
 1996
  1   223 I5    89   875 I7   769   159 I5    85   630  8287  5.0  4.2  0.41  0.04 -20.55 -28.33 -24.49 -23.21  77  1326     0  1.3
  2   777 I5   329  1640 I6  1683   480 I5   194  2006 12201  5.7  5.2  0.48  0.06 -12.95 -25.22 -18.67 -16.69  75  1085     0  2.0
  3  2219 I5  1023  3697 I6  3062   990 I5   288  4501 16300  4.8  4.3  0.53  0.08  -0.67 -13.29  -6.50  -4.66  65   785     0  2.6
  4  4130 I5  1319  5073 I6  3274  1895 I5   634  7532 20285  5.7  4.3  0.63  0.10   4.03  -8.78  -1.72  -0.07  56   621     0  2.7
  5  5131 I5  1689  5455 I6  3984  2238 I5   651 10152 24034  6.5  5.0  1.08  0.10  14.66   2.83   9.24  10.29  57   297     0  2.6
  6  5167 I5  1794  4533 I6  3919  2626 I5   613 11407 26349  7.0  6.4  1.53  0.10  19.25   7.74  13.76  14.31  62   146     1  3.1
  7  4181 J6  1543  2667 J7  2556  2689 J6   460 10662 24869  8.6  7.7  2.10  0.08  20.61  11.23  15.72  16.28  73    82     7  2.7
  8  3245 J6  1268  2798 J7  3058  1927 J6   548  8309 21195  8.1  7.3  1.71  0.06  15.40   6.51  10.91  11.94  81   229     0  2.8
  9  2291 J5  1172  2551 J6  2981  1296 J5   294  5362 17315  7.4  6.7  0.99  0.04   9.70   0.09   4.74   6.35  72   403     0  2.7
 10  1136 J5   622  2680 J6  2710   511 J5   227  2667 13341  5.6  5.1  0.52  0.03  -2.97 -13.17  -7.85  -6.02  71   818     0  2.6
 11   305 J5   158   748 J7   957   224 J5    87   919  9326  6.6  6.1  0.65  0.03 -12.72 -22.02 -16.73 -15.17  80  1071     0  1.2
 12   120 J6    36   867 J7   688    76 J6    26   324  6759  4.5  3.8  0.38  0.03 -22.94 -31.27 -27.24 -26.42  75  1408     0  0.8
 13  2410 I5  1921  2799 I6  1627  1259 I5   984  5373 16688  6.3  5.5  0.92  0.06   0.91  -9.47  -4.07  -2.75  71  8271     9  2.3
 1997
  1   243 J5   127  1066 J7  1012   150 J5    68   650  8374  5.3  4.4  0.43  0.04 -19.84 -29.64 -24.74 -23.72  78  1335     0  1.2
  2   769 J5   264   996 J6  1096   574 J5   171  2021 12238  8.0  6.7  0.71  0.06  -5.25 -15.67 -10.18  -8.34  80   806     0  1.5
  3  2725 J5   952  5528 J6  2852   879 J5   285  4480 16277  2.8  2.3  0.33  0.08  -6.23 -22.73 -13.97 -11.15  57  1017     0  2.5
  4  4360 J5  1307  5568 J6  3457  1846 J5   555  7512 20263  4.9  3.5  0.65  0.10   8.07  -5.61   1.94   3.84  52   513     0  2.3
  5  5308 J5  1613  5625 J6  3824  2348 J5   557 10138 24014  6.4  4.9  1.01  0.10  15.63   3.05  10.10  11.21  55   279     0  2.6
  6  5917 J5  1333  5881 J6  3043  2637 J5   547 11406 26348  6.9  5.0  1.65  0.10  22.68   9.75  16.65  17.37  59    76    13  2.2
  7  5197 J5  1201  4655 J6  2791  2603 J5   565 10674 24893  7.6  6.3  2.06  0.08  23.73  10.93  17.73  18.64  65    48    17  1.5
  8  3058 J5  1225  2179 J6  2394  1997 J5   382  8328 21221  8.7  7.8  2.12  0.06  18.23  10.16  14.23  15.14  76   135     7  2.5
  9  2104 J5   593  1931 J6  2028  1434 J5   338  5383 17339  7.8  7.1  1.48  0.04  14.96   4.22   9.33  11.31  77   262     0  2.4
 10  1148 J5   480  2794 J6  2294   518 J5   235  2684 13369  5.4  4.9  0.48  0.03  -2.87 -12.56  -7.64  -5.71  74   807     0  2.7
 11   307 J5   185   597 J7   943   237 J5   107   928  9352  8.1  7.5  0.64  0.03  -6.48 -13.56  -9.66  -8.64  84   850     0  1.8
 12   102 J6    42   531 J7   667    75 J6    27   325  6767  6.8  5.8  0.39  0.03 -16.85 -27.02 -21.44 -21.21  80  1248     0  1.3
