702320 ANIAK AIRPORT          AK  -9  N61 35  W159 32    26  1010
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   319 J8    33  1207 J8   456   191 J8    21   820  8954  5.6  4.8  0.54  0.06 -12.21 -19.80 -15.88 -15.14  72  1064     0  2.2
  2  1001 J8   115  2154 J8   749   549 J8    59  2233 12491  5.8  5.0  0.59  0.08  -7.27 -15.87 -11.25 -10.16  68   845     0  2.8
  3  2501 J8   208  3871 J8  1013  1164 J8   139  4694 16282  5.2  4.4  0.54  0.10  -4.37 -13.84  -8.76  -7.51  61   851     0  2.8
  4  4038 J8   256  4470 J8   876  1984 J8   213  7663 20013  5.9  5.0  0.73  0.11   3.36  -5.03  -0.56   0.43  62   575     0  2.8
  5  5584 J8   438  5537 J8  1233  2651 J8   255 10197 23441  5.8  4.9  1.08  0.12  11.55   2.43   7.24   8.09  59   352     0  2.6
  6  5632 J8   658  5705 J8  1502  2450 J8   232 11405 25454  6.0  5.1  1.65  0.11  16.86   7.48  12.45  13.06  63   186     1  2.1
  7  4997 J8   562  4900 J8  1401  2329 J8   229 10715 24215  6.6  5.8  2.05  0.09  17.80   9.78  13.88  14.52  70   143     2  1.8
  8  3348 J8   481  3194 J8  1132  1826 J8   130  8467 20910  7.4  6.9  1.93  0.07  15.25   8.36  11.77  12.59  75   203     1  1.8
  9  2388 J8   275  3318 J8  1043  1151 J8   123  5598 17290  6.7  6.0  1.37  0.05  10.69   3.65   7.12   8.20  74   335     0  2.1
 10  1170 J8   135  2312 J8   757   598 J8    58  2920 13567  6.7  6.0  0.87  0.04   1.66  -4.08  -1.13  -0.28  74   606     0  2.5
 11   463 J8    55  1480 J8   654   273 J8    31  1126  9866  6.3  5.6  0.67  0.04  -5.32 -12.04  -8.42  -7.79  74   810     0  2.4
 12   171 J8    20   965 J8   424   106 J8    10   477  7573  5.9  5.3  0.57  0.04 -10.97 -18.62 -14.58 -14.01  72  1027     0  2.1
 13  2634 J8   169  3260 J8   609  1273 J8    91  5526 16671  6.1  5.4  1.05  0.08   3.09  -4.80  -0.68   0.17  69  6996     4  2.3
 1991
  1   315 J8   130  1164 J8   881   198 J8    76   814  8934  6.4  5.2  0.64  0.05  -7.91 -17.99 -13.07 -12.27  74   970     0  2.6
  2   918 J8   332  1765 J8  1444   570 J8   188  2210 12447  6.2  5.6  0.56  0.07  -8.00 -18.16 -12.68 -11.42  69   879     0  2.7
  3  2190 J8   938  2603 J8  2070  1262 J8   274  4651 16224  7.2  6.1  0.64  0.08  -1.88 -10.87  -6.34  -5.62  65   766     0  2.9
  4  4278 J8  1174  4823 J8  2531  2039 J8   386  7619 19957  5.7  4.4  0.65  0.10   4.75  -2.55   1.23   2.11  58   517     0  2.7
  5  5997 J8  1195  6242 J8  2885  2673 J8   550 10166 23394  5.3  4.2  0.95  0.10  10.33   2.86   6.72   7.45  63   364     0  3.2
  6  6093 J8  1277  6876 J8  2745  2345 J8   522 11401 25446  5.4  4.3  1.69  0.10  16.91   8.31  12.72  13.28  60   174     3  2.8
  7  4894 J8  1347  4411 J8  2535  2464 J8   421 10739 24257  7.1  6.1  1.86  0.09  17.15   9.22  13.39  13.99  65   160     1  1.8
  8  3641 J8  1264  3463 J8  2296  1884 J8   338  8508 20965  6.9  6.4  1.81  0.10  14.86   8.10  11.46  12.31  67   212     0  2.3
  9  2488 J8   784  3124 J8  1674  1261 J8   273  5642 17346  6.4  5.4  1.45  0.11  12.69   6.63   9.55  10.44  64   260     0  3.1
 10   970 J8   500  1233 J8  1264   631 J8   194  2954 13626  7.6  6.7  0.90  0.12   3.57  -0.70   1.52   2.10  71   524     0  3.1
 11   420 J8   190   526 J8   601   337 J8   118  1144  9915  6.4  5.3  0.66  0.14  -6.55 -15.14 -10.27  -9.30  67   875     0  2.4
 12   132 J8    33   120 J8   132   122 J8    29   479  7581  6.9  6.2  0.50  0.17 -12.91 -21.79 -17.15 -16.86  77  1106     0  1.8
 13  2695 J8  2226  3029 J8  2209  1316 J8   940  5527 16674  6.5  5.5  1.03  0.10   3.59  -4.34  -0.24   0.52  67  6807     3  2.6
 1992
  1   264 J8   104   369 J8   432   222 J8    82   808  8910  6.8  5.5  0.53  0.20 -10.57 -19.29 -14.81 -14.90  79  1031     0  1.7
  2   861 J8   419   801 J8   961   662 J8   235  2231 12483  6.6  5.8  0.52  0.24  -8.34 -20.15 -14.15 -13.50  75   945     0  2.2
  3  2290 J8   830  2357 J8  1773  1401 J8   318  4722 16317  6.0  4.8  0.46  0.27  -3.31 -12.84  -8.00  -6.92  70   819     0  2.9
  4  3975 J8  1307  3143 J8  2407  2391 J8   602  7690 20042  6.5  5.3  0.65  0.29   1.50  -5.78  -1.91  -1.10  63   614     0  2.9
  5  4893 J8  1730  3276 J8  2783  3055 J8   649 10215 23468  6.6  5.7  0.98  0.28   6.49  -0.37   3.17   3.70  66   473     0  3.5
  6  5513 J8  1166  4162 J8  1986  3004 J8   326 11408 25459  6.3  5.4  1.50  0.26  16.53   8.02  12.54  13.04  61   182     0  2.7
  7  4935 J8  1250  3862 J8  2431  2718 J8   416 10700 24189  6.7  5.8  1.88  0.22  18.60   9.83  14.29  15.03  70   128     0  1.6
  8  2819 J8  1094  1632 J8  1856  1971 J8   381  8441 20880  8.3  8.0  1.73  0.18  14.48   9.30  11.70  12.30  78   200     0  2.3
  9  2192 J8   773  2417 J8  2326  1266 J8   400  5570 17257  6.5  5.6  0.98  0.15   4.56  -1.29   1.80   2.52  71   501     0  2.3
 10  1124 J8   465  2155 J8  1748   587 J8   184  2897 13531  4.9  4.6  0.79  0.12  -1.09  -6.57  -3.77  -3.05  75   687     0  2.6
 11   400 J8   188   537 J8   665   317 J8   105  1114  9836  7.4  6.2  0.63  0.11  -5.00 -12.79  -8.50  -7.81  77   817     0  2.4
