702460 MINCHUMINA             AK  -9  N63 53  W152 17   213   988
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   187 J8    21   918 J8   379   116 J8    12   526  7846  4.8  4.2  0.44  0.06 -17.42 -24.40 -20.72 -20.33  66  1216     0  0.8
  2   815 J8    91  2231 J8   614   404 J8    43  1853 11994  4.6  4.0  0.48  0.08 -12.08 -20.06 -15.77 -14.99  68   972     0  0.7
  3  2284 J8   219  4194 J8  1029   945 J8   141  4315 16243  4.5  3.3  0.45  0.11  -5.05 -15.74 -10.13  -8.97  57   890     0  1.3
  4  4116 J8   354  5507 J8  1011  1704 J8   196  7389 20419  5.0  3.7  0.65  0.12   4.30  -5.99  -0.45   0.46  55   576     0  1.3
  5  5372 J8   539  6202 J8  1311  2206 J8   239 10087 24437  5.3  4.2  1.02  0.13  13.21   2.99   8.51   9.16  49   318     1  1.5
  6  5496 J8   713  5662 J8  1418  2439 J8   190 11411 27095  6.4  5.1  1.60  0.12  18.98   9.56  14.48  14.78  57   129     7  1.4
  7  4920 J8   587  5087 J8  1282  2260 J8   163 10659 25455  6.7  5.6  1.94  0.10  19.70  11.02  15.40  15.87  65    98     6  1.4
  8  3608 J8   458  4281 J8  1212  1644 J8   166  8250 21480  6.8  5.8  1.75  0.08  16.29   8.39  12.22  12.97  72   188     3  1.2
  9  2543 J8   298  3708 J8  1203  1233 J8   141  5253 17401  6.2  5.4  1.22  0.06  10.56   2.70   6.55   7.57  67   351     0  1.1
 10   977 J8   134  1990 J8   766   526 J8    63  2537 13246  6.9  6.3  0.75  0.04  -0.94  -6.44  -3.59  -2.93  77   683     0  1.1
 11   305 J8    37  1325 J8   411   172 J8    18   805  8980  5.9  5.3  0.56  0.04 -10.48 -17.05 -13.63 -13.26  75   963     0  0.8
 12    72 J8     9   685 J8   260    45 J8     4   233  6120  5.2  4.3  0.47  0.05 -15.06 -22.47 -18.58 -18.29  71  1150     0  0.8
 13  2558 J8   179  3483 J8   534  1141 J8    84  5277 16726  5.7  4.8  0.94  0.08   1.83  -6.46  -2.14  -1.50  65  7535    18  1.1
 1991
  1   205 J8   127  1196 J8  1000   109 J8    46   521  7821  4.2  3.7  0.49  0.05 -19.61 -28.12 -23.88 -23.50  78  1308     0  1.3
  2   877 J8   383  2694 J8  1821   388 J8   184  1831 11944  4.5  4.0  0.51  0.07 -11.99 -20.12 -15.81 -14.97  64   963     0  0.2
  3  1881 J8   780  2424 J8  2394  1112 J8   416  4271 16181  7.0  5.5  0.50  0.09   1.28 -12.41  -5.93  -4.82  59   741     0  2.8
  4  4461 J8   926  5720 J8  2222  1883 J8   515  7343 20356  5.6  3.4  0.58  0.11  11.09  -0.36   5.60   6.44  51   396     7  1.9
  5  5848 J8  1251  7384 J8  3578  2136 J8   738 10054 24380  4.8  3.7  0.94  0.11  14.77   3.86   9.91  10.51  49   291    12  1.9
  6  6030 J8  1389  6247 J8  3429  2648 J8   654 11406 27084  6.5  4.7  1.54  0.11  23.13  12.52  18.14  18.46  51    76    61  3.0
  7  3876 J8  1265  2437 J8  2001  2607 J8   345 10686 25504  8.5  7.7  1.57  0.09  18.65   9.59  14.36  14.83  68   135     4  3.3
  8  3770 J8  1260  4357 J8  3197  1734 J8   574  8293 21539  6.2  5.6  1.56  0.10  17.62   8.31  12.99  13.85  74   167     1  2.5
  9  2275 J8   989  2244 J8  2234  1410 J8   317  5298 17462  7.2  6.4  1.23  0.11  18.20   7.22  12.80  13.68  60   178     9  2.8
 10   848 J8   421   936 J8  1144   619 J8   234  2572 13311  7.6  7.0  0.69  0.12   3.02  -4.30  -0.69   0.13  74   596     8  3.4
 11   290 J8   182   730 J9   928   196 J8    74   821  9038  5.3  5.0  0.52  0.14 -11.33 -18.03 -14.41 -13.91  71   990     0  1.0
 12    55 J8    18    85 J8   152    51 J8    15   234  6134  6.0  5.1  0.42  0.17 -14.67 -23.59 -19.48 -19.48  65  1161     0  2.9
 13  2535 J8  2194  3038 J8  2364  1241 J8   965  5278 16730  6.1  5.1  0.88  0.11   4.18  -5.45  -0.53   0.10  64  7003   103  2.3
 1992
  1   163 J8    99   301 J8   342   136 J8    74   515  7795  4.0  3.5  0.43  0.21 -16.09 -21.83 -18.79 -18.28  59  1156     0  1.4
  2   654 J8   219   947 J8   952   482 J8   171  1851 11985  4.8  4.5  0.41  0.24 -11.26 -19.70 -15.43 -14.55  63   981     0  1.4
  3  1933 J8   670  1671 J8  1332  1356 J8   358  4343 16284  6.7  4.5  0.43  0.28   1.79 -12.82  -5.28  -3.88  52   739     0  1.8
  4  3577 J8  1058  2838 J8  2194  2265 J8   587  7418 20453  6.5  5.3  0.53  0.30   8.69  -4.46   2.15   3.02  55   486     0  2.8
  5  5106 J8  1373  4196 J8  3018  2833 J8   694 10107 24472  5.9  4.5  0.82  0.29  14.39   1.25   8.54   9.25  47   326     0  3.1
  6  5110 J8  1453  3832 J8  2373  2904 J8   380 11414 27103  7.1  5.8  1.30  0.26  18.02   9.07  13.55  13.82  62   148     5  2.0
  7  4242 J8  1750  3141 J8  3021  2533 J8   338 10643 25421  6.8  6.3  1.65  0.23  20.15  11.57  15.73  16.28  67    85     8  1.2
  8  3404 J8  1242  3415 J8  3030  1781 J8   389  8223 21443  5.9  5.3  1.59  0.19  17.18   8.84  12.98  13.81  74   174     9  0.4
  9  2067 J8   915  2021 J8  2172  1298 J8   280  5224 17363  6.9  6.4  0.72  0.16   9.66   1.26   5.41   6.62  70   386     0  0.6
 10   926 J8   617  1758 J8  1907   486 J8   164  2514 13205  6.4  5.9  0.59  0.13  -1.00  -7.28  -3.82  -3.07  88   697     0  1.1
 11   202 J8   103   444 J9   691   158 J8    62   794  8936  7.4  7.1  0.52  0.11 -13.05 -19.54 -16.28 -16.01  85  1039     0  1.0
 12    63 J8    25   381 J9   319    46 J8    14   231  6112  4.1  3.4  0.40  0.11 -12.67 -19.53 -15.73 -15.38  74  1067     0  1.6
 13  2287 J8  1934  2079 J8  1392  1356 J8  1093  5273 16714  6.0  5.2  0.78  0.21   2.98  -6.10  -1.41  -0.70  66  7284    22  1.5
 1993
  1   187 J8   118   719 J9   630   122 J8    60   534  7883  3.2  2.9  0.37  0.12 -14.20 -21.68 -17.47 -17.01  63  1124     0  0.4
  2   801 J8   403  1840 J8  1393   432 J8   167  1866 12025  4.0  3.6  0.56  0.13  -9.82 -17.25 -13.21 -12.33  57   892     0  0.9
  3  2311 J8   743  4129 J8  2066   961 J8   279  4322 16251  2.7  2.4  0.47  0.14  -4.43 -15.89  -9.64  -8.58  52   883     0  1.3
  4  4049 J8   970  5053 J8  2509  1832 J8   511  7397 20437  4.0  2.9  0.67  0.15   0.57  -9.15  -3.73  -2.84  63   679     0  1.5
  5  4772 J8  1528  4460 J8  3471  2491 J8   599 10093 24449  6.5  5.4  1.08  0.15  13.04   2.98   8.45   9.11  48   320     0  1.4
  6  6497 J8   807  7105 J8  2225  2494 J8   495 11413 27099  5.1  3.8  1.42  0.15  19.49   9.88  14.89  15.21  55   110     0  1.5
  7  5407 J8  1033  5292 J8  2447  2502 J8   456 10656 25450  6.6  5.3  1.89  0.12  22.11  12.67  17.46  17.98  58    51    22  1.3
  8  3555 J8  1184  3734 J8  2587  1812 J8   403  8244 21472  7.5  6.6  1.59  0.10  16.11   9.25  12.41  13.04  70   176     1  1.5
