702495 HAYES RIVER            AK  -9  N61 59  W152  5   305   977
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   267 J8    40   827 J8   362   184 J8    14   766  8780  6.0  5.4  0.47  0.07  -5.89 -12.88  -9.25  -8.15  72   859     0  1.1
  2   886 J8   146  1598 J8   777   548 J8    46  2165 12408  6.3  5.4  0.50  0.09  -2.89 -10.36  -6.66  -5.21  75   705     0  1.1
  3  2268 J8   268  3392 J8  1045  1108 J8   102  4627 16273  5.4  4.5  0.46  0.12  -0.39  -9.38  -4.90  -3.23  69   720     0  1.4
  4  3808 J8   378  4101 J8   996  1919 J8   165  7614 20077  6.3  5.1  0.62  0.13   5.28  -3.08   1.10   2.37  70   517     0  1.3
  5  5061 J8   538  4798 J8  1262  2513 J8   188 10176 23594  6.3  5.2  0.91  0.14  11.21   2.21   7.00   7.89  67   360     0  1.3
  6  5325 J8   288  4693 J8   719  2748 J8   169 11404 25695  6.9  5.6  1.37  0.13  17.54   7.54  13.01  13.66  68   176     2  1.5
  7  4381 J8   495  3427 J8  1087  2555 J8   152 10705 24405  7.7  6.7  1.70  0.11  18.32  10.23  14.39  14.99  76   130     4  1.3
  8  3439 J8   458  3246 J8  1176  1926 J8   132  8431 21004  7.4  6.6  1.61  0.09  16.76   8.73  12.63  13.62  79   175     2  1.4
  9  2291 J8   365  2857 J8  1204  1238 J8    97  5540 17311  7.1  6.3  1.15  0.06  10.88   3.24   6.83   8.26  80   338     0  1.5
 10  1146 J8   155  2245 J8   818   605 J8    51  2854 13518  6.4  5.6  0.75  0.05   2.49  -6.23  -1.50   0.42  75   626     0  1.4
 11   387 J8    69  1248 J8   645   230 J8    23  1069  9729  6.3  5.7  0.57  0.04  -3.20  -9.16  -6.12  -5.12  77   735     0  1.2
