702510 TALKEETNA STATE ARPT   AK  -9  N62 19  W150  6   105  1000
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   239 J7    36   807 J8   457   163 J7    14   722  8630  5.9  5.6  0.59  0.06  -6.18 -14.22  -9.92  -9.02  67   884     0  2.3
  2   809 J7   112  1466 J8   728   508 J7    57  2110 12339  6.3  5.8  0.62  0.09  -2.34 -11.89  -6.83  -5.13  66   719     0  2.2
  3  2108 J7   308  3313 J8  1213  1001 J7   123  4572 16267  5.4  4.9  0.57  0.11   1.02 -10.13  -4.28  -2.34  58   709     0  2.3
  4  3528 J7   352  3891 J7   936  1752 J7   188  7574 20133  6.3  5.4  0.77  0.12   7.72  -3.05   2.63   4.28  60   480     0  1.9
  5  4654 J7   613  4478 J7  1395  2312 J7   203 10159 23729  6.3  5.6  1.11  0.13  14.33   2.79   9.17  10.22  60   303     0  2.0
  6  5142 J7   542  4678 J7  1132  2517 J7   208 11403 25907  6.9  6.0  1.67  0.12  19.13   8.56  14.13  14.78  65   137     2  1.9
  7  4409 J7   679  3747 J7  1439  2359 J7   208 10696 24571  7.6  6.9  2.11  0.10  19.77  11.02  15.45  16.03  74    95     4  1.7
  8  3427 J7   527  3436 J7  1430  1789 J7   189  8400 21083  7.3  6.7  1.97  0.08  18.04   9.10  13.51  14.55  79   149     2  1.4
  9  2345 J7   325  2909 J7  1178  1258 J7   146  5491 17327  7.1  6.5  1.43  0.06  12.97   4.02   8.33   9.88  78   295     0  1.4
 10  1083 J7   132  2130 J8   728   577 J7    54  2799 13473  6.5  6.1  0.94  0.04   4.67  -3.17   0.66   2.24  74   545     0  1.6
 11   372 J7    70  1307 J8   776   213 J7    32  1022  9608  6.1  5.7  0.70  0.04  -2.72 -10.15  -6.23  -5.15  72   743     0  2.0
 12   116 J7    15   631 J8   316    79 J7     6   394  7161  6.3  5.9  0.63  0.05  -5.39 -13.64  -9.19  -8.53  70   863     0  2.1
 13  2353 J7   192  2733 J8   628  1211 J7    97  5445 16686  6.5  5.9  1.09  0.08   6.75  -2.56   2.29   3.48  69  5923     8  1.9
 1991
  1   221 I5   147   670 I7  1001   154 I5    61   716  8608  7.0  6.4  0.65  0.05  -7.47 -14.97 -10.99 -10.15  76   916     0  2.4
  2   805 I5   391  1096 I6  1251   567 I5   178  2087 12291  7.0  6.1  0.71  0.07  -2.68 -13.87  -7.49  -5.56  69   745     0  3.0
  3  1856 I5   955  2808 I6  3035   940 I5   268  4529 16208  5.8  5.4  0.66  0.09  -0.42 -13.58  -6.48  -4.12  76   785     0  2.0
  4  3396 I5  1022  3414 I6  2723  1896 I5   456  7529 20076  6.8  5.4  0.78  0.11   7.86  -2.98   2.61   4.45  61   477     0  2.4
  5  4495 I5  1701  4022 I6  3552  2411 I5   500 10128 23679  7.2  6.0  1.03  0.12  13.39   1.32   8.01   9.22  62   340     0  2.1
  6  5584 I5  1567  5134 I6  3242  2648 I5   465 11399 25899  7.0  5.5  1.71  0.11  20.25   8.40  14.81  15.57  62   123     3  2.2
  7  4122 I5  1593  2912 I6  3286  2489 I5   490 10721 24614  8.4  7.6  1.92  0.10  18.41   9.78  14.02  14.63  78   131     0  1.8
  8  3427 I5  1218  3160 I6  3073  1880 I5   530  8441 21141  7.3  6.6  1.79  0.10  17.60   7.76  12.54  13.75  75   175     0  1.9
  9  1900 I5   820  1368 I6  1732  1372 I5   261  5535 17385  8.4  7.8  1.54  0.11  13.52   5.23   9.07  10.41  83   269     0  1.5
 10  1086 I5   599  1872 I6  2065   593 I5   182  2834 13533  5.6  5.0  0.91  0.12   3.15  -5.59  -1.26   0.59  75   606     0  1.7
 11   333 I5   208   635 I7   890   238 I5   109  1039  9661  6.5  5.8  0.80  0.14  -1.71  -9.45  -5.16  -3.82  70   717     0  2.4
 12    87 I5    31    88 I7   183    82 I5    23   396  7171  8.4  7.8  0.68  0.17  -5.11 -12.54  -8.62  -8.60  76   842     0  2.2
 13  2276 I5  1872  2265 I6  1550  1272 I5   965  5446 16689  7.1  6.3  1.10  0.11   6.40  -3.37   1.76   3.03  72  6127     3  2.1
 1992
  1   182 I5    73   100 I7   206   171 I5    62   710  8584  7.3  6.7  0.69  0.21  -4.19 -12.35  -7.57  -6.74  74   825     0  2.2
  2   731 I5   293   698 I6   897   576 I5   186  2107 12326  6.0  5.3  0.60  0.25  -5.70 -14.78  -9.97  -8.16  69   829     0  2.2
  3  1804 I5   697  1324 I6  1693  1330 I5   355  4600 16305  6.5  5.6  0.63  0.28   0.12 -10.83  -5.16  -3.23  67   734     0  2.1
  4  3992 I5   914  3788 I6  2224  2187 I5   638  7602 20165  5.0  3.6  0.71  0.31   6.27  -5.98   0.68   2.65  52   546     0  2.2
  5  5063 I5  1449  4159 I6  2956  2740 I5   655 10178 23755  5.5  4.7  0.98  0.29  12.03   0.55   6.88   7.92  55   373     0  2.5
  6  5069 I5  1822  3448 I6  2951  3019 I5   652 11406 25913  6.8  5.6  1.40  0.27  19.34   7.31  13.78  14.58  64   150     0  2.2
  7  4078 I5  1588  2241 I6  2294  2742 I5   495 10681 24544  7.9  7.3  1.99  0.23  19.71  10.56  15.05  15.71  77   100     1  1.9
  8  2607 I5   998  1155 I6  1670  2005 I5   381  8374 21051  8.9  8.4  1.80  0.19  16.45   8.45  12.30  13.22  84   182     0  1.6
  9  2416 I5   867  2966 I6  2485  1288 I5   415  5463 17293  5.2  4.8  0.95  0.15   7.84  -1.86   2.88   4.48  65   460     0  2.1
 10   975 I5   490  1622 I6  1678   571 I5   198  2776 13434  6.2  5.9  0.83  0.13   2.44  -5.03  -1.22   0.24  76   608     0  1.9
 11   257 I5   162   415 I7   868   200 I5    66  1010  9572  7.5  7.1  0.78  0.11  -2.29  -8.34  -4.94  -4.06  84   709     0  2.0
 12   101 I5    29   221 I7   280    87 I5    23   392  7154  6.3  5.6  0.60  0.11  -9.37 -19.61 -14.16 -13.48  76  1017     0  1.8
 13  2273 I5  1892  1845 I6  1445  1410 I5  1098  5441 16675  6.6  5.9  1.00  0.21   5.22  -4.32   0.71   1.93  70  6534     1  2.1
 1993
  1   211 I5   116   380 I7   733   172 I5    74   731  8667  7.1  6.5  0.56  0.12  -8.59 -17.71 -12.99 -12.49  81   976     0  1.7
  2   753 I5   298   911 I6  1085   580 I5   237  2122 12369  7.2  6.5  0.76  0.13  -1.62 -10.90  -5.68  -4.01  69   688     0  2.2
  3  2009 I5   863  2527 I6  2512  1137 I5   383  4579 16280  6.2  5.1  0.63  0.15   2.59  -9.71  -3.21  -0.85  60   679     0  2.0
  4  3802 I5  1197  3933 I6  2906  1952 I5   468  7582 20145  6.0  4.6  0.82  0.16   9.79  -2.55   3.71   5.88  60   441     0  1.7
  5  4795 I5  1933  4529 I6  4333  2340 I5   612 10165 23742  6.3  5.4  1.27  0.16  15.90   3.62  10.34  11.56  66   266     0  1.9
  6  5338 I5  1467  4480 I6  2884  2737 I5   479 11405 25910  7.4  6.1  1.54  0.15  19.55   8.30  14.06  14.75  68   132     0  2.6
  7  5048 I5  1930  5092 I6  4268  2240 I5   534 10693 24564  6.4  5.5  2.01  0.12  22.30  10.51  16.74  17.60  69    64     4  2.7
  8  2855 I5  1287  1958 I6  2657  1871 I5   429  8393 21070  8.4  8.0  2.07  0.10  17.38   9.57  13.28  14.20  83   150     0  2.1
  9  1767 I5   673  1268 I6  2082  1335 I5   355  5484 17314  8.3  7.9  1.47  0.07  10.40   3.58   7.01   8.14  86   340     0  2.2
 10   974 I5   573  1510 I6  2028   597 I5   263  2793 13462  7.3  6.8  1.12  0.05   5.39  -0.75   2.23   3.40  82   496     0  2.0
 11   302 I5   209   655 I7  1129   218 I5   108  1019  9598  7.5  6.9  0.75  0.05  -3.67 -10.92  -6.95  -6.13  84   769     0  1.9
 12   104 I5    45   376 I7   635    81 I5    20   393  7160  7.4  6.9  0.75  0.05  -1.86  -9.29  -5.14  -4.68  72   741     0  2.6
 13  2330 I5  1983  2302 I6  1760  1272 I5   941  5447 16690  7.1  6.3  1.15  0.11   7.30  -2.19   2.78   3.95  73  5742     4  2.1
 1994
  1   206 I5   106   315 I7   550   176 I5    79   724  8637  7.7  7.1  0.74  0.07  -3.46  -8.89  -5.74  -5.42  67   760     0  3.1
  2  1044 I5   465  2799 I6  1930   447 I5   133  2106 12335  3.3  2.7  0.54  0.09  -5.42 -14.60  -9.69  -7.85  54   794     0  3.5
  3  1670 I5   935  1924 I6  2625  1011 I5   321  4555 16244  7.6  6.9  0.63  0.11  -0.61  -9.40  -4.55  -3.04  67   723     0  2.8
  4  3306 I5  1434  3075 I6  2818  1863 I5   474  7557 20112  7.6  6.4  0.86  0.12   8.09  -2.78   2.66   4.39  68   470     0  2.2
  5  4597 I5  1535  3987 I6  3307  2441 I5   509 10147 23712  7.7  6.4  1.09  0.13  13.71   2.46   8.74   9.79  63   318     0  2.6
  6  5196 I5  1625  4583 I6  3294  2592 I5   449 11402 25905  6.8  6.2  1.62  0.12  18.84   7.81  13.59  14.27  68   151     1  2.8
  7  4995 I5  1526  4344 I6  3234  2586 I5   608 10706 24588  7.9  6.5  2.06  0.10  19.82  10.05  15.07  15.78  73   105     0  2.2
  8  3598 I5  1225  3627 I6  3116  1843 I5   467  8416 21104  7.5  6.5  2.17  0.08  18.97   9.55  14.18  15.29  81   127     1  2.0
  9  2715 I5   945  3581 I6  3163  1340 I5   463  5508 17347  6.7  5.6  1.31  0.05  13.33   2.91   7.86   9.88  78   306     0  2.0
 10   908 I5   321  1056 I6  1303   682 I5   226  2812 13496  7.9  7.0  0.85  0.04   3.31  -3.80  -0.17   1.08  77   576     0  2.1
 11   330 I5   169  1003 I7  1265   218 I5    96  1028  9627  6.7  6.2  0.59  0.03  -8.14 -16.27 -11.97 -11.28  77   916     0  2.4
 12    94 I5    46   325 I7   616    75 I5    16   394  7164  8.0  7.2  0.61  0.04  -6.68 -14.20 -10.05  -9.09  77   892     0  2.5
 13  2388 I5  1924  2552 I6  1565  1273 I5   970  5446 16689  7.1  6.2  1.09  0.08   5.98  -3.10   1.66   2.82  71  6138     2  2.5
 1995
  1   239 I5   113   625 I7   817   181 I5    81   717  8610  6.0  5.4  0.64  0.05  -7.46 -16.76 -11.57 -10.33  72   944     0  2.3
  2   883 I5   403  1690 I6  1766   523 I5   194  2089 12294  6.2  5.3  0.64  0.07  -3.42 -13.29  -7.70  -6.03  68   747     0  2.7
  3  2465 I5   761  4512 I6  2453   985 I5   411  4532 16211  3.4  2.6  0.52  0.09  -2.01 -17.04  -9.05  -6.20  54   863     0  2.8
  4  3490 I5  1220  3607 I6  2885  1824 I5   409  7533 20080  6.5  5.4  0.85  0.11   9.31  -1.72   3.97   5.74  63   436     0  2.1
  5  4137 I5  1385  2966 I6  2540  2578 I5   432 10130 23682  8.0  7.0  1.22  0.12  14.62   3.48   9.20  10.23  69   288     0  2.4
  6  4677 I5  1906  3701 I6  3380  2528 I5   322 11399 25898  7.5  6.6  1.69  0.11  18.28   7.84  13.22  13.85  70   159     1  2.5
  7  4174 I5  1625  3094 I6  2833  2437 I5   276 10719 24611  8.3  7.6  2.18  0.09  19.43  10.77  15.08  15.67  77   102     2  2.1
  8  3457 I5  1241  3041 I6  2864  2006 I5   507  8438 21137  7.8  7.1  1.97  0.07  18.25   8.49  13.29  14.58  79   154     0  2.0
  9  2073 I5   642  1580 I6  1681  1483 I5   252  5532 17382  8.8  8.0  1.87  0.05  15.00   7.62  10.90  12.11  86   210     0  1.6
 10   984 J5   559  1319 J6  1862   641 J5   198  2831 13530  8.1  7.5  1.00  0.03   5.44  -1.71   1.78   3.26  81   510     0  1.5
 11   463 I5   215  2317 I7  1593   192 I5   102  1038  9660  3.3  2.9  0.57  0.03  -2.82 -11.48  -6.75  -5.16  59   764     0  2.9
 12   130 I5    61   857 I7   948    78 I5    21   396  7171  5.7  5.2  0.72  0.04  -5.87 -12.04  -8.68  -7.88  63   846     0  3.0
 13  2264 I5  1690  2442 I6  1231  1288 I5   970  5446 16689  6.6  5.9  1.15  0.07   6.56  -2.98   1.97   3.32  70  6023     2  2.3
 1996
  1   262 I5   120  1303 I7  1178   143 I5    56   711  8589  3.7  3.3  0.47  0.05 -11.14 -19.75 -15.62 -13.83  60  1047     0  2.4
  2   702 J5   368  1030 J6  1528   500 J5   199  2109 12334  7.4  6.5  0.57  0.07  -6.22 -17.09 -10.77  -9.14  75   870     0  1.9
  3  2413 I5   910  4370 I6  2816   954 I5   382  4603 16308  4.1  3.5  0.63  0.09   2.59  -8.10  -2.51  -0.60  54   654     0  2.9
  4  3663 J5  1248  3862 J6  3227  1884 J5   568  7605 20170  6.3  5.1  0.74  0.11   8.45  -3.50   2.77   4.68  57   476     0  2.2
  5  5190 I5  1314  5200 I6  3264  2433 I5   645 10180 23758  6.0  4.8  1.11  0.12  16.21   2.70  10.28  11.54  54   275     0  2.4
  6  5339 J5  1844  4816 J6  3729  2579 J5   551 11406 25913  7.2  5.9  1.49  0.11  19.44   7.42  13.68  14.40  62   147     0  2.5
  7  4726 J6  1441  3766 J7  2871  2626 J6   423 10679 24541  8.2  7.0  1.96  0.09  19.37  10.83  15.07  15.60  72   102     2  1.8
  8  3622 J6  1226  3371 J7  3011  1988 J6   568  8371 21044  7.5  6.7  1.76  0.07  17.18   7.80  12.37  13.43  79   181     0  1.8
  9  2483 J5  1244  3252 J6  3603  1219 J5   345  5459 17289  6.9  6.3  1.19  0.05  11.84   1.54   6.40   8.30  77   349     0  1.8
 10  1302 J5   613  3396 J6  2682   496 J5   238  2774 13431  4.5  4.1  0.74  0.03   0.62  -9.81  -4.71  -2.36  65   711     0  2.3
