702590 KENAI MUNICIPAL AP     AK  -9  N60 35  W151 14    26  1010
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   335 J7    32   931 J8   393   225 J7    21   957  9353  6.3  5.8  0.67  0.08  -5.48 -13.48  -9.25  -8.15  79   862     0  3.2
  2   998 J7   133  1792 J8   707   583 J7    52  2398 12676  6.3  5.8  0.70  0.10  -2.28 -10.93  -6.32  -4.84  78   705     0  3.4
  3  2277 J7   292  3310 J7  1138  1088 J7   131  4854 16293  5.6  5.0  0.63  0.12   0.21  -9.20  -4.14  -2.57  71   707     0  3.9
  4  3635 J7   359  4017 J7  1086  1714 J7   203  7777 19854  6.2  5.3  0.83  0.14   6.78  -2.00   2.60   3.91  69   478     0  3.7
  5  5003 J7   446  4944 J7  1139  2297 J7   225 10245 23076  6.2  5.1  1.15  0.15  12.46   2.60   7.96   8.94  68   335     0  3.8
  6  5523 J7   579  5151 J7  1367  2568 J7   278 11412 24912  6.5  5.3  1.66  0.14  15.54   6.88  11.46  12.01  74   214     0  3.8
  7  4763 J7   519  4263 J8  1238  2382 J7   242 10746 23782  7.0  6.2  2.12  0.12  17.15   9.64  13.55  14.15  80   153     0  3.5
  8  3858 J7   465  4108 J8  1362  1834 J7   240  8563 20697  6.6  5.9  2.04  0.09  16.95   8.28  12.93  14.02  81   177     0  3.1
  9  2521 J7   292  3323 J8  1115  1220 J7   168  5749 17252  6.7  6.0  1.51  0.07  13.05   4.53   9.03  10.56  78   286     0  3.3
 10  1232 J7   138  2353 J8   686   623 J7    59  3089 13696  6.5  5.9  1.04  0.05   5.75  -1.99   1.99   3.54  80   510     0  3.2
 11   455 J7    76  1438 J8   694   249 J7    32  1274 10198  6.3  5.9  0.80  0.05  -1.05  -8.56  -4.50  -3.36  80   694     0  3.2
 12   181 J7    18   702 J8   317   123 J7    11   598  8080  6.7  6.1  0.70  0.05  -4.13 -11.74  -7.51  -6.74  80   814     0  3.5
 13  2565 J7   152  3028 J8   621  1242 J7   121  5638 16656  6.4  5.7  1.15  0.10   6.24  -2.16   2.32   3.45  77  5936     0  3.5
 1991
  1   315 J5   181   659 J7   996   229 J5    81   951  9333  7.2  6.6  0.69  0.06  -6.04 -12.65  -9.39  -8.49  84   858     0  3.6
  2   870 J5   496  1041 J7  1614   614 J5   222  2375 12635  7.4  6.8  0.75  0.09  -2.72 -12.57  -6.74  -5.12  83   727     0  3.9
  3  2001 J5   944  2723 J7  2619  1045 J5   387  4811 16237  6.4  5.7  0.70  0.11  -0.44 -10.65  -5.19  -3.43  83   740     0  2.8
  4  2922 J5  1043  2260 J7  2450  1868 J5   425  7734 19802  7.8  7.0  0.78  0.13   6.41  -1.33   2.63   3.66  71   474     0  4.2
  5  4109 J5  1805  3077 J6  3680  2430 J5   520 10215 23034  8.0  6.9  1.02  0.14  11.72   2.90   7.43   8.33  68   342     0  4.2
  6  5486 J5  1584  4545 J6  3325  2844 J5   654 11407 24903  7.4  5.9  1.67  0.13  14.20   6.75  10.60  11.01  77   236     0  4.3
  7  4440 J5  1625  3157 J6  3024  2646 J5   511 10769 23820  8.2  7.1  1.82  0.11  15.55   8.44  12.19  12.80  82   196     0  3.9
  8  3548 J5  1283  3093 J7  2850  1992 J5   539  8603 20751  7.5  6.7  1.85  0.12  15.59   6.84  11.54  12.54  81   221     0  3.4
  9  2093 J5   991  1677 J7  2078  1391 J5   287  5792 17305  8.5  7.4  1.56  0.12  13.24   6.31   9.76  10.93  81   257     0  3.9
 10  1174 J5   582  1757 J7  1768   680 J5   215  3123 13750  6.4  5.7  1.03  0.13   4.50  -2.81   0.77   2.21  81   542     0  3.3
 11   361 J5   152   479 J7   705   289 J5   108  1292 10248  7.5  6.9  0.87  0.15   0.11  -6.30  -3.16  -2.52  81   643     0  4.1
 12   140 J5    31    58 J7   145   135 J5    27   600  8089  9.0  8.4  0.77  0.18  -3.04  -9.31  -5.89  -6.07  87   760     0  3.9
 13  2288 J5  1803  2044 J7  1338  1347 J5   986  5639 16659  7.6  6.8  1.13  0.12   5.76  -2.03   2.05   2.99  80  5994     0  3.8
 1992
  1   293 J5   111   157 J7   274   271 J5    98   944  9312  7.9  7.0  0.73  0.22  -1.40  -9.64  -5.37  -4.18  82   739     0  3.7
  2   917 J5   358   987 J7  1189   676 J5   199  2395 12668  6.3  5.6  0.64  0.26  -6.06 -16.69 -11.04  -9.12  82   861     0  2.7
  3  1939 J5   689  1538 J7  1511  1368 J5   424  4881 16330  7.0  6.1  0.64  0.30  -0.73  -9.82  -4.96  -3.50  77   732     0  3.8
  4  3761 J5   982  3114 J7  1751  2174 J5   487  7803 19882  5.1  4.2  0.73  0.32   5.43  -4.92   0.71   2.19  65   542     0  3.4
  5  5330 J5  1542  4752 J6  3205  2609 J5   616 10263 23103  5.2  4.2  1.06  0.31  10.97   1.46   6.80   7.76  62   376     0  4.2
  6  5287 J5  1514  3555 J6  2640  3151 J5   559 11414 24915  7.5  5.9  1.44  0.28  15.05   6.84  11.15  11.64  74   221     0  4.2
  7  4307 J5  1695  2492 J6  2758  2851 J5   648 10732 23758  8.4  7.1  1.88  0.24  16.51   9.85  13.14  13.69  82   160     0  3.6
  8  3086 J5  1113  1620 J7  1947  2245 J5   453  8538 20667  8.8  7.7  1.82  0.20  15.33   9.02  12.13  12.91  83   191     0  3.5
  9  2405 J5   748  2640 J7  2279  1395 J5   339  5721 17220  6.0  5.2  1.04  0.16   8.34  -0.16   4.25   5.78  70   427     0  3.6
 10  1157 J5   431  1871 J7  1669   657 J5   210  3066 13662  5.8  5.1  0.90  0.13   3.22  -4.94  -0.69   0.91  82   595     0  3.0
 11   358 J5   196   571 J7   877   269 J5    84  1261 10170  7.6  6.7  0.83  0.12  -0.10  -5.97  -2.60  -1.87  86   641     0  3.3
 12   153 J5    52   220 J7   343   134 J5    38   596  8076  7.8  7.2  0.67  0.12  -6.05 -14.09  -9.48  -8.83  81   880     0  3.1
 13  2416 J5  1919  1960 J7  1410  1483 J5  1091  5635 16647  6.9  6.0  1.03  0.22   5.04  -3.25   1.17   2.28  77  6366     0  3.5
 1993
  1   315 J5   152   549 J7   786   246 J5    84   966  9383  7.0  6.4  0.55  0.13  -6.52 -14.44 -10.21  -9.48  84   893     0  2.8
  2   823 J5   308   742 J7   900   656 J5   212  2411 12703  7.6  6.5  0.74  0.15  -2.06  -9.43  -5.67  -4.31  81   674     0  3.0
