702600 NENANA MUNICIPAL AP    AK  -9  N64 33  W149  6   109  1000
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   157 J7    16   772 J8   314   104 J7    14   448  7458  5.1  4.5  0.44  0.06 -16.41 -25.46 -20.83 -20.01  66  1217     0  2.3
  2   753 J7    54  1993 J8   589   405 J7    64  1745 11832  4.8  4.2  0.49  0.08 -10.97 -22.03 -16.28 -14.63  64   984     0  2.3
  3  2168 J7   170  3965 J8   915   948 J7   148  4203 16230  4.4  3.7  0.46  0.10  -5.59 -18.71 -11.84  -9.78  56   945     0  2.6
  4  3954 J7   324  5502 J8  1026  1582 J7   240  7308 20551  5.0  3.9  0.69  0.11   6.56  -6.32   0.56   2.22  52   546     0  2.6
  5  5075 J7   431  5881 J8   943  2100 J7   223 10058 24784  5.7  4.6  1.08  0.12  15.47   2.52   9.75  10.79  49   290     0  2.6
  6  5922 J7   442  6645 J8  1321  2401 J7   326 11421 27749  5.7  4.6  1.69  0.11  21.06   8.41  15.36  15.81  57   114     6  2.2
  7  5156 J7   437  5633 J8  1195  2258 J7   326 10648 25910  6.4  5.4  2.05  0.09  21.47  10.13  16.11  16.74  66    84     6  2.1
  8  3799 J7   422  4651 J8  1404  1682 J7   302  8188 21669  6.8  5.6  1.83  0.07  18.06   7.29  12.70  13.95  71   178     3  2.0
  9  2322 J7   247  3767 J8  1140  1016 J7   181  5152 17437  6.2  5.5  1.27  0.05  12.13   1.59   6.70   8.30  68   344     0  2.3
 10   997 J7   100  2154 J8   753   530 J7    93  2427 13142  6.5  5.9  0.80  0.04   0.39  -7.85  -3.68  -2.46  69   684     0  2.4
 11   279 J7    28  1225 J8   514   167 J7    30   718  8680  5.5  5.0  0.58  0.04 -11.17 -19.47 -15.13 -14.24  68  1009     0  2.4
 12    51 J8     6   558 J8   244    33 J8     5   173  5584  5.3  4.8  0.49  0.04 -15.06 -24.29 -19.50 -19.00  67  1178     0  2.2
 13  2553 J7   104  3562 J8   524  1102 J7   144  5207 16752  5.6  4.8  0.99  0.08   3.00  -7.85  -2.17  -1.03  63  7574    15  2.3
 1991
  1   160 J6   107   484 J7   682   125 J6    76   443  7429  6.2  5.3  0.48  0.05 -14.55 -24.76 -19.07 -18.25  70  1177     0  3.3
  2   754 J5   350  1776 J7  1532   444 J5   188  1723 11785  4.8  4.2  0.52  0.07 -13.20 -24.41 -18.90 -17.79  66  1040     0  3.2
  3  1904 J5   731  2786 J7  2449  1084 J5   485  4160 16165  6.1  5.1  0.47  0.08  -4.54 -18.66 -11.66  -9.39  72   928     0  2.9
  4  4361 J6   842  6584 J7  2174  1536 J6   453  7261 20486  4.4  2.7  0.66  0.10   8.02  -6.86   0.74   3.03  58   533     0  2.5
  5  5442 J6  1249  6260 J7  3268  2256 J6   591 10024 24721  5.8  4.2  1.04  0.11  16.24   2.76   9.98  11.22  51   274     0  2.7
  6  6109 J6   998  6206 J7  2695  2705 J6   660 11416 27736  6.4  5.0  1.67  0.10  22.85   8.44  16.18  16.75  54   103    23  2.7
  7  4798 J6  1022  3692 J7  2193  2887 J6   340 10675 25967  8.0  6.8  1.80  0.09  19.76   8.35  14.20  14.84  70   134     1  2.1
  8  3594 J6   924  3364 J7  2628  2038 J6   569  8231 21733  7.8  6.6  1.61  0.10  16.31   5.38  10.88  12.25  72   232     0  2.5
  9  2088 J6   622  2227 J7  1660  1278 J6   292  5197 17501  7.3  6.5  1.29  0.11  14.11   2.72   8.33  10.14  66   297     0  2.7
 10   967 J5   495  1589 J7  1698   601 J5   265  2461 13210  6.5  5.3  0.73  0.12   0.37  -7.69  -3.38  -1.95  79   682     0  3.4
 11   267 J5   151   520 J7   624   205 J5    91   733  8747  4.0  3.4  0.54  0.14 -13.06 -20.64 -16.65 -15.74  67  1055     0  2.7
 12    37 J6    16    33 J7    49    36 J6    15   174  5595  6.2  5.2  0.41  0.17 -16.56 -24.77 -20.31 -20.01  67  1209     0  2.2
 13  2540 J6  2217  2960 J7  2331  1266 J6  1020  5208 16756  6.1  5.0  0.94  0.10   2.98  -8.34  -2.47  -1.24  66  7664    24  2.7
 1992
  1   128 J6    72   116 J7   155   120 J6    67   437  7398  5.3  4.7  0.43  0.20 -16.38 -25.04 -20.50 -19.70  71  1210     0  2.1
  2   652 J5   304   635 J7   760   525 J5   213  1743 11818  5.4  4.5  0.45  0.24 -16.65 -25.39 -20.83 -19.40  75  1141     0  2.5
  3  1876 J5   590  1769 J7  1395  1296 J5   359  4232 16271  5.1  4.3  0.46  0.27  -3.04 -17.66 -10.30  -7.89  65   889     0  2.3
  4  3713 J5   941  3040 J7  2221  2316 J5   621  7337 20589  6.0  4.3  0.55  0.30   2.10 -10.41  -3.64  -2.08  62   674     0  2.8
  5  4659 J6  1231  3511 J7  2871  2794 J6   621 10079 24822  6.4  5.5  0.88  0.28  10.38  -0.99   5.12   6.01  56   423     0  3.2
  6  5700 J6   996  4401 J7  2410  3249 J6   532 11424 27758  6.7  5.2  1.52  0.26  21.24   7.12  14.71  15.22  61   127     3  2.4
