702606 CHULITNA               AK  -9  N62 53  W149 50   381   968
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   218 J8    32   688 J8   358   159 J8    14   649  8364  6.5  5.8  0.47  0.06  -7.69 -12.76 -10.16  -9.64  75   885     0  4.2
  2   834 J8   117  1565 J8   693   526 J8    51  2017 12219  6.6  5.5  0.49  0.08  -5.28 -11.43  -8.46  -7.39  75   754     0  3.7
  3  2097 J8   280  3055 J8  1059  1103 J8   142  4479 16258  5.9  5.0  0.46  0.10  -2.27 -10.65  -6.53  -5.04  70   769     0  3.6
  4  3633 J8   356  4146 J8   825  1789 J8   129  7507 20232  6.5  5.1  0.62  0.11   5.25  -3.69   0.64   1.93  66   527     0  2.7
  5  4707 J8   575  4399 J8  1176  2423 J8   137 10132 23970  7.1  5.8  0.94  0.12  11.53   2.69   7.14   7.90  61   348     0  2.6
  6  5073 J8   559  4186 J8  1011  2804 J8   157 11404 26291  7.7  6.3  1.41  0.11  17.74   8.08  13.05  13.53  65   165     2  2.8
  7  4223 J8   580  3011 J8  1084  2622 J8   135 10682 24867  8.4  7.3  1.77  0.09  17.97   9.83  13.68  14.13  77   139     2  2.4
  8  3153 J8   486  2631 J8   991  1930 J8   126  8346 21221  8.1  7.4  1.63  0.07  15.76   7.70  11.63  12.70  81   205     1  2.1
  9  2132 J8   280  2504 J8   890  1220 J8    84  5406 17353  7.7  6.9  1.16  0.05   9.64   2.45   5.82   6.96  80   369     0  2.4
 10  1116 J8   116  2006 J8   604   654 J8    53  2705 13394  6.8  6.0  0.75  0.04   1.23  -4.45  -1.68  -0.64  77   618     0  3.1
 11   348 J8    46   995 J8   418   234 J8    19   942  9393  6.9  6.2  0.56  0.04  -5.18  -9.88  -7.58  -7.09  76   776     0  3.6
 12   103 J8    14   504 J8   232    77 J8     5   333  6815  6.8  6.0  0.50  0.04  -6.92 -11.83  -9.34  -9.24  75   859     0  4.0
 13  2303 J8   194  2474 J8   420  1295 J8    53  5383 16698  7.1  6.1  0.90  0.08   4.32  -2.83   0.68   1.51  73  6413     5  3.1
 1991
  1   189 J8   143   649 J8  1054   127 J8    54   644  8342  7.3  7.1  0.53  0.05  -8.00 -13.78 -10.97 -10.55  78   906     0  3.6
  2   836 J8   400  1336 J8  1445   573 J8   210  1994 12174  7.6  6.1  0.63  0.07  -5.77 -12.24  -9.00  -7.90  73   765     0  4.9
  3  1853 J8   941  2820 J8  2992   951 J8   358  4436 16197  6.2  5.6  0.53  0.09  -1.85 -10.79  -6.57  -4.94  77   764     0  3.8
  4  3352 J8  1252  3608 J8  2973  1783 J8   518  7462 20172  7.1  5.4  0.65  0.10   5.89  -3.54   0.90   2.31  68   515     0  3.6
  5  4865 J8  1709  4856 J8  3679  2313 J8   528 10100 23917  6.8  5.7  0.91  0.11  12.29   2.40   7.00   7.82  72   341     0  3.2
  6  5617 J8  1664  5268 J8  3681  2687 J8   673 11399 26281  7.1  6.1  1.57  0.10  19.65   9.14  14.61  15.14  63   130    12  3.3
  7  4769 J8  1577  4228 J8  3255  2486 J8   602 10707 24914  7.5  6.5  1.70  0.09  17.28   8.94  12.98  13.45  78   162     0  3.0
  8  3385 J8  1344  3067 J8  3281  1948 J8   596  8388 21281  7.1  6.4  1.60  0.10  15.23   6.29  10.65  11.85  79   235     0  3.4
  9  2237 J8  1027  2345 J8  2257  1300 J8   317  5450 17413  8.1  7.0  1.20  0.11  11.74   4.21   7.71   8.91  81   311     0  3.2
 10  1103 J8   524  1789 J8  1726   652 J8   241  2739 13457  5.4  4.8  0.71  0.12   0.43  -5.60  -2.58  -1.47  75   648     0  3.1
 11   332 J8   187   623 J8   834   244 J8   108   959  9451  6.0  5.4  0.61  0.14  -4.81  -8.99  -7.04  -6.50  77   757     0  4.5
 12    75 J8    31    76 J8   222    70 J8    22   335  6824  7.6  6.8  0.53  0.17  -7.53 -11.99  -9.65  -9.65  84   871     0  2.9
 13  2385 J8  1976  2556 J8  1719  1261 J8   957  5384 16702  7.0  6.1  0.93  0.10   4.54  -3.00   0.67   1.54  75  6404    12  3.5
 1992
  1   174 J8    83   110 J8   177   164 J8    76   637  8317  7.0  6.7  0.51  0.21  -5.57 -10.43  -7.84  -7.29  88   816     0  3.4
  2   744 J8   306   811 J8   962   572 J8   227  2014 12208  5.9  5.2  0.50  0.24  -8.04 -13.57 -10.85  -9.82  88   845     0  3.4
  3  2061 J8   836  2016 J8  1578  1339 J8   421  4507 16296  6.2  4.4  0.53  0.27  -2.28 -10.44  -6.46  -4.94  84   765     0  2.8
  4  3976 J8  1052  3982 J8  2103  2063 J8   558  7535 20266  4.1  3.2  0.59  0.30   3.98  -6.40  -1.17   0.37  72   586     0  3.8
  5  5136 J8  1430  4589 J8  3166  2623 J8   597 10152 23999  5.2  4.5  0.91  0.28   9.97  -0.10   5.20   6.03  58   415     0  3.4
