702607 HOONAH                 AK  -9  N58  5  W135 27     6  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   448 J8    63   959 J8   435   307 J8    21  1319 10205  7.4  6.6  0.90  0.07   0.38  -3.44  -1.53  -0.94  86   616     0  3.0
  2  1142 J8   179  1758 J8   797   692 J8    53  2815 13091  7.3  6.1  0.88  0.09   1.99  -2.98  -0.57   0.46  85   532     0  2.6
  3  2307 J8   264  2775 J8   876  1256 J8   105  5248 16320  6.8  5.8  0.80  0.12   3.67  -2.59   0.52   1.60  81   551     0  2.6
  4  4200 J8   374  4098 J8  1048  2167 J8   189  8057 19501  6.1  5.1  0.96  0.13   8.99  -0.43   4.47   5.98  79   422     0  2.2
  5  5256 J8   429  4696 J8  1232  2621 J8   290 10370 22297  6.3  5.3  1.26  0.14  13.60   2.62   8.61   9.97  75   317     0  2.1
  6  4822 J8   336  3628 J8   811  2697 J8   163 11441 23803  7.2  6.5  1.69  0.13  16.67   6.27  11.92  13.05  79   206     0  1.9
  7  4365 J8   537  2709 J8  1146  2811 J8   214 10830 22872  8.1  7.5  2.13  0.11  17.69   9.69  13.85  14.68  83   144     0  1.7
  8  3802 J8   432  3318 J8  1079  2089 J8   168  8798 20227  7.2  6.5  2.14  0.09  17.57   8.28  13.14  14.41  85   168     0  1.6
  9  2466 J8   268  2238 J8   900  1535 J8   126  6117 17163  7.9  7.3  1.75  0.06  13.31   6.11   9.80  11.01  89   259     0  1.9
 10  1274 J8   153  1748 J8   637   770 J8    43  3509 13982  7.8  7.2  1.28  0.05   8.29   2.63   5.42   6.53  89   399     0  2.2
 11   637 J8    80  1248 J8   553   425 J8    35  1657 10916  7.4  6.7  0.97  0.04   3.40  -0.74   1.32   2.05  87   510     0  2.6
 12   308 J8    36   761 J8   403   222 J8    16   928  9136  7.6  7.1  0.90  0.05   1.09  -2.42  -0.59  -0.13  89   589     0  2.8
 13  2586 J8   141  2495 J8   508  1466 J8    86  5924 16626  7.2  6.5  1.30  0.09   8.89   1.92   5.53   6.56  84  4712     1  2.3
 1991
  1   458 J8   221  1199 J8  1501   287 J8   117  1313 10192  6.4  5.9  1.01  0.06   0.21  -5.10  -2.53  -1.79  84   644     0  2.4
  2   936 J8   506   871 J8  1565   700 J8   173  2792 13053  8.6  7.6  1.04  0.08   3.08  -0.83   0.87   1.73  95   482     0  2.1
  3  2362 J8   953  2915 J8  2589  1272 J8   483  5207 16271  6.6  5.5  0.90  0.10   3.76  -2.89   0.28   1.46  85   555     0  1.8
  4  3592 J8  1639  2774 J8  3543  2208 J8   535  8017 19453  7.3  6.3  1.15  0.12   6.48  -0.09   3.45   4.33  87   454     0  1.9
  5  4776 J8  1507  3437 J8  3071  2797 J8   607 10342 22261  7.7  6.6  1.28  0.13  13.10   2.50   8.20   9.43  82   326     0  2.2
  6  5123 J8  1998  4156 J8  3891  2620 J8   543 11437 23797  7.0  6.4  1.69  0.13  17.30   5.49  11.81  13.02  82   208     0  2.0
  7  4242 J8  1659  2286 J8  2920  2882 J8   471 10851 22902  8.6  7.8  2.07  0.11  16.86  10.38  13.67  14.29  84   146     0  1.8
  8  4145 J8  1549  3872 J8  3325  2094 J8   515  8836 20274  5.6  5.5  2.32  0.12  16.10   9.44  12.87  13.82  85   172     0  1.5
  9  1872 J8   673   671 J8  1213  1595 J8   396  6159 17210  9.4  8.9  2.04  0.12  12.50   7.78  10.02  10.81  93   246     0  2.1
 10  1243 J8   554  1628 J8  1813   775 J8   248  3544 14030  6.7  5.8  1.26  0.13   7.79   2.07   4.84   6.02  83   415     0  2.4
 11   469 J8   173   290 J8   541   418 J8   129  1676 10959  8.7  8.4  1.23  0.15   3.72   0.65   2.19   2.74  93   484     0  3.2
 12   247 J8    66    51 J8    69   240 J8    61   930  9142  9.1  8.8  1.07  0.18   1.25  -1.14   0.15   0.47  94   566     0  2.6
 13  2455 J8  1829  2013 J8  1423  1491 J8  1007  5925 16629  7.6  7.0  1.42  0.12   8.51   2.36   5.48   6.36  87  4699     0  2.2
 1992
  1   357 J8   148   212 J8   415   322 J8    99  1305 10169  9.3  8.5  1.16  0.22   2.67   0.37   1.49   1.89  94   521     0  2.8
  2   923 J8   364   607 J8   823   763 J8   259  2812 13081  8.0  7.2  1.04  0.26   2.60  -1.40   0.36   1.27  85   514     0  3.1
  3  2128 J8   892  1603 J8  1902  1472 J8   422  5275 16348  7.3  6.6  1.02  0.29   5.55  -1.40   1.73   3.02  83   504     0  2.2
  4  3893 J8  1429  2955 J8  2910  2367 J8   490  8083 19527  5.9  5.3  1.04  0.31  11.44  -0.09   5.86   7.71  76   380     0  2.4
  5  5132 J8  1483  3045 J8  2385  3325 J8   630 10386 22319  6.7  5.4  1.23  0.30  13.41   1.60   7.93   9.48  70   336     0  1.9
  6  4642 J8  1786  2563 J8  2888  3044 J8   601 11442 23803  7.8  7.1  1.61  0.27  17.01   5.18  11.61  12.91  77   217     0  2.0
  7  3880 J8  1300  1388 J8  1920  3080 J8   479 10817 22857  8.9  8.3  2.12  0.23  17.63   9.28  13.57  14.41  85   151     0  1.7
  8  3720 J8  1407  2503 J8  2496  2388 J8   548  8775 20201  7.3  6.5  2.11  0.19  16.90   8.36  12.76  13.93  84   177     0  1.8
  9  2249 J8   922  1380 J8  1750  1636 J8   398  6091 17136  7.8  7.5  1.44  0.16  11.89   3.37   7.69   8.81  87   321     0  2.2
 10  1194 J8   584  1529 J8  1909   744 J8   235  3487 13953  7.1  6.4  1.10  0.13   6.54   0.46   3.27   4.45  85   460     0  2.1
 11   492 J8   229   441 J8   781   410 J8   110  1644 10888  8.2  7.4  1.18  0.11   4.84   1.38   3.03   3.70  90   457     0  2.7
