702610 FAIRBANKS INTL ARPT    AK  -9  N64 49  W147 51   133   997
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   142 J7    15   525 J8   242   109 J7     8   418  7291  6.6  5.5  0.45  0.06 -18.33 -26.89 -22.50 -21.80  80  1269     0  1.0
  2   710 J7    62  1369 J8   430   470 J7    40  1701 11764  6.4  5.1  0.49  0.08 -12.13 -23.21 -17.67 -15.89  77  1017     0  1.3
  3  2119 J7   157  3240 J8   725  1117 J7    94  4159 16225  5.8  4.3  0.46  0.10  -4.87 -19.05 -11.84  -9.59  64   939     0  2.1
  4  3957 J7   281  4579 J7   994  1990 J7   171  7275 20606  6.4  4.3  0.69  0.12   7.20  -5.21   1.29   2.86  54   520     0  2.4
  5  4977 J7   285  5030 J7   888  2446 J7   181 10047 24933  7.0  5.1  1.06  0.12  15.86   3.92  10.49  11.38  50   262     1  2.9
  6  5587 J7   329  5195 J7   879  2825 J7   191 11426 28054  7.3  5.4  1.69  0.11  21.57  10.36  16.31  16.68  58    84    13  2.5
  7  5047 J7   281  4616 J7   713  2672 J7   133 10645 26109  7.7  5.9  2.07  0.10  22.14  11.81  17.11  17.63  66    58    16  2.3
  8  3481 J7   258  3295 J7   664  1988 J7    94  8163 21748  7.9  6.6  1.84  0.07  18.50   8.66  13.50  14.58  73   153     6  2.3
  9  2131 J7   185  2685 J7   701  1205 J7    78  5111 17453  7.4  6.2  1.29  0.06  12.43   2.34   7.15   8.77  73   328     0  2.1
 10   937 J7    65  1617 J8   391   592 J7    39  2383 13098  7.6  6.4  0.80  0.04  -0.22  -8.00  -4.14  -2.78  79   696     0  1.7
 11   262 J7    26   817 J8   377   189 J7    17   683  8552  6.9  5.9  0.57  0.04 -11.61 -19.51 -15.46 -14.60  79  1017     0  1.2
 12    44 J7     6   367 J8   146    34 J7     3   150  5347  6.9  5.6  0.49  0.04 -16.72 -25.10 -20.87 -20.58  79  1216     0  0.8
 13  2450 J7    74  2778 J7   297  1303 J7    59  5180 16765  7.0  5.5  0.99  0.08   2.82  -7.49  -2.22  -1.11  69  7559    35  1.9
 1991
  1   136 I5    89   558 I7   582   104 I5    67   413  7265  6.4  5.7  0.53  0.05 -15.78 -24.80 -20.24 -20.09  77  1197     0  2.0
  2   734 I5   340  1543 I6  1223   451 I5   161  1680 11713  6.6  5.0  0.54  0.07 -13.71 -22.88 -18.28 -16.91  72  1025     0  2.4
  3  1777 I5   659  2427 I6  2358  1065 I5   348  4115 16158  6.5  5.4  0.56  0.09  -4.62 -17.40 -10.86  -8.89  76   909     0  2.3
  4  4275 I5   769  5745 I6  2262  1811 I5   593  7229 20540  5.5  3.3  0.68  0.10   8.48  -4.17   2.49   4.07  55   485     0  2.1
  5  5137 I5  1003  5373 I6  2660  2399 I5   528 10013 24871  6.7  4.5  1.04  0.11  16.72   4.43  11.25  12.17  46   240     0  3.0
  6  6200 I5  1399  7068 I6  3541  2404 I5   605 11421 28039  6.3  4.3  1.71  0.10  23.59  11.51  17.85  18.24  51    76    53  3.0
  7  5036 I5  1269  4682 I6  2985  2576 I5   495 10672 26171  7.9  6.1  1.97  0.09  21.11  10.31  15.65  16.18  70    87     6  2.8
  8  3422 I5  1074  3401 I6  2846  1884 I5   479  8207 21814  7.1  6.1  1.69  0.10  17.44   7.37  12.33  13.48  69   184     0  3.5
  9  2063 I5   890  2604 I6  2454  1120 I5   307  5157 17516  7.1  5.9  1.39  0.11  15.32   2.61   8.80  10.96  70   281     0  2.9
 10   824 I5   361  1083 I6  1118   584 I5   239  2417 13166  6.6  5.9  0.77  0.12   0.91  -8.37  -3.77  -1.98  77   684     0  2.5
 11   255 I5   162   480 I7   662   195 I5    94   699  8616  5.9  4.9  0.54  0.14 -13.01 -21.46 -17.20 -15.62  74  1067     0  2.2
 12    30 I5    13    23 I7    43    29 I5    12   152  5361  7.8  6.7  0.47  0.17 -15.28 -23.10 -19.08 -19.32  76  1163     0  1.9
 13  2491 I5  2225  2916 I6  2337  1219 I5   961  5181 16769  6.7  5.3  0.99  0.10   3.43  -7.16  -1.75  -0.64  68  7400    59  2.6
 1992
  1   115 I5    69   101 I7   162   108 I5    65   407  7233  6.4  5.6  0.49  0.20 -15.44 -25.09 -20.11 -19.54  78  1197     0  1.5
  2   596 I5   274   792 I6   967   446 I5   164  1699 11753  5.9  5.2  0.50  0.24 -17.16 -27.86 -22.28 -20.67  75  1184     0  1.0
  3  1884 I5   647  1840 I6  1500  1268 I5   383  4188 16267  5.6  4.4  0.52  0.27  -2.82 -17.03  -9.83  -7.70  67   876     0  2.2
  4  3363 I5  1069  2432 I6  2250  2271 I5   585  7305 20646  6.4  5.0  0.62  0.30   2.59  -9.21  -2.78  -1.42  61   649     0  3.2
  5  4589 I5  1427  3575 I6  2767  2654 I5   584 10068 24971  6.7  5.5  0.94  0.29  10.65   0.13   5.88   6.63  51   401     0  3.7
  6  5464 I5  1403  4043 I6  2335  3169 I5   484 11429 28064  6.6  4.9  1.65  0.26  22.16   8.78  15.88  16.34  60    94     8  3.0
