702647 HEALY RIVER AIRPORT    AK  -9  N63 53  W149  1   396   967
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   185 J8    17   663 J8   246   135 J8    12   526  7845  5.6  4.8  0.40  0.06 -12.22 -22.90 -17.72 -17.40  57  1113     0  2.2
  2   791 J8    70  1552 J8   513   502 J8    44  1853 11993  6.0  5.0  0.43  0.08  -6.01 -16.86 -11.67 -10.79  60   841     0  2.8
  3  2186 J8   174  3340 J8   808  1130 J8    98  4314 16242  5.5  4.4  0.40  0.10  -2.30 -14.55  -8.65  -6.61  57   829     0  2.7
  4  3857 J8   264  4506 J8   970  1887 J8   175  7388 20418  6.3  4.4  0.57  0.12   5.17  -5.37   0.22   1.63  56   553     0  3.3
  5  4844 J8   355  4643 J8   837  2483 J8   158 10086 24436  7.2  5.3  0.89  0.12  12.90   1.46   7.73   8.89  56   346     0  3.1
  6  5284 J8   246  4588 J8   595  2882 J8   168 11411 27095  7.5  5.7  1.39  0.12  19.39   8.58  14.37  14.70  58   135     5  2.8
  7  4681 J8   257  3760 J8   629  2740 J8   132 10660 25456  8.2  6.5  1.70  0.10  19.54  10.31  15.01  15.59  68   110     5  2.6
  8  3421 J8   384  3083 J8  1024  2002 J8   123  8251 21482  8.0  6.7  1.54  0.08  16.89   7.95  12.41  13.44  70   188     4  2.5
  9  2123 J8   215  2589 J8   842  1219 J8    90  5254 17402  7.6  6.4  1.06  0.06  10.44   1.73   6.10   7.46  68   367     0  2.7
 10  1044 J8    94  1794 J8   554   648 J8    51  2538 13247  7.3  6.3  0.67  0.04  -0.06  -8.20  -4.17  -3.29  70   696     0  2.2
 11   323 J8    30  1031 J8   456   219 J8    27   806  8982  6.5  5.7  0.50  0.04  -5.98 -15.30 -11.17 -11.05  65   869     0  2.1
 12    73 J8     9   474 J8   181    54 J8     4   233  6120  6.1  5.2  0.43  0.05  -9.89 -20.96 -16.10 -16.38  63  1047     0  2.1
 13  2401 J8    73  2669 J8   291  1325 J8    53  5277 16727  6.8  5.5  0.83  0.08   3.99  -6.18  -1.14  -0.32  62  7094    15  2.6
 1991
  1   159 J8   110   560 J8   825   117 J8    61   521  7821  6.2  5.8  0.45  0.05 -10.25 -21.78 -16.52 -16.37  64  1065     0  2.7
  2   735 J8   386  1385 J8  1487   479 J8   222  1831 11944  6.6  5.5  0.56  0.07  -8.74 -19.22 -14.43 -14.08  59   905     0  3.0
  3  1982 J8   855  2939 J8  2752  1059 J8   479  4270 16179  6.0  5.0  0.45  0.09  -2.14 -13.65  -8.06  -6.21  67   813     0  3.8
  4  3654 J8  1115  4120 J8  2539  1870 J8   456  7342 20355  6.1  4.7  0.59  0.11   6.42  -3.05   2.03   3.48  53   499     0  4.4
  5  5027 J8  1279  5222 J8  2974  2352 J8   597 10053 24380  6.5  5.1  0.91  0.11  13.45   2.57   8.60   9.77  48   320     0  4.6
  6  5565 J8  1894  6021 J8  4302  2404 J8   631 11406 27081  6.2  5.0  1.59  0.11  20.41   9.50  15.31  15.65  52   122    21  4.1
  7  4620 J8  1316  3566 J8  2749  2715 J8   506 10686 25506  8.6  7.0  1.69  0.09  17.93   9.04  13.48  14.04  69   151     1  2.9
  8  3481 J8  1035  3099 J8  2818  2062 J8   560  8294 21542  7.7  6.5  1.51  0.10  14.94   5.73  10.45  11.56  68   248     0  3.2
  9  2077 J8   901  2411 J8  2480  1184 J8   336  5299 17465  7.5  6.2  1.14  0.11  13.14   4.52   8.89  10.25  60   285     0  4.6
 10   858 J8   350  1032 J8  1339   627 J8   219  2572 13313  6.6  5.7  0.64  0.12   1.81  -7.03  -2.25  -0.96  73   649     0  3.9
 11   289 J8   178   568 J8   808   216 J8    98   822  9040  5.8  5.0  0.51  0.14 -10.10 -19.00 -15.45 -15.39  70   986     0  1.7
 12    53 J8    24    83 J8   186    49 J8    18   234  6133  7.4  6.6  0.46  0.17  -7.68 -17.93 -13.40 -14.02  72   965     0  3.6
 13  2375 J8  2022  2584 J8  1926  1261 J8   980  5278 16730  6.8  5.7  0.87  0.11   4.10  -5.86  -0.95  -0.19  63  7009    22  3.6
 1992
  1   146 J8    76   160 J8   257   133 J8    66   515  7793  5.8  5.2  0.44  0.21  -8.33 -20.10 -15.03 -15.53  66  1009     0  2.7
  2   676 J8   283   672 J8   769   539 J8   207  1851 11982  5.3  4.7  0.43  0.24 -15.39 -24.25 -20.26 -19.48  67  1106     0  1.9
  3  1901 J8   775  1782 J8  1706  1294 J8   412  4343 16284  5.6  4.9  0.44  0.28  -1.35 -13.35  -7.60  -5.56  63   796     0  4.4
  4  3498 J8  1092  2507 J8  2188  2307 J8   551  7417 20451  6.9  4.9  0.53  0.30   1.71  -9.86  -3.71  -2.14  67   672     0  3.2
  5  5177 J8  1270  4483 J8  2605  2728 J8   478 10107 24470  6.7  4.3  0.88  0.29   8.39  -2.77   3.50   4.66  63   481     0  3.9
  6  5791 J8  1255  4547 J8  2589  3186 J8   491 11413 27101  6.8  4.8  1.40  0.26  18.77   8.14  13.82  14.15  56   153     6  4.0
  7  4706 J8  1344  3220 J8  2344  2936 J8   471 10644 25423  8.3  6.2  1.68  0.23  19.67  10.82  15.14  15.73  69    99     3  2.8
  8  3262 J8  1242  2438 J8  2456  2078 J8   453  8224 21444  7.6  6.6  1.59  0.19  16.83   8.82  12.59  13.44  63   172     1  4.7
