702650 FAIRBANKS/EIELSON A    AK  -9  N64 39  W147  6   167   993
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   139 J6    16   370 J7   194   114 J6     8   436  7396  6.8  6.5  0.45  0.06 -17.40 -26.17 -21.65 -20.83  83  1244     0  1.2
  2   668 J5    63  1013 J7   446   484 J5    28  1728 11806  6.6  6.2  0.49  0.08 -11.71 -22.69 -17.35 -15.52  81  1004     0  1.3
  3  2045 J5   162  2775 J7   721  1171 J5    81  4186 16228  5.9  5.0  0.45  0.10  -3.48 -17.68 -10.61  -8.48  67   896     0  1.9
  4  3866 J5   255  4090 J7   918  2074 J5   175  7295 20571  6.2  5.1  0.67  0.11   7.96  -5.06   1.82   3.48  56   506     0  2.2
  5  4656 J5   400  4298 J7  1140  2449 J5   198 10053 24839  6.8  6.1  1.04  0.12  15.86   3.17  10.22  11.20  52   274     0  2.6
  6  5514 J5   282  4687 J7   829  2957 J5   184 11423 27861  7.2  6.1  1.65  0.11  21.33   9.56  15.94  16.35  60    96    10  2.3
  7  4783 J5   351  4011 J7   973  2672 J5   192 10647 25984  7.5  6.7  2.02  0.10  22.04  11.08  16.81  17.39  67    67    12  2.1
  8  3309 J5   412  2956 J7  1188  1935 J5   170  8179 21699  7.7  7.1  1.81  0.07  18.57   8.00  13.29  14.47  73   161     4  1.9
  9  2095 J5   247  2425 J7  1128  1236 J5   143  5137 17443  7.3  6.7  1.26  0.06  12.51   1.76   7.01   8.63  74   336     0  1.9
 10   897 J5    72  1384 J7   513   594 J5    54  2411 13126  7.6  6.8  0.78  0.04  -0.34  -8.64  -4.48  -3.09  82   707     0  1.6
 11   254 J5    24   645 J7   287   194 J5    16   705  8633  6.9  6.6  0.56  0.04 -11.39 -19.19 -15.23 -14.37  83  1009     0  1.3
 12    45 J6     5   274 J7   131    36 J6     3   164  5497  6.8  6.2  0.48  0.04 -17.09 -25.28 -21.11 -20.84  83  1225     0  1.2
 13  2356 J5   129  2411 J7   518  1327 J5    81  5197 16757  6.9  6.3  0.97  0.08   3.07  -7.60  -2.11  -0.97  72  7525    27  1.8
 1991
  1   131 J5    95   385 J7   461   106 J5    71   432  7369  6.9  6.8  0.52  0.05 -16.06 -24.83 -20.25 -20.26  83  1202     0  0.9
  2   696 J5   330  1072 J7  1141   490 J5   167  1706 11756  7.2  6.6  0.54  0.07 -14.48 -24.39 -19.20 -17.85  81  1057     0  0.6
  3  1741 J5   781  2111 J7  2297  1094 J5   391  4142 16161  6.8  5.9  0.56  0.09  -4.34 -17.79 -10.95  -8.99  79   911     0  1.3
  4  3857 J5   767  3999 J7  1916  2122 J5   574  7249 20505  5.9  4.8  0.66  0.10   8.62  -5.31   1.88   3.72  62   500     0  0.7
  5  4714 J5  1026  4598 J6  2588  2376 J5   423 10019 24778  6.7  5.9  1.00  0.11  16.91   3.72  11.08  12.21  55   248     0  1.6
