702670 BIG DELTA ALLEN AAF    AK  -9  N64  0  W145 43   386   968
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   184 J7    15   639 J8   243   136 J7    10   512  7779  5.8  4.6  0.39  0.06 -14.95 -22.03 -18.27 -17.84  68  1141     0  5.4
  2   792 J7    56  1583 J8   431   497 J7    40  1833 11964  5.8  4.6  0.43  0.08  -9.52 -17.81 -13.43 -12.34  65   904     0  5.0
  3  2178 J7   139  3263 J8   652  1142 J7    86  4294 16238  5.5  4.2  0.40  0.10  -4.78 -15.66  -9.87  -8.36  57   885     0  4.2
  4  4002 J7   287  4245 J8   939  2151 J7   148  7373 20439  6.1  4.5  0.57  0.11   6.24  -4.37   1.36   2.64  49   522     0  3.9
  5  4858 J7   347  4780 J8   887  2452 J7   148 10081 24494  6.7  5.1  0.90  0.12  13.89   3.62   9.22   9.99  48   297     0  3.8
  6  5402 J7   366  5043 J8   880  2783 J7   132 11412 27201  6.5  5.3  1.39  0.11  19.53   9.46  14.79  15.16  55   122     6  3.2
  7  4847 J7   394  4474 J8   801  2580 J7   104 10658 25533  7.0  5.7  1.68  0.09  20.39  11.02  15.83  16.33  63    88     6  2.9
  8  3510 J7   295  3312 J8   805  1984 J7   103  8241 21514  7.6  6.4  1.53  0.07  17.60   8.18  12.97  13.90  67   173     4  2.9
  9  2277 J7   147  2980 J8   536  1214 J7    70  5237 17410  7.1  5.7  1.05  0.05  11.12   2.15   6.69   7.86  67   351     0  3.5
 10   950 J7    91  1737 J8   493   560 J7    31  2519 13230  7.2  6.0  0.67  0.04  -0.53  -7.47  -3.77  -2.87  75   692     0  3.9
 11   307 J7    28   935 J8   392   215 J7    16   790  8932  6.3  5.2  0.49  0.04  -9.66 -16.46 -12.84 -12.33  72   942     0  4.7
 12    69 J7     7   413 J8   136    53 J7     4   222  6032  6.0  4.9  0.42  0.04 -13.47 -20.45 -16.75 -16.62  69  1094     0  5.4
 13  2448 J7   104  2784 J8   313  1314 J7    47  5264 16730  6.5  5.2  0.83  0.08   2.99  -5.82  -1.17  -0.37  63  7210    17  4.1
 1991
  1   170 I6   113   553 I7   685   127 I6    69   507  7755  6.1  5.0  0.42  0.05 -13.23 -22.57 -17.71 -17.13  58  1123     0  4.1
  2   821 I6   403  1785 I7  1662   475 I6   159  1811 11918  6.4  4.9  0.54  0.07 -12.27 -19.69 -15.60 -14.80  60   961     0  4.8
  3  1952 J6   791  2801 J7  2469  1050 J6   323  4250 16172  6.6  5.1  0.47  0.08  -3.63 -15.78  -9.28  -7.82  63   869     0  2.7
  4  4233 J6  1114  5082 J7  2942  2013 J6   660  7327 20373  6.6  4.2  0.59  0.10   7.50  -2.73   2.79   4.05  45   478     0  4.1
  5  5188 J6   954  5537 J7  2783  2361 J6   557 10048 24437  6.3  4.9  0.84  0.10  14.84   4.12  10.04  10.92  41   274     0  4.5
  6  6085 J6  1243  6652 J7  3073  2553 J6   540 11407 27189  5.5  3.9  1.43  0.10  20.64   9.29  15.34  15.80  49   123    22  2.8
  7  4692 J6  1321  3993 J7  2622  2634 J6   386 10684 25586  7.5  6.0  1.56  0.09  19.03   9.26  14.18  14.74  62   133     4  2.3
  8  3793 J6   891  3697 J7  2379  2052 J6   467  8284 21577  7.9  6.4  1.42  0.10  16.84   7.11  11.93  12.84  58   197     0  3.1
  9  2470 J6   838  3480 J7  2457  1163 J6   299  5282 17473  6.7  5.1  1.08  0.11  13.70   4.45   9.18  10.49  55   278     0  4.8
 10   883 I6   499  1457 I7  1651   541 I6   227  2554 13297  6.5  5.6  0.58  0.12  -0.95  -6.99  -3.53  -2.76  68   691     0  4.1
 11   280 I6   156   663 I7   756   202 I6    94   806  8990  5.4  4.6  0.49  0.14 -12.40 -18.26 -15.15 -14.85  64  1010     0  4.1
 12    51 I6    17    70 I7   121    48 I6    14   223  6042  5.8  5.1  0.46  0.17 -12.57 -20.64 -16.13 -15.81  64  1083     0  5.3
 13  2552 J6  2166  2981 J7  2126  1268 J6  1001  5265 16734  6.4  5.1  0.82  0.10   3.12  -6.04  -1.16  -0.36  57  7221    25  3.9
 1992
  1   147 I6    81   174 I7   308   132 I6    64   501  7723  5.8  5.0  0.46  0.20 -12.62 -19.47 -15.69 -15.47  68  1066     0  4.4
  2   700 I6   311   878 I7   990   521 I6   197  1831 11950  5.8  5.0  0.40  0.24 -14.36 -23.29 -18.53 -17.08  61  1077     0  3.1
  3  2044 I6   654  2070 I7  1317  1328 I6   385  4322 16280  6.3  4.9  0.39  0.27  -2.68 -13.36  -7.43  -6.08  54   817     0  4.4
  4  3581 J6  1007  2472 J7  1755  2408 J6   571  7402 20474  7.3  5.9  0.47  0.29   1.68  -7.42  -2.58  -1.50  56   636     0  3.1
  5  4264 J6  1190  2741 J7  2078  2767 J6   539 10101 24528  7.5  6.4  0.78  0.28   9.07   0.60   5.00   5.59  49   418     0  3.0
  6  5240 J6  1685  4006 J7  3114  2962 J6   546 11415 27207  6.9  5.5  1.22  0.26  19.37   9.01  14.58  14.98  51   133     9  2.8
  7  4935 J6  1231  3854 J7  2510  2813 J6   416 10642 25498  6.6  5.6  1.55  0.22  20.07  11.16  15.53  16.04  67    87     2  2.2
  8  3275 J6  1202  2271 J7  1724  2145 J6   466  8214 21476  8.8  7.1  1.44  0.18  20.35   9.29  15.17  15.83  53   114     5  3.3
  9  2009 J6  1072  2086 J7  2273  1183 J6   368  5208 17373  7.8  6.7  0.68  0.15   2.35  -6.12  -1.45  -0.29  68   606     0  2.3
 10   890 I6   461  1283 I7  1306   567 I6   186  2496 13190  7.2  5.6  0.55  0.13  -2.66  -9.87  -5.97  -5.00  69   762     0  3.7
 11   254 I6   151   373 I7   492   208 I6   101   779  8888  7.7  6.3  0.54  0.11  -6.59 -14.98 -10.19  -8.93  67   873     0  4.7
 12    54 I6    14   124 I7   173    48 I6    11   220  6022  6.5  5.2  0.35  0.11 -15.71 -23.53 -19.01 -18.64  61  1176     0  4.6
 13  2283 J6  1921  1861 J7  1327  1424 J6  1138  5261 16717  7.0  5.8  0.74  0.20   1.52  -7.33  -2.55  -1.71  60  7767    17  3.5
 1993
  1   171 I6   106   355 I7   490   138 I6    71   520  7818  6.9  5.0  0.39  0.11 -13.16 -21.33 -17.49 -17.01  63  1103     0  4.4
  2   731 I6   323  1216 I7  1063   498 I6   187  1845 11994  6.0  4.1  0.53  0.12  -8.80 -17.43 -12.63 -11.43  64   880     0  5.3
  3  2158 I6   813  3124 I7  2275  1123 I6   332  4301 16251  6.3  4.4  0.43  0.14  -0.01 -11.69  -5.55  -3.77  53   750     0  3.8
  4  4144 J6   928  4422 J7  2460  2155 J6   520  7381 20454  6.0  4.3  0.61  0.14  10.27  -2.21   4.53   6.26  44   429     0  3.6
  5  5199 J6  1333  5567 J7  2975  2321 J6   514 10087 24504  5.9  4.3  1.05  0.15  16.59   4.25  10.98  11.95  48   245     0  3.3
  6  5777 J6  1027  5514 J7  2396  2790 J6   443 11414 27204  5.6  4.6  1.36  0.14  20.53   8.51  14.86  15.32  54   114     0  2.4
  7  5575 I5  1310  6176 I7  3229  2325 I5   538 10655 25528  5.9  4.7  1.65  0.12  22.54  11.41  17.31  17.97  53    54    12  2.5
  8  3370 I5  1087  2892 I6  2270  2003 I5   452  8234 21505  8.1  6.8  1.49  0.09  17.10   7.67  12.59  13.57  64   187     2  3.1
  9  2303 I5   838  2892 I6  2252  1228 I5   421  5230 17397  8.2  6.7  1.03  0.07  11.17   1.42   6.44   7.68  61   361     0  3.7
 10   978 I5   522  1749 I6  1703   553 I5   209  2514 13217  7.9  6.5  0.78  0.05   2.41  -5.58  -1.29  -0.02  72   617     0  4.0
 11   269 I5   148   546 I7   651   216 I5   117   787  8925  7.6  6.3  0.50  0.05  -8.09 -16.53 -12.01 -11.81  70   919     0  3.8
 12    65 I5    23   327 I7   320    52 I5    15   221  6028  6.5  4.8  0.47  0.05  -9.24 -15.24 -11.82 -11.37  69   948     0  6.7
 13  2562 I6  2191  2898 I7  2129  1284 I6   993  5266 16735  6.7  5.2  0.86  0.10   5.11  -4.73   0.49   1.45  60  6607    14  3.9
 1994
  1   176 I5   101   561 I7   539   137 I5    81   513  7786  5.8  4.6  0.41  0.06 -12.90 -17.47 -14.99 -14.38  57  1039     0  7.8
  2   863 I5   428  2221 I6  1831   418 I5   155  1829 11957  4.2  3.3  0.34  0.08 -15.36 -23.64 -19.51 -17.92  59  1059     0  4.0
  3  1953 I5   748  2214 I6  1915  1211 I5   376  4277 16213  8.1  6.2  0.40  0.10  -5.83 -14.62 -10.00  -8.74  55   885     0  4.2
  4  4005 I5  1119  3897 I6  2473  2221 I5   500  7355 20416  7.8  5.7  0.56  0.11   6.87  -4.53   1.56   3.07  52   515     0  3.3
  5  5171 I5  1119  5313 I6  2571  2383 I5   468 10068 24471  7.2  5.3  0.86  0.11  15.14   3.97  10.11  11.01  42   272     0  4.5
  6  5247 I5  1540  4747 I7  3151  2708 I5   343 11411 27200  7.2  5.9  1.25  0.11  18.48   8.27  13.42  13.81  60   151     3  2.3
  7  5300 I5  1153  5136 I6  2812  2531 I5   500 10669 25555  7.1  5.6  1.77  0.09  22.38  11.23  17.01  17.70  54    57    10  2.8
  8  3912 I5  1393  4551 I6  3306  1750 I5   390  8257 21538  7.0  5.6  1.77  0.07  20.77   8.88  14.99  16.21  59   137    29  2.5
  9  2180 I5   873  3014 I6  2686  1123 I5   370  5254 17432  7.8  6.3  0.91  0.05  10.63   1.27   6.00   7.50  63   371     0  3.4
 10   814 I5   518  1246 I6  1662   522 I5   193  2532 13255  8.2  7.2  0.53  0.04  -2.58  -9.51  -5.69  -4.84  77   756     0  3.2
 11   290 I5   166   674 I7   883   222 I5   132   796  8955  8.1  7.0  0.36  0.03 -11.83 -21.04 -16.65 -16.58  68  1043     0  3.8
 12    64 I5    26   345 I7   436    50 I5    17   222  6037  6.8  5.7  0.34  0.04 -16.45 -24.16 -20.01 -19.57  60  1198     0  4.9
 13  2498 I5  2109  2827 I6  1871  1273 I5  1010  5265 16735  7.1  5.7  0.79  0.07   2.44  -6.78  -1.98  -1.06  59  7484    41  3.9
 1995
  1   186 I5   103   628 I7   728   140 I5    83   507  7758  7.0  5.5  0.39  0.05 -14.32 -20.93 -17.29 -16.53  59  1115     0  5.2
  2   770 I5   399  1623 I6  1592   458 I5   202  1813 11921  6.4  5.1  0.38  0.07 -10.39 -19.96 -14.51 -12.93  58   938     0  4.3
  3  2131 I5   905  3382 I6  2874  1044 I5   419  4253 16177  6.4  5.2  0.34  0.08  -8.91 -20.36 -14.27 -12.50  53  1022     0  3.4
  4  4153 I5  1016  5217 I6  2990  1925 I5   547  7330 20374  5.4  4.2  0.62  0.10   9.35  -2.32   3.96   5.62  42   444     0  3.6
  5  4755 I5  1440  4959 I6  3486  2215 I5   610 10050 24441  7.0  5.8  1.01  0.10  16.31   5.33  11.43  12.24  39   233     0  4.4
  6  5501 I5  1436  5116 I7  2972  2698 I5   451 11407 27190  7.4  5.8  1.56  0.10  19.82   9.19  14.60  15.01  47   119     4  2.9
  7  4591 I5  1695  4114 I6  3442  2435 I5   418 10682 25581  7.3  6.3  1.66  0.08  20.30  11.30  15.81  16.29  56    84     5  2.4
  8  3351 I5  1327  2815 I6  2534  1984 I5   446  8281 21572  8.7  7.5  1.46  0.06  16.61   7.88  12.14  12.97  69   189     0  2.2
  9  2293 I5   659  2921 I6  2132  1250 I5   377  5279 17469  8.0  6.3  1.32  0.04  16.26   6.66  11.79  11.59  57   207     1  4.0
 10   868 I5   381  1092 I6  1169   618 I5   228  2551 13290  8.8  7.3  0.67  0.03   2.59  -5.48  -1.62  -1.93  69   613     0  3.4
 11   362 I5   179  1918 I7  1375   172 I5    99   805  8987  4.1  3.4  0.34  0.03 -11.58 -20.52 -16.21 -16.13  65  1031     0  3.1
 12    71 I5    24   450 I7   496    54 I5    19   223  6042  6.5  5.1  0.35  0.03 -11.69 -18.75 -15.47 -16.40  60  1040     0  6.5
 13  2419 I5  1989  2853 I6  1738  1250 I5   969  5265 16734  6.9  5.6  0.84  0.06   3.70  -5.66  -0.80  -0.22  56  7034    10  3.8
 1996
  1   202 I5   104  1148 I7   872   117 I5    72   501  7727  4.6  3.6  0.28  0.05 -20.23 -28.26 -24.80 -24.84  55  1320     0  3.8
  2   673 I5   342  1099 I6  1410   470 I5   222  1833 11957  7.5  6.6  0.31  0.07 -12.01 -22.07 -16.82 -16.41  63  1026     0  3.2
  3  2391 I5   850  4274 I6  2631  1011 I5   382  4325 16284  4.7  3.5  0.37  0.08  -3.10 -14.58  -8.56  -6.73  52   842     0  3.7
  4  4410 I5   834  5610 I6  2849  1920 I5   715  7405 20487  5.9  4.1  0.53  0.10   6.45  -6.13   0.47   2.06  43   545     0  3.0
  5  5137 I5  1427  5308 I6  3299  2395 I5   598 10103 24532  7.0  5.1  0.83  0.10  14.05   2.38   8.74   9.63  38   314     0  3.1
  6  5809 I5  1564  5951 I7  3320  2614 I5   511 11415 27208  6.4  5.2  1.13  0.10  19.07   7.94  13.93  14.33  44   145     1  3.3
  7  5335 J6  1237  5272 J7  2542  2567 J6   316 10640 25494  7.3  5.2  1.52  0.08  20.58  11.05  15.79  16.30  61    79     1  2.6
  8  3522 J6  1135  3096 J7  2617  2059 J6   423  8210 21471  8.6  7.1  1.26  0.06  16.14   6.75  11.17  12.25  65   213     0  2.4
  9  2246 J5  1133  3187 J6  3170  1062 J5   282  5205 17369  7.8  6.4  0.81  0.04   9.43   1.15   4.89   6.15  62   391     0  3.1
 10  1157 J5   520  3030 J6  2376   494 J5   244  2494 13181  5.9  4.5  0.45  0.03  -6.19 -15.85 -10.87  -9.11  66   910     0  2.0
 11   308 J5   136  1416 J7  1292   186 J5   122   778  8885  4.8  4.4  0.47  0.03 -12.36 -16.87 -14.31 -13.79  57   988     0  5.7
 12    64 J6    22   475 J7   536    47 J6    17   220  6022  5.3  4.7  0.29  0.03 -18.65 -25.75 -22.12 -21.73  57  1256     0  3.5
 13  2604 J5  2169  3322 J7  1962  1245 J5  1006  5261 16718  6.3  5.0  0.69  0.06   1.10  -8.35  -3.54  -2.66  55  8030     2  3.3
 1997
  1   195 J5   110   695 J7   736   143 J5    84   520  7823  5.7  4.8  0.30  0.05 -17.83 -24.70 -21.02 -20.37  64  1227     0  5.7
  2   779 J5   327  1237 J6  1342   543 J5   181  1847 12000  7.9  5.8  0.46  0.07  -3.06  -9.85  -6.35  -5.24  58   694     0  6.3
  3  2350 J5   836  3881 J6  2824  1096 J5   393  4304 16254  5.3  3.9  0.27  0.08  -7.81 -20.57 -13.88 -11.81  47  1008     0  3.5
  4  4394 J5  1156  5503 J6  3110  1945 J5   585  7384 20459  6.0  4.1  0.52  0.10   7.77  -4.74   1.84   3.43  40   504     0  3.6
  5  5174 J5  1447  5639 J6  3743  2292 J5   636 10089 24509  6.6  5.0  0.80  0.10  14.18   3.10   9.17  10.01  42   300     0  3.3
  6  5946 J6  1155  6164 J7  2813  2633 J6   470 11414 27205  6.2  4.8  1.34  0.10  21.67  10.19  16.40  16.83  47    87    15  2.9
  7  5163 J5  1301  4871 J6  2828  2560 J5   459 10653 25525  7.6  5.9  1.77  0.08  22.16  12.00  17.10  17.67  60    49    10  2.3
  8  3535 J5  1062  3230 J6  2526  2001 J5   490  8231 21503  8.6  7.0  1.70  0.06  18.77   9.89  14.15  15.06  65   128     4  3.1
  9  2446 J5   824  3400 J6  2589  1215 J5   429  5227 17394  7.2  5.9  1.09  0.04  14.60   4.57   9.58  11.16  57   262     0  4.1
 10   853 J5   493  1329 J6  1581   540 J5   202  2511 13214  8.3  7.4  0.39  0.03  -5.23 -12.48  -8.55  -7.54  69   843     0  3.1
 11   305 J5   183   893 J7  1108   208 J5   106   786  8922  6.7  5.5  0.46  0.03  -5.47 -10.42  -7.98  -7.66  65   788     0  6.1
 12    68 J7    27   295 J8   334    58 J7    23   221  6028  6.8  5.7  0.31  0.03 -10.65 -19.96 -15.25 -15.06  65  1043     0  4.3
 13  2601 J5  2183  3095 J6  2145  1269 J5   978  5266 16736  6.9  5.5  0.78  0.06   4.09  -5.25  -0.40   0.54  57  6935    29  4.0
 1998
  1   189 J8   110   703 J8   572   136 J8    80   514  7792  4.2  3.7  0.36  0.05 -16.59 -23.52 -19.58 -18.73  73  1190     0  6.9
  2   750 J8   307  1366 J8  1198   520 J8   209  1831 11964  5.8  4.7  0.49  0.07  -7.53 -14.73 -10.71  -9.94  73   825     0  5.3
  3  2318 J8   484  3935 J8  2037  1160 J8   549  4280 16220  3.7  2.5  0.52  0.08  -0.36  -9.62  -4.67  -3.23  52   723     0  6.5
  4  3848 J8  1058  3653 J8  2246  2259 J8   453  7359 20417  5.7  4.2  0.55  0.10   8.32  -0.48   4.20   5.25  44   432     0  6.3
  5  4427 J8  1199  3877 J8  2688  2574 J8   447 10071 24479  6.9  5.1  0.93  0.10  14.03   4.78   9.89  10.50  43   277     0  6.0
  6  4810 J8  1360  3538 J8  2796  2970 J8   479 11411 27201  7.8  6.4  1.50  0.10  17.91   8.57  13.82  14.15  59   159     7  3.9
  7  4619 J8   991  3910 J8  2150  2719 J8   389 10667 25547  7.1  6.0  1.82  0.08  20.16  10.99  15.73  16.19  68    94     9  3.0
  8  3131 J8  1015  2331 J8  2574  2093 J8   370  8254 21533  8.0  7.0  1.71  0.06  15.27   6.80  11.23  12.08  73   226     0  3.5
  9  2225 J8   921  2826 J8  2555  1227 J8   371  5251 17430  6.7  5.5  1.10  0.04  11.29   2.16   6.89   8.12  74   348     0  3.7
 10  1126 J8   548  2687 J8  2041   517 J8   154  2530 13253  4.8  4.0  0.67  0.03   0.86  -7.11  -3.13  -2.06  74   665     0  4.8
 11   336 J8   181  1123 J8  1097   216 J8    99   795  8949  5.7  4.6  0.64  0.03  -9.78 -14.94 -12.32 -11.81  74   921     0  6.0
 12    73 J8    25   478 J8   506    55 J8    18   222  6036  5.8  4.8  0.44  0.03 -16.85 -23.17 -19.65 -19.33  74  1189     0  4.4
 13  2321 J8  1818  2536 J8  1314  1370 J8  1097  5265 16735  6.0  4.9  0.89  0.06   3.06  -5.02  -0.69   0.10  65  7049    15  5.0
 1999
  1   192 J8   111   697 J8   608   142 J8    88   508  7760  5.5  3.9  0.38  0.05 -19.54 -27.40 -23.15 -22.62  76  1296     0  5.1
  2   822 J8   353  2013 J8  1721   454 J8   157  1815 11924  5.4  3.8  0.33  0.07 -19.21 -28.00 -23.36 -21.88  82  1174     0  3.8
  3  2128 J8   776  3168 J8  2209  1130 J8   404  4256 16182  4.5  3.6  0.44  0.08  -3.58 -16.45  -9.65  -8.24  58   879     0  3.9
  4  3685 J8  1117  3749 J8  2909  2087 J8   557  7333 20384  6.5  5.1  0.63  0.10   5.25  -4.84   0.77   1.82  52   544     0  4.6
  5  4758 J8  1352  4724 J8  3000  2483 J8   527 10052 24445  6.4  5.1  0.63  0.10  10.85   1.54   6.84   7.57  55   376     0  4.0
  6  5463 J8  1518  5294 J8  3461  2727 J8   595 11408 27190  6.1  4.9  1.45  0.10  20.28  10.09  15.44  15.80  59   106    12  3.2
  7  4667 J8  1558  4241 J8  3370  2527 J8   463 10680 25576  7.0  6.0  1.67  0.08  19.85  10.52  15.40  15.87  69   105     8  3.0
  8  3547 J8  1063  3269 J8  2765  2050 J8   401  8277 21566  7.0  6.0  1.77  0.06  18.00   9.01  13.59  14.53  73   160    10  3.2
  9  2368 J8   830  3037 J8  2230  1260 J8   370  5276 17463  6.9  5.4  1.04  0.04  10.73   2.96   7.13   8.02  70   345     0  4.1
 10   895 J8   462  1471 J8  1681   561 J8   211  2549 13284  7.9  6.8  0.70  0.03  -2.99  -9.63  -6.13  -5.28  83   764     0  3.1
 11   306 J8   141   835 J8   895   229 J8    96   804  8984  6.1  5.1  0.55  0.03 -11.61 -19.49 -15.28 -14.74  74  1016     0  4.7
 12    67 J8    33   458 J8   525    49 J8    21   223  6043  6.6  5.7  0.56  0.03 -15.45 -23.89 -19.55 -19.60  76  1178     0  4.6
 13  2408 J8  1968  2746 J8  1636  1308 J8  1021  5265 16733  6.3  5.1  0.85  0.06   1.05  -7.97  -3.16  -2.40  69  7943    30  3.9
 2000
  1   168 J8    87   519 J8   595   137 J8    82   502  7733  5.9  5.3  0.43  0.05 -15.88 -22.92 -19.33 -18.93  74  1170     0  4.4
  2   833 J8   382  1684 J8  1457   508 J8   179  1835 11962  5.2  4.1  0.56  0.07  -4.26 -13.36  -8.58  -7.34  74   787     0  4.6
  3  2144 J8   574  3202 J8  2177  1175 J8   454  4328 16288  4.6  3.7  0.52  0.08  -0.25  -9.80  -4.84  -3.55  57   724     0  5.5
  4  4173 J8  1069  4862 J8  2817  2064 J8   619  7408 20490  5.1  3.5  0.57  0.10   4.89  -5.12   0.30   1.45  53   553     0  3.9
  5  4550 J8  1294  4387 J8  3165  2399 J8   497 10106 24534  7.2  5.7  0.85  0.10  10.24   1.14   6.03   6.72  56   392     0  3.3
  6  5200 J8  1419  4774 J8  3007  2775 J8   413 11415 27208  6.7  5.4  1.46  0.10  19.40  10.24  15.32  15.66  52   109     3  3.6
  7  4149 J8  1337  3270 J8  2553  2570 J8   338 10638 25493  7.1  6.3  1.74  0.08  18.80   9.71  14.47  14.94  68   127     1  3.3
  8  3138 J8  1239  2650 J8  2862  1961 J8   405  8207 21469  7.8  6.9  1.49  0.06  13.14   5.83   9.61  10.28  77   274     0  3.4
  9  2056 J8   797  2274 J8  1785  1254 J8   372  5202 17363  8.2  6.4  1.04  0.04   7.94   0.79   4.17   5.14  81   419     0  3.1
 10  1056 J8   526  2178 J8  1914   550 J8   197  2492 13178  6.5  5.4  0.72  0.03  -1.46  -9.03  -4.66  -3.55  77   731     0  4.5
 11   340 J8   187  1242 J8  1040   217 J8   119   777  8883  5.2  4.0  0.58  0.03  -5.10 -13.31  -8.86  -8.29  76   826     0  5.7
 12    70 J8    24   536 J8   565    49 J8    15   220  6022  5.1  4.1  0.50  0.03  -9.86 -15.29 -12.51 -12.63  70   958     0  8.2
 13  2323 J8  1865  2632 J8  1519  1305 J8  1014  5261 16719  6.2  5.1  0.87  0.06   3.13  -5.09  -0.74  -0.01  68  7069     4  4.5
 2001
  1   182 J8   103   360 J8   357   153 J8    81   521  7826  6.5  4.9  0.55  0.05  -6.33 -12.78  -9.11  -8.67  72   864     0  6.8
  2   782 J8   387  1468 J8  1412   494 J8   171  1849 12004  6.5  5.4  0.45  0.07  -6.77 -14.04 -10.07  -9.33  69   805     0  5.3
  3  2202 J8   743  3320 J8  2537  1159 J8   404  4307 16261  5.0  4.0  0.43  0.08  -4.30 -15.40  -9.67  -7.81  62   874     0  4.2
  4  4027 J8  1223  4271 J8  2491  2141 J8   417  7387 20460  5.9  4.4  0.58  0.10   6.24  -3.22   1.79   2.84  54   505     0  3.9
  5  4626 J8  1235  3966 J8  2477  2605 J8   500 10091 24514  7.2  5.5  0.78  0.10  10.47   1.02   5.95   6.64  58   390     0  3.2
  6  5502 J8  1078  5276 J8  2848  2899 J8   524 11414 27204  6.3  5.3  1.49  0.10  19.87   9.77  15.20  15.59  55   106     1  3.1
  7  4242 J8  1487  3502 J8  3401  2526 J8   482 10651 25518  7.6  6.6  1.75  0.08  17.91  10.35  14.13  14.50  74   131     1  3.1
  8  3433 J8  1044  3228 J8  2525  1990 J8   488  8228 21496  7.4  6.4  1.77  0.06  17.85   9.01  13.51  14.43  74   152     0  3.0
  9  2473 J8   658  3859 J8  2174  1169 J8   328  5223 17389  5.2  4.3  1.23  0.04  13.24   2.14   7.67   9.44  66   319     0  3.4
 10   895 J8   414  1354 J8  1144   597 J8   221  2509 13211  8.2  6.8  0.70  0.03  -2.41  -8.94  -5.27  -4.32  81   744     0  4.4
 11   315 J8   149  1243 J8   981   205 J8   115   785  8915  4.5  3.6  0.54  0.03 -11.23 -18.56 -14.50 -13.38  78   997     0  4.7
 12    75 J8    25   470 J8   437    56 J8    15   221  6027  5.6  4.5  0.39  0.03 -16.65 -23.18 -19.88 -19.60  73  1186     0  5.3
 13  2396 J8  1937  2693 J8  1631  1333 J8  1052  5266 16735  6.3  5.1  0.89  0.06   3.16  -5.32  -0.86   0.03  68  7073     2  4.2
 2002
  1   165 J8    95   453 J8   454   131 J8    68   515  7798  6.7  5.6  0.52  0.05  -8.89 -15.31 -12.16 -11.99  74   943     0  5.9
  2   826 J8   366  1789 J8  1314   499 J8   188  1833 11967  4.5  3.6  0.37  0.07  -8.69 -17.13 -12.61 -11.25  67   875     0  6.5
  3  2385 J8   782  4400 J8  2752  1014 J8   440  4283 16222  3.3  2.8  0.31  0.08  -5.41 -17.31 -10.69  -8.71  55   920     0  4.8
  4  3903 J8  1060  4180 J8  2867  2142 J8   697  7362 20420  6.4  4.5  0.62  0.10   0.93 -10.44  -4.01  -2.64  56   692     0  3.3
  5  5520 J8  1318  6424 J8  3129  2199 J8   492 10073 24482  5.3  3.8  0.95  0.10  14.71   3.08   9.54  10.38  44   292     0  3.3
  6  5324 J8  1255  5012 J8  2863  2774 J8   405 11411 27201  6.5  5.4  1.36  0.10  18.34   8.56  13.71  14.07  59   146     0  3.6
