702710 GULKANA INTERMEDIATE F AK  -9  N62  9  W145 27   478   957
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   250 J7    26   626 J8   272   189 J7    11   743  8705  6.8  5.8  0.51  0.06 -16.04 -23.96 -19.79 -18.85  75  1188     0  1.2
  2   842 J7    90  1406 J7   528   542 J7    45  2137 12372  6.7  5.6  0.54  0.08  -8.96 -19.54 -14.04 -12.25  73   920     0  1.7
  3  2202 J7   157  3146 J7   779  1150 J7   110  4598 16268  5.7  4.5  0.48  0.10  -2.83 -16.23  -9.21  -7.11  60   864     0  2.6
  4  3906 J7   264  4070 J7   747  2054 J7   113  7592 20102  6.3  4.7  0.66  0.11   6.29  -5.91   0.62   2.22  55   544     0  2.9
  5  4875 J7   368  4441 J7   949  2550 J7   186 10166 23659  6.9  5.3  0.95  0.12  13.50   1.00   7.83   9.01  53   343     0  3.3
  6  5359 J7   438  4714 J7  1005  2789 J7   199 11403 25799  6.9  5.5  1.39  0.11  18.87   6.21  13.01  13.71  57   175     1  3.1
  7  4737 J7   448  3763 J7   911  2717 J7   118 10701 24489  7.6  6.4  1.76  0.09  19.70   8.30  14.24  15.09  65   136     2  3.1
  8  3574 J7   399  3214 J7  1069  2035 J7   144  8417 21045  7.5  6.4  1.67  0.07  17.66   6.01  12.03  13.44  69   202     1  2.9
  9  2327 J7   222  2662 J7   762  1325 J7    78  5517 17321  7.3  6.2  1.22  0.05  11.40   0.49   5.96   7.71  71   372     0  2.9
 10  1107 J7    82  1664 J7   467   700 J7    60  2828 13498  7.3  6.3  0.82  0.04   1.11  -7.66  -3.20  -1.72  77   670     0  2.0
 11   382 J7    50   829 J8   509   281 J7    26  1046  9671  7.3  6.5  0.61  0.04  -9.77 -17.77 -13.47 -12.31  79   963     0  1.5
 12   128 J7    12   440 J8   179   101 J7     6   412  7260  7.0  6.1  0.54  0.04 -14.39 -22.51 -18.23 -17.50  77  1140     0  1.2
 13  2474 J7   113  2581 J7   365  1369 J7    61  5463 16682  6.9  5.8  0.93  0.08   3.04  -7.63  -2.02  -0.71  68  7517     4  2.4
 1991
  1   262 I5   138   948 I7   993   170 I5    79   738  8684  5.3  4.4  0.54  0.05 -16.02 -23.95 -19.87 -18.54  50  1188     0  1.7
  2   842 I5   456  1418 I6  1577   527 I5   148  2114 12328  7.1  5.9  0.71  0.07  -8.45 -19.59 -13.49 -11.96  64   906     0  1.5
  3  2201 I5   786  3567 I6  2798  1033 I5   430  4555 16209  5.8  4.7  0.55  0.08  -1.02 -14.72  -7.69  -5.38  58   812     0  2.6
  4  3398 I5  1078  3155 I6  2553  1972 I5   505  7548 20044  7.7  6.2  0.68  0.10   6.65  -4.44   1.23   2.76  55   517     0  2.6
  5  5167 I5  1188  4945 I6  2745  2493 I5   501 10135 23610  7.5  5.5  0.84  0.11  13.80   0.93   7.83   9.11  45   340     0  3.3
  6  5704 I5  1772  5648 I6  3622  2518 I5   520 11399 25793  6.8  5.0  1.50  0.10  19.39   5.67  13.11  13.87  56   175     1  2.7
  7  5024 I5  1360  4245 I6  2751  2671 I5   459 10726 24534  8.1  6.5  1.63  0.09  17.69   6.60  12.37  13.17  66   192     0  3.0
  8  3762 I5  1091  3413 I6  2404  2100 I5   485  8458 21103  7.7  6.3  1.47  0.10  16.00   4.92  10.53  11.81  63   244     0  3.0
  9  2347 I5   791  2518 I6  1961  1374 I5   252  5561 17379  7.7  6.1  1.23  0.11  12.48   2.26   7.36   8.94  65   329     0  3.6
 10  1034 I5   519  1472 I6  1523   648 I5   268  2862 13557  7.0  6.0  0.75  0.12  -1.50 -11.28  -6.09  -4.34  72   766     0  1.9
 11   317 I5   168   342 I7   683   267 I5   104  1063  9723  8.4  7.5  0.70  0.14 -10.97 -17.93 -14.23 -13.59  78   983     0  0.8
 12   105 I5    25    76 I7   120   100 I5    19   414  7272  8.2  7.2  0.64  0.17 -11.38 -19.81 -15.41 -15.09  73  1052     0  1.6
 13  2514 I5  2060  2646 I6  1815  1323 I5   989  5464 16686  7.3  5.9  0.94  0.10   3.06  -7.61  -2.03  -0.77  62  7503     1  2.4
 1992
  1   198 I5   100    97 I7   152   186 I5    82   731  8656  8.6  7.9  0.68  0.20 -10.97 -17.59 -13.79 -13.52  78  1011     0  1.3
  2   777 I5   353  1005 I6  1022   547 I5   162  2134 12364  5.5  4.8  0.57  0.24 -11.71 -22.88 -16.92 -15.23  65  1033     0  1.8
  3  1815 I5   539  1398 I6  1080  1326 I5   339  4626 16304  7.0  5.7  0.51  0.27  -2.31 -13.78  -7.48  -5.95  61   818     0  3.1
  4  3821 I5  1017  3168 I6  1909  2267 I5   414  7620 20136  6.0  4.4  0.61  0.29   3.22  -9.96  -2.59  -1.03  57   651     0  2.1
  5  4797 I5  1224  3271 I6  2037  2970 I5   526 10185 23688  7.4  5.8  0.86  0.28  10.32  -0.97   5.32   6.37  50   423     0  3.0
  6  5460 I5  1799  4357 I6  2974  2884 I5   552 11406 25802  6.4  5.1  1.17  0.25  18.13   5.60  12.34  13.08  53   194     0  3.1
  7  4496 I5  1353  2792 I6  1983  2896 I5   461 10686 24461  8.4  6.8  1.51  0.22  18.90   8.53  13.73  14.55  64   144     1  2.8
  8  3209 I5  1108  1913 I6  1775  2212 I5   441  8391 21014  8.8  7.4  1.59  0.18  15.80   6.19  10.94  12.12  66   227     0  2.9
  9  2220 I5   992  2480 I6  2409  1242 I5   287  5489 17287  7.0  6.2  0.80  0.15   4.28  -4.69  -0.19   1.06  64   556     0  2.5
 10  1044 I5   459  1480 I6  1469   657 I5   185  2805 13465  6.7  5.9  0.68  0.12  -1.74  -9.70  -5.54  -4.16  75   746     0  1.9
 11   306 I5   159   404 I7   688   253 I5   107  1034  9635  7.9  7.2  0.71  0.11  -6.23 -13.32  -9.12  -8.33  78   843     0  2.1
 12   111 I5    34   279 I7   333    93 I5    24   411  7254  6.0  5.3  0.51  0.11 -17.65 -25.38 -21.22 -20.84  74  1235     0  1.2
 13  2354 I5  1942  1887 I6  1348  1461 I5  1131  5460 16672  7.1  6.1  0.85  0.20   1.67  -8.16  -2.88  -1.82  65  7882     1  2.3
 1993
  1   235 I5   127   549 I7   728   176 I5    73   752  8736  6.1  5.3  0.47  0.11 -15.55 -24.26 -19.75 -18.86  74  1185     0  1.4
  2   724 I5   325   790 I6   827   567 I5   238  2149 12398  7.0  6.1  0.64  0.12  -7.96 -18.00 -12.53 -11.09  74   877     0  1.7
  3  2237 I5   797  3039 I6  2284  1182 I5   365  4605 16281  5.9  4.5  0.45  0.14  -1.08 -15.09  -7.67  -5.55  61   819     0  1.9
  4  4157 I5   883  4677 I6  2420  2010 I5   532  7600 20113  5.7  4.1  0.65  0.15   8.50  -4.16   2.38   4.09  55   485     0  2.1
  5  5334 I5  1461  5456 I6  3268  2391 I5   501 10172 23670  6.2  4.6  1.10  0.15  15.88   2.40   9.74  10.91  51   285     0  3.3
  6  5842 I5  1215  5462 I6  2704  2781 I5   513 11405 25803  7.0  5.4  1.34  0.14  18.87   5.66  12.67  13.39  57   182     0  2.7
  7  5450 I5  1460  5408 I6  3125  2482 I5   535 10698 24483  6.4  5.1  1.66  0.12  21.75   9.34  15.87  16.92  56    94     8  2.5
  8  3343 I5   963  2617 I6  2022  2046 I5   389  8410 21036  8.4  7.4  1.74  0.09  17.17   7.57  12.34  13.40  67   185     0  3.3
  9  2266 I5   931  2421 I6  2192  1305 I5   362  5510 17311  7.9  6.8  1.21  0.07  10.85   1.36   6.25   7.57  68   367     0  4.1
 10   991 I5   578  1511 I6  1889   598 I5   250  2822 13484  7.7  6.9  0.91  0.05   2.55  -4.54  -0.94   0.24  79   599     0  2.1
 11   343 I5   179   671 I7   961   257 I5    89  1043  9663  7.5  6.9  0.62  0.05  -7.04 -14.48 -10.37  -9.44  77   873     0  2.3
 12   118 I5    42   387 I7   577    94 I5    27   412  7255  7.2  6.5  0.58  0.05 -11.79 -20.10 -15.67 -15.13  77  1062     0  1.3
 13  2587 I5  2180  2749 I6  2040  1324 I5   986  5465 16686  6.9  5.8  0.95  0.10   4.35  -6.19  -0.64   0.54  66  7013     8  2.4
 1994
  1   240 I5   140   579 I7   688   180 I5    85   745  8712  7.3  6.7  0.57  0.06 -13.39 -20.13 -16.75 -16.12  73  1088     0  1.1
  2   997 I5   486  2543 I6  2137   442 I5   141  2132 12360  4.2  3.8  0.45  0.08 -13.77 -25.75 -20.04 -17.48  62  1067     0  1.7
  3  2262 I5   723  3133 I6  2066  1171 I5   318  4581 16247  7.0  5.7  0.48  0.10  -1.88 -11.76  -6.64  -5.22  60   780     0  3.8
  4  4176 I5   893  4506 I6  2312  2091 I5   541  7575 20081  6.6  5.1  0.59  0.11   7.63  -4.20   2.10   3.77  57   498     0  2.8
  5  4714 I6  1487  4191 I7  2932  2510 I6   379 10155 23640  7.3  5.8  0.85  0.11  12.22   0.76   7.03   8.08  52   367     0  3.7
  6  5526 I6  1317  5155 I7  2814  2720 I6   407 11402 25793  6.8  5.5  1.24  0.11  18.06   5.86  12.47  13.16  55   191     0  3.3
  7  5372 I6  1503  5073 I7  3125  2554 I6   486 10711 24504  7.2  5.8  1.74  0.09  20.19   7.64  14.22  15.23  56   137     0  3.0
  8  4579 I6  1480  6034 I7  3433  1644 I6   446  8433 21063  5.7  4.1  1.84  0.07  21.64   7.44  14.79  16.47  60   127    10  2.7
  9  2401 I5  1004  3286 I7  2888  1176 I5   374  5534 17342  7.1  6.0  1.04  0.05  10.91   0.34   5.56   7.22  67   381     0  2.7
 10  1053 I5   484  1652 I6  1869   671 I5   287  2841 13515  7.5  6.3  0.61  0.04  -0.60  -9.00  -4.68  -3.31  76   717     0  1.6
 11   418 I5   189  1496 I7  1465   244 I5   127  1053  9689  6.4  5.4  0.46  0.03 -12.89 -21.90 -16.84 -15.51  68  1072     0  2.3
 12   132 I5    49   493 I7   609   102 I5    32   413  7260  7.4  6.1  0.44  0.04 -13.36 -23.12 -17.77 -17.01  71  1134     0  1.8
 13  2656 I5  2102  3178 I7  1858  1292 I5   989  5465 16684  6.7  5.5  0.86  0.07   2.90  -7.82  -2.21  -0.89  63  7558    10  2.5
 1995
  1   238 I5    94   497 I7   594   193 I5    72   739  8689  7.6  6.3  0.42  0.05 -16.32 -24.05 -19.64 -19.08  70  1194     0  0.7
