702720 ANCHORAGE/ELMENDORF    AK  -9  N61 15  W149 48    59  1006
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   284 J5    25   509 J7   268   227 J5    13   865  9089  7.5  6.8  0.65  0.07  -6.24 -14.03  -9.90  -8.79  85   882     0  2.7
  2   922 J5    97  1183 J7   519   656 J5    45  2287 12551  7.5  6.5  0.68  0.10  -2.27 -11.26  -6.60  -5.03  81   709     0  2.6
  3  2159 J5   206  2495 J7   881  1271 J5   122  4745 16283  6.6  5.7  0.61  0.12   1.61  -8.60  -3.40  -1.74  68   677     0  3.1
  4  3519 J5   275  3174 J7   752  1990 J5   152  7699 19956  7.1  6.0  0.81  0.14   8.18  -1.66   3.35   4.69  62   452     0  2.8
  5  5118 J5   465  4336 J6  1252  2712 J5   243 10211 23314  7.3  5.6  1.13  0.15  14.31   4.42   9.58  10.45  59   278     0  3.0
  6  5773 J5   310  4672 J6   676  3044 J5   153 11407 25267  7.7  5.8  1.63  0.14  18.31   9.34  13.86  14.42  63   136     1  2.9
  7  4835 J5   395  3463 J7   750  2863 J5   108 10726 24067  8.3  6.9  2.08  0.12  19.31  11.62  15.36  15.90  72    93     4  2.6
  8  3706 J5   286  3111 J7   680  2143 J5   131  8501 20840  7.9  6.8  1.98  0.09  18.21  10.13  14.06  14.97  76   131     2  2.3
  9  2458 J5   156  2583 J7   679  1437 J5   120  5650 17280  7.8  6.5  1.47  0.07  13.13   5.39   9.15  10.35  77   272     0  2.4
 10  1263 J5   114  1695 J7   681   822 J5    75  2977 13614  7.6  6.5  1.01  0.05   4.96  -2.21   1.32   2.61  81   526     0  2.5
 11   427 J5    54   850 J7   508   310 J5    26  1176  9982  7.6  6.7  0.77  0.05  -2.10  -9.28  -5.51  -4.50  84   721     0  2.6
 12   161 J5    17   404 J7   295   131 J5     8   517  7749  7.8  6.8  0.69  0.05  -5.28 -12.75  -8.74  -8.05  87   848     0  2.7
 13  2552 J5    94  2373 J7   343  1467 J5    63  5563 16666  7.6  6.4  1.13  0.10   6.84  -1.58   2.71   3.78  75  5724     7  2.7
 1991
  1   270 J5   147   447 J7   638   216 J5    77   859  9071  7.8  7.3  0.79  0.06  -6.21 -12.65  -9.39  -8.58  65   861     0  1.8
  2   884 J5   402   983 J7  1189   660 J5   215  2264 12506  7.6  6.7  0.82  0.09  -3.86 -12.50  -7.62  -6.42  66   742     0  1.4
  3  1975 J5   822  2337 J7  2236  1166 J5   356  4703 16227  6.5  5.7  0.80  0.11  -1.17  -9.29  -4.89  -3.66  63   730     0  1.6
  4  3302 J5   724  2519 J7  2051  2109 J5   512  7655 19898  7.7  6.5  0.92  0.13   6.15  -1.86   2.31   3.39  57   486     0  1.7
  5  4864 J5  1445  3909 J6  2876  2718 J5   504 10181 23268  7.9  6.3  1.15  0.14  11.76   2.95   7.76   8.45  54   340     0  2.2
  6  6031 J5  1395  5267 J6  2701  2966 J5   445 11402 25258  7.1  5.1  1.77  0.13  16.39   8.14  12.33  12.86  60   182     0  2.2
  7  4829 J5  1332  3393 J6  2705  2926 J5   496 10750 24108  8.3  6.7  2.06  0.11  16.50  10.08  13.21  13.66  70   156     0  1.9
  8  4005 J5   882  3521 J7  2182  2247 J5   500  8541 20895  7.3  6.3  1.84  0.12  17.59   8.84  13.08  14.15  73   159     0  1.6
  9  2371 J5   886  2169 J7  1832  1484 J5   273  5694 17335  8.2  6.9  1.70  0.12  13.43   6.34  10.01  11.01  79   253     0  1.7
 10  1225 J5   563  1518 J7  1695   800 J5   267  3012 13671  7.1  6.4  1.11  0.13   3.41  -4.21  -0.09   1.18  81   581     0  1.6
 11   387 J5   169   418 J7   508   321 J5   102  1193 10030  8.1  7.3  0.99  0.15  -2.26  -8.17  -4.78  -4.02  87   706     0  1.9
 12   140 J5    28    64 J7    90   135 J5    25   519  7758  9.2  8.3  0.88  0.18  -4.42 -10.04  -7.18  -7.20  89   792     0  2.2
 13  2524 J5  2043  2212 J7  1606  1479 J5  1079  5564 16669  7.7  6.6  1.24  0.12   5.61  -1.86   2.06   2.90  70  5989     0  1.8
 1992
  1   263 J5    96   136 J7   301   246 J5    82   852  9045  8.0  7.2  0.90  0.22  -3.87 -11.84  -7.44  -6.54  91   812     0  1.4
  2   860 J5   330   651 J7   758   703 J5   242  2284 12545  6.9  6.1  0.75  0.26  -6.44 -15.69 -10.62  -8.82  91   852     0  1.6
  3  1890 J5   588   917 J7   860  1535 J5   397  4773 16316  7.4  6.5  0.77  0.30  -0.16  -9.86  -4.73  -3.30  77   724     0  1.8
  4  3827 J5   718  2994 J7  1811  2341 J5   516  7726 19990  5.7  4.3  0.83  0.32   5.93  -4.33   1.10   2.44  61   526     0  1.9
  5  5384 J5   984  3751 J6  1999  3181 J5   537 10229 23338  6.4  4.6  1.12  0.31  12.65   3.02   8.13   8.96  52   325     0  2.4
  6  5849 J5  1192  3955 J6  2198  3459 J5   476 11409 25273  7.4  5.1  1.51  0.28  17.49   8.47  13.47  13.94  65   161     0  1.8
  7  4435 J5  1343  2220 J6  1849  3114 J5   440 10712 24044  8.5  7.3  2.09  0.24  18.65  11.76  15.19  15.68  74    97     0  1.4
  8  3582 J5  1203  2297 J7  2155  2374 J5   444  8476 20806  9.0  7.0  1.93  0.20  16.27  10.07  13.13  13.81  77   160     0  1.6
  9  2451 J5   755  2472 J7  2047  1475 J5   366  5623 17249  6.5  5.5  1.10  0.16   7.87  -0.37   4.12   5.43  66   437     0  3.4
 10  1215 J5   470  1512 J7  1383   815 J5   297  2954 13580  6.8  5.7  0.99  0.13   2.70  -5.33  -1.04   0.25  81   609     0  2.9
 11   337 J5   136   280 J7   364   297 J5   106  1163  9953  8.3  7.6  0.98  0.12  -0.47  -7.64  -3.82  -3.13  87   671     0  3.3
 12   143 J5    33   128 J7   195   133 J5    29   515  7743  8.6  7.1  0.76  0.11  -6.95 -13.91 -10.14  -9.61  89   892     0  3.1
 13  2520 J5  2048  1776 J7  1375  1639 J5  1225  5560 16657  7.5  6.2  1.14  0.22   5.31  -2.97   1.45   2.42  76  6266     0  2.2
 1993
  1   258 J5   117   250 J7   340   229 J5    98   874  9122  8.3  7.7  0.60  0.13  -6.17 -14.42  -9.81  -9.03  89   887     0  3.2
  2   856 J5   339   749 J7   988   699 J5   275  2299 12578  8.0  7.2  0.84  0.14  -1.61 -10.88  -6.03  -4.13  83   688     0  2.8
  3  2052 J5   754  1833 J7  1535  1381 J5   449  4752 16295  7.2  5.9  0.66  0.16   2.92  -7.23  -1.93  -0.30  66   635     0  3.3
  4  3324 J5  1029  2563 J7  2258  2087 J5   407  7706 19971  7.2  6.4  0.89  0.18   9.75   0.00   4.91   6.34  62   404     0  2.7
  5  5116 J5  1580  3933 J6  2957  2848 J5   473 10217 23323  6.9  5.2  1.34  0.18  16.31   5.59  11.05  12.04  66   229     0  3.0
  6  5694 J5  1233  4207 J6  2658  3201 J5   565 11408 25272  7.3  5.8  1.56  0.17  19.28   9.57  14.49  15.14  61   117     0  3.4
  7  5365 J5  1603  4666 J6  3210  2718 J5   542 10723 24063  6.9  5.5  2.04  0.14  21.62  12.25  17.14  17.80  65    53    10  3.1
  8  3681 J5  1163  2780 J7  2371  2243 J5   476  8494 20829  8.1  7.1  2.22  0.11  19.25  11.29  15.19  16.03  72    97     2  3.0
