702730 ANCHORAGE INTL AP      AK  -9  N61 11  W150  0    35  1009
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   292 J7    28   522 J8   250   233 J7    18   874  9116  7.6  6.9  0.67  0.08  -5.77 -11.37  -8.37  -7.79  76   834     0  2.8
  2   901 J7   120  1190 J7   588   633 J7    50  2298 12564  7.6  6.7  0.70  0.10  -2.98  -8.94  -5.80  -5.01  74   686     0  2.8
  3  2098 J7   252  2448 J7   881  1234 J7   121  4756 16284  6.7  5.8  0.63  0.12   0.03  -7.10  -3.51  -2.57  64   678     0  3.3
  4  3354 J7   278  3021 J7   667  1910 J7   130  7707 19946  7.4  6.1  0.84  0.14   6.82  -0.92   2.98   3.92  63   461     0  3.2
  5  4716 J7   433  3910 J7   859  2566 J7   130 10214 23289  7.6  5.9  1.16  0.15  13.00   4.63   9.02   9.70  60   295     0  3.8
  6  5419 J7   367  4296 J7   710  2943 J7   158 11407 25229  7.9  5.9  1.68  0.14  16.82   9.16  13.07  13.52  67   161     0  3.6
  7  4519 J7   421  3079 J7   881  2794 J7   160 10728 24037  8.4  7.1  2.14  0.12  18.22  11.69  14.93  15.38  74   106     2  3.3
  8  3522 J7   292  2836 J7   709  2114 J7    92  8507 20825  8.1  7.0  2.05  0.09  17.25  10.54  13.85  14.59  77   138     0  2.9
  9  2304 J7   191  2338 J7   581  1398 J7    81  5660 17277  7.9  6.9  1.52  0.07  12.59   6.10   9.30  10.24  76   270     0  3.1
 10  1121 J7   103  1599 J8   512   710 J7    58  2989 13622  7.7  6.8  1.04  0.05   4.63  -0.99   1.87   2.75  75   512     0  2.9
 11   392 J7    61   906 J8   498   268 J7    19  1185 10004  7.7  6.9  0.79  0.05  -2.09  -7.35  -4.55  -3.97  76   692     0  2.9
 12   152 J7    18   413 J8   211   122 J7     6   525  7784  8.0  7.1  0.71  0.05  -4.76 -10.30  -7.37  -6.95  77   802     0  2.8
 13  2399 J7   111  2213 J7   275  1410 J7    56  5571 16665  7.7  6.6  1.16  0.10   6.15  -0.40   2.95   3.65  72  5634     2  3.1
 1991
  1   253 I5   137   473 I7   694   197 I5    64   868  9095  7.6  7.0  0.78  0.06  -6.07 -11.71  -8.83  -8.03  79   844     0  3.7
  2   837 I5   414   922 I6  1406   621 I5   205  2275 12524  7.8  7.2  0.81  0.09  -3.35 -10.25  -6.62  -5.77  78   704     0  3.4
  3  1797 I5   870  2408 I6  2641   984 I5   253  4714 16227  6.3  5.8  0.78  0.11  -0.65  -8.55  -4.33  -3.16  81   711     0  3.1
  4  2913 I5   893  2449 I6  2672  1799 I5   430  7663 19889  7.7  6.8  0.89  0.13   7.03  -0.71   2.97   3.94  68   455     0  3.4
  5  4476 I5  1728  3541 I6  3365  2512 I5   462 10184 23245  7.7  6.4  1.12  0.14  12.24   3.99   8.41   9.07  62   317     0  4.3
  6  5818 I5  1514  5370 I6  3304  2700 I5   638 11403 25222  7.2  5.4  1.75  0.13  17.28   9.06  13.22  13.73  66   155     0  3.8
  7  4102 I5  1429  2564 I6  2582  2644 I5   418 10752 24078  8.3  7.4  2.03  0.11  17.10  10.89  13.98  14.41  78   134     0  3.3
  8  3749 I5  1146  3305 I6  2826  2105 I5   575  8547 20879  7.2  6.3  1.85  0.12  16.92   9.21  12.94  13.86  76   163     0  3.2
  9  2018 I5   749  1480 I6  1530  1403 I5   257  5704 17332  8.4  7.7  1.68  0.12  13.29   7.75  10.42  11.11  78   234     0  3.6
 10  1082 I5   551  1538 I6  1722   656 I5   221  3023 13679  6.6  5.9  1.10  0.13   3.58  -2.32   0.66   1.63  75   549     0  3.1
 11   350 I5   183   484 I6   674   272 I5   105  1203 10053  7.7  7.1  0.97  0.15  -1.48  -5.95  -3.62  -3.10  79   661     0  3.4
 12   117 I5    31    45 I7    99   113 I5    25   527  7795  9.3  8.8  0.86  0.18  -4.06  -8.46  -6.23  -6.09  83   762     0  3.6
 13  2293 I5  1896  2048 I6  1543  1334 I5   990  5572 16668  7.6  6.8  1.22  0.12   5.99  -0.59   2.75   3.47  75  5689     0  3.5
 1992
  1   268 I5   103   167 I7   272   247 I5    92   861  9075  7.7  7.0  0.87  0.22  -3.45  -9.15  -5.94  -5.35  83   764     0  3.0
  2   865 I5   351   886 I6  1148   656 I5   254  2295 12553  6.7  6.2  0.73  0.26  -5.54 -12.88  -8.80  -7.48  79   799     0  2.8
  3  1853 I5   582  1224 I6  1269  1411 I5   369  4784 16318  7.0  6.2  0.75  0.30  -0.05  -7.73  -3.81  -2.88  73   689     0  3.5
  4  3922 I5   911  3559 I6  2271  2131 I5   476  7734 19978  5.1  3.8  0.81  0.32   6.13  -2.73   1.73   2.86  56   499     0  3.4
  5  5329 I5  1325  4403 I6  2603  2743 I5   564 10233 23314  5.9  4.5  1.10  0.31  11.93   3.72   7.92   8.64  53   326     0  4.3
  6  5193 I5  1758  3534 I6  2869  3061 I5   496 11409 25234  7.2  5.7  1.49  0.28  16.79   9.38  13.18  13.59  67   157     0  3.7
  7  4435 I5  1509  2354 I6  2156  3022 I5   507 10714 24013  8.4  7.3  2.06  0.24  18.33  12.06  15.11  15.55  74    97     0  3.4
