702735 ANCHORAGE MERRILL FIEL AK  -9  N61 13  W149 51    42  1008
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   287 J7    32   649 J8   307   215 J7    14   869  9103  7.3  6.7  0.67  0.08  -5.95 -12.52  -8.99  -8.06  80   855     0  1.3
  2   926 J7   116  1378 J8   649   619 J7    57  2292 12558  7.2  6.5  0.70  0.10  -2.68 -10.07  -6.19  -4.90  77   698     0  1.3
  3  2224 J7   283  2953 J8  1041  1185 J7   103  4751 16283  6.2  5.4  0.63  0.12   0.82  -7.78  -3.37  -2.08  66   676     0  1.8
  4  3637 J7   310  3633 J8   860  1913 J7   152  7703 19951  6.8  5.7  0.84  0.14   8.03  -0.63   3.74   4.87  61   439     0  1.8
  5  5088 J7   351  4519 J8   915  2630 J7   184 10213 23302  7.0  5.5  1.16  0.15  14.07   5.36   9.90  10.62  58   267     0  2.2
  6  5697 J7   349  4802 J8   870  2957 J7   174 11407 25248  7.3  5.6  1.68  0.14  18.09  10.14  14.15  14.64  64   128     1  2.2
  7  4700 J7   420  3572 J8   977  2723 J7   152 10727 24052  8.0  6.8  2.15  0.12  19.31  12.45  15.81  16.29  71    80     4  1.9
  8  3671 J7   410  3307 J8  1139  2069 J7   139  8504 20833  7.7  6.7  2.05  0.09  18.11  10.96  14.48  15.27  75   119     1  1.6
  9  2370 J7   245  2629 J8   824  1358 J7    93  5655 17278  7.6  6.7  1.53  0.07  13.18   6.21   9.66  10.73  76   259     0  1.6
 10  1249 J7   122  1855 J8   594   780 J7    56  2983 13618  7.4  6.6  1.04  0.05   4.99  -1.07   1.98   3.05  77   507     0  1.5
 11   438 J7    63  1043 J8   577   294 J7    23  1180  9993  7.4  6.7  0.79  0.05  -2.09  -7.91  -4.84  -4.02  79   700     0  1.4
 12   162 J7    19   484 J8   243   127 J7     8   521  7766  7.7  6.9  0.71  0.05  -4.98 -11.21  -7.85  -7.21  80   819     0  1.3
