702740 PALMER MUNICIPAL       AK  -9  N61 36  W149  5    71  1005
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   272 J7    34   733 J8   326   195 J7    11   817  8944  6.2  5.7  0.56  0.08  -6.36 -12.61  -9.44  -8.90  74   862     0  2.8
  2   913 J7   105  1499 J8   627   586 J7    48  2228 12483  6.3  5.6  0.58  0.10  -2.54  -9.41  -6.01  -5.13  69   687     0  2.9
  3  2233 J7   204  3127 J8   810  1161 J7    98  4688 16278  5.3  4.6  0.52  0.12   0.67  -7.49  -3.35  -2.25  61   674     0  3.5
  4  3686 J7   366  4000 J8  1105  1837 J7   173  7658 20013  6.0  5.1  0.70  0.14   8.39  -0.79   3.86   5.11  57   436     0  3.7
  5  5133 J7   315  4812 J8   830  2572 J7   130 10194 23444  6.5  5.1  0.98  0.15  14.61   4.21   9.63  10.56  57   276     0  3.8
  6  5731 J7   358  5162 J8   836  2837 J7   182 11405 25467  6.7  5.3  1.43  0.14  18.21   8.52  13.48  14.12  64   150     1  3.1
  7  4740 J7   500  3877 J8  1138  2640 J7   135 10716 24225  7.5  6.5  1.83  0.12  19.05  10.47  14.70  15.34  71   112     1  2.7
  8  3720 J7   393  3597 J8  1073  1984 J7   126  8468 20917  7.3  6.4  1.72  0.09  17.63   9.18  13.29  14.29  75   153     0  2.6
  9  2429 J7   198  2961 J8   685  1312 J7    72  5598 17295  7.2  6.2  1.28  0.07  12.82   5.06   8.77  10.00  74   282     0  2.9
 10  1247 J7   151  2128 J8   724   719 J7    57  2919 13569  6.6  5.9  0.85  0.05   4.82  -1.86   1.42   2.51  73   522     0  2.6
 11   425 J7    55  1217 J8   595   266 J7    26  1125  9864  6.4  5.8  0.66  0.05  -2.63  -8.50  -5.56  -4.99  75   717     0  2.8
 12   147 J7    14   566 J8   218   108 J7     7   475  7564  6.5  5.8  0.59  0.05  -5.00 -11.41  -8.10  -7.83  73   822     0  3.0
 13  2556 J7   132  2807 J8   469  1351 J7    56  5524 16672  6.5  5.7  0.97  0.10   6.64  -1.22   2.72   3.57  69  5694     2  3.0
 1991
  1   244 J6   144   666 J7   935   174 J6    65   811  8921  7.1  6.7  0.64  0.06  -6.57 -12.04  -9.55  -8.96  76   857     0  3.0
  2   902 J6   484  1207 J7  1320   621 J6   257  2206 12441  8.2  6.7  0.72  0.09  -1.65  -8.89  -5.50  -4.85  70   661     0  2.5
  3  2047 J6   863  2661 J7  2714  1147 J6   438  4645 16219  6.2  5.2  0.67  0.11   1.23  -7.12  -2.80  -1.68  67   660     0  2.8
  4  3172 J6  1040  2664 J7  2818  1945 J6   532  7614 19958  7.7  6.6  0.79  0.13   9.11   0.78   4.82   6.09  57   401     0  4.5
  5  5161 J6  1477  4901 J7  3508  2574 J6   604 10163 23398  6.9  5.2  1.01  0.14  14.45   4.60   9.70  10.61  56   273     0  5.2
  6  6019 J6  1651  5634 J7  3570  2786 J6   683 11401 25460  6.8  5.0  1.74  0.13  19.43   8.74  14.13  14.81  60   127     0  3.4
  7  4419 J6  1579  3023 J7  2965  2726 J6   610 10740 24267  8.4  7.2  1.88  0.11  17.81   9.92  13.79  14.37  72   138     0  2.9
  8  3783 J6  1227  3481 J7  3035  2091 J6   601  8509 20973  7.5  6.0  1.76  0.12  17.31   8.73  12.86  13.86  68   165     0  3.8
  9  2153 J6   960  1932 J7  2008  1384 J6   315  5642 17351  8.1  7.0  1.52  0.12  13.92   6.49  10.03  11.15  69   244     0  4.0
 10  1114 J6   584  1458 J7  1731   708 J6   218  2954 13628  6.7  6.0  0.91  0.13   3.86  -2.86   0.51   1.67  70   553     0  2.8
 11   374 J5   192   466 J7   621   299 J5   122  1142  9914  7.9  7.4  0.83  0.15  -1.94  -6.37  -4.09  -3.63  74   675     0  2.7
 12   116 J6    31    50 J7   103   112 J6    29   477  7572  8.7  8.1  0.72  0.18  -3.93  -8.34  -6.22  -6.17  76   758     0  3.1
 13  2459 J6  2030  2345 J7  1737  1381 J6  1016  5525 16675  7.5  6.4  1.10  0.12   6.92  -0.53   3.14   3.94  68  5511     0  3.4
 1992
  1   216 J5    69    90 J7   115   207 J5    65   804  8899  7.5  6.8  0.71  0.22  -3.39  -7.54  -5.40  -5.05  71   738     0  2.9
  2   860 J6   339   863 J7   966   661 J6   230  2226 12471  6.6  5.5  0.61  0.26  -6.57 -13.29 -10.09  -9.14  75   820     0  1.9
  3  2016 J6   686  1511 J7  1441  1470 J6   431  4716 16313  6.2  5.0  0.63  0.30   0.25  -7.89  -3.62  -2.70  64   687     0  4.1
  4  3606 J6   855  2576 J7  1652  2328 J6   521  7685 20044  5.0  4.2  0.70  0.33   7.24  -2.51   2.36   3.68  54   479     0  3.1
  5  5184 J6  1427  4135 J7  2861  2868 J6   576 10212 23470  6.1  4.8  0.99  0.31  13.16   3.21   8.42   9.32  49   314     0  3.6
  6  5673 J6  1385  4002 J7  2807  3290 J6   525 11407 25470  6.5  5.1  1.45  0.28  18.18   8.06  13.35  14.02  63   156     0  3.3
  7  4142 J6  1562  2449 J7  2723  2776 J6   488 10701 24200  7.9  7.1  2.03  0.24  18.75  10.14  14.39  15.06  71   120     0  2.7
  8  2857 J6  1250  1383 J7  1777  2118 J6   401  8442 20886  9.0  8.2  1.89  0.20  16.19   9.18  12.48  13.34  74   175     0  3.2
  9  2242 J6   921  2490 J7  2274  1278 J6   374  5571 17262  6.3  5.6  0.95  0.16   8.23  -0.27   3.96   5.22  65   430     0  2.4
 10  1090 J6   547  1432 J7  1644   704 J6   295  2896 13534  6.7  6.1  0.85  0.13   3.17  -3.62  -0.14   0.69  71   575     0  1.9
 11   342 J6   202   581 J7   935   257 J6   105  1112  9831  7.5  6.7  0.83  0.12  -1.40  -7.25  -4.33  -3.71  77   680     0  3.0
 12   122 J6    42   185 J7   364   108 J6    26   474  7562  8.0  7.3  0.60  0.12  -8.25 -14.64 -11.42 -10.90  76   923     0  2.2
 13  2363 J6  1945  1808 J7  1351  1505 J6  1141  5521 16662  6.9  6.0  1.02  0.22   5.46  -2.20   1.66   2.49  68  6097     0  2.9
 1993
  1   236 J5   123   277 J7   537   205 J5    99   826  8975  7.9  7.4  0.57  0.13  -7.35 -13.93 -10.54  -9.96  76   898     0  2.7
  2   775 J6   329   631 J7   746   634 J6   241  2241 12512  7.6  6.8  0.79  0.15  -2.63  -8.31  -5.42  -4.63  70   666     0  2.9
  3  1996 J6   756  2059 J7  1872  1261 J6   415  4695 16288  6.5  5.8  0.64  0.16   3.05  -5.33  -1.06   0.06  62   604     0  3.5
  4  3467 J6  1113  3067 J7  2476  2004 J6   449  7665 20023  7.0  6.1  0.83  0.18  11.04   1.01   5.94   7.46  53   369     0  4.1
  5  5056 J6  1784  4641 J7  3705  2501 J6   473 10200 23454  6.7  5.4  1.29  0.18  16.89   4.74  11.22  12.37  57   233     0  3.9
  6  5853 J6  1334  4545 J7  2499  3136 J6   508 11407 25471  7.4  5.6  1.56  0.17  18.37   8.61  13.74  14.36  62   145     0  3.0
  7  5174 J6  1730  4749 J7  3715  2526 J6   618 10713 24217  6.3  5.7  2.03  0.14  20.86  10.50  15.79  16.57  67    84     2  2.4
  8  3374 J6  1248  2379 J7  2328  2182 J6   517  8461 20909  8.1  7.4  2.13  0.11  17.63   9.95  13.69  14.56  73   141     0  3.4
  9  2048 J6   725  1665 J7  1719  1407 J6   333  5591 17285  8.7  7.5  1.55  0.08  12.31   5.47   8.88   9.82  72   283     0  3.3
 10  1032 J6   601  1460 J7  2171   659 J6   270  2913 13556  7.5  7.0  1.15  0.06   6.28  -0.10   3.20   4.09  75   472     0  2.4
 11   324 J5   128   311 J7   540   284 J5    95  1122  9852  9.1  8.4  0.79  0.05  -1.73  -7.15  -4.35  -4.16  76   683     0  2.7
 12   134 J6    53   355 J7   582   107 J6    29   475  7560  7.7  7.1  0.74  0.06  -0.99  -6.25  -3.60  -3.57  72   680     0  3.4
 13  2456 J6  2081  2178 J7  1725  1409 J6  1043  5526 16675  7.5  6.7  1.17  0.12   7.81  -0.07   3.96   4.75  68  5259     2  3.1
 1994
  1   231 J6   100   274 J7   401   204 J6    86   819  8953  8.2  7.5  0.77  0.08  -3.66  -8.65  -5.97  -5.22  68   759     0  3.1
