702756 VALDEZ PIONEER FIEL    AK  -9  N61  8  W146 16    38  1008
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   283 J8    33   794 J8   344   196 J8    14   880  9136  6.6  5.9  0.62  0.07  -3.04  -8.52  -5.62  -5.16  70   747     0  1.5
  2   853 J8   129  1586 J8   646   495 J8    44  2305 12572  6.8  5.9  0.64  0.09  -0.49  -5.54  -2.88  -2.19  74   603     0  1.4
  3  2011 J8   220  2796 J8   861  1042 J8   100  4763 16283  6.3  5.5  0.56  0.11   1.65  -4.19  -1.17  -0.35  65   608     0  2.0
  4  3396 J8   339  3535 J8   880  1739 J8   136  7711 19937  6.9  5.8  0.73  0.13   6.11  -0.25   3.09   3.90  68   462     0  1.1
  5  4678 J8   487  4310 J8  1096  2346 J8   161 10216 23270  6.8  5.8  1.01  0.13  11.53   3.77   7.97   8.74  67   331     0  1.9
  6  4937 J8   608  4116 J8  1273  2597 J8   173 11407 25201  7.2  6.4  1.42  0.12  15.60   6.91  11.58  12.25  70   212     0  2.0
  7  4057 J8   456  2836 J8   963  2487 J8   136 10730 24016  8.1  7.5  1.81  0.10  16.55   8.75  12.74  13.45  76   177     1  1.4
  8  3435 J8   575  3167 J8  1513  1891 J8   173  8513 20816  7.4  6.8  1.77  0.08  16.15   7.74  11.94  13.11  75   198     0  1.2
  9  2235 J8   348  2510 J8  1100  1273 J8    94  5669 17276  7.6  6.9  1.36  0.06  11.59   5.00   8.25   9.34  75   301     0  1.0
 10  1164 J8   174  1738 J8   857   731 J8    73  2998 13630  7.4  6.6  0.96  0.04   6.56   1.15   3.87   4.82  73   449     0  1.2
 11   436 J8    62  1117 J8   567   287 J8    22  1193 10022  6.9  6.2  0.74  0.04  -0.14  -4.58  -2.29  -1.79  74   621     0  1.8
 12   164 J8    20   589 J8   296   121 J8     8   531  7810  7.0  6.5  0.66  0.05  -1.84  -6.77  -4.17  -3.87  74   702     0  1.4
 13  2304 J8   171  2424 J8   494  1267 J8    65  5576 16664  7.1  6.3  1.02  0.08   6.69   0.29   3.61   4.35  72  5411     1  1.5
 1991
  1   293 J8   167   884 J8  1175   191 J8    81   875  9121  6.7  6.0  0.74  0.05  -3.22  -8.45  -5.82  -5.52  72   749     0  1.0
  2   695 J8   448   734 J8  1143   510 J8   192  2283 12532  8.7  7.7  0.87  0.08  -0.60  -4.35  -2.37  -2.03  77   583     0  0.6
  3  1938 J8   902  2793 J8  2614   973 J8   291  4721 16226  6.0  5.3  0.71  0.10   1.83  -4.82  -1.51  -0.48  69   614     0  0.9
  4  2586 J8  1143  1768 J8  2322  1795 J8   421  7668 19884  8.5  7.5  0.88  0.11   6.18  -0.02   3.28   4.09  76   458     0  0.6
  5  4119 J8  1817  3038 J8  3590  2428 J8   580 10186 23223  8.1  7.1  1.07  0.12  10.59   3.58   7.11   7.78  78   348     0  1.3
  6  4767 J8  2052  3718 J8  3717  2547 J8   426 11403 25195  7.4  6.8  1.61  0.11  15.83   6.47  11.42  12.11  75   215     0  1.6
  7  3715 J8  1856  2431 J8  3636  2369 J8   475 10754 24055  8.6  8.1  1.83  0.10  15.14   7.77  11.65  12.26  85   213     0  1.0
  8  2934 J8  1395  2166 J8  3152  1857 J8   353  8553 20869  8.1  7.9  1.75  0.11  15.07   7.24  11.27  12.28  79   222     0  1.2
  9  1673 J8   794  1013 J8  1737  1282 J8   345  5712 17330  8.9  8.2  1.55  0.11  10.69   5.21   7.77   8.68  93   311     0  0.4
 10  1072 J8   481  1545 J8  1706   672 J8   195  3032 13685  6.8  6.3  1.13  0.13   5.58   0.10   2.77   3.87  75   480     0  1.1
 11   364 J8   197   479 J8   713   289 J8   114  1211 10073  7.7  7.2  1.01  0.15   0.23  -3.72  -1.86  -1.47  80   602     0  1.1
 12   127 J8    39    60 J8   133   122 J8    31   533  7816  9.0  8.3  0.86  0.17  -1.68  -5.80  -3.57  -3.04  82   684     0  1.0
 13  2024 J8  1597  1719 J8  1131  1253 J8   918  5578 16667  7.9  7.2  1.17  0.11   6.30   0.27   3.35   4.04  78  5481     0  1.0
 1992
  1   254 J8    96   159 J9   228   235 J8    85   868  9091  7.3  6.5  0.94  0.21  -5.37 -11.90  -8.43  -7.86  45   836     0  1.4
  2   853 J8   374   944 J8   911   623 J8   216  2303 12561  6.5  5.2  0.77  0.25   0.87  -5.43  -1.93  -0.87  67   598     0  1.2
  3  1799 J8   616  1226 J8  1213  1346 J8   362  4791 16317  7.2  6.3  0.72  0.29   0.69  -4.55  -1.69  -0.99  60   628     0  2.9
  4  3243 J8  1329  2327 J8  2463  2060 J8   391  7739 19966  7.0  6.3  0.79  0.31   6.10   0.13   3.29   4.02  62   456     0  1.4
  5  5066 J8  1356  3912 J8  2860  2821 J8   666 10235 23298  6.2  4.8  1.06  0.29  12.95   5.00   9.26  10.09  62   290     0  2.1
  6  4695 J8  1809  2762 J8  2829  3038 J8   548 11410 25204  7.7  6.8  1.39  0.27  17.20   7.73  12.79  13.54  61   176     0  2.2
  7  4462 J8  1904  2819 J8  3296  2785 J8   674 10716 23990  7.5  6.9  1.75  0.23  17.45   9.50  13.45  14.20  65   150     0  1.5
  8  2791 J8  1177  1144 J8  1433  2180 J8   470  8488 20785  8.9  8.2  1.82  0.19  19.32   8.03  13.71  15.38  58   145     1  1.0
  9  2155 J8   900  1678 J8  1933  1449 J8   252  5641 17243  7.9  7.2  1.13  0.15  11.17   3.63   7.39   8.67  57   328     0  0.9
 10  1005 J8   443   941 J8  1282   760 J8   210  2975 13597  8.3  7.3  0.94  0.13   7.20   1.90   4.50   5.31  77   427     0  1.2
 11   353 J8   162   387 J8   730   296 J8   106  1181  9991  8.3  7.7  0.92  0.11   0.66  -2.77  -0.77  -0.45  88   581     0  4.5
 12   148 J8    45   259 J9   421   127 J8    34   529  7806  6.7  6.2  0.73  0.11  -0.21  -5.52  -2.81  -2.58  77   657     0  1.2
 13  2235 J8  1804  1546 J8  1177  1477 J8  1079  5573 16654  7.5  6.6  1.08  0.21   7.34   0.48   4.06   4.87  65  5273     1  1.8
 1993
  1   253 J8   137   515 J8   711   191 J8    65   890  9168  7.0  5.9  0.55  0.12  -4.70  -9.99  -7.21  -6.67  75   796     0  0.8
  2   611 J8   323   575 J8  1018   485 J8   172  2318 12595  7.8  7.3  0.80  0.13  -0.65  -4.71  -2.80  -2.38  83   588     0  1.0
  3  1703 J8   822  1913 J8  2493  1044 J8   343  4770 16296  7.3  6.8  0.59  0.15   2.91  -3.32  -0.20   0.77  72   575     0  0.9
  4  3467 J8  1171  3508 J8  2844  1805 J8   461  7719 19948  7.0  5.5  0.82  0.16   9.03   1.26   5.21   6.26  67   396     0  0.6
  5  4574 J8  2181  4173 J8  4253  2242 J8   586 10222 23280  7.0  5.9  1.28  0.16  14.46   4.68   9.98  10.90  70   272     0  1.3
  6  4322 J8  2034  3055 J8  3662  2546 J8   500 11409 25205  8.2  7.3  1.48  0.15  16.53   6.34  11.75  12.53  75   207     0  1.2
  7  4816 J8  2308  4775 J8  4994  2182 J8   639 10727 24009  6.2  5.9  1.89  0.13  19.47   9.66  14.63  15.53  70   125     8  1.2
  8  3039 J8  1693  2309 J8  3284  1834 J8   387  8506 20806  8.7  7.8  2.05  0.10  15.70   8.59  12.13  13.10  83   193     1  0.6
  9  1825 J8   824  1445 J8  2366  1290 J8   352  5662 17267  8.5  7.9  1.51  0.07  10.70   4.60   7.64   8.67  87   320     0  0.4
 10  1012 J8   522  1246 J8  1923   696 J8   261  2992 13619  8.1  7.5  1.29  0.06   7.35   2.30   4.64   5.53  83   419     0  0.8
 11   365 J8   215   709 J8  1208   262 J8    93  1190 10013  7.8  7.2  0.78  0.05   1.20  -2.94  -0.95  -0.43  80   576     0  1.2
 12   134 J8    46   269 J8   543   114 J8    24   530  7809  8.2  7.6  0.76  0.05  -0.76  -5.35  -2.87  -2.47  85   663     0  0.3
 13  2177 J8  1785  2041 J8  1528  1224 J8   879  5578 16668  7.7  6.9  1.15  0.11   7.60   0.93   4.33   5.11  77  5129    10  0.9
 1994
  1   255 J8   140   506 J8   711   196 J8    76   882  9141  7.5  6.7  0.74  0.07  -2.53  -7.01  -4.79  -4.32  76   716     0  1.0
  2  1038 J8   531  2651 J8  2132   435 J8   118  2301 12570  3.7  3.1  0.59  0.09  -4.43  -9.29  -6.81  -6.26  55   705     0  2.9
  3  1576 J8   872  1552 J8  2390  1015 J8   297  4747 16263  8.6  7.9  0.63  0.11   1.39  -3.09  -0.97  -0.32  77   595     0  1.4
  4  3230 J8  1473  3347 J8  3525  1683 J8   508  7695 19918  7.0  5.9  0.79  0.12   7.84  -0.03   3.89   4.94  77   433     0  0.3
  5  4056 J8  1927  3026 J8  3879  2427 J8   639 10205 23253  8.2  7.1  1.01  0.13  11.04   3.44   7.48   8.20  77   344     0  1.1
  6  4487 J8  1971  3230 J8  3461  2577 J8   425 11406 25203  7.6  7.1  1.48  0.12  16.64   7.24  12.09  12.83  72   192     0  1.3
  7  3814 J8  1726  2460 J8  3270  2466 J8   382 10740 24032  8.3  7.8  1.99  0.10  17.48   8.77  13.10  13.87  76   161     0  1.1
  8  3864 J8  1567  3836 J8  3266  1886 J8   477  8528 20835  7.2  6.4  2.20  0.08  17.83   9.10  13.38  14.63  78   151     0  0.9
  9  2272 J8  1200  2770 J8  3416  1191 J8   417  5685 17296  7.1  6.7  1.35  0.05  11.99   5.03   8.28   9.50  80   295     0  0.8
 10   918 J8   341   783 J8  1442   741 J8   210  3011 13649  8.9  8.6  0.88  0.04   5.47   1.28   3.36   4.06  79   464     0  0.6
 11   441 J8   183  1292 J8  1501   281 J8   125  1200 10039  6.1  5.4  0.63  0.03  -2.73  -7.54  -5.20  -4.65  64   704     0  2.6
