702757 WHITTIER               AK  -9  N60 46  W148 41     9  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   304 J8    49   754 J8   377   217 J8    16   931  9281  6.9  6.3  0.64  0.08  -0.05  -3.97  -2.05  -1.75  81   631     0  4.7
  2   892 J8   126  1290 J8   597   599 J8    40  2367 12642  7.2  6.6  0.66  0.10   0.99  -2.75  -0.90  -0.50  84   543     0  4.5
  3  2091 J8   327  2673 J8  1081  1150 J8   101  4823 16289  6.4  5.7  0.59  0.13   1.96  -2.35  -0.28   0.21  79   574     0  4.5
  4  3227 J8   456  2919 J8  1007  1837 J8    94  7755 19881  7.2  6.3  0.75  0.14   6.12   1.06   3.51   4.09  80   442     0  3.6
  5  4740 J8   497  4072 J8  1068  2508 J8   153 10235 23140  7.0  5.9  1.03  0.15  10.89   4.98   8.01   8.53  77   322     0  3.2
  6  5216 J8   381  4197 J8   858  2807 J8   168 11410 25005  7.5  6.1  1.46  0.14  15.51   8.80  12.26  12.69  76   186     0  2.8
  7  4083 J8   445  2775 J8   863  2533 J8   143 10741 23859  8.3  7.4  1.87  0.12  16.29  10.80  13.46  13.86  83   151     2  2.5
  8  3493 J8   415  3167 J8   945  1929 J8    93  8546 20737  7.5  6.7  1.80  0.09  15.63  10.27  12.95  13.49  82   167     1  2.8
  9  2295 J8   348  2611 J8  1071  1278 J8    87  5722 17260  7.5  6.7  1.38  0.07  11.41   7.00   9.14   9.65  82   274     0  3.5
 10  1233 J8   153  1846 J8   752   762 J8    71  3058 13675  7.3  6.6  0.96  0.05   6.05   2.32   4.13   4.55  82   439     0  4.1
 11   449 J8    73  1092 J8   603   296 J8    28  1247 10141  7.1  6.6  0.75  0.05   2.12  -1.59   0.21   0.48  83   542     0  4.7
 12   171 J8    23   535 J8   257   128 J8     8   575  7991  7.6  6.9  0.67  0.05   0.72  -3.20  -1.29  -1.11  84   607     0  4.7
 13  2350 J8   121  2328 J8   341  1337 J8    41  5618 16658  7.3  6.5  1.05  0.10   7.30   2.61   4.93   5.35  81  4877     3  3.8
 1991
  1   299 J8   179   825 J8  1103   202 J8    87   925  9261  6.4  6.2  0.78  0.07   0.07  -4.40  -2.29  -2.05  78   635     0  5.3
  2   831 J8   455   986 J8  1647   599 J8   209  2344 12601  8.5  7.8  0.82  0.09   1.00  -3.44  -1.29  -0.85  86   547     0  3.8
  3  2090 J8   952  2961 J8  2789  1054 J8   374  4781 16233  5.9  5.3  0.78  0.11   2.19  -1.81   0.02   0.32  79   562     0  4.8
  4  2350 J8  1068  1292 J8  2032  1742 J8   497  7712 19829  9.4  8.5  0.90  0.13   5.34   1.37   3.19   3.56  90   449     0  3.5
  5  3937 J8  1914  2732 J8  3608  2412 J8   630 10205 23096  8.0  7.3  1.13  0.14   8.33   3.95   6.15   6.42  87   378     0  3.8
  6  5406 J8  2234  4940 J8  4349  2599 J8   801 11406 25001  7.1  5.6  1.73  0.13  14.18   8.54  11.42  11.77  80   209     0  2.7
  7  3809 J8  1928  2503 J8  3582  2372 J8   682 10764 23895  8.5  7.8  1.89  0.11  14.51   9.96  12.07  12.36  87   189     0  2.2
  8  3246 J8  1485  2727 J8  3145  1903 J8   591  8586 20787  7.6  6.8  1.81  0.12  14.43   9.58  11.86  12.32  84   196     0  2.8
  9  1769 J8   815   995 J8  1832  1359 J8   442  5766 17314  9.3  8.5  1.63  0.12  10.89   7.44   9.05   9.32  94   275     0  3.2
 10  1110 J8   562  1460 J8  1767   723 J8   255  3093 13731  6.7  6.3  1.13  0.13   5.72   2.08   3.65   3.90  79   447     0  3.8
