702770 SEWARD                 AK  -9  N60  7  W149 27    18  1011
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   334 J8    35   861 J8   337   226 J8    16  1023  9526  6.7  6.3  0.69  0.07  -1.18  -5.88  -3.49  -3.08  75   678     0  5.3
  2   922 J8   135  1455 J8   701   583 J8    50  2476 12760  7.0  6.5  0.70  0.10   0.14  -4.94  -2.39  -1.67  75   586     0  4.6
  3  2103 J8   366  2753 J8  1182  1114 J8   104  4928 16298  6.4  5.9  0.61  0.12   2.16  -3.69  -0.76   0.04  69   592     0  4.8
  4  3192 J8   449  3099 J8  1211  1702 J8   241  7830 19784  7.0  6.4  0.80  0.14   6.74   0.28   3.59   4.48  72   445     0  3.9
  5  4533 J8   470  4060 J8   983  2290 J8   233 10268 22918  6.8  6.0  1.05  0.14  11.29   4.05   7.86   8.58  73   330     0  3.6
  6  4961 J8   530  4210 J8  1158  2517 J8   318 11416 24683  7.1  6.3  1.47  0.14  14.26   7.74  11.18  11.61  78   220     0  3.2
  7  4086 J8   466  3107 J8   972  2335 J8   210 10761 23595  8.0  7.3  1.91  0.11  15.81  10.25  13.09  13.53  83   167     2  2.9
  8  3583 J8   505  3682 J8  1322  1769 J8   225  8607 20603  7.1  6.5  1.84  0.09  16.16   9.92  12.99  13.71  81   165     1  3.2
  9  2389 J8   291  2966 J8   992  1228 J8   151  5818 17233  7.0  6.5  1.42  0.06  12.65   6.42   9.47  10.45  79   264     0  3.6
 10  1276 J8   103  2072 J8   555   730 J8    71  3167 13752  7.1  6.6  0.98  0.05   6.95   1.57   4.21   5.08  76   436     0  4.4
 11   497 J8    84  1373 J8   682   293 J8    34  1344 10343  6.7  6.4  0.77  0.04   1.76  -2.70  -0.52  -0.04  76   564     0  5.1
 12   201 J8    19   716 J8   289   138 J8     9   657  8299  7.1  6.8  0.70  0.05  -0.25  -4.94  -2.56  -2.24  77   649     0  5.2
 13  2340 J8    97  2529 J8   382  1244 J8   119  5691 16649  7.0  6.5  1.08  0.09   7.21   1.51   4.39   5.04  76  5095     4  4.1
 1991
  1   345 J8   183   879 J8  1156   231 J8    82  1017  9506  6.3  6.0  1.04  0.06  -0.74  -5.84  -3.08  -2.27  76   670     0  5.7
  2   892 J8   500   926 J8  1371   659 J8   238  2453 12721  7.8  7.1  1.05  0.09   0.81  -4.35  -1.92  -1.22  76   563     0  4.7
  3  2273 J8   791  2948 J8  2421  1216 J8   461  4886 16242  5.6  5.0  1.02  0.11   3.21  -2.66   0.25   1.14  72   560     0  5.2
  4  2680 J8   949  1359 J8  1492  2014 J8   461  7788 19733  9.0  8.0  1.19  0.13   5.45   1.35   3.38   3.80  79   448     0  4.2
  5  4481 J8  1791  3161 J8  3217  2668 J8   647 10239 22875  8.6  6.9  1.40  0.13   9.01   4.12   6.59   6.98  78   365     0  4.3
  6  5654 J8  2001  5072 J8  3907  2676 J8   638 11412 24674  7.2  5.8  1.83  0.13  13.35   7.78  10.67  11.05  79   233     0  4.2
  7  4233 J8  2059  3008 J8  3871  2502 J8   659 10784 23627  8.2  7.3  2.18  0.11  14.51   9.95  12.34  12.74  83   189     0  3.7
  8  3562 J8  1255  3048 J8  3249  2071 J8   611  8646 20652  7.9  6.9  2.10  0.11  14.99   9.92  12.36  12.96  78   182     0  4.3
  9  2054 J8   865  1245 J8  1321  1521 J8   459  5861 17284  9.2  8.2  1.92  0.12  11.89   7.90   9.77  10.28  87   253     0  4.5
 10  1293 J8   560  1503 J8  1507   857 J8   266  3201 13804  6.5  6.0  1.36  0.13   6.85   1.96   4.38   5.18  73   432     0  5.7
 11   409 J8   191   445 J8   840   335 J8   120  1362 10387  8.0  7.1  1.34  0.15   3.78  -0.65   1.56   2.11  80   503     0  5.3
 12   162 J8    46    92 J8   140   154 J8    38   659  8307  8.1  7.5  1.12  0.18   0.52  -3.74  -1.83  -1.84  84   618     0  5.3
 13  2337 J8  1821  1974 J8  1461  1409 J8   964  5692 16651  7.7  6.8  1.46  0.12   6.97   2.14   4.54   5.08  79  5016     0  4.7
 1992
  1   299 J8   118   206 J8   370   271 J8    96  1009  9487  8.0  7.3  1.18  0.22   1.02  -2.66  -0.84  -0.51  82   594     0  5.3
