702910 NORTHWAY AIRPORT       AK  -9  N62 58  W141 56   522   952
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   225 J7    21   628 J8   240   170 J7    10   638  8320  6.9  5.8  0.41  0.06 -21.67 -30.18 -25.70 -24.56  80  1372     0  0.7
  2   839 J7    88  1393 J7   440   556 J7    39  2001 12198  6.9  5.6  0.45  0.08 -14.32 -25.93 -20.03 -17.72  78  1086     0  0.9
  3  2214 J7   200  3133 J7   830  1179 J7    98  4463 16254  6.1  4.7  0.42  0.09  -5.37 -22.00 -13.26 -10.19  67   992     0  1.6
  4  4102 J7   242  4361 J7   817  2149 J7   138  7495 20244  6.5  4.8  0.61  0.11   6.32  -8.19  -0.33   1.86  59   578     0  2.0
  5  5232 J7   307  4729 J7   889  2806 J7   161 10127 24004  7.4  5.5  0.93  0.11  14.14   1.20   8.39   9.64  55   330     0  2.5
  6  5437 J7   230  4865 J7   585  2823 J7    97 11404 26354  7.5  5.8  1.41  0.11  19.67   7.41  14.12  14.77  60   147     4  2.4
  7  4926 J7   361  4156 J7   936  2764 J7   104 10681 24915  7.8  6.4  1.68  0.09  20.62   9.16  15.19  16.02  67   109     2  2.1
  8  3705 J7   272  3637 J7   765  2017 J7   119  8340 21244  7.7  6.4  1.56  0.07  17.88   6.55  12.29  13.71  72   192     3  1.9
  9  2414 J7   188  2766 J7   640  1422 J7    85  5395 17360  7.4  6.2  1.12  0.05  10.93  -0.06   5.29   7.22  75   387     0  1.8
 10  1001 J7   106  1433 J8   466   662 J7    37  2692 13386  7.9  6.9  0.72  0.04  -1.47 -10.14  -5.68  -4.08  83   748     0  1.5
 11   346 J7    33   727 J8   280   267 J7    18   931  9363  7.6  6.6  0.51  0.04 -14.33 -22.44 -18.07 -16.82  82  1102     0  0.9
 12   101 J7    10   395 J8   128    81 J7     5   324  6761  7.2  6.1  0.44  0.04 -20.47 -28.69 -24.37 -23.60  79  1330     0  0.6
 13  2545 J7   116  2685 J7   386  1408 J7    41  5374 16700  7.2  5.9  0.86  0.07   0.99 -10.28  -4.35  -2.81  72  8375     9  1.6
 1991
  1   230 J5   124   812 J7   886   162 J5    87   632  8298  6.3  5.8  0.44  0.04 -19.98 -28.95 -24.19 -23.33  76  1327     0  1.5
  2   747 J5   384  1010 J7  1263   540 J5   204  1979 12154  7.7  6.8  0.58  0.06 -14.80 -25.49 -19.80 -18.15  78  1077     0  1.6
  3  2081 J5   838  2920 J7  2767  1135 J5   429  4420 16194  6.3  5.1  0.43  0.08  -3.52 -19.40 -10.95  -8.04  70   923     0  2.3
  4  4170 J5  1054  4899 J7  2985  1982 J5   609  7450 20184  5.7  4.2  0.56  0.09   8.08  -7.61   0.76   3.32  60   543     0  1.9
  5  5075 J5  1225  4362 J6  2809  2823 J5   587 10095 23948  7.0  5.6  0.82  0.10  15.15   0.54   8.94  10.40  49   325     0  3.0
  6  5768 J5  1553  5483 J6  3423  2700 J5   563 11399 26347  7.2  5.2  1.40  0.10  20.03   7.03  14.18  14.88  58   149     5  2.5
  7  4878 J5  1500  3890 J6  3130  2776 J5   496 10706 24963  8.4  6.8  1.45  0.09  19.33   8.03  14.10  14.91  67   144     0  2.5
  8  3533 J5  1151  2809 J7  2374  2147 J5   393  8382 21302  8.1  6.8  1.38  0.10  16.77   5.73  11.35  12.80  66   219     0  2.1
  9  2500 J5   784  2758 J7  2046  1448 J5   349  5440 17420  7.3  5.7  1.11  0.11  13.95   0.86   7.34   9.72  69   328     0  2.0
 10   867 J5   431   936 J7  1136   630 J5   207  2727 13447  7.6  7.1  0.61  0.12  -1.64 -11.43  -5.95  -4.31  77   771     0  2.3
 11   302 J5   173   308 J7   452   260 J5   126   948  9418  7.9  7.3  0.47  0.14 -14.46 -23.30 -18.51 -17.35  78  1116     0  0.8
 12    81 J6    21    56 J7    95    78 J6    18   326  6773  8.0  7.0  0.51  0.17 -18.76 -28.86 -23.51 -22.65  75  1306     0  0.9
 13  2519 J5  2101  2520 J7  1875  1390 J5  1066  5375 16704  7.3  6.1  0.81  0.10   1.68 -10.24  -3.85  -2.32  68  8229     5  1.9
 1992
  1   174 J5    98    82 J7   174   167 J5    91   626  8270  8.2  7.2  0.53  0.20 -18.88 -26.01 -22.29 -21.70  77  1264     0  0.7
  2   746 J5   326   645 J7   729   600 J5   221  1999 12185  6.5  5.7  0.48  0.24 -17.63 -29.40 -23.15 -20.93  75  1213     0  0.9
  3  1741 J5   604  1169 J7  1051  1322 J5   329  4491 16291  6.8  5.8  0.47  0.27  -2.67 -18.75 -10.84  -7.78  71   900     0  1.8
  4  3505 J5  1185  2401 J7  2205  2331 J5   628  7523 20280  7.6  6.5  0.54  0.29   3.05  -9.20  -2.66  -0.91  68   642     0  2.9
  5  4420 J5  1168  2224 J6  1522  3181 J5   532 10146 24035  8.7  7.2  0.76  0.28  10.25  -0.39   5.10   6.09  61   415     0  3.3
  6  5175 J5  1725  3705 J6  3209  3017 J5   578 11406 26360  7.2  6.0  1.12  0.25  19.55   7.57  14.24  14.88  58   148     5  2.8
  7  4340 J5  1339  2346 J6  2236  2999 J5   580 10665 24888  8.5  7.4  1.37  0.22  20.66  10.52  15.37  16.11  73    89     4  2.4
  8  3029 J5  1169  2020 J7  2146  2062 J5   373  8314 21209  8.5  7.3  1.41  0.18  17.74   6.68  12.09  13.53  71   190     0  2.6
  9  1972 J5   801  1522 J7  1780  1396 J5   379  5367 17325  8.2  7.2  0.71  0.15   3.07  -6.35  -1.17   0.23  73   599     0  2.9
 10   891 J5   516  1184 J7  1466   580 J5   221  2669 13350  7.7  6.8  0.52  0.12  -3.67 -15.01  -8.84  -6.94  77   858     0  1.8
 11   287 J5   138   353 J7   574   244 J5   107   920  9323  7.6  6.6  0.57  0.11 -12.18 -20.66 -15.96 -14.83  80  1043     0  1.3
 12    88 J6    27   256 J7   368    75 J6    23   322  6753  7.1  6.1  0.36  0.10 -20.15 -28.99 -24.22 -23.49  74  1330     0  1.4
 13  2197 J5  1836  1492 J7  1087  1498 J5  1186  5371 16689  7.7  6.7  0.74  0.20  -0.07 -10.83  -5.19  -3.81  71  8692    10  2.1
 1993
  1   200 J5   121   364 J7   597   163 J5    88   646  8356  6.8  6.1  0.37  0.11 -17.89 -28.08 -22.82 -21.91  76  1281     0  2.2
  2   615 J5   277   522 J7   722   511 J5   185  2014 12228  7.1  6.4  0.52  0.12 -13.16 -24.79 -18.75 -16.40  76  1044     0  1.3
  3  2076 J5   709  2521 J7  2075  1225 J5   398  4470 16268  5.9  4.3  0.40  0.13  -1.62 -20.52 -10.61  -6.94  64   911     0  1.7
  4  4302 J5   972  4830 J7  2519  2074 J5   567  7502 20255  5.4  3.7  0.61  0.14   9.13  -6.13   1.79   4.25  63   505     0  2.0
  5  5258 J5  1542  4691 J6  3249  2802 J5   761 10133 24016  6.6  5.1  1.02  0.14  16.30   3.35  10.68  11.90  55   264     0  2.8
  6  5751 J5  1510  5439 J6  3041  2739 J5   485 11405 26359  7.3  5.3  1.32  0.13  20.18   7.81  14.43  15.11  63   131     1  2.7
  7  4671 J5  1323  3653 J6  2722  2754 J5   452 10678 24908  7.4  6.5  1.58  0.11  22.12   9.98  16.41  17.35  63    75     4  2.9
  8  3610 J5  1125  3102 J7  2455  2104 J5   437  8333 21236  7.7  6.3  1.47  0.09  18.17   6.86  12.62  14.12  68   180     0  2.6
  9  2437 J5   828  2796 J7  2404  1376 J5   370  5388 17349  7.4  6.3  0.99  0.07  11.89   0.47   6.13   7.94  66   364     0  2.7
