702960 CORDOVA                AK  -9  N60 30  W145 30    12  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   295 J7    32   657 J8   243   217 J7    15   968  9383  7.5  6.7  0.81  0.06   0.27  -7.01  -3.27  -2.29  83   673     0  1.9
  2   821 J7   130  1280 J8   626   526 J7    37  2411 12689  7.4  6.6  0.83  0.08   2.18  -5.42  -1.53  -0.26  80   564     0  2.2
  3  1961 J7   307  2488 J7  1029  1082 J7    85  4865 16292  6.9  6.0  0.72  0.11   3.41  -4.77  -0.40   1.02  73   589     0  2.5
  4  3252 J7   384  3107 J7  1012  1786 J7   121  7785 19840  7.3  6.1  0.92  0.12   7.74  -0.88   3.74   5.07  74   447     0  2.5
  5  4400 J7   468  3675 J7   933  2405 J7   100 10248 23046  7.5  6.3  1.21  0.13  11.95   2.84   7.90   8.90  76   339     0  2.2
  6  4306 J7   485  2983 J7   838  2621 J7   126 11412 24869  8.2  7.2  1.67  0.12  14.81   6.64  11.13  11.80  81   228     0  1.8
  7  3530 J7   517  1988 J7   992  2441 J7   118 10750 23749  8.7  8.2  2.15  0.10  15.89   8.88  12.56  13.20  86   184     0  1.5
  8  3148 J7   463  2507 J7  1027  1905 J7    93  8572 20682  8.1  7.5  2.09  0.08  16.18   8.08  12.26  13.38  85   192     0  1.6
  9  2131 J7   299  2119 J7   828  1307 J7    69  5763 17250  7.8  7.1  1.64  0.06  13.07   4.82   9.02  10.48  83   282     0  2.1
 10  1196 J7   116  1600 J8   529   782 J7    65  3104 13708  7.7  6.8  1.19  0.04   8.13   0.73   4.38   5.80  82   431     0  2.1
 11   457 J7    63   937 J8   438   322 J7    26  1287 10226  7.5  6.7  0.93  0.04   3.23  -3.55  -0.17   0.86  83   555     0  2.0
 12   180 J7    17   453 J8   200   143 J7     7   608  8120  7.7  7.1  0.86  0.05   1.20  -5.42  -2.01  -1.45  83   634     0  2.2
 13  2140 J7   128  1983 J7   312  1295 J7    37  5648 16654  7.7  6.9  1.25  0.08   8.17   0.41   4.47   5.54  81  5117     0  2.0
 1991
  1   315 J5   176   840 J7  1168   213 J5    82   962  9365  6.4  5.9  0.98  0.05  -2.59 -10.15  -6.40  -4.99  87   766     0  2.6
  2   666 J5   475   725 J7  1538   484 J5   162  2388 12648  8.5  8.0  1.06  0.07   2.57  -4.09  -0.48   0.43  84   534     0  3.6
  3  1898 J5   912  2729 J7  2815   970 J5   377  4823 16238  5.8  5.4  0.94  0.09   2.37  -6.83  -1.91  -0.23  83   637     0  2.8
