702986 BIG RIVER LAKE         AK  -9  N60 49  W152 18    12  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   334 J8    35   863 J8   315   236 J8    22   925  9263  6.2  5.7  0.61  0.07  -3.95 -11.22  -7.40  -6.41  70   803     0  2.3
  2   969 J8   125  1581 J8   665   614 J8    59  2359 12634  6.6  5.8  0.64  0.10  -1.17  -8.59  -4.71  -3.44  77   656     0  1.9
  3  2302 J8   321  3105 J8  1157  1213 J8   114  4816 16290  5.8  5.0  0.57  0.12   1.15  -5.97  -2.43  -1.24  75   643     0  2.8
  4  3610 J8   415  3340 J8  1037  2036 J8   145  7750 19890  7.0  5.9  0.76  0.14   6.68  -0.07   3.27   4.04  71   451     0  2.0
  5  5033 J8   452  4510 J8   980  2597 J8   130 10233 23159  6.7  5.4  1.06  0.14  12.97   4.51   8.72   9.40  72   297     0  2.0
  6  5575 J8   434  4821 J8  1072  2831 J8   207 11410 25033  7.0  5.5  1.54  0.14  18.04   8.82  13.33  13.82  77   149     2  2.1
  7  4727 J8   431  3857 J8  1001  2578 J8   180 10739 23879  7.5  6.5  1.96  0.11  19.41  11.10  14.95  15.55  82   100     5  1.9
  8  3792 J8   354  3611 J8   875  2030 J8   116  8541 20746  7.3  6.3  1.89  0.09  18.37  10.17  13.83  14.72  81   128     2  1.8
  9  2482 J8   278  3016 J8   870  1325 J8    83  5714 17261  7.0  6.1  1.41  0.06  13.27   5.56   9.05  10.37  79   268     0  1.8
 10  1294 J8   121  2330 J8   621   705 J8    60  3049 13667  6.5  5.6  0.95  0.05   5.75   0.20   2.77   3.83  78   476     0  2.4
 11   462 J8    73  1295 J8   626   282 J8    27  1239 10123  6.4  5.8  0.72  0.04   1.56  -6.19  -2.67  -2.50  76   619     0  2.5
 12   190 J8    23   687 J8   317   135 J8     9   569  7966  6.8  6.0  0.64  0.05  -3.52  -9.13  -6.26  -5.78  74   764     0  2.7
 13  2564 J8   115  2751 J8   343  1382 J8    38  5612 16659  6.7  5.8  1.06  0.09   7.38  -0.07   3.54   4.36  76  5354     9  2.2
 1991
  1   296 J8   160   943 J8  1091   192 J8    79   919  9246  5.8  5.7  0.64  0.06  -6.45 -15.01 -10.91  -9.90  83   901     0  2.2
  2   848 J8   480   997 J8  1394   613 J8   248  2336 12591  7.0  6.4  0.70  0.08  -2.13  -9.79  -5.92  -4.68  77   680     0  3.5
  3  2332 J8   926  3296 J8  2591  1160 J8   384  4774 16235  4.6  3.9  0.65  0.11  -1.05  -8.71  -5.00  -3.84  80   720     0  2.4
  4  3070 J8  1102  2190 J8  2673  2055 J8   589  7707 19838  8.2  7.3  0.72  0.13   6.52   1.32   3.82   4.48  72   432     0  1.9
  5  4683 J8  1752  3428 J8  3444  2750 J8   624 10203 23114  8.1  6.8  0.99  0.13  10.99   4.66   7.79   8.29  74   326     0  1.9
  6  5529 J8  1565  4667 J8  3213  2804 J8   631 11405 25028  7.0  5.8  1.65  0.13  17.09   8.64  12.78  13.17  78   164     0  2.5
  7  4353 J8  1469  2913 J8  2674  2686 J8   472 10762 23919  8.5  7.4  1.70  0.11  16.65   9.82  13.04  13.50  85   158     0  1.9
  8  3617 J8  1221  3217 J8  3082  2018 J8   595  8581 20801  7.9  6.6  1.82  0.11  16.10   9.78  12.71  13.27  81   167     0  1.8
  9  1821 J8   914  1127 J8  1783  1352 J8   322  5757 17314  9.1  8.4  1.53  0.12  12.58   7.10   9.63  10.36  86   255     0  1.0
 10  1173 J8   564  1700 J8  1827   708 J8   217  3084 13721  6.1  5.5  1.03  0.13   5.93   0.48   2.98   4.10  74   469     0  2.1
 11   344 J8   162   439 J8   755   278 J8   100  1257 10172  7.8  7.3  0.82  0.15   2.54  -4.80  -1.53  -1.45  87   584     0  2.4
 12   146 J8    40    76 J8   140   139 J8    34   571  7974  7.9  7.2  0.71  0.18  -3.30  -8.06  -5.67  -5.45  81   744     0  2.9
 13  2351 J8  1876  2083 J8  1421  1396 J8  1032  5613 16663  7.3  6.5  1.08  0.12   6.29  -0.38   2.81   3.49  80  5599     0  2.2
 1992
  1   282 J8   129   293 J8   556   241 J8    84   912  9220  6.8  6.6  0.66  0.22  -2.11  -8.56  -4.92  -3.90  76   734     0  2.7
  2   885 J8   363  1162 J8  1321   611 J8   195  2357 12625  4.8  4.7  0.58  0.26  -5.14 -12.74  -8.71  -7.23  68   791     0  3.6
  3  1699 J8   878  1318 J8  1775  1211 J8   388  4844 16325  6.8  6.4  0.56  0.30  -0.07  -6.31  -3.14  -2.21  76   667     0  2.4
  4  3968 J8   966  3368 J8  2107  2288 J8   508  7777 19920  5.1  4.5  0.65  0.32   5.40  -0.95   2.25   2.94  63   483     0  2.8
  5  5478 J8  1529  4935 J8  3151  2696 J8   627 10251 23184  4.3  3.5  1.04  0.30  11.78   3.22   7.65   8.32  59   336     0  2.8
  6  5088 J8  1636  3316 J8  2994  3075 J8   578 11412 25036  7.1  6.1  1.42  0.28  17.07   8.80  13.10  13.55  72   163     1  2.4
  7  4454 J8  1573  2623 J8  2304  2890 J8   514 10724 23858  8.2  7.0  1.86  0.24  18.82  10.97  14.76  15.37  81   108     1  2.2
  8  3174 J8  1211  1625 J8  1701  2309 J8   596  8516 20719  8.7  7.7  1.79  0.20  15.74   9.74  12.50  13.20  86   173     0  1.6
  9  2495 J8   918  3014 J8  2528  1337 J8   457  5686 17229  5.1  4.5  1.07  0.16  10.06   2.09   5.79   7.13  64   368     0  3.3
 10  1121 J8   549  1777 J8  1739   639 J8   203  3026 13636  5.4  5.0  0.82  0.13   4.68  -1.73   1.25   2.64  76   522     0  1.9
 11   323 J8   206   466 J8   851   250 J8    97  1227 10094  7.1  7.0  0.75  0.12   2.32  -5.18  -1.50  -1.18  78   593     0  1.9
 12   144 J8    47   213 J8   356   126 J8    35   567  7963  6.7  6.4  0.62  0.11  -5.98 -11.20  -8.53  -8.12  72   834     0  2.4
 13  2426 J8  1961  2009 J8  1460  1473 J8  1119  5608 16651  6.4  5.8  0.99  0.22   6.05  -0.99   2.54   3.38  73  5772     2  2.5
 1993
  1   312 J8   168   504 J8   732   245 J8    97   934  9290  6.3  5.9  0.52  0.13  -7.41 -14.92 -10.93 -10.06  68   914     0  2.7
  2   743 J8   394   805 J8  1250   566 J8   237  2372 12660  7.5  7.0  0.68  0.14  -1.30  -8.38  -4.73  -3.71  79   649     0  1.6
  3  1954 J8   708  1645 J8  1785  1365 J8   458  4823 16299  7.3  6.5  0.57  0.16   2.69  -3.53  -0.44   0.46  71   581     0  2.3
  4  3121 J8  1180  2011 J8  2464  2134 J8   511  7757 19900  8.5  7.4  0.82  0.17   8.82   1.60   5.22   5.90  65   394     0  1.8
  5  4836 J8  1882  4121 J8  3928  2531 J8   597 10239 23169  6.6  5.6  1.26  0.17  14.74   6.04  10.33  11.00  72   248     1  2.2
  6  5497 J8  1565  4425 J8  3077  2894 J8   511 11411 25035  7.0  5.8  1.48  0.16  17.78   8.54  13.20  13.66  78   155     0  2.8
  7  5294 J8  2104  5480 J8  4544  2192 J8   680 10736 23872  5.6  5.2  1.96  0.13  20.29  11.55  15.74  16.37  81    85    10  2.6
  8  3530 J8  1457  3381 J8  3263  1859 J8   505  8534 20736  7.2  6.4  2.04  0.11  17.38  10.41  13.72  14.39  86   141     3  2.2
  9  2137 J8  1021  2248 J8  2633  1243 J8   384  5707 17250  7.7  6.9  1.50  0.08  12.22   5.71   8.66   9.59  82   281     0  2.4
 10  1173 J8   538  1824 J8  2009   698 J8   249  3043 13657  6.7  5.8  1.08  0.06   7.35   1.74   4.34   5.60  76   427     0  2.5
 11   408 J8   217   860 J8  1145   288 J8   111  1236 10115  6.4  5.9  0.76  0.05   1.31  -6.16  -2.73  -2.54  74   623     0  2.5
 12   160 J8    68   385 J8   618   128 J8    39   568  7962  8.1  7.7  0.70  0.06   0.84  -4.85  -1.79  -1.26  79   630     0  2.1
 13  2430 J8  1990  2307 J8  1680  1345 J8   966  5613 16662  7.1  6.3  1.11  0.12   7.89   0.65   4.22   4.95  76  5128    15  2.3
 1994
  1   281 J8   132   403 J8   523   236 J8   109   927  9272  7.6  6.9  0.66  0.08  -1.95  -8.23  -4.77  -3.96  80   726     0  1.9
  2  1140 J8   500  2601 J8  1857   536 J8   219  2355 12626  3.5  3.3  0.60  0.10  -4.31 -12.74  -8.55  -6.87  62   752     0  2.4
  3  1869 J8   798  1772 J8  2061  1235 J8   381  4800 16269  7.5  6.6  0.55  0.12  -2.12  -7.57  -4.85  -4.14  69   719     0  3.6
  4  3232 J8  1102  2191 J8  2237  2200 J8   623  7734 19869  8.2  7.1  0.71  0.14   6.07  -0.39   2.80   3.44  74   465     0  2.5
  5  4128 J8  1591  2469 J8  2769  2752 J8   579 10222 23144  8.9  7.8  0.99  0.14  11.92   4.00   8.04   8.64  70   321     0  2.5
  6  5622 J8  1688  4900 J8  3407  2785 J8   611 11409 25032  6.8  5.4  1.51  0.13  18.01   8.74  13.29  13.82  75   149     0  2.3
  7  4432 J8  1529  3217 J8  3128  2622 J8   548 10748 23895  7.8  7.2  1.92  0.11  17.65  10.01  13.83  14.37  83   139     0  2.0
  8  4373 J8  1202  5093 J8  3358  1831 J8   658  8556 20764  6.0  5.1  2.08  0.08  17.83   9.44  13.63  14.53  80   146     0  2.1
  9  2594 J8  1054  3454 J8  3138  1232 J8   387  5730 17280  6.4  5.7  1.25  0.06  12.44   4.51   8.27   9.68  79   296     0  1.4
 10  1298 J8   536  2312 J8  2231   703 J8   287  3062 13686  6.7  5.9  0.84  0.04   4.36  -0.53   1.69   2.65  68   509     0  4.1
