703080 ST PAUL ISLAND ARPT    AK  -9  N57 10  W170 13     7  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   370 J7    42   418 J8   166   300 J7    20  1462 10485  8.7  8.4  0.65  0.07  -2.17  -5.97  -3.84  -3.62  82   694     0  8.4
  2   827 J7   115   879 J8   398   592 J7    37  2976 13240  8.4  8.1  0.68  0.09  -2.11  -6.19  -3.94  -3.63  84   635     0  8.2
  3  1723 J7   303  1550 J8   722  1109 J7    57  5401 16341  8.2  7.8  0.66  0.12  -2.02  -6.32  -3.95  -3.50  83   697     0  7.5
  4  2492 J7   229  1622 J8   411  1667 J7   100  8168 19396  8.6  8.2  0.79  0.14   0.51  -3.36  -1.31  -0.90  84   593     0  7.1
  5  2875 J7   505  1465 J8   793  2021 J7   132 10422 22058  8.9  8.7  1.09  0.14   4.20   0.15   2.08   2.50  87   501     0  6.1
  6  2965 J7   296  1277 J8   422  2173 J7    95 11455 23463  9.2  8.9  1.56  0.14   7.82   3.60   5.58   5.93  90   379     0  5.6
  7  2532 J7   232   874 J8   352  2002 J7   139 10857 22579  9.5  9.3  2.05  0.11  10.24   6.60   8.25   8.59  93   307     0  5.1
  8  1965 J7   280   681 J8   411  1605 J7    98  8873 20062  9.5  9.3  2.11  0.09  10.94   7.74   9.25   9.63  93   279     0  5.5
  9  1784 J7   225  1126 J8   467  1319 J7    68  6239 17121  8.9  8.6  1.51  0.06   9.50   5.67   7.67   8.27  88   322     0  6.5
 10  1142 J7    77  1020 J8   248   832 J7    46  3654 14063  8.6  8.3  1.02  0.05   5.71   1.84   3.91   4.51  82   451     0  7.1
 11   538 J7    55   732 J8   240   405 J7    28  1797 11137  8.5  8.2  0.82  0.04   2.64  -0.98   1.08   1.41  80   525     0  8.0
 12   276 J7    35   404 J8   214   225 J7    13  1056  9463  8.6  8.5  0.70  0.05  -0.05  -4.03  -1.73  -1.55  81   631     0  8.0
 13  1624 J7   108  1004 J8   212  1188 J7    35  6030 16617  8.8  8.5  1.14  0.09   3.77  -0.10   1.92   2.30  86  6015     0  6.9
 1991
  1   365 I5   212   366 I6   664   296 I5   106  1455 10469  9.0  8.7  0.96  0.06  -2.32  -5.43  -3.71  -3.53  84   688     0 10.3
  2  1029 I5   514  1679 I6  1720   575 I5   160  2953 13203  7.1  6.4  0.78  0.08  -8.77 -15.80 -11.83 -10.84  83   857     0  8.2
  3  1625 I5   808  1526 I6  2038  1029 I5   238  5360 16293  8.3  8.0  1.04  0.10  -0.01  -4.46  -1.97  -1.70  89   638     0  8.1
  4  2262 I5  1049  1369 I6  2208  1572 I5   251  8128 19349  8.8  8.5  0.90  0.12  -0.65  -4.08  -2.33  -1.89  87   621     0  6.5
  5  2533 I5  1221   884 I6  1714  1984 I5   398 10396 22024  9.4  9.3  1.21  0.13   4.43   0.38   2.16   2.61  89   494     0  6.0
  6  2589 I5  1355   832 I6  1863  2040 I5   305 11452 23455  9.5  9.5  1.51  0.13   7.67   3.05   5.21   5.61  93   389     0  5.8
  7  3092 I5  1951  1796 I6  3056  1974 I5   382 10877 22611  8.8  8.5  1.86  0.11  11.58   6.55   8.91   9.46  93   287     0  4.7
  8  1620 I5   735   276 I6   942  1445 I5   283  8910 20105  9.8  9.8  2.13  0.12  11.02   7.98   9.36   9.72  96   274     0  5.9
