703160 COLD BAY ARPT          AK  -9  N55 12  W162 43    29  1010
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   499 J7    51   610 J8   276   383 J7    19  1768 11011  8.3  8.0  0.81  0.07   0.01  -4.48  -1.95  -1.51  84   637     0  7.3
  2   931 J7    69   743 J7   215   713 J7    36  3307 13509  8.6  8.2  0.81  0.10   0.78  -3.74  -1.29  -0.77  85   560     0  7.6
  3  1772 J7   208  1279 J7   494  1239 J7    72  5704 16360  8.3  8.0  0.76  0.12   1.10  -4.05  -1.40  -0.73  82   614     0  7.7
  4  2468 J7   250  1183 J7   389  1840 J7    84  8380 19168  8.9  8.5  0.93  0.15   3.75  -1.22   1.22   1.87  82   512     0  7.3
  5  3175 J7   460  1403 J7   740  2326 J7    84 10520 21577  8.9  8.6  1.23  0.15   7.30   1.92   4.50   5.11  83   425     0  7.0
  6  3168 J7   297  1108 J7   364  2454 J7   150 11486 22815  9.3  9.0  1.69  0.15  10.37   5.51   7.73   8.22  86   312     0  6.7
  7  2868 J7   260   925 J7   354  2283 J7    91 10925 22029  9.5  9.2  2.24  0.12  12.63   8.18  10.13  10.57  90   246     0  6.4
  8  2365 J7   233   854 J7   314  1881 J7    83  9049 19760  9.4  9.2  2.28  0.09  13.15   8.92  10.80  11.31  90   226     0  6.8
  9  1932 J7   150  1026 J7   279  1476 J7    72  6517 17062  9.0  8.7  1.67  0.07  11.28   6.51   8.91   9.62  86   283     0  6.8
 10  1252 J7    96   943 J8   214   947 J7    46  3982 14248  8.6  8.3  1.16  0.05   7.14   2.28   4.83   5.61  83   422     0  7.1
 11   654 J7    56   720 J8   252   500 J7    24  2113 11587  8.5  8.2  0.94  0.05   3.65  -0.72   1.65   2.13  83   506     0  7.7
 12   382 J7    39   503 J8   188   306 J7    14  1345 10099  8.5  8.1  0.84  0.05   1.32  -3.25  -0.67  -0.30  83   598     0  7.6
 13  1789 J7    66   941 J7   124  1362 J7    29  6258 16602  8.8  8.5  1.28  0.10   6.04   1.32   3.70   4.26  84  5342     0  7.2
 1991
