703165 SAND POINT             AK  -9  N55 19  W160 31     7  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   573 J8    69  1205 J8   437   351 J8    31  1749 10982  6.9  6.7  0.83  0.07   1.77  -1.32   0.29   0.59  73   561     0  5.5
  2  1095 J8   157  1477 J8   536   666 J8    59  3287 13493  7.2  6.9  0.82  0.10   1.94  -1.38   0.32   0.58  71   510     0  5.4
  3  2169 J8   376  2444 J8  1082  1167 J8   101  5686 16359  6.7  6.4  0.75  0.13   2.09  -1.60   0.31   0.70  68   561     0  5.9
  4  3224 J8   302  2774 J8   530  1772 J8   108  8367 19180  7.0  6.7  0.94  0.15   4.03   0.15   2.12   2.58  70   487     0  5.1
  5  3990 J8   766  3089 J8  1407  2180 J8   170 10514 21603  7.1  6.8  1.23  0.15   7.36   3.12   5.19   5.65  71   406     0  4.3
  6  3963 J8   612  2504 J8  1124  2420 J8   123 11484 22851  7.9  7.7  1.70  0.15  10.43   6.42   8.34   8.74  76   297     0  3.8
  7  3822 J8   590  2619 J8  1135  2242 J8   132 10921 22060  7.8  7.6  2.24  0.12  12.68   8.79  10.69  11.08  78   235     0  3.5
  8  3159 J8   341  2422 J8   795  1869 J8   141  9039 19778  7.7  7.5  2.26  0.10  13.53   9.69  11.56  12.05  78   208     0  4.0
  9  2383 J8   344  2349 J8   940  1367 J8   115  6501 17066  7.4  7.1  1.69  0.07  11.38   7.72   9.54  10.08  73   263     0  4.8
 10  1540 J8   147  2209 J8   653   844 J8    79  3963 14239  6.8  6.5  1.16  0.05   7.09   3.71   5.47   5.93  70   401     0  5.7
 11   781 J8    84  1606 J8   453   450 J8    33  2094 11562  6.7  6.4  0.94  0.05   4.79   1.40   3.13   3.44  71   457     0  6.4
 12   441 J8    65  1120 J8   496   276 J8    26  1327 10064  6.8  6.6  0.84  0.05   2.26  -1.27   0.57   0.85  70   553     0  5.8
 13  2262 J8   161  2151 J8   422  1300 J8    58  6244 16603  7.2  6.9  1.28  0.10   6.61   2.95   4.79   5.19  72  4940     0  5.0
 1991
  1   486 J8   232   589 J8   984   370 J8   127  1742 10967  8.6  8.2  1.27  0.06   1.92  -0.59   0.71   0.91  70   548     0  6.1
  2  1102 J8   556  1752 J8  2062   606 J8   140  3264 13462  6.4  6.2  1.01  0.09  -1.04  -4.28  -2.68  -2.47  66   588     0  6.4
  3  1953 J8   907  1842 J8  2080  1200 J8   337  5645 16314  7.5  7.2  1.07  0.11   3.00  -0.55   1.38   1.73  67   530     0  5.3
  4  2996 J8  1381  2552 J8  2849  1714 J8   335  8329 19139  6.8  6.8  1.10  0.13   4.22   0.52   2.36   2.83  69   479     0  4.1
  5  3817 J8  1763  2598 J8  2846  2291 J8   457 10489 21574  7.6  7.3  1.28  0.14   6.77   2.31   4.70   5.12  70   428     0  4.6
  6  3951 J8  1899  2645 J8  3204  2302 J8   435 11481 22846  7.9  7.7  1.80  0.14   9.99   5.36   7.76   8.25  74   320     0  3.5
  7  4991 J8  2085  4551 J8  3836  2206 J8   539 10941 22085  6.1  5.8  1.99  0.12  13.95   9.34  11.69  12.14  69   207     0  3.0
  8  2913 J8  1433  1734 J8  2386  1918 J8   373  9074 19819  8.4  8.1  2.27  0.12  13.34  10.01  11.67  12.07  69   206     0  3.7
