703210 DILLINGHAM (AMOS)      AK  -9  N59  3  W158 31    29  1010
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   373 J8    44  1010 J8   333   235 J8    14  1178  9901  6.2  5.8  0.66  0.06  -6.75 -12.49  -9.50  -8.90  72   867     0  4.4
  2   881 J8   146  1484 J8   647   523 J8    44  2656 12944  6.6  6.1  0.68  0.09  -4.04 -10.11  -6.98  -6.11  73   718     0  4.3
  3  2112 J8   369  3020 J8  1188   989 J8    91  5101 16315  5.7  5.3  0.61  0.11  -2.77  -9.36  -5.95  -4.95  66   756     0  4.3
  4  3101 J8   371  2982 J8   749  1672 J8   102  7954 19636  6.5  6.2  0.81  0.13   3.63  -3.04   0.31   1.22  70   541     0  3.9
  5  3953 J8   592  3101 J8  1168  2268 J8   108 10324 22583  6.9  6.6  1.14  0.13  10.40   2.11   6.35   7.27  68   374     0  3.5
  6  4110 J8   559  2722 J8  1052  2571 J8   102 11428 24200  7.6  7.3  1.66  0.12  14.61   6.72  10.73  11.42  72   230     0  3.3
  7  3626 J8   433  2169 J8   743  2452 J8    99 10794 23196  7.9  7.7  2.14  0.10  16.21   9.15  12.70  13.37  77   176     1  3.2
  8  3017 J8   322  2215 J8   668  1940 J8    96  8704 20394  7.5  7.3  2.06  0.08  15.51   8.72  12.08  13.01  78   193     0  3.2
  9  2092 J8   317  2010 J8   872  1306 J8    59  5971 17190  7.3  7.1  1.53  0.06  11.57   5.08   8.23   9.36  75   300     0  3.5
 10  1264 J8   155  2083 J8   678   697 J8    52  3343 13871  6.5  6.0  1.00  0.05   4.20  -1.89   1.10   2.23  73   532     0  3.7
 11   520 J8    83  1317 J8   613   307 J8    26  1505 10650  6.4  6.1  0.79  0.04  -2.06  -7.64  -4.69  -3.90  75   695     0  3.7
 12   246 J8    34   858 J8   363   160 J8    10   796  8756  6.2  5.9  0.68  0.05  -5.78 -11.75  -8.67  -8.13  75   840     0  4.0
 13  2108 J8   135  2081 J8   327  1260 J8    34  5813 16636  6.8  6.4  1.15  0.09   4.56  -2.04   1.31   2.16  73  6223     2  3.8
 1991
  1   406 J8   198  1246 J8  1247   233 J8    89  1171  9880  5.8  5.4  0.80  0.05  -6.97 -12.20  -9.45  -8.95  80   865     0  5.4
  2   975 J8   506  1924 J8  2074   524 J8   217  2633 12907  5.8  5.3  0.66  0.07  -6.94 -13.07 -10.11  -9.19  74   793     0  5.1
  3  1497 J8   842  1580 J8  2239   926 J8   273  5059 16264  7.3  7.1  0.77  0.10  -1.94  -9.28  -5.21  -4.32  84   742     0  4.5
  4  2713 J8  1328  2363 J8  2975  1583 J8   383  7913 19587  7.7  7.4  0.77  0.11   3.20  -2.48   0.38   1.16  78   539     0  4.5
  5  3555 J8  1784  2389 J8  3362  2231 J8   475 10296 22543  7.8  7.7  1.36  0.12   9.62   1.52   5.73   6.60  74   396     0  4.4
  6  3673 J8  1605  2131 J8  2706  2416 J8   381 11424 24194  8.3  8.1  1.92  0.11  13.47   5.74   9.62  10.27  81   262     0  4.1
  7  4031 J8  1583  2832 J8  2791  2475 J8   412 10817 23227  7.5  7.2  2.09  0.10  16.95   8.80  12.90  13.65  80   169     0  3.6
  8  3094 J8  1262  2338 J8  2577  1941 J8   456  8742 20441  7.5  7.3  2.08  0.11  15.16   7.41  11.20  12.30  80   218     0  3.7
  9  1727 J8   725   964 J8  1457  1332 J8   281  6014 17240  9.0  8.5  1.96  0.12  11.73   6.90   9.12   9.91  86   270     0  5.1
 10  1239 J8   643  1914 J8  1971   673 J8   176  3378 13921  5.7  5.3  1.39  0.13   5.48  -1.29   2.13   3.50  78   503     0  4.1
 11   450 J8   205   672 J8   814   332 J8   111  1524 10691  5.9  5.5  1.25  0.15  -3.52  -9.50  -6.35  -5.56  76   745     0  5.2
 12   196 J8    65   226 J8   392   171 J8    48   798  8763  6.5  6.0  0.86  0.17  -6.97 -14.51 -10.45 -10.14  87   901     0  3.9
 13  1963 J8  1388  1715 J8   790  1236 J8   875  5814 16638  7.1  6.7  1.33  0.11   4.10  -2.66   0.79   1.60  80  6405     0  4.5
 1992
  1   314 J8   179   380 J8   628   250 J8    86  1164  9866  6.3  6.0  0.70  0.21  -5.81 -11.80  -8.43  -7.82  81   841     0  5.0
  2   942 J8   366  1137 J8   961   639 J8   196  2654 12934  4.9  4.6  0.64  0.25 -10.57 -18.03 -14.04 -12.92  76   946     0  2.9
  3  1758 J8   975  1419 J8  1943  1183 J8   348  5128 16347  6.6  6.1  0.59  0.29  -3.83 -10.24  -6.85  -5.88  77   786     0  4.2
  4  3754 J8  1355  3549 J8  2434  1943 J8   423  7980 19663  4.0  3.9  0.77  0.30   2.83  -4.96  -0.87   0.16  62   582     0  3.5
  5  4709 J8  1708  3846 J8  2743  2499 J8   536 10341 22604  4.2  4.0  1.26  0.29   9.21  -0.05   4.92   5.90  63   426     0  3.6
  6  3939 J8  1730  2053 J8  2589  2699 J8   468 11430 24202  8.1  7.6  1.75  0.26  13.31   6.03   9.77  10.41  78   260     0  3.2
  7  3178 J8  1140  1139 J8  1538  2521 J8   413 10781 23173  8.6  8.5  2.29  0.23  15.53   8.71  12.03  12.67  85   192     0  2.5
  8  2460 J8  1171  1079 J8  1503  1895 J8   472  8680 20367  8.3  8.3  2.07  0.19  14.10   8.08  11.06  11.81  84   224     0  3.4
  9  2257 J8   944  2209 J8  1999  1335 J8   333  5945 17162  6.0  5.9  1.42  0.15   8.11  -0.01   4.22   5.48  68   428     0  3.2
 10  1204 J8   619  1811 J8  1983   675 J8   246  3320 13841  5.7  5.3  1.16  0.13   2.79  -3.68  -0.56   0.68  72   582     0  4.3
 11   430 J8   294   752 J8  1144   284 J8    94  1492 10623  6.8  6.6  1.07  0.11  -2.25  -8.28  -5.12  -4.15  87   708     0  3.4
 12   171 J8    84   245 J8   381   144 J8    52   794  8750  6.8  6.6  1.03  0.11  -5.37 -12.11  -8.57  -7.99  90   839     0  3.2
 13  2093 J8  1543  1635 J8  1137  1339 J8   951  5809 16628  6.4  6.1  1.23  0.21   3.17  -3.86  -0.20   0.70  77  6816     0  3.5
 1993
  1   358 J8   212   782 J8   948   237 J8    89  1188  9927  6.0  5.5  0.66  0.12  -8.00 -14.47 -11.11 -10.47  84   916     0  3.4
  2   739 J8   303  1094 J8  1421   499 J8   162  2669 12967  7.3  7.0  0.78  0.13  -3.13  -8.08  -5.53  -5.02  81   670     0  4.2
  3  1888 J8   954  2272 J8  2522  1015 J8   208  5108 16326  6.7  6.1  0.74  0.15  -0.19  -5.10  -2.58  -1.94  77   650     0  4.7
  4  2890 J8  1130  2297 J8  2274  1776 J8   403  7962 19646  7.5  7.0  0.90  0.16   6.75   0.28   3.17   4.13  79   444     0  3.9
  5  3674 J8  1625  2397 J8  2743  2314 J8   462 10330 22592  7.8  7.6  1.33  0.16  12.15   3.72   7.94   8.77  75   322     0  3.2
  6  4205 J8  1652  2754 J8  2809  2631 J8   499 11430 24203  7.4  7.4  1.53  0.15  14.36   6.03  10.51  11.22  75   244     0  3.5
  7  4069 J8  1704  2887 J8  2925  2427 J8   481 10792 23192  7.5  7.2  2.21  0.13  17.43   8.96  13.24  14.06  80   159     0  3.1
  8  2648 J8  1200  1649 J8  2340  1815 J8   417  8698 20386  8.3  8.1  2.38  0.10  14.87   8.85  11.96  12.77  85   201     0  3.7
  9  1781 J8   864  1378 J8  2179  1242 J8   253  5964 17181  8.0  8.0  1.71  0.07  10.33   4.92   7.75   8.55  83   321     0  4.5
 10  1070 J8   646  1444 J8  2118   664 J8   215  3337 13862  7.3  6.9  1.11  0.06   5.19  -0.34   2.48   3.40  85   493     0  2.8
 11   420 J8   211   741 J8  1019   307 J8    92  1501 10641  7.3  6.8  0.89  0.05  -0.29  -5.48  -2.79  -2.48  86   637     0  4.1
 12   218 J8    91   539 J8   687   162 J8    46   795  8752  7.7  7.4  0.73  0.05  -3.31  -8.38  -5.59  -5.37  90   749     0  4.3
 13  1997 J8  1478  1686 J8   817  1257 J8   909  5815 16639  7.4  7.1  1.25  0.11   5.51  -0.76   2.45   3.14  82  5808     0  3.8
 1994
  1   284 J8   127   498 J8   682   222 J8    80  1180  9911  7.5  7.0  0.81  0.07  -4.89 -11.01  -7.88  -7.55  86   815     0  4.3
  2  1158 J8   539  2639 J8  2077   493 J8   213  2652 12939  4.1  3.9  0.58  0.09  -7.06 -13.60 -10.24  -9.03  66   803     0  4.5
  3  1850 J8   967  2607 J8  2980   922 J8   273  5085 16298  6.1  6.0  0.67  0.11  -5.11 -12.33  -8.51  -7.40  73   839     0  4.4
  4  2975 J8  1230  2648 J8  2605  1705 J8   463  7939 19620  7.3  6.7  0.82  0.12   3.34  -2.83   0.18   0.93  80   542     0  3.5
  5  3671 J8  1498  2469 J8  2515  2298 J8   415 10314 22569  8.1  7.6  1.14  0.13   9.73   1.98   5.86   6.72  75   387     0  3.7
  6  4599 J8  1646  3515 J8  3000  2524 J8   435 11427 24199  7.4  6.9  1.65  0.12  15.35   6.56  10.83  11.61  75   221     0  3.3
  7  2932 J8  1255  1036 J8  1793  2345 J8   426 10803 23209  8.9  8.8  2.38  0.10  14.81   8.81  11.62  12.14  85   202     0  3.4
  8  3023 J8  1250  2210 J8  2153  1920 J8   389  8719 20410  7.8  7.6  2.42  0.08  14.88   7.97  11.53  12.42  84   214     0  3.3
  9  2000 J8   964  1856 J8  2596  1256 J8   321  5987 17208  8.0  7.7  1.57  0.06  11.20   5.41   8.02   9.06  80   301     0  3.5
 10  1217 J8   505  2129 J8  2348   676 J8   250  3356 13887  6.5  6.0  0.88  0.04   1.56  -5.26  -1.63  -0.35  74   626     0  4.1
 11   565 J8   227  1870 J8  1485   284 J8   122  1512 10667  5.1  4.8  0.69  0.03  -3.60 -10.23  -6.58  -5.68  78   757     0  4.0
 12   220 J8   103   680 J8   857   149 J8    38   797  8760  6.9  6.7  0.69  0.04  -6.63 -13.51  -9.95  -9.42  83   880     0  4.1
 13  2041 J8  1411  2013 J8   891  1233 J8   894  5814 16640  7.0  6.7  1.19  0.08   3.63  -3.17   0.27   1.12  78  6586     0  3.8
 1995
  1   346 J8   193   832 J8  1158   227 J8    64  1172  9884  7.1  6.4  0.76  0.05  -5.53 -10.55  -7.88  -7.25  84   817     0  3.9
  2   887 J8   555  1908 J8  2400   423 J8   151  2636 12911  6.3  6.2  0.76  0.07  -4.15  -9.30  -6.43  -5.71  72   702     0  5.0
  3  2535 J8   843  4519 J8  2967   913 J8   399  5062 16267  3.6  3.3  0.60  0.10  -5.00 -11.66  -8.46  -7.39  57   827     0  4.6
  4  2555 J8  1310  1942 J8  2491  1610 J8   316  7916 19591  7.7  7.5  0.96  0.11   5.50  -0.35   2.23   3.07  79   473     0  3.4
  5  3303 J8  1307  1743 J8  1983  2322 J8   382 10298 22549  8.7  8.2  1.27  0.12   9.90   2.44   6.17   6.96  78   377     0  3.7
  6  4554 J8  1844  3418 J8  3418  2477 J8   460 11424 24194  7.9  7.3  1.75  0.11  14.88   6.46  10.67  11.39  74   230     0  3.2
  7  3626 J8  1510  2120 J8  2607  2481 J8   432 10815 23226  8.4  8.3  2.23  0.10  16.13   9.03  12.52  13.19  81   178     0  2.8
  8  3329 J8  1545  3069 J8  3331  1814 J8   427  8739 20439  7.3  6.9  2.08  0.07  15.01   8.75  11.81  12.72  80   200     0  3.0
  9  1810 J8  1037  1398 J8  2466  1229 J8   247  6011 17237  8.4  8.3  1.91  0.05  12.81   7.04   9.73  10.66  85   252     0  3.4
 10  1343 J8   649  2157 J8  2220   717 J8   249  3375 13919  6.6  6.1  1.00  0.04   4.66  -1.75   1.42   2.67  78   523     0  3.3
 11   647 J8   327  2504 J8  1936   244 J8    92  1522 10689  3.9  3.7  0.55  0.03  -4.26 -10.85  -7.54  -6.18  72   776     0  3.0
 12   228 J8   115   650 J8  1051   160 J8    45   798  8763  7.1  6.7  0.89  0.04  -3.53  -8.17  -5.81  -5.37  78   750     0  4.8
 13  2097 J8  1431  2188 J8  1087  1218 J8   901  5814 16639  6.9  6.6  1.23  0.07   4.70  -1.58   1.54   2.40  76  6104     0  3.7
 1996
  1   382 J8   155  1317 J8  1382   219 J8    88  1165  9870  5.8  5.5  0.60  0.05  -7.18 -12.29  -9.64  -8.96  73   870     0  4.1
  2   888 J8   377  1742 J8  1867   496 J8   160  2656 12939  5.6  5.6  0.62  0.08  -6.62 -13.93 -10.30  -9.61  69   830     0  4.9
  3  2292 J8  1028  3848 J8  3068   903 J8   324  5131 16349  5.3  4.7  0.77  0.10   1.90  -3.84  -1.03  -0.18  67   598     0  3.9
  4  3134 J8  1301  3088 J8  2903  1667 J8   416  7983 19666  6.6  6.0  0.76  0.11   3.56  -3.15  -0.03   0.90  66   544     0  4.2
  5  4434 J8  1807  3946 J8  3623  2226 J8   493 10343 22607  6.8  6.1  1.16  0.12  11.84   2.26   7.13   8.28  66   350     0  3.0
  6  4292 J8  2043  3192 J8  3712  2495 J8   559 11430 24204  7.1  6.8  1.58  0.11  15.09   7.21  11.15  11.88  65   216     1  2.8
  7  3510 J8  1252  1669 J8  2302  2624 J8   450 10779 23172  8.1  8.0  2.19  0.10  15.28   8.65  11.90  12.53  76   197     0  3.5
  8  3058 J8  1143  2128 J8  2240  2041 J8   353  8677 20364  7.6  7.5  2.05  0.07  14.51   7.50  10.95  11.84  77   227     0  3.6
  9  2226 J8   925  2418 J8  2567  1325 J8   315  5942 17158  7.0  6.9  1.25  0.05   9.45   1.43   5.61   7.02  69   387     0  3.1
 10  1470 J8   822  3009 J8  2933   605 J8   195  3318 13837  5.6  5.4  0.76  0.03   1.86  -4.70  -1.48  -0.26  62   612     0  4.4
 11   517 J8   257  1301 J8  1620   314 J8   117  1491 10621  6.7  6.3  0.92  0.03  -1.17  -5.86  -3.46  -2.80  75   655     0  3.7
 12   304 J8   101  1547 J8  1134   149 J8    46   794  8751  3.8  3.5  0.55  0.04  -8.97 -16.24 -12.53 -11.46  72   959     0  2.6
 13  2209 J8  1498  2434 J8   958  1255 J8   927  5809 16628  6.3  6.0  1.10  0.07   4.13  -2.75   0.69   1.60  70  6445     1  3.6
 1997
  1   385 J8   200  1082 J8  1235   237 J8    93  1189  9928  5.9  5.8  0.61  0.05  -7.27 -13.30 -10.25  -9.78  68   887     0  4.4
  2   727 J8   374   791 J8  1342   535 J8   149  2672 12970  7.6  7.2  0.81  0.07  -0.27  -5.89  -2.96  -2.09  80   600     0  3.9
  3  2557 J8  1254  4494 J8  3323   856 J8   283  5111 16329  3.8  3.7  0.53  0.10  -2.76 -10.04  -6.36  -5.16  55   767     0  4.2
  4  3457 J8  1507  3760 J8  3475  1662 J8   474  7965 19651  5.8  5.5  0.79  0.11   6.31  -1.69   2.13   3.24  63   481     0  3.6
  5  4302 J8  1780  3639 J8  3466  2311 J8   505 10332 22595  6.2  6.1  1.15  0.12  12.64   3.80   8.31   9.31  64   313     0  3.3
  6  4682 J8  1685  3732 J8  3405  2552 J8   581 11430 24202  6.5  6.2  1.57  0.11  16.57   8.14  12.45  13.20  66   179     0  2.7
  7  4038 J8  1529  2875 J8  2939  2521 J8   385 10790 23189  7.0  6.9  2.30  0.10  19.02  10.49  14.81  15.60  72   112     2  2.5
  8  3014 J8  1195  1974 J8  2044  2048 J8   416  8695 20381  7.8  7.4  2.28  0.07  16.52   9.38  12.89  13.84  80   167     0  3.2
  9  2007 J8   818  1730 J8  2085  1339 J8   325  5961 17175  7.5  7.4  1.78  0.05  12.95   6.57   9.55  10.68  79   257     0  3.2
 10  1742 J8   541  4407 J8  2095   549 J8   233  3335 13858  3.3  2.7  0.73  0.04   2.17  -6.23  -2.30  -0.58  61   631     0  3.4
 11   488 J8   242  1130 J8  1570   315 J8   126  1500 10636  7.3  7.0  0.76  0.03  -0.02  -4.82  -2.40  -2.05  83   623     0  3.0
 12   268 J8   108  1167 J8  1134   152 J8    43   795  8750  5.3  5.2  0.45  0.04 -10.15 -17.24 -13.50 -12.81  76   993     0  3.2
 13  2306 J8  1611  2565 J8  1400  1256 J8   930  5814 16639  6.2  5.9  1.15  0.07   5.47  -1.74   1.86   2.79  71  6010     2  3.4
 1998
  1   347 J8   157   895 J8  1089   233 J8    83  1181  9911  6.6  6.1  0.70  0.05  -7.68 -13.89 -10.58 -10.11  76   903     0  4.0
  2  1045 J8   551  2185 J8  2079   503 J8   136  2655 12943  5.5  5.0  0.74  0.07  -3.41  -9.65  -6.06  -5.09  77   696     0  4.1
  3  1493 J8   664  1064 J8  1548  1113 J8   297  5088 16300  7.9  7.5  0.87  0.10   0.64  -4.04  -1.54  -0.88  79   621     0  4.4
  4  3094 J8  1455  3099 J8  3242  1648 J8   383  7942 19623  6.6  6.3  0.81  0.11   4.48  -1.96   1.37   2.17  75   512     0  4.0
  5  3073 J8  1278  1410 J8  2039  2325 J8   351 10316 22572  8.6  8.0  1.06  0.12   7.30   1.39   4.30   4.85  80   434     0  3.9
  6  3943 J8  1459  2166 J8  2317  2736 J8   396 11427 24198  7.9  7.5  1.74  0.11  13.54   6.22   9.73  10.35  77   253     0  3.2
  7  3249 J8  1183  1543 J8  2142  2465 J8   385 10801 23207  8.2  8.1  2.07  0.10  15.91   9.50  12.73  13.35  77   174     0  2.9
  8  2640 J8  1128  1550 J8  1882  1906 J8   390  8716 20407  7.5  7.4  1.89  0.07  12.89   6.82   9.99  10.77  80   263     0  3.6
  9  1955 J8   763  1522 J8  1758  1382 J8   264  5984 17205  7.7  7.4  1.51  0.05  11.14   4.98   7.99   8.97  79   308     0  3.3
 10  1234 J8   790  1906 J8  2669   677 J8   240  3354 13885  6.5  6.2  0.91  0.04   4.15  -1.54   1.39   2.42  76   528     0  3.1
 11   408 J8   176   623 J8  1108   321 J8   120  1511 10664  8.0  7.9  0.82  0.03  -1.04  -5.02  -2.96  -2.37  86   641     0  3.0
 12   276 J8   120  1318 J8  1315   146 J8    42   796  8760  5.2  4.9  0.53  0.04  -8.76 -14.67 -11.73 -10.84  72   931     0  3.3
 13  1896 J8  1278  1607 J8   665  1288 J8   927  5814 16639  7.2  6.9  1.14  0.07   4.10  -1.82   1.22   1.97  78  6264     0  3.6
 1999
  1   417 J8   254  1380 J8  1522   219 J8    85  1173  9888  5.4  5.1  0.56  0.05  -9.85 -15.72 -12.70 -12.13  70   965     0  5.7
  2   925 J8   455  2146 J8  2182   453 J8   157  2638 12915  5.0  4.8  0.39  0.07 -11.80 -19.09 -15.41 -14.27  74   946     0  3.4
  3  2157 J8   899  3279 J8  2517   963 J8   308  5065 16270  5.3  4.4  0.50  0.10  -5.15 -13.02  -8.98  -7.91  64   850     0  4.8
  4  2844 J8  1563  2554 J8  2825  1592 J8   371  7919 19593  6.7  6.4  0.76  0.11   0.96  -5.41  -2.03  -1.33  75   617     0  4.9
  5  4091 J8  1918  3694 J8  3897  2112 J8   446 10300 22551  6.2  6.1  0.90  0.12   7.92  -0.24   3.78   4.69  70   449     0  4.0
  6  3573 J8  1671  1807 J8  2399  2502 J8   445 11425 24194  8.4  7.8  1.97  0.11  13.05   6.55   9.70  10.27  79   256     0  3.8
  7  3529 J8  1884  2246 J8  3385  2276 J8   546 10813 23224  7.9  7.8  2.41  0.10  15.34   8.13  11.64  12.25  80   205     0  3.8
  8  2670 J8  1222  1790 J8  2533  1823 J8   330  8736 20434  7.9  7.8  2.15  0.07  14.52   7.55  10.98  11.95  81   226     0  3.4
  9  1899 J8   855  1585 J8  2433  1298 J8   323  6007 17234  7.8  7.7  1.44  0.05  11.90   5.45   8.39   9.54  78   290     0  3.8
 10  1421 J8   490  2396 J8  1880   771 J8   277  3373 13913  6.0  5.2  0.80  0.04   2.24  -4.65  -1.41   0.04  70   606     0  3.6
 11   503 J8   269  1226 J8  1477   300 J8    98  1521 10685  6.8  6.5  0.63  0.03  -5.12 -11.45  -7.87  -7.24  76   798     0  4.5
 12   266 J8   108  1026 J8  1112   162 J8    46   798  8763  6.4  6.1  0.48  0.04 -13.75 -21.47 -17.49 -17.06  70  1114     0  4.5
 13  2024 J8  1336  2094 J8   805  1206 J8   847  5814 16639  6.6  6.3  1.08  0.07   1.69  -5.28  -1.78  -0.93  74  7320     0  4.2
 2000
  1   369 J8   206  1153 J8  1286   212 J8    93  1166  9872  6.2  5.6  0.49  0.05 -11.29 -17.81 -14.42 -13.87  71  1019     0  3.1
  2   594 J8   224   320 J8   493   519 J8   148  2658 12943  9.1  8.7  0.71  0.08   0.53  -3.83  -1.51  -1.09  84   579     0  5.0
  3  1753 J8  1180  1931 J8  2882   980 J8   311  5134 16353  7.3  7.2  0.69  0.10  -0.70  -5.49  -2.95  -2.36  74   664     0  5.3
  4  3194 J8  1603  3182 J8  3219  1646 J8   333  7986 19669  6.7  6.0  0.77  0.11   3.15  -3.07   0.25   1.11  69   549     0  3.8
  5  4232 J8  1375  3667 J8  3079  2360 J8   506 10345 22609  6.1  5.8  0.88  0.12   9.72   1.21   5.61   6.55  62   399     0  3.4
  6  3710 J8  1149  1888 J8  1748  2683 J8   365 11430 24203  7.9  7.7  1.48  0.11  13.94   6.32  10.10  10.76  70   246     0  4.1
  7  3520 J8  1513  1953 J8  2668  2453 J8   402 10777 23170  7.7  7.6  1.81  0.10  15.04   8.44  11.61  12.29  76   204     0  3.6
  8  3108 J8  1284  2364 J8  2495  2013 J8   471  8674 20358  7.6  7.2  1.87  0.07  15.02   8.28  11.64  12.50  73   207     0  3.9
  9  2518 J8   860  3239 J8  3176  1304 J8   496  5938 17154  5.4  5.2  1.21  0.05  11.33   3.78   7.38   8.67  65   323     0  4.1
 10  1161 J8   516  1868 J8  2166   689 J8   236  3315 13832  6.8  6.4  0.90  0.03   4.64  -1.92   1.29   2.44  74   526     0  3.9
 11   483 J8   194   916 J8   935   343 J8   137  1489 10618  7.2  6.8  0.82  0.03   1.63  -2.34  -0.38   0.12  73   561     0  4.8
 12   225 J8    79   464 J8   573   179 J8    37   794  8751  7.3  6.8  0.82  0.04   2.42  -1.82   0.11   0.46  73   559     0  5.5
 13  2072 J8  1475  1912 J8  1081  1282 J8   926  5809 16628  7.1  6.8  1.04  0.07   5.45  -0.69   2.39   3.13  72  5837     0  4.2
 2001
  1   368 J8   160   756 J8   811   263 J8    83  1190  9931  7.5  6.9  0.63  0.05  -1.60  -6.39  -3.72  -3.31  75   692     0  4.4
  2   798 J8   399  1063 J8  1341   542 J8   165  2674 12972  6.9  6.2  0.64  0.07   0.20  -6.51  -3.13  -2.01  74   602     0  4.1
  3  2002 J8  1245  2627 J8  3108   983 J8   313  5114 16335  6.5  6.0  0.65  0.10  -0.44  -6.68  -3.58  -2.51  62   679     0  4.5
  4  3088 J8  1410  2780 J8  2858  1716 J8   469  7968 19655  7.0  6.6  0.78  0.11   4.97  -2.19   1.23   2.31  67   508     0  3.8
  5  5127 J8  1641  5360 J8  3576  2147 J8   529 10334 22598  5.2  4.7  0.82  0.12  10.77   0.11   5.41   6.72  53   400     0  3.4
  6  5439 J8  2012  5406 J8  3994  2328 J8   539 11430 24203  4.8  4.7  1.59  0.11  17.30   7.26  12.20  13.14  63   182     1  3.0
  7  3170 J8  1505  1645 J8  2537  2297 J8   339 10788 23186  8.1  8.1  2.15  0.10  14.94   8.67  11.82  12.42  77   202     0  2.9
  8  3408 J8  1477  3341 J8  3166  1814 J8   447  8692 20378  6.6  6.4  2.01  0.07  16.62   9.14  12.74  13.82  73   169     0  2.9
  9  2634 J8   984  3297 J8  2652  1288 J8   372  5958 17172  6.5  5.8  1.38  0.05  12.82   5.54   8.90  10.28  70   275     0  3.1
 10  1383 J8   484  2614 J8  2152   708 J8   279  3332 13854  5.9  5.5  0.82  0.04   1.06  -5.31  -2.21  -0.95  67   634     0  3.4
 11   602 J8   301  1715 J8  1680   314 J8   137  1499 10634  5.9  5.6  0.73  0.03  -3.75  -9.37  -6.44  -5.76  67   747     0  4.7
 12   274 J8   100  1051 J8  1120   173 J8    50   795  8750  5.4  5.0  0.52  0.04 -10.48 -17.67 -14.15 -13.60  72  1005     0  4.3
 13  2358 J8  1769  2638 J8  1549  1214 J8   824  5814 16639  6.4  6.0  1.06  0.07   5.20  -1.95   1.59   2.55  68  6093     1  3.7
 2002
  1   311 J8   161   567 J8   856   231 J8    71  1182  9914  7.7  7.2  0.83  0.05  -3.38  -9.18  -6.42  -6.28  73   763     0  4.8
  2   736 J8   364   785 J8  1000   547 J8   158  2657 12947  8.2  7.4  0.63  0.07  -4.60 -10.49  -7.61  -6.68  75   724     0  4.3
