703330 PORT HEIDEN            AK  -9  N56 57  W158 37    29  1010
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   509 J8    56  1279 J8   456   297 J8    28  1494 10545  6.8  6.2  0.76  0.07  -1.64  -7.49  -4.45  -3.95  61   710     0  5.9
  2  1123 J8   166  1952 J8   780   604 J8    67  3011 13267  6.5  5.9  0.75  0.10  -0.94  -6.90  -3.77  -3.00  66   629     0  6.4
  3  2159 J8   271  2593 J8   805  1132 J8   122  5432 16340  6.8  6.3  0.68  0.12   0.41  -6.08  -2.70  -1.87  61   656     0  6.1
  4  3194 J8   346  2812 J8   864  1756 J8   177  8189 19367  7.4  6.9  0.89  0.14   4.12  -2.45   0.98   1.79  64   525     0  5.7
  5  4062 J8   499  3133 J8   901  2239 J8   225 10431 21999  7.3  6.9  1.17  0.14   8.29   1.41   4.97   5.75  64   418     0  5.5
  6  4060 J8   474  2715 J8   763  2431 J8   214 11458 23388  7.8  7.5  1.66  0.14  11.52   5.09   8.39   8.93  67   301     0  5.3
  7  3402 J8   478  2010 J8   744  2216 J8   176 10866 22516  8.3  8.2  2.16  0.12  13.44   7.85  10.68  11.22  74   238     0  4.8
  8  3064 J8   449  2331 J8   888  1825 J8   153  8895 20030  8.0  7.8  2.13  0.09  14.07   8.54  11.34  12.04  70   218     0  5.3
  9  2264 J8   268  2076 J8   726  1390 J8   128  6273 17118  7.9  7.6  1.62  0.07  11.56   5.86   8.81   9.67  67   289     0  5.7
 10  1346 J8   135  1862 J8   523   790 J8    56  3693 14088  7.6  7.2  1.10  0.05   6.45   0.86   3.74   4.61  68   455     0  5.7
 11   646 J8    93  1399 J8   626   383 J8    32  1833 11192  7.2  6.9  0.87  0.05   2.67  -3.21  -0.03   0.59  65   558     0  6.2
 12   351 J8    44   979 J8   435   224 J8    21  1088  9539  7.1  6.6  0.77  0.05   0.02  -5.89  -2.77  -2.34  64   659     0  6.4
 13  2182 J8   148  2095 J8   398  1274 J8    94  6055 16616  7.4  7.0  1.21  0.09   5.83  -0.20   2.93   3.62  66  5655     0  5.7
 1991
  1   482 J8   212  1103 J8  1060   301 J8    94  1487 10529  6.8  5.9  1.13  0.06   3.40  -3.54  -0.16   0.56  50   570     0  5.0
  2  1015 J8   582  1403 J8  1735   615 J8   189  2987 13233  7.3  6.6  0.92  0.08  -0.42  -7.45  -4.04  -3.38  79   623     0  5.7
  3  1657 J8   795  1278 J8  1538  1140 J8   345  5391 16294  8.6  8.0  1.05  0.11   7.22  -2.85   2.58   2.57  33   501     0  6.3
  4  3078 J8  1155  2438 J8  2405  1836 J8   363  8150 19322  7.9  7.2  1.11  0.13   8.90   0.16   4.96   5.34  21   414     0  4.9
  5  3600 J8  1644  2209 J8  2538  2272 J8   464 10405 21962  8.4  8.1  1.32  0.13   7.70   1.51   4.81   5.44  76   426     0  6.6
  6  3788 J8  1680  2245 J8  2358  2451 J8   532 11455 23385  8.6  8.1  1.85  0.13  10.17   5.11   7.41   7.80  78   321     0  6.3
  7  3372 J8  1688  2133 J8  2646  2089 J8   462 10886 22544  8.3  8.3  2.09  0.11  12.29   7.26   9.77  10.28  84   265     0  4.7
  8  3304 J8  1338  2479 J8  2137  1914 J8   339  8932 20072  7.6  7.5  2.15  0.12  13.56   7.98  10.84  11.59  80   234     0  5.4
  9  2271 J8   734  1528 J8  1223  1573 J8   358  6314 17165  8.2  7.8  1.92  0.12  12.08   7.21   9.65  10.48  77   261     0  6.2
 10  1425 J8   652  1834 J8  1791   826 J8   261  3727 14135  6.8  6.3  1.46  0.13   7.67   1.68   4.60   5.74  72   423     0  5.5
 11   503 J8   194   429 J8   509   416 J8   126  1852 11230  8.0  7.6  1.22  0.15   2.42  -4.71  -0.80   0.20  78   584     0  4.9
 12   299 J8    98   366 J8   435   247 J8    58  1090  9545  7.5  6.7  1.04  0.18  -1.20  -6.85  -4.08  -3.77  79   693     0  6.5
 13  2066 J8  1327  1620 J8   731  1307 J8   811  6056 16618  7.8  7.3  1.44  0.12   6.98   0.46   3.79   4.40  67  5315     0  5.7
 1992
  1   431 J8   181   404 J8   516   356 J8   117  1479 10511  7.6  7.2  1.00  0.22  -2.60  -8.24  -5.04  -4.52  77   736     0  5.7
  2   934 J8   439   939 J8  1060   665 J8   223  3007 13259  7.3  6.6  0.86  0.26  -7.13 -14.27 -10.43  -9.50  75   842     0  4.9
  3  2226 J8   893  1920 J8  1538  1383 J8   356  5459 16368  7.3  6.0  0.88  0.30  -0.06  -7.36  -3.50  -2.60  79   683     0  6.1
  4  3403 J8  1392  2639 J8  2272  1956 J8   471  8214 19392  7.0  6.3  0.88  0.32   1.82  -4.54  -1.22  -0.36  76   591     0  4.5
  5  4773 J8  1705  3604 J8  2940  2548 J8   507 10447 22021  6.3  5.6  1.27  0.30   8.08  -0.30   3.75   4.81  69   448     0  3.7
