703400 ILIAMNA ARPT           AK  -9  N59 45  W154 55    57  1006
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   337 J7    39   954 J8   348   217 J7    13  1076  9660  6.5  6.1  0.65  0.06  -5.88 -12.00  -8.76  -8.24  73   845     0  5.0
  2   889 J7   129  1598 J8   664   518 J7    37  2538 12825  6.7  6.3  0.68  0.08  -2.92  -9.26  -5.97  -5.23  73   690     0  4.9
  3  2059 J7   337  2929 J8  1137   997 J7    88  4988 16306  6.2  5.7  0.62  0.10  -1.84  -9.20  -5.39  -4.31  68   739     0  4.4
  4  3151 J7   349  3008 J8   912  1719 J7   134  7874 19732  6.8  6.4  0.81  0.12   4.73  -2.43   1.22   2.21  71   515     0  4.3
  5  4386 J7   541  3977 J8  1138  2200 J7   142 10288 22800  6.5  6.1  1.14  0.13  11.01   2.59   6.87   7.75  68   358     0  4.2
  6  4939 J7   650  4490 J8  1379  2355 J7   170 11420 24510  6.5  6.2  1.63  0.12  15.08   6.91  11.02  11.75  71   220     0  4.0
  7  3893 J7   530  2966 J8  1158  2236 J7   177 10772 23453  7.6  7.5  2.10  0.10  16.62   9.71  13.01  13.60  78   161     1  3.8
  8  3254 J7   500  3076 J8  1251  1756 J7   134  8640 20529  7.1  7.0  2.01  0.08  16.03   9.42  12.64  13.51  78   174     1  3.9
  9  2219 J7   303  2601 J8  1026  1202 J7   102  5870 17217  7.1  6.9  1.49  0.06  11.94   5.74   8.79   9.81  77   285     0  4.4
 10  1243 J7   121  2170 J8   499   668 J7    43  3227 13793  6.7  6.3  1.00  0.04   4.88  -0.91   1.96   2.90  74   507     0  4.7
 11   482 J7    69  1250 J8   530   295 J7    26  1398 10451  6.7  6.4  0.76  0.04  -0.96  -6.74  -3.73  -3.10  75   665     0  5.2
 12   223 J7    32   846 J8   389   146 J7    10   704  8459  6.5  6.2  0.67  0.04  -4.09 -10.46  -7.15  -6.81  75   794     0  5.3
 13  2256 J7   169  2489 J8   487  1193 J7    61  5733 16645  6.7  6.4  1.13  0.08   5.38  -1.39   2.04   2.82  73  5954     2  4.5
 1991
  1   308 J6   183   728 J7  1014   212 J6    89  1070  9640  7.4  6.9  0.74  0.05  -5.87 -11.24  -8.41  -7.92  69   834     0  5.1
  2   870 J6   452  1575 J7  1901   512 J6   165  2515 12787  6.8  6.4  0.69  0.07  -5.58 -11.84  -8.67  -7.75  66   757     0  4.8
  3  1651 J5   832  1760 J7  2154  1013 J5   326  4946 16259  7.5  6.8  0.71  0.09  -1.13  -8.46  -4.65  -3.71  74   717     0  4.1
  4  2789 J5  1147  2203 J7  2752  1738 J5   501  7832 19680  7.8  7.5  0.75  0.11   5.72  -0.71   2.35   3.31  70   475     0  4.7
  5  4019 J5  1917  3148 J7  3608  2241 J5   482 10259 22759  7.6  7.0  1.06  0.11  10.54   3.15   6.84   7.61  67   356     0  5.2
  6  3933 J5  1873  2729 J7  3208  2381 J5   392 11416 24503  8.4  7.7  1.71  0.11  13.69   6.50  10.00  10.59  73   247     0  4.7
  7  3125 J5  1508  1543 J7  2801  2293 J5   502 10795 23487  8.6  8.5  1.87  0.10  16.26   9.36  12.49  13.03  75   171     0  3.6
  8  2773 J5  1246  2012 J7  2942  1779 J5   361  8679 20579  7.9  7.8  1.93  0.11  15.40   8.54  11.73  12.60  66   197     0  4.4
  9  1613 J5   708   754 J7  1079  1295 J5   308  5913 17262  9.1  8.8  1.63  0.11  12.69   7.86   9.98  10.71  67   242     0  5.9
 10  1201 J5   697  1881 J7  2152   647 J5   173  3262 13844  6.7  6.1  1.17  0.13   6.26   0.92   3.47   4.34  62   457     0  5.5
 11   369 J5   185   502 J7   781   287 J5   110  1417 10497  7.7  7.5  0.90  0.15  -1.35  -6.21  -3.73  -3.17  71   663     0  5.2
