703430 MIDDLETON ISLAND AUT   AK  -9  N59 28  W146 19    14  1011
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   360 J8    56   947 J8   402   235 J8    17  1116  9756  7.2  6.2  0.87  0.07   3.06   0.43   1.82   2.02  71   514     0  7.2
  2   902 J8   165  1588 J8   654   522 J8    50  2584 12870  7.2  6.2  0.87  0.09   3.60   0.89   2.25   2.53  71   454     0  7.0
  3  2103 J8   320  2894 J8   999  1035 J8    85  5031 16306  6.6  5.7  0.76  0.11   3.78   0.57   2.14   2.53  66   501     0  6.9
  4  3550 J8   483  4001 J8  1234  1616 J8   143  7904 19690  6.5  5.4  0.94  0.13   6.74   3.03   4.77   5.19  71   403     0  6.4
  5  4664 J8   592  4677 J8  1212  2059 J8   193 10301 22709  6.4  5.5  1.22  0.13   9.06   5.30   7.11   7.47  74   346     0  5.3
  6  4780 J8   634  4349 J8  1227  2285 J8   211 11423 24379  6.9  6.1  1.69  0.13  12.03   8.34  10.14  10.42  77   244     0  4.6
  7  3831 J8   495  3101 J8   863  2122 J8   146 10782 23348  7.7  7.2  2.18  0.11  14.32  10.97  12.56  12.87  77   176     0  4.1
  8  3497 J8   639  3740 J8  1531  1670 J8   179  8668 20477  6.6  6.1  2.14  0.08  14.75  11.36  12.95  13.38  74   164     0  4.2
  9  2570 J8   341  3564 J8  1092  1131 J8   131  5914 17210  6.5  5.9  1.69  0.06  12.50   9.24  10.77  11.25  74   224     0  5.7
 10  1324 J8   147  2476 J8   686   648 J8    55  3276 13828  6.7  5.8  1.23  0.05   8.61   5.69   7.14   7.54  68   347     0  6.7
 11   504 J8    70  1305 J8   470   300 J8    20  1442 10535  7.3  6.4  0.97  0.04   5.40   2.72   4.08   4.31  67   428     0  7.4
 12   233 J8    35   781 J8   382   159 J8    11   741  8584  7.3  6.4  0.89  0.05   3.91   1.21   2.62   2.75  67   489     0  7.8
 13  2360 J8   216  2785 J8   599  1149 J8    77  5765 16641  6.9  6.1  1.29  0.09   8.15   4.98   6.53   6.86  71  4290     0  6.1
 1991
  1   357 J8   182   754 J8   783   249 J8    84  1110  9738  7.9  6.9  0.91  0.06   1.65  -0.95   0.39   0.69  92   557     0  6.3
  2   835 J8   467  1143 J8  1222   552 J8   201  2561 12831  7.9  6.8  0.94  0.08   3.03   0.08   1.54   1.64  89   470     0  7.0
  3  2131 J8   920  2906 J8  2345  1041 J8   242  4989 16257  6.6  5.4  0.86  0.10   3.54  -0.06   1.78   2.16  69   514     0  5.1
  4  2993 J8  1229  2672 J8  2532  1692 J8   419  7862 19638  8.1  7.2  1.05  0.12   5.37   2.55   4.04   4.33  84   431     0  7.5
  5  4199 J8  1865  3677 J8  3421  2044 J8   452 10272 22670  7.5  7.0  1.25  0.12   7.44   4.15   5.74   6.08  82   389     0  5.7
  6  4776 J8  1799  4047 J8  3258  2362 J8   489 11419 24371  7.3  6.6  1.69  0.12  10.41   6.91   8.58   8.86  81   290     0  4.7
  7  3522 J8  1751  2527 J8  2932  2118 J8   426 10805 23379  8.1  7.7  1.97  0.10  12.88   9.67  11.16  11.46  81   219     0  3.8
  8  3577 J8  1267  3193 J8  2869  1966 J8   522  8707 20525  7.4  6.6  1.99  0.11  12.94   9.73  11.29  11.69  82   217     0  4.4
  9  2653 J8  1055  3022 J8  2220  1327 J8   326  5956 17262  6.6  5.7  1.76  0.12  11.91   8.87  10.44  10.87  76   238     0  6.4
 10  1138 J8   530  1411 J8  1530   720 J8   233  3311 13878  7.4  6.6  1.29  0.13   8.33   5.23   6.78   7.28  71   358     0  6.6
 11   377 J8   192   409 J8   559   303 J8   119  1461 10580  8.3  7.7  1.27  0.15   6.48   3.87   5.18   5.40  74   395     0  7.5
 12   214 J8    61   269 J8   347   185 J8    44   743  8592  7.2  5.9  1.08  0.17   4.11   1.11   2.68   2.70  66   487     0  8.1
 13  2231 J8  1617  2169 J8  1309  1213 J8   807  5766 16644  7.5  6.7  1.34  0.11   7.34   4.26   5.80   6.10  79  4565     0  6.1
 1992
  1   274 J8   101   235 J8   377   242 J8    78  1102  9721  8.6  7.6  1.13  0.21   4.09   1.54   2.96   3.23  76   481     0  7.5
  2   849 J8   251   747 J8   803   660 J8   155  2581 12859  7.3  6.2  0.89  0.25   4.29   1.80   3.05   3.24  76   443     0  6.1
  3  1639 J8   588  1046 J8   954  1230 J8   350  5059 16337  8.0  7.0  0.91  0.29   3.76   0.39   2.09   2.46  68   504     0  7.0
  4  3068 J8  1227  2312 J8  2372  1918 J8   487  7930 19718  6.1  5.4  0.95  0.31   8.16   3.58   5.82   6.45  61   374     0  5.8
  5  4957 J8  1531  4012 J8  2914  2590 J8   575 10318 22730  5.4  4.7  1.13  0.29  10.88   6.44   8.63   9.12  58   300     0  5.6
  6  4913 J8  1857  3335 J8  2921  2883 J8   618 11425 24381  7.3  5.9  1.47  0.27  13.85   9.37  11.57  11.92  64   202     0  4.0
  7  3923 J8  1785  2724 J8  2717  2311 J8   478 10769 23331  7.7  6.9  2.03  0.23  15.29  11.78  13.46  13.76  69   149     0  3.7
  8  3507 J8  1522  2769 J8  2662  2023 J8   454  8644 20449  7.0  6.4  1.97  0.19  14.89  11.60  13.11  13.50  67   158     0  4.9
  9  2518 J8  1132  2594 J8  2515  1367 J8   395  5887 17181  7.1  6.3  1.24  0.15  11.56   7.60   9.44   9.95  55   263     0  5.8
 10  1129 J8   594  1536 J8  1711   682 J8   249  3253 13795  7.1  6.5  1.09  0.13   8.36   4.53   6.54   7.17  57   369     0  6.2
