703500 KODIAK AIRPORT         AK  -9  N57 45  W152 30     5  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   416 J7    62   845 J8   380   286 J7    18  1371 10310  7.2  6.8  0.80  0.07   1.37  -3.24  -0.67  -0.10  77   597     0  5.3
  2   945 J7   123  1316 J8   484   600 J7    44  2874 13147  7.2  6.8  0.79  0.10   2.00  -2.79  -0.18   0.56  78   529     0  5.1
  3  2056 J7   283  2445 J8   858  1109 J7    82  5305 16329  6.7  6.3  0.71  0.12   2.72  -2.76   0.12   0.99  71   569     0  5.6
  4  2834 J7   451  2152 J8   843  1758 J7   117  8099 19463  7.6  7.3  0.93  0.14   6.02   0.67   3.48   4.23  76   450     0  5.1
  5  4057 J7   682  3236 J8  1246  2217 J7   124 10390 22209  7.4  6.7  1.18  0.14   9.95   4.07   7.15   7.79  76   351     0  4.6
  6  4170 J7   549  2915 J8  1006  2446 J7   143 11446 23678  7.9  7.3  1.65  0.14  12.69   7.25  10.06  10.53  81   251     0  4.0
  7  3910 J7   337  2675 J8   534  2359 J7   141 10839 22762  8.1  7.5  2.12  0.11  15.11   9.88  12.46  12.94  84   182     1  3.5
  8  3594 J7   319  3191 J8   705  1933 J7    77  8824 20165  7.3  6.6  2.06  0.09  16.01   9.84  12.93  13.74  80   168     0  3.8
  9  2410 J7   306  2558 J8   792  1340 J7    67  6160 17146  7.1  6.7  1.59  0.06  12.87   6.57   9.89  10.96  79   258     0  4.3
 10  1383 J7   121  2116 J8   526   770 J7    63  3561 14010  6.9  6.2  1.12  0.05   7.95   1.93   5.19   6.28  75   415     0  4.9
 11   614 J7    75  1346 J8   442   376 J7    25  1707 10996  6.8  6.3  0.87  0.04   3.99  -1.27   1.62   2.40  74   509     0  5.4
 12   307 J7    36   843 J8   316   207 J7    14   974  9258  7.1  6.7  0.78  0.05   1.77  -3.31  -0.53  -0.17  76   592     0  5.7
 13  2225 J7   116  2137 J8   260  1283 J7    51  5963 16623  7.3  6.8  1.22  0.09   7.70   2.24   5.13   5.85  77  4871     2  4.8
 1991
  1   438 I5   271  1000 I6  1207   274 I5   117  1365 10292  6.8  6.3  0.87  0.06   1.93  -3.65  -0.74   0.26  80   595     0  5.4
  2   849 I5   493  1280 I6  1656   528 I5   151  2851 13111  7.2  7.0  0.76  0.08  -0.04  -5.10  -2.39  -1.54  82   585     0  5.2
  3  2399 I5   821  3394 I6  2375  1090 I5   383  5264 16279  5.5  4.8  0.73  0.11   4.86  -3.14   0.78   2.18  66   542     0  5.1
  4  2341 I5   952  1121 I6  1461  1765 I5   342  8059 19418  9.0  8.8  0.98  0.13   5.89   1.67   3.78   4.31  81   436     0  5.7
  5  3336 I5  2089  2285 I6  3856  2051 I5   495 10362 22170  8.1  7.8  1.18  0.13   9.52   4.53   7.03   7.53  80   351     0  5.9
  6  3825 I5  2240  2766 I6  3812  2175 I5   484 11442 23673  8.1  7.5  1.78  0.13  12.31   7.12   9.57  10.01  86   258     0  4.4
  7  3548 I5  1822  2406 I6  3375  2190 I5   485 10860 22792  8.3  7.8  2.04  0.11  14.65   9.28  11.84  12.27  88   197     0  3.3
  8  3459 I5  1469  3016 I6  2946  1841 I5   426  8862 20210  7.4  6.7  1.88  0.12  15.21   9.30  12.22  12.99  80   188     0  4.4
  9  2047 I5  1049  1697 I6  2335  1301 I5   310  6202 17193  7.8  7.5  1.67  0.12  12.81   7.56  10.27  11.17  85   244     0  5.0
 10  1351 I5   714  1933 I6  1926   737 I5   258  3596 14056  5.9  5.5  1.13  0.13   8.78   2.13   5.67   7.02  76   399     0  4.6
 11   415 I5   189   493 I6   832   327 I5    85  1727 11039  7.4  7.2  1.11  0.15   5.18   1.01   3.22   3.84  85   457     0  6.3
 12   256 I5    78   273 I7   403   220 I5    44   976  9267  6.4  6.0  0.79  0.18   2.19  -3.96  -0.48   0.19  73   596     0  4.8
 13  2022 I5  1337  1806 I6  1000  1208 I5   778  5964 16625  7.3  6.9  1.24  0.12   7.77   2.23   5.06   5.85  80  4850     0  5.0
 1992
  1   309 I5   111   115 I6   200   289 I5    91  1357 10276  7.9  7.7  0.82  0.22   2.79  -1.24   1.00   1.45  82   544     0  5.1
  2   986 I5   424  1141 I6  1092   668 I5   184  2871 13138  5.1  4.8  0.60  0.26   0.34  -5.00  -2.11  -1.09  66   599     0  5.0
  3  1942 I5   934  1669 I6  1837  1240 I5   332  5332 16360  6.8  6.4  0.73  0.30   3.24  -2.75   0.33   1.31  76   561     0  4.3
  4  3366 I5  1137  2419 I6  2110  2082 I5   396  8124 19490  6.0  5.5  0.80  0.32   6.91   0.76   3.78   4.75  69   435     0  4.8
  5  4795 I5  2046  4057 I6  3116  2379 I5   563 10406 22232  5.6  4.6  1.08  0.30  10.53   3.22   7.14   7.99  67   355     0  5.4
  6  4227 I5  1945  2508 I6  2818  2682 I5   544 11448 23679  7.8  7.0  1.69  0.28  13.10   7.78  10.34  10.80  84   237     0  5.2
  7  4153 I5  1647  2511 I6  2578  2570 I5   495 10826 22745  8.4  7.6  2.11  0.24  15.39  10.39  12.55  13.05  88   169     0  3.9
  8  2979 I5  1287  1826 I6  2224  1972 I5   314  8801 20140  8.2  7.6  2.05  0.20  14.58   9.29  11.83  12.49  88   198     0  4.3
  9  2973 I5  1024  3709 I6  2445  1355 I5   402  6134 17119  4.8  4.0  1.24  0.16  12.11   3.75   7.92   9.51  64   312     0  5.6
 10  1249 I5   535  1434 I6  1252   819 I5   287  3538 13980  6.4  5.8  1.04  0.13   7.51   1.62   4.73   5.88  74   427     0  6.4
 11   576 I5   278  1042 I6  1065   373 I5   114  1694 10969  6.3  5.7  0.88  0.11   4.65  -0.57   2.17   3.13  76   489     0  5.9
 12   279 I5   119   609 I7   877   203 I5    48   972  9253  6.5  5.9  0.85  0.11   1.64  -3.36  -0.58  -0.14  74   595     0  5.8
 13  2319 I5  1635  1920 I6  1182  1386 I5   924  5959 16615  6.6  6.1  1.16  0.22   7.73   1.99   4.92   5.76  76  4920     0  5.1
 1993
  1   477 I5   201   949 I6   980   318 I5    69  1381 10334  6.1  4.9  0.71  0.12   0.15  -5.14  -2.26  -1.64  72   645     0  5.9
  2   790 I5   375  1017 I6  1329   539 I5   171  2887 13169  7.5  7.1  0.84  0.14   1.38  -2.61  -0.48   0.08  84   530     0  5.7
  3  1713 I5   900  1656 I6  2264  1071 I5   264  5312 16338  7.3  7.1  0.83  0.16   4.24  -0.54   2.07   2.90  78   511     0  6.7
  4  2363 I5  1245  1292 I6  2081  1676 I5   317  8106 19473  8.9  8.6  1.07  0.17   6.74   2.56   4.68   5.24  87   410     0  6.2
  5  3725 I5  2059  2553 I6  3293  2190 I5   382 10395 22212  7.8  7.3  1.39  0.17  11.00   5.48   8.15   8.71  84   313     0  4.5
  6  4068 I5  1984  2485 I6  3016  2505 I5   469 11447 23680  8.3  7.7  1.56  0.16  12.97   7.73  10.35  10.81  84   239     0  4.0
  7  4587 I5  1888  3845 I6  3491  2348 I5   503 10836 22755  7.1  6.1  2.09  0.14  17.23  10.63  13.93  14.66  80   142     5  3.9
  8  3416 I5  1614  2838 I6  3037  1853 I5   512  8818 20158  7.6  7.1  2.32  0.11  16.67  10.95  13.75  14.44  83   145     5  5.0
  9  2427 I5   970  2426 I6  2177  1370 I5   278  6153 17136  7.4  6.7  1.77  0.08  13.82   6.94  10.37  11.49  79   238     0  4.8
 10  1197 I5   507  1489 I6  1744   768 I5   255  3555 14003  7.5  6.5  1.39  0.06   8.90   2.75   5.99   7.10  81   388     0  5.3
 11   639 I5   313  1550 I6  1546   348 I5   113  1704 10991  6.3  5.6  1.00  0.05   6.00   0.18   3.41   4.39  72   457     0  6.1
 12   285 I5   109   582 I7   779   214 I5    58   973  9254  7.7  7.3  0.89  0.06   4.28  -0.73   2.01   2.56  82   513     0  6.4
 13  2141 I5  1518  1890 I6   946  1267 I5   839  5964 16625  7.5  6.8  1.32  0.12   8.61   3.18   6.00   6.73  80  4532    10  5.4
 1994
  1   315 I5   125   408 I6   673   260 I5    85  1373 10320  7.9  7.7  0.99  0.07   3.43  -0.58   1.61   2.25  88   524     0  5.6
  2  1097 I5   504  2060 I6  2059   580 I5   201  2870 13143  5.8  5.4  0.70  0.10   1.52  -3.49  -0.98  -0.19  69   541     0  7.5
  3  1944 I5  1108  2506 I6  2983   980 I5   281  5290 16312  6.7  6.5  0.78  0.12   1.69  -3.51  -0.75  -0.12  73   596     0  8.1
  4  2453 I5  1153  1596 I6  2520  1667 I5   330  8084 19446  8.3  8.0  1.00  0.14   6.17   1.09   3.55   4.22  82   441     0  5.9
  5  3197 I5  1419  1704 I6  2294  2235 I5   390 10380 22198  8.8  8.5  1.27  0.14   8.89   4.47   6.59   7.03  85   361     0  6.5
  6  4428 I5  2142  3628 I6  4068  2312 I5   502 11445 23678  7.3  6.6  1.76  0.14  14.11   7.46  10.88  11.50  81   226     0  4.7
  7  3564 I5  1905  2398 I6  3076  2142 I5   466 10847 22774  8.2  7.8  2.12  0.11  13.72   9.25  11.55  12.01  90   212     0  4.8
  8  4157 I5  1392  4501 I6  3300  1793 I5   536  8839 20182  6.5  5.5  2.26  0.09  17.37  10.24  13.78  14.76  79   141     1  4.6
  9  2369 I5   913  2480 I6  2539  1354 I5   365  6176 17162  7.0  6.4  1.47  0.06  13.00   5.93   9.46  10.76  83   266     0  4.9
 10  1376 I5   555  2080 I6  1850   778 I5   243  3574 14026  6.9  6.3  1.00  0.04   7.04   1.21   4.24   5.18  76   440     0  6.0
 11   654 I5   215  1716 I6  1345   367 I5   127  1715 11010  5.2  4.7  0.65  0.04   2.45  -2.99  -0.23   0.48  60   558     0  8.0
 12   273 I5   126   624 I7   999   195 I5    48   975  9259  7.6  7.2  0.74  0.04   0.97  -4.51  -1.34  -0.77  79   623     0  6.4
 13  2152 I5  1456  2142 I6  1131  1222 I5   797  5964 16626  7.2  6.7  1.23  0.09   7.53   2.05   4.86   5.59  79  4930     1  6.1
 1995
  1   417 I5   216   916 I6  1201   271 I5    97  1366 10294  7.4  6.8  0.75  0.06   1.89  -2.80  -0.36   0.54  83   582     0  4.7
  2   939 I5   530  1539 I6  1951   540 I5   157  2853 13116  7.2  6.9  0.78  0.08   2.20  -2.45  -0.01   0.91  78   517     0  5.4
  3  2343 I5   832  3619 I6  2589  1001 I5   294  5267 16284  5.2  4.7  0.58  0.11   1.82  -4.75  -1.39  -0.09  63   614     0  6.9
  4  2676 I5  1513  1953 I6  2910  1668 I5   382  8062 19421  8.3  7.9  1.09  0.13   7.39   2.24   4.70   5.38  82   405     0  5.0
  5  2709 I5  1332   977 I6  1667  2117 I5   495 10364 22173  9.1  8.9  1.31  0.13   7.99   4.35   6.18   6.54  90   377     0  4.4
  6  3567 I5  1932  2175 I6  3133  2228 I5   478 11442 23673  8.7  8.4  1.68  0.13  11.74   7.39   9.47   9.79  85   263     0  3.8
  7  3630 I5  1570  2226 I6  2649  2305 I5   449 10859 22790  8.5  8.0  2.25  0.11  14.78   9.29  11.80  12.30  88   195     0  3.2
  8  3679 I5  1633  3536 I6  3053  1854 I5   430  8859 20207  6.5  5.9  1.92  0.08  16.32   9.47  12.84  13.76  78   169     0  5.3
  9  1887 I5   995  1298 I6  1991  1331 I5   297  6199 17189  8.6  8.5  1.97  0.06  13.02   8.73  10.78  11.45  91   224     0  5.5
 10  1449 I5   658  2223 I6  2258   774 I5   284  3593 14054  7.0  6.5  1.17  0.04   8.89   2.44   5.81   7.06  78   393     0  6.2
 11   726 I5   346  2151 I6  1855   338 I5   153  1725 11034  5.1  4.9  0.69  0.03   3.41  -1.13   1.12   2.01  68   516     0  6.9
 12   235 I5   130   381 I7   883   189 I5    59   976  9267  8.6  8.4  0.99  0.04   3.07   0.09   1.54   1.65  85   519     0  7.6
 13  2021 I5  1268  1916 I6   982  1218 I5   801  5964 16625  7.5  7.2  1.27  0.08   7.71   2.74   5.21   5.94  81  4773     1  5.4
 1996
  1   417 I5   170   767 I6   978   298 I5    81  1358 10278  7.5  7.2  0.69  0.06   0.55  -3.50  -1.27  -0.77  77   614     0  5.4
  2   989 I5   581  1574 I6  1821   552 I5   195  2873 13141  7.0  6.6  0.74  0.08   1.48  -4.78  -1.23  -0.39  71   579     0  6.7
  3  2464 I5   984  3561 I6  2546  1077 I5   380  5335 16360  5.0  4.4  0.73  0.11   6.25  -0.94   2.60   4.02  70   486     0  4.9
  4  2253 I5  1287  1376 I6  2589  1580 I5   294  8127 19493  8.8  8.6  1.00  0.13   5.51   1.76   3.65   4.08  81   441     0  6.1
  5  5353 I5  1740  5753 I6  3790  2052 I5   555 10408 22234  6.0  4.5  1.15  0.13  12.46   4.54   8.74   9.58  69   305     0  4.5
  6  4685 I5  1989  3719 I6  3565  2455 I5   442 11448 23680  7.3  6.5  1.56  0.13  13.39   7.28  10.44  10.99  79   240     0  4.0
  7  3992 J6  1735  2622 J7  2880  2462 J6   512 10824 22743  8.0  7.5  1.93  0.10  14.42   9.33  11.87  12.36  84   200     0  3.9
  8  3821 J5  1412  3780 J6  3249  1875 J5   471  8799 20136  6.7  6.0  1.87  0.08  16.05   9.18  12.55  13.52  80   177     0  3.3
  9  2509 J5   985  2977 J6  2959  1322 J5   512  6131 17116  6.5  6.1  1.34  0.05  11.86   4.81   8.48   9.72  75   300     0  4.8
 10  1482 J5   638  2460 J6  2079   749 J5   269  3536 13979  6.3  5.8  0.95  0.04   6.48   1.13   3.78   4.73  68   450     0  5.8
 11   537 J5   286   819 J6  1238   377 J5   100  1693 10969  7.5  7.0  0.92  0.03   4.27  -0.11   2.36   3.03  77   488     0  5.9
 12   332 J5   130  1088 J7  1172   203 J5    53   972  9252  6.1  5.5  0.67  0.04   0.77  -4.10  -1.40  -0.92  70   620     0  7.4
 13  2403 I5  1733  2541 I6  1508  1250 I5   831  5959 16615  6.9  6.3  1.13  0.08   7.79   2.05   5.05   5.83  75  4899     0  5.2
 1997
  1   410 J8   183   889 J8  1050   281 J8   115  1382 10337  6.8  6.6  0.78  0.06   1.43  -2.65  -0.58  -0.18  75   587     0  6.1
  2   820 J8   449   757 J8   975   620 J8   214  2889 13172  8.6  8.1  1.03  0.08   4.12   0.43   2.64   3.21  89   450     0  4.8
  3  2274 J8   947  3246 J8  2862  1030 J8   323  5315 16342  5.2  4.9  0.61  0.11   2.64  -2.96  -0.04   1.01  65   573     0  5.2
  4  2978 J8  1554  2566 J8  3135  1690 J8   463  8109 19477  7.1  6.7  0.97  0.13   5.84   1.02   3.67   4.40  79   447     0  5.7
  5  5188 J8  2189  5789 J8  4506  1899 J8   566 10397 22217  5.4  4.8  1.21  0.13  11.93   4.98   8.58   9.36  71   306     0  4.2
  6  5028 J8  1841  4462 J8  3816  2447 J8   667 11448 23679  6.4  6.0  1.59  0.13  15.61   7.96  11.85  12.50  74   201     5  3.4
  7  3941 J8  1897  3006 J8  3552  2235 J8   525 10834 22755  7.5  7.0  2.30  0.11  15.91  10.95  13.49  13.95  86   152     0  3.2
  8  3960 J8  1293  4041 J8  2937  1824 J8   431  8816 20153  6.0  5.6  2.19  0.08  17.48  10.76  14.22  15.05  81   131     0  3.7
  9  2475 J8  1098  2736 J8  2682  1338 J8   330  6150 17132  7.1  6.7  1.78  0.06  13.95   8.19  11.17  12.13  84   218     0  4.3
 10  1660 J8   762  3556 J8  2779   619 J8   245  3553 13996  5.5  4.6  0.90  0.04   7.10   1.61   4.60   5.44  71   433     0  5.4
 11   621 J8   237  1497 J8  1503   369 J8   136  1703 10986  6.5  6.5  0.88  0.03   4.55  -1.91   1.76   2.63  80   510     0  4.6
 12   365 J8   113  1324 J8  1016   210 J8    61   973  9253  5.8  5.4  0.58  0.04  -0.34  -7.37  -3.68  -3.54  73   688     0  4.9
 13  2477 J8  1760  2822 J8  1532  1214 J8   797  5964 16625  6.5  6.1  1.24  0.08   8.35   2.58   5.64   6.33  77  4696     5  4.6
 1998
  1   426 J8   159   811 J8   958   309 J8   114  1374 10320  7.3  6.9  0.87  0.06   1.94  -1.67   0.30   0.54  81   564     0  5.3
  2  1017 J8   496  1311 J8  1401   650 J8   181  2872 13145  7.8  7.4  0.92  0.08   4.20   0.85   2.66   3.25  83   443     0  5.6
  3  1858 J8  1031  1931 J8  2361  1070 J8   320  5293 16314  7.6  7.4  0.94  0.11   4.94   1.44   3.22   3.82  78   469     0  6.1
  4  3111 J8  1544  3059 J8  3438  1636 J8   411  8087 19449  6.8  6.5  0.90  0.13   6.60   0.52   3.80   4.66  74   443     0  5.1
  5  3763 J8  1465  2637 J8  2518  2284 J8   365 10382 22200  8.0  7.4  1.16  0.13   9.10   3.31   6.33   6.93  76   376     0  4.4
  6  4111 J8  1950  2911 J8  3454  2431 J8   607 11445 23678  7.9  7.4  1.81  0.13  12.41   7.11   9.84  10.26  82   257     0  4.2
  7  3800 J8  1853  2941 J8  3588  2167 J8   418 10846 22773  8.0  7.4  1.98  0.11  14.28   9.64  12.01  12.46  85   198     0  3.4
  8  4126 J8  1214  4382 J8  2931  1889 J8   507  8836 20179  6.3  5.4  1.64  0.08  15.39   7.68  11.71  12.81  76   211     0  4.0
  9  2498 J8   805  2847 J8  2541  1322 J8   374  6173 17160  7.0  6.4  1.48  0.06  11.80   6.21   9.35  10.30  81   280     0  4.0
