703606 TOGIAC VILLAGE AWOS    AK  -9  N59  3  W160 24     6  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   422 J8    42  1454 J8   443   226 J8    30  1178  9901  5.4  4.7  0.66  0.07  -5.08 -11.92  -8.40  -8.00  75   832     0  5.0
  2   967 J8   150  1822 J8   784   522 J8    55  2657 12945  6.8  5.8  0.68  0.09  -3.07  -9.41  -6.06  -5.50  74   694     0  5.3
  3  2298 J8   337  3499 J8  1190   988 J8   117  5102 16316  5.7  4.9  0.61  0.11  -1.67  -8.47  -4.95  -4.08  72   725     0  5.3
  4  3557 J8   351  4001 J8  1008  1610 J8   166  7955 19636  6.4  5.5  0.80  0.13   2.68  -3.61  -0.30   0.49  76   564     0  5.2
  5  4709 J8   773  4639 J8  1785  2138 J8   244 10324 22584  6.3  5.5  1.14  0.13   8.85   1.75   5.41   6.17  75   404     0  4.7
  6  4878 J8   427  4233 J8   758  2416 J8   138 11428 24199  7.0  6.2  1.66  0.13  13.41   6.30  10.07  10.64  77   254     0  4.5
  7  4573 J8   494  4184 J8  1032  2248 J8   107 10794 23196  7.0  6.2  2.12  0.11  15.20   8.85  12.25  12.80  81   195     0  4.4
  8  3347 J8   446  3206 J8  1084  1760 J8   120  8703 20393  7.2  6.8  2.06  0.08  14.60   8.59  11.73  12.48  81   209     0  4.7
  9  2419 J8   387  3008 J8  1220  1229 J8   101  5971 17189  7.0  6.4  1.54  0.06  10.93   4.40   7.66   8.78  78   320     0  5.1
 10  1425 J8   161  2839 J8   794   649 J8    66  3343 13870  6.0  5.4  0.99  0.05   4.57  -2.16   1.21   2.47  76   531     0  4.9
 11   569 J8    64  1764 J8   586   284 J8    37  1505 10650  6.0  5.4  0.79  0.04  -0.44  -6.84  -3.40  -2.74  79   659     0  5.1
 12   288 J8    29  1209 J8   459   168 J8    19   796  8758  5.7  5.1  0.68  0.05  -4.36 -11.26  -7.47  -7.14  79   810     0  5.4
 13  2454 J8   157  2988 J8   529  1187 J8    71  5813 16637  6.4  5.7  1.14  0.09   4.63  -1.98   1.48   2.20  77  6198     0  5.0
 1991
  1   447 J8   165  1415 J8  1081   254 J8    77  1172  9889  5.8  4.5  0.83  0.05  -5.94 -12.36  -9.12  -8.67  69   852     0  4.9
  2  1004 J8   467  2070 J8  1893   514 J8   203  2634 12908  6.2  5.1  0.69  0.08   0.19  -5.35  -2.75  -2.70  41   585     0  5.1
  3  2545 J8   969  4541 J8  2824   870 J8   307  5060 16263  4.1  3.6  0.79  0.10   0.50  -7.50  -3.31  -2.34  55   677     0  4.7
  4  3983 J8  1140  4733 J8  2867  1644 J8   473  7913 19587  6.0  4.7  0.74  0.11   3.30  -3.94  -0.11   0.90  75   559     0  4.1
  5  4773 J8  1556  4324 J8  3195  2308 J8   501 10296 22545  7.4  6.1  1.39  0.12   9.74  -0.54   4.88   6.04  77   426     0  4.4
  6  5405 J8  1706  4842 J8  3300  2491 J8   530 11424 24191  7.8  5.9  1.97  0.12  13.83   5.88  10.10  10.72  73   254     0  4.8
  7  4824 J8  1815  4476 J8  3593  2268 J8   496 10816 23230  6.9  6.2  2.11  0.10  17.73   9.57  14.11  14.80  69   147     2  3.9
  8  2910 J8  1158  1836 J8  1845  1940 J8   352  8742 20441  8.5  7.9  2.12  0.11  14.18   8.48  11.42  12.10  83   217     0  4.3
