703610 YAKUTAT STATE ARPT     AK  -9  N59 31  W139 38     8  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   327 J7    38   648 J8   291   244 J7    17  1108  9737  7.6  7.1  0.88  0.06   0.26  -5.59  -2.54  -1.72  86   651     0  2.4
  2   845 J7   106  1226 J8   439   549 J7    27  2574 12860  7.6  7.1  0.89  0.09   2.32  -4.41  -0.99   0.20  85   547     0  2.5
  3  1898 J7   274  2223 J8   885  1089 J7    70  5022 16303  7.1  6.5  0.78  0.11   3.45  -4.18  -0.21   1.19  78   580     0  2.7
  4  3139 J7   421  2800 J7  1001  1801 J7   129  7896 19694  7.4  6.6  0.97  0.12   7.44  -0.79   3.56   4.84  80   450     0  2.5
  5  4207 J7   445  3250 J7   817  2413 J7   120 10297 22722  7.6  6.7  1.26  0.13  11.16   2.84   7.56   8.52  80   351     0  2.5
  6  4119 J7   439  2525 J7   810  2646 J7   159 11422 24403  8.4  7.8  1.73  0.12  13.99   7.26  10.99  11.61  83   231     0  2.3
  7  3567 J7   503  1670 J7   814  2600 J7    90 10782 23368  8.9  8.6  2.18  0.10  15.39   9.55  12.71  13.25  87   182     0  2.2
  8  3153 J7   500  2244 J7  1052  2017 J7   118  8665 20489  8.2  7.8  2.15  0.08  15.66   8.67  12.43  13.39  88   191     0  2.2
  9  2169 J7   297  1748 J7   727  1475 J7    64  5908 17214  8.1  7.7  1.74  0.06  12.87   5.53   9.32  10.62  88   274     0  2.4
 10  1106 J7   129  1269 J8   500   765 J7    50  3269 13825  8.0  7.6  1.29  0.04   8.37   1.74   4.99   6.26  87   412     0  2.6
 11   493 J7    62   916 J8   440   352 J7    29  1436 10523  7.6  7.2  0.99  0.04   3.77  -2.34   0.68   1.63  85   528     0  2.5
 12   221 J7    23   501 J8   230   174 J7    10   734  8563  7.9  7.5  0.92  0.05   1.48  -3.93  -1.12  -0.53  86   606     0  2.7
 13  2104 J7   143  1752 J8   328  1344 J7    43  5759 16642  7.9  7.3  1.31  0.08   8.01   1.20   4.78   5.77  84  5003     0  2.5
 1991
  1   318 I5   157   679 I7  1104   235 I5    89  1102  9723  7.6  7.0  0.87  0.05  -1.54  -8.06  -4.79  -3.86  88   717     0  2.4
  2   719 I5   525   793 I6  1689   505 I5   133  2551 12821  8.7  8.3  1.02  0.07   3.25  -2.33   0.59   1.37  91   500     0  3.2
  3  1940 I5  1004  2593 I6  2683   999 I5   340  4980 16250  6.7  6.0  0.79  0.09   3.43  -5.55  -0.98   0.81  84   601     0  2.8
  4  2297 I5  1075  1218 I6  2183  1704 I5   272  7854 19645  9.0  8.4  1.11  0.11   6.45   0.51   3.49   4.31  85   446     0  3.4
