703620 SKAGWAY AIRPORT        AK  -9  N59 28  W135 18     9  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   374 J7    48   955 J8   369   246 J7    14  1115  9753  6.8  6.3  0.63  0.08  -1.94  -6.02  -3.97  -3.78  65   692     0  6.2
  2  1033 J7   109  1755 J8   554   597 J7    47  2582 12867  6.9  6.0  0.61  0.11   0.87  -3.66  -1.37  -0.92  67   557     0  5.2
  3  2213 J7   241  2806 J8   855  1164 J7   108  5029 16302  6.7  6.0  0.57  0.13   3.29  -2.30   0.54   1.25  63   553     0  5.1
  4  4135 J7   405  4129 J8  1203  2097 J7   237  7901 19686  6.2  5.3  0.70  0.16   9.30   1.24   5.33   6.40  67   392     0  3.9
  5  5366 J7   478  5078 J8  1131  2514 J7   181 10299 22705  5.9  5.1  0.95  0.16  14.14   5.50   9.93  10.70  66   264     0  4.2
  6  5110 J7   663  4346 J8  1360  2548 J7   194 11422 24379  6.6  6.1  1.35  0.16  17.27   9.14  13.26  13.67  70   155     1  4.2
  7  4534 J7   544  3227 J8  1203  2683 J7   212 10784 23351  7.6  7.1  1.68  0.13  17.81  11.04  14.34  14.76  76   123     2  4.0
  8  3705 J7   480  3324 J8  1222  2004 J7   176  8671 20480  7.3  6.7  1.68  0.10  17.04  10.37  13.66  14.28  79   144     1  3.5
  9  2322 J7   249  2140 J8   822  1461 J7    99  5917 17213  8.0  7.5  1.30  0.07  13.04   7.54  10.31  11.02  81   241     0  3.7
 10  1155 J7   151  1638 J8   621   703 J7    36  3279 13832  7.9  7.4  0.91  0.05   8.27   3.71   6.02   6.62  77   383     0  4.0
 11   517 J7    66  1088 J8   514   345 J7    25  1444 10538  7.5  7.1  0.69  0.05   2.86  -1.07   0.95   1.31  71   523     0  4.6
 12   230 J7    23   674 J8   322   165 J7    12   741  8582  7.3  7.0  0.64  0.06   0.01  -3.88  -1.89  -1.64  69   628     0  5.2
