703670 GUSTAVUS               AK  -9  N58 25  W135 42    12  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   400 J8    51   805 J8   323   283 J8    22  1269 10101  7.7  7.0  0.89  0.07   0.62  -5.10  -2.27  -1.41  82   638     0  2.1
  2  1051 J8   140  1513 J8   577   660 J8    52  2759 13039  7.6  6.6  0.87  0.09   2.24  -4.79  -1.15   0.24  78   554     0  2.2
  3  2175 J8   275  2574 J8   905  1197 J8    92  5196 16316  7.0  6.2  0.79  0.11   4.51  -2.58   1.21   2.41  71   538     0  2.8
  4  4021 J8   519  3784 J8  1218  2152 J8   173  8020 19544  6.7  5.7  0.96  0.13   8.94  -0.68   4.60   6.09  69   426     0  2.4
  5  5022 J8   566  4368 J8  1170  2543 J8   196 10352 22392  6.7  5.8  1.25  0.14  12.53   2.38   8.08   9.30  68   337     0  2.4
  6  4877 J8   472  3798 J8   988  2606 J8   170 11436 23932  7.2  6.6  1.68  0.13  15.21   7.04  11.33  12.03  77   216     0  1.9
  7  4378 J8   609  2813 J8  1167  2719 J8   164 10819 22982  8.2  7.6  2.12  0.11  16.55   9.27  13.02  13.72  81   168     0  1.7
  8  3617 J8   636  3063 J8  1449  2007 J8   156  8768 20286  7.7  7.1  2.13  0.09  16.46   8.82  12.76  13.76  81   177     0  1.7
  9  2351 J8   387  2110 J8  1062  1473 J8    98  6069 17174  8.1  7.6  1.75  0.06  12.89   6.23   9.70  10.80  82   263     0  2.1
 10  1187 J8   175  1600 J8   701   733 J8    51  3454 13946  7.9  7.4  1.28  0.05   8.41   2.44   5.57   6.65  80   400     0  2.6
 11   590 J8    94  1129 J8   602   400 J8    37  1605 10829  7.7  7.1  0.97  0.04   3.71  -1.67   1.12   1.98  81   519     0  2.6
 12   290 J8    35   740 J8   361   209 J8    15   882  9008  7.6  7.1  0.90  0.05   1.90  -3.26  -0.52   0.04  81   589     0  2.5
 13  2496 J8   235  2358 J8   585  1415 J8    68  5886 16629  7.5  6.8  1.30  0.09   8.66   1.51   5.29   6.30  78  4826     0  2.2
 1991
  1   400 J8   191   831 J8  1155   279 J8    89  1263 10082  7.1  6.5  1.04  0.06  -0.87  -7.79  -4.84  -3.72  84   703     0  2.5
  2   916 J8   540   861 J8  1520   683 J8   196  2735 13002  9.2  7.9  1.09  0.08   3.16  -1.08   0.89   1.80  86   484     0  3.3
  3  2135 J8   979  2381 J8  2331  1224 J8   353  5154 16264  7.1  6.2  0.94  0.10   3.61  -3.16   0.40   1.65  79   561     0  3.0
  4  2928 J8  1198  1416 J8  2035  2247 J8   432  7979 19495  8.8  8.1  1.21  0.12   8.88  -2.35   4.30   5.97  79   452     0  3.0
  5  4504 J8  1648  3056 J8  2812  2761 J8   491 10325 22352  8.0  7.0  1.33  0.13  12.39   0.58   7.25   8.81  79   367     0  3.2
  6  4459 J8  1982  3187 J8  3486  2558 J8   453 11432 23925  7.5  7.0  1.73  0.12  14.97   4.54  10.31  11.17  82   257     0  2.7
  7  3447 J8  1336  1143 J8  2110  2794 J8   439 10840 23011  9.4  9.0  2.13  0.11  15.88   6.78  11.82  12.75  88   217     0  2.5
  8  2825 J8  1188  1229 J8  1770  2186 J8   360  8805 20335  9.2  8.5  2.40  0.11  15.97   7.37  11.91  13.11  85   206     0  2.7
  9  1894 J8   850   795 J8  1201  1543 J8   342  6111 17223  9.4  8.7  2.13  0.12  12.53   7.20  10.04  10.85  90   254     0  2.7
 10  1087 J8   419  1213 J8  1585   745 J8   209  3488 13994  7.1  6.5  1.33  0.13   7.45   0.35   4.04   5.43  83   447     0  3.0
 11   396 J8   137   227 J8   637   358 J8    94  1624 10870  9.1  8.9  1.30  0.15   4.05   0.49   2.28   2.94  88   482     0  3.2
 12   207 J8    52    34 J8   104   202 J8    44   884  9019  9.4  8.9  1.12  0.18   2.38  -0.49   1.04   1.32  86   539     0  3.6
 13  2100 J8  1544  1364 J8  1011  1465 J8  1009  5887 16631  8.5  7.8  1.48  0.12   8.37   1.04   4.95   6.01  84  4970     0  2.9
 1992
  1   296 J8   116    41 J8   154   288 J8    98  1255 10063  9.8  9.4  1.21  0.22   3.68   0.52   2.12   2.83  85   503     0  3.5
