703710 SITKA JAPONSKI AP      AK  -9  N57  3  W135 22     4  1013
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   466 J7    55  1014 J8   379   303 J7    16  1476 10512  7.4  6.9  1.05  0.07   4.25   0.22   2.27   2.71  79   499     0  3.9
  2  1139 J7   119  1799 J8   533   646 J7    40  2989 13246  7.1  6.2  1.02  0.09   5.03   0.51   2.77   3.43  77   440     0  3.6
  3  2135 J7   276  2488 J8   825  1159 J7    69  5411 16332  7.0  6.4  0.91  0.12   5.45   0.51   3.01   3.70  74   476     0  3.9
  4  3663 J7   411  3338 J8  1117  1971 J7   188  8172 19372  7.0  6.0  1.07  0.14   8.68   3.01   5.90   6.61  76   375     0  3.4
  5  4431 J7   433  3530 J8   895  2388 J7   149 10422 22019  7.2  6.4  1.38  0.14  11.37   5.99   8.72   9.23  79   299     0  3.1
  6  4409 J7   493  3175 J8  1034  2499 J7   190 11456 23423  7.7  7.1  1.79  0.14  13.83   9.13  11.45  11.84  82   206     0  2.9
  7  3774 J7   403  2180 J8   809  2493 J7   149 10865 22550  8.6  8.0  2.28  0.11  15.25  11.34  13.21  13.53  87   156     0  2.7
  8  3392 J7   501  2752 J8  1180  1944 J7   140  8891 20053  7.8  7.2  2.30  0.09  16.17  11.59  13.80  14.33  86   139     1  2.6
  9  2309 J7   307  2163 J8   851  1388 J7    91  6264 17128  7.9  7.5  1.97  0.06  13.90   9.28  11.59  12.24  84   202     0  3.1
 10  1264 J7   167  1635 J8   631   774 J7    44  3681 14085  7.9  7.4  1.47  0.05  10.10   5.68   7.92   8.53  81   324     0  3.9
 11   640 J7   103  1270 J8   619   409 J7    32  1820 11173  7.5  7.1  1.13  0.04   6.61   2.39   4.59   5.12  78   415     0  4.2
 12   341 J7    47   866 J8   416   233 J7    14  1074  9506  7.4  7.0  1.05  0.05   4.83   0.79   2.91   3.28  78   481     0  4.3
 13  2330 J7   163  2184 J8   483  1350 J7    60  6044 16617  7.5  6.9  1.45  0.09   9.62   5.04   7.35   7.88  80  4010     1  3.5
 1991
  1   463 J5   229  1013 J7  1355   306 J5   100  1470 10496  7.3  6.4  1.17  0.06   3.24  -1.29   0.96   1.57  81   538     0  3.3
  2   944 J5   569   886 J7  1504   679 J5   169  2966 13210  8.6  7.5  1.24  0.08   6.26   1.65   3.84   4.14  83   402     0  4.5
  3  2098 J5   971  2478 J7  2786  1152 J5   384  5370 16285  6.8  6.3  1.00  0.10   4.88  -0.39   1.98   2.80  78   499     0  3.4
  4  2789 J5  1044  1202 J7  1377  2169 J5   407  8133 19328  9.3  8.2  1.30  0.12   8.19   3.61   5.83   6.39  80   373     0  4.3
  5  4330 J5  1744  3184 J6  3213  2457 J5   488 10396 21987  8.2  7.1  1.44  0.13  11.17   5.81   8.38   8.84  83   305     0  3.8
  6  4098 J5  2034  2505 J6  3339  2553 J5   525 11452 23419  8.2  7.6  1.78  0.13  12.72   8.07  10.36  10.75  87   238     0  3.4
  7  3558 J5  1704  1629 J6  2818  2602 J5   380 10886 22579  9.5  8.6  2.24  0.11  14.37  10.47  12.34  12.66  87   183     0  3.1
  8  2756 J5  1110  1136 J7  1743  2161 J5   461  8928 20100  9.3  8.5  2.60  0.12  15.13  10.79  12.85  13.29  87   166     0  3.4
  9  1565 J5   626   384 J7   846  1390 J5   311  6305 17174  9.6  9.3  2.49  0.12  13.50   9.86  11.59  12.05  89   199     0  3.7
 10  1092 J5   465  1064 J7  1574   776 J5   240  3716 14132  7.3  7.0  1.62  0.13   9.55   4.48   6.97   7.64  77   351     0  4.2
 11   428 J5   134   181 J7   467   394 J5    97  1839 11214  9.3  9.1  1.58  0.15   8.26   4.73   6.37   6.74  79   355     0  5.2
 12   259 J5    78   127 J7   274   241 J5    52  1076  9514  8.7  8.2  1.31  0.18   6.03   2.29   4.26   4.59  83   439     0  5.2
 13  2032 J5  1460  1316 J7   968  1407 J5   933  6045 16620  8.5  7.8  1.65  0.12   9.44   5.01   7.14   7.62  83  4049     0  4.0
 1992
  1   327 J5   128    99 J7   299   307 J5    89  1462 10480  9.5  9.2  1.43  0.22   6.56   3.25   4.93   5.18  83   416     0  5.3
  2   926 J5   367   548 J7   823   769 J5   215  2986 13239  7.9  6.8  1.23  0.26   5.99   1.71   3.80   4.37  74   420     0  4.4
  3  1755 J5   805  1030 J7  1474  1324 J5   400  5437 16361  7.5  7.1  1.17  0.30   6.81   1.70   4.24   4.86  75   436     0  4.4
  4  3461 J5  1214  1741 J7  1801  2514 J5   523  8197 19397  7.8  6.5  1.22  0.31   9.22   3.21   6.15   7.01  72   364     0  4.1
  5  3904 J5  1707  1872 J6  2312  2763 J5   609 10438 22037  8.0  7.3  1.50  0.30  11.31   5.95   8.63   9.10  76   301     0  4.6
  6  4464 J5  2052  2617 J6  3254  2811 J5   557 11458 23423  7.5  7.0  1.79  0.27  14.08   8.94  11.57  12.04  81   205     0  4.1
  7  3291 J5  1592  1127 J6  2148  2580 J5   588 10852 22532  9.4  8.8  2.28  0.24  14.69  11.32  12.77  13.03  86   165     0  3.6
  8  2618 J5  1114  1172 J7  1814  2016 J5   421  8869 20027  8.6  8.2  2.24  0.19  15.51  10.98  13.13  13.64  85   158     0  3.2
  9  1932 J5  1013  1092 J7  1908  1427 J5   365  6238 17102  8.2  8.0  1.70  0.16  11.67   6.70   9.29  10.01  81   274     0  3.7
 10  1149 J5   590  1028 J7  1549   818 J5   292  3658 14057  7.9  7.4  1.47  0.13   9.00   4.57   6.72   7.33  76   358     0  4.2
 11   423 J5   161   247 J7   733   377 J5    86  1806 11148  8.5  8.3  1.44  0.11   7.71   3.31   5.70   6.36  81   385     0  4.7
 12   277 J5   122   451 J7   793   218 J5    55  1072  9501  7.2  6.9  1.14  0.11   3.39  -0.84   1.41   1.82  74   529     0  4.3
 13  2044 J5  1479  1085 J7   724  1494 J5  1006  6040 16609  8.2  7.6  1.55  0.22   9.66   5.07   7.36   7.90  79  4010     0  4.2
 1993
  1   401 J5   164   528 J7   770   314 J5    97  1487 10532  6.9  6.4  0.82  0.12   3.15  -1.11   0.99   1.57  78   537     0  4.1
  2  1203 J5   633  1814 J7  1878   681 J5   248  3002 13268  6.2  5.4  1.08  0.14   6.23   0.70   3.40   4.49  73   416     0  3.2
  3  2045 J5  1083  1995 J7  2535  1229 J5   333  5418 16341  6.9  6.1  0.82  0.15   7.14   1.53   4.15   5.03  70   434     0  4.1
  4  3170 J5  1432  2129 J7  2855  2054 J5   388  8180 19382  7.8  7.1  1.15  0.17  10.52   4.42   7.61   8.36  76   326     0  2.7
  5  4818 J5  2015  3922 J6  3580  2517 J5   601 10428 22029  6.7  5.5  1.56  0.17  13.34   7.35  10.20  10.79  80   247     0  2.7
  6  4404 J5  1641  2570 J6  2354  2836 J5   502 11457 23424  7.7  7.1  1.70  0.16  14.90   9.59  12.29  12.77  80   183     0  2.9
  7  4111 J5  1851  2652 J6  2991  2530 J5   442 10862 22546  8.4  7.4  2.14  0.14  16.95  12.53  14.55  14.94  82   111     0  2.9
  8  3582 J5  1815  2987 J7  3576  1985 J5   471  8886 20048  7.1  6.7  2.21  0.11  17.38  12.09  14.75  15.40  80   112     0  3.0
