703810 JUNEAU INT'L ARPT      AK  -9  N58 21  W134 35     4  1013
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   367 J7    60   620 J8   413   278 J7    20  1279 10122  8.1  7.5  0.83  0.08  -0.11  -4.76  -2.29  -1.71  85   644     0  3.1
  2   949 J7   124  1150 J7   489   647 J7    37  2770 13049  8.0  7.2  0.80  0.10   1.76  -3.40  -0.76   0.11  84   541     0  3.1
  3  1929 J7   270  1882 J8   828  1215 J7    72  5206 16316  7.7  6.9  0.74  0.13   3.58  -2.31   0.69   1.63  78   549     0  3.6
  4  3497 J7   375  2833 J7   909  2074 J7   139  8027 19535  7.5  6.5  0.88  0.15   8.96   0.92   5.00   6.19  76   402     0  3.4
  5  4606 J7   584  3357 J7  1117  2696 J7   123 10356 22372  7.5  6.4  1.19  0.15  13.61   4.81   9.42  10.37  73   283     0  3.3
  6  4339 J7   414  2815 J7   754  2668 J7   161 11437 23907  8.1  7.2  1.62  0.15  16.60   8.53  12.68  13.28  77   174     1  3.0
  7  3806 J7   544  2105 J7   979  2586 J7    87 10821 22960  8.6  7.9  2.04  0.12  17.21  10.27  13.69  14.35  83   143     1  2.9
  8  3349 J7   405  2378 J7   894  2101 J7    94  8774 20274  8.2  7.4  2.05  0.10  16.82   9.76  13.22  14.12  85   156     0  3.0
  9  2079 J7   311  1436 J7   776  1470 J7    72  6079 17172  8.7  8.2  1.66  0.07  12.76   7.18   9.90  10.77  89   251     0  3.5
 10  1019 J7   107   915 J8   383   754 J7    37  3465 13954  8.8  8.4  1.19  0.05   8.07   3.34   5.74   6.51  89   391     0  3.8
 11   534 J7    75   758 J8   491   404 J7    33  1616 10847  8.4  7.9  0.90  0.05   3.42  -0.91   1.31   1.91  87   512     0  3.4
 12   258 J7    30   459 J8   262   208 J7     9   891  9034  8.3  7.7  0.83  0.05   1.05  -3.25  -0.95  -0.56  86   602     0  3.4
 13  2228 J7   129  1726 J7   326  1425 J7    36  5893 16629  8.2  7.4  1.23  0.10   8.64   2.52   5.64   6.41  83  4648     2  3.3
 1991
  1   399 I5   196   987 I6  1367   263 I5    88  1273 10105  6.9  6.2  0.86  0.06  -0.79  -7.21  -4.03  -3.10  84   692     0  2.9
  2   753 I5   496   565 I6  1525   595 I5   144  2747 13014  9.1  8.7  0.95  0.09   3.85  -0.29   1.74   2.15  89   463     0  4.0
  3  2046 I5  1007  2436 I6  2632  1135 I5   341  5164 16265  6.8  6.3  0.78  0.12   3.31  -2.11   0.55   1.40  79   550     0  3.7
  4  3065 I5  1281  1795 I6  2129  2155 I5   416  7986 19489  9.2  8.0  1.01  0.14   8.59   2.07   5.32   6.22  82   390     0  4.1
  5  4641 I5  1743  3531 I6  3670  2616 I5   553 10328 22334  7.4  6.5  1.16  0.14  13.03   4.75   9.02   9.95  76   293     0  4.0
  6  4967 I5  2166  4226 I6  4123  2459 I5   532 11433 23901  7.3  6.4  1.55  0.14  16.80   8.51  12.81  13.41  72   174     3  3.5
  7  3361 I5  1586  1351 I6  2451  2529 I5   301 10843 22988  9.5  9.0  1.88  0.12  15.74   9.91  12.80  13.35  85   171     0  3.7
  8  2867 I5  1446  1646 I6  2527  1970 I5   219  8812 20321  9.0  8.3  2.10  0.12  15.68   9.72  12.67  13.41  85   174     0  4.5
  9  1488 I5   564   287 I6   869  1359 I5   235  6121 17220  9.7  9.5  1.78  0.13  11.96   8.22  10.06  10.55  93   247     0  4.4
 10  1039 I5   388  1214 I6  1506   709 I5   172  3500 14003  7.1  6.5  1.08  0.14   7.18   1.82   4.58   5.62  81   429     0  4.2
 11   387 I5   165   166 I6   473   357 I5   108  1635 10887  9.4  8.8  1.05  0.15   4.02   0.56   2.25   2.46  92   481     0  3.5
 12   216 I5    55    72 I7   245   207 I5    46   893  9043  9.4  9.0  1.00  0.18   2.29  -0.77   0.83   0.95  90   545     0  4.0
 13  2102 I5  1665  1523 I6  1317  1363 I5   942  5895 16631  8.4  7.8  1.27  0.13   8.47   2.93   5.72   6.36  84  4608     3  3.9
 1992
  1   300 I5   115    42 I6   117   293 I5   103  1265 10085  9.6  9.0  0.92  0.22   3.59   0.38   2.06   2.41  91   507     0  4.8
  2   811 I5   350   403 I6   750   701 I5   241  2767 13040  8.3  7.8  0.94  0.27   2.55  -1.80   0.44   1.11  81   521     0  4.1
  3  1807 I5   854  1214 I6  1649  1326 I5   380  5233 16343  8.1  7.3  0.89  0.31   5.62  -0.23   2.64   3.62  82   485     0  4.2
  4  3234 I5  1258  1796 I6  2001  2316 I5   549  8053 19561  7.9  6.6  0.84  0.33   8.40   1.44   4.86   5.97  78   402     0  3.7
  5  3980 I5  1923  2032 I6  2722  2766 I5   544 10372 22393  7.9  7.2  1.09  0.31  11.44   4.39   8.09   8.87  77   323     0  4.0
  6  5259 I5  2082  3799 I6  3452  2897 I5   601 11439 23910  6.5  5.5  1.54  0.29  17.57   7.92  13.05  13.81  71   170     3  3.3
  7  3678 I5  1858  1767 I6  2686  2602 I5   304 10808 22943  8.6  8.1  1.94  0.25  16.93  10.52  13.68  14.32  81   143     0  3.6
  8  3369 I5  1326  2059 I6  2133  2230 I5   470  8751 20247  8.2  7.3  1.96  0.20  17.09   9.30  13.14  14.02  83   159     0  3.6
  9  2006 I5   934  1180 I6  1922  1495 I5   377  6052 17146  8.6  8.0  1.30  0.16  10.93   5.32   8.05   8.90  88   306     0  3.7
 10   966 I5   513  1021 I6  1769   671 I5   184  3442 13923  8.0  7.6  0.96  0.13   6.92   2.37   4.47   5.22  87   424     0  3.9
 11   415 I5   201   310 I6   822   356 I5    96  1603 10821  9.2  8.8  1.01  0.12   5.34   1.48   3.50   4.04  90   448     0  4.0
 12   234 I5    77   303 I7   550   200 I5    40   889  9029  7.1  6.8  0.80  0.11  -0.70  -6.26  -3.20  -2.53  81   676     0  3.6
 13  2172 I5  1691  1327 I6  1056  1488 I5  1035  5889 16620  8.2  7.5  1.18  0.23   8.81   2.90   5.90   6.65  82  4563     3  3.9
 1993
  1   364 I5   151   573 I6   836   282 I5    76  1289 10149  7.0  6.5  0.70  0.13  -0.84  -7.45  -3.87  -2.99  88   697     0  3.5
  2  1008 I5   528  1356 I6  1670   646 I5   183  2783 13073  7.0  6.1  0.89  0.15   2.67  -4.52  -1.00   0.37  86   539     0  3.2
  3  2160 I5  1115  2334 I6  2691  1224 I5   350  5213 16327  6.9  6.1  0.68  0.17   5.52  -1.34   2.09   3.35  84   503     0  3.3
  4  3711 I5  1399  2943 I6  2683  2178 I5   415  8035 19544  7.3  6.1  0.91  0.18  11.31   2.23   6.81   8.07  78   347     0  3.1
  5  5182 I5  2089  4497 I6  3852  2580 I5   634 10361 22383  5.9  4.8  1.40  0.18  15.80   6.32  11.21  12.20  76   225     0  3.6
  6  4425 I5  1819  2772 I6  3060  2744 I5   468 11438 23912  8.1  7.1  1.53  0.17  17.13   8.92  13.30  13.90  76   159     0  3.0
  7  4617 I5  1961  3415 I6  3664  2607 I5   533 10818 22955  7.9  6.8  1.84  0.15  19.50  10.86  15.07  15.95  74   100     2  2.2
  8  3707 I5  1867  3101 I6  3484  2050 I5   413  8768 20267  7.2  6.6  1.98  0.12  18.02   9.65  13.83  14.94  79   139     0  2.5
  9  2308 I5  1131  1854 I6  2631  1485 I5   397  6072 17162  8.4  7.8  1.65  0.09  13.56   7.65  10.46  11.37  92   232     0  3.4
 10   945 I5   557   766 I6  1588   698 I5   167  3459 13944  8.8  8.5  1.41  0.06   9.80   5.47   7.66   8.34  93   332     0  3.9
 11   502 I5   245   639 I6  1339   391 I5   126  1612 10838  8.6  8.2  0.88  0.05   4.87   0.53   2.71   3.13  90   469     0  4.6
 12   223 I5    74   187 I7   369   201 I5    45   890  9030  9.1  8.6  0.89  0.06   4.12   0.20   2.27   2.40  89   501     0  4.3
 13  2429 I5  1828  2036 I6  1354  1424 I5   976  5895 16632  7.7  6.9  1.23  0.12  10.12   3.21   6.71   7.59  84  4243     2  3.4
 1994
  1   266 I5    95   148 I6   368   247 I5    76  1282 10126  9.3  8.9  0.89  0.08  -0.56  -4.07  -2.20  -1.97  90   640     0  2.4
  2  1055 I5   568  1531 I6  1841   648 I5   269  2766 13044  6.8  5.9  0.59  0.10  -4.76 -10.09  -7.08  -6.11  64   721     0  3.2
  3  1631 I5   910   846 I6  1378  1270 I5   379  5190 16299  9.1  8.5  0.80  0.13   4.83   0.24   2.54   3.06  87   490     0  4.0
  4  3434 I5  1675  3195 I6  3506  1803 I5   429  8012 19517  7.0  6.3  0.85  0.15  10.16   2.41   6.32   7.44  79   361     0  3.3
  5  4201 I5  1536  2490 I6  2933  2769 I5   528 10346 22359  8.6  7.6  1.13  0.15  12.21   5.41   8.93   9.58  79   295     0  3.9
  6  4120 I5  1866  2309 I6  3130  2685 I5   480 11436 23906  8.5  7.9  1.48  0.15  16.09   9.03  12.71  13.24  76   173     0  3.5
  7  4404 I5  2052  3401 I6  3870  2421 I5   468 10830 22975  7.7  6.9  1.95  0.12  17.81  10.07  13.95  14.68  80   136     0  3.3
  8  4249 I5  1717  4340 I6  3553  1958 I5   473  8788 20292  6.0  5.1  2.18  0.09  19.52  10.67  14.92  16.12  79   101     1  3.0
  9  2035 I5   888  1290 I6  2183  1474 I5   314  6095 17191  8.8  8.5  1.45  0.07  12.74   7.44   9.97  10.81  92   247     0  3.8
 10   969 I5   473   746 I6  1676   750 I5   176  3478 13973  9.0  8.6  0.97  0.05   8.28   4.19   6.22   6.84  90   375     0  4.5
 11   543 I5   290   784 I6  1323   402 I5   151  1623 10861  8.3  7.9  0.63  0.04   1.02  -3.85  -1.25  -0.73  88   592     0  3.7
 12   261 I5   108   448 I7   852   209 I5    56   892  9034  8.2  7.6  0.69  0.05   0.00  -4.73  -2.11  -1.65  89   642     0  3.2
 13  2264 I5  1696  1794 I6  1336  1386 I5   943  5895 16631  8.1  7.5  1.13  0.10   8.11   2.23   5.24   5.94  83  4774     1  3.5
 1995
  1   378 I5   165   880 I6  1133   261 I5    74  1274 10108  7.0  6.4  0.82  0.06   0.07  -5.24  -2.61  -1.76  91   648     0  1.5
  2  1085 I5   617  1829 I6  2205   611 I5   235  2749 13015  6.8  6.0  0.67  0.09   1.29  -4.55  -1.63  -0.62  75   559     0  2.9
  3  1787 I5   766  2047 I6  2770  1096 I5   382  5167 16268  7.3  6.6  0.67  0.12   2.38  -4.13  -0.50   0.43  75   595     0  2.6
  4  3743 I5  1767  3537 I6  3522  1920 I5   428  7989 19491  6.7  5.7  0.89  0.14  10.96   1.78   6.37   7.73  76   359     0  3.4
  5  4966 I5  1822  4200 I6  3614  2564 I5   548 10330 22340  7.1  5.8  1.21  0.14  15.25   6.24  10.99  11.94  73   235     0  3.3
  6  4424 I5  1904  2834 I6  3237  2710 I5   438 11433 23899  8.3  7.2  1.67  0.14  16.69   9.05  12.77  13.29  79   164     1  3.4
  7  3533 I5  1722  1808 I6  3235  2468 I5   423 10841 22986  8.9  8.5  2.04  0.12  16.91  10.67  13.67  14.27  86   141     0  3.5
  8  3291 I5  1528  2271 I6  2886  2084 I5   401  8809 20318  8.2  7.7  1.75  0.09  16.06   9.18  12.50  13.42  85   177     0  3.3
  9  2564 I5  1110  2569 I6  2708  1442 I5   366  6118 17217  7.7  7.0  2.00  0.06  15.40   8.65  11.96  13.05  90   189     0  3.1
 10   973 I5   384   951 I6  1798   733 I5   198  3497 13999  8.6  8.2  0.98  0.04   8.23   4.14   6.06   6.84  94   377     0  4.0
 11   549 I5   247   672 I6  1161   433 I5   138  1634 10884  8.1  7.6  0.76  0.04   2.11  -1.71   0.42   0.97  70   544     0  3.8
 12   245 I5   123   549 I7  1075   183 I5    46   893  9043  8.1  7.6  0.77  0.04  -1.32  -6.16  -3.49  -2.88  86   684     0  2.7
 13  2295 I5  1672  2012 I6  1152  1375 I5   945  5895 16631  7.7  7.0  1.19  0.09   8.67   2.33   5.54   6.39  82  4672     1  3.1
 1996
  1   554 I5   260  1972 I6  1494   250 I5    83  1266 10088  4.2  3.6  0.55  0.06  -5.19 -11.68  -8.61  -7.24  75   830     0  2.5
  2   986 I5   680  1479 I6  2059   565 I5   194  2769 13045  7.6  7.0  0.77  0.09   1.22  -4.71  -1.79  -0.85  88   582     0  3.1
  3  2337 I5  1246  3128 I6  3130  1121 I5   328  5236 16350  5.9  5.1  0.79  0.12   3.80  -3.04   0.65   1.74  67   556     0  3.3
  4  3443 I5  1278  2778 I6  2848  2069 I5   476  8056 19565  7.4  6.3  0.74  0.14   9.06   0.47   4.93   6.12  70   407     0  3.4
  5  5678 I5  1838  5778 I6  4123  2426 I5   766 10374 22394  5.3  4.2  0.95  0.14  14.41   3.95   9.62  10.79  66   284     0  2.8
  6  4088 I5  1704  2245 I6  2717  2725 I5   494 11439 23910  8.3  7.8  1.36  0.14  15.51   9.03  12.22  12.68  76   182     0  4.1
  7  4708 J6  1862  3458 J7  3594  2697 J6   478 10806 22938  7.9  6.8  1.74  0.12  18.52  10.06  14.12  14.92  80   126     1  3.1
  8  3062 J5  1537  1836 J6  2652  2070 J5   309  8748 20243  9.3  8.0  1.83  0.09  15.15  10.02  12.42  12.99  91   178     0  3.7
  9  2712 J5  1260  3064 J6  3132  1386 J5   395  6049 17142  7.1  6.4  1.28  0.06  12.66   5.78   9.17  10.43  85   273     0  4.1
 10   893 J5   372   630 J6  1281   726 J5   225  3440 13920  9.1  8.6  0.97  0.04   6.87   2.10   4.46   5.22  90   429     0  3.9
 11   656 J5   285  1850 J6  1882   348 J5   152  1601 10817  5.9  5.4  0.71  0.04   2.13  -2.84  -0.33   0.59  74   560     0  4.3
 12   330 J5   101  1081 J7  1158   214 J5    62   889  9029  6.6  5.7  0.58  0.04  -0.83  -5.33  -3.02  -2.49  70   664     0  4.8
 13  2454 I5  1797  2442 I6  1354  1383 I5   975  5889 16620  7.0  6.2  1.02  0.09   7.78   1.15   4.49   5.41  78  5071     1  3.6
 1997
  1   378 J5   212   780 J7  1355   262 J5    85  1290 10152  7.7  7.1  0.73  0.06  -0.75  -6.00  -3.21  -2.69  79   673     0  4.7
  2   673 J5   297   148 J6   316   635 J5   226  2785 13074  9.6  9.3  0.85  0.09   3.36   0.17   1.87   2.27  94   464     0  4.0
  3  1840 J5   852  1755 J6  2382  1190 J5   342  5216 16331  7.6  7.0  0.60  0.12   2.31  -3.03  -0.26   0.58  73   579     0  4.5
  4  3719 J5  1579  3763 J6  3570  1873 J5   601  8038 19549  6.8  6.0  0.83  0.14   9.37   0.99   5.19   6.42  80   394     0  4.1
  5  5440 J5  1701  4636 J6  3584  2753 J5   740 10363 22385  6.2  5.3  1.25  0.14  15.52   5.62  10.86  11.91  69   241     0  3.7
  6  4395 J5  2086  3117 J6  3722  2515 J5   454 11438 23912  8.0  7.2  1.60  0.14  17.70   9.46  13.66  14.24  76   146     3  4.0
  7  3826 J5  1681  1940 J6  2852  2684 J5   500 10816 22951  9.0  8.3  2.02  0.12  17.49  11.17  14.27  14.83  85   124     0  4.2
  8  3611 J5  1496  2799 J6  2835  2128 J5   444  8765 20263  8.0  7.3  2.24  0.09  18.49  11.13  14.52  15.50  84   109     0  3.1
  9  2411 J5  1169  2431 J6  2857  1366 J5   384  6069 17158  8.0  7.3  1.59  0.06  15.07   7.89  11.49  12.64  89   206     0  3.5
 10  1220 J5   760  1559 J6  2269   732 J5   196  3457 13940  8.1  7.7  0.96  0.04   7.77   2.55   5.28   6.23  84   408     0  3.9
 11   551 J5   211   818 J6  1122   415 J5   142  1611 10836  8.7  8.0  0.92  0.04   5.24   0.54   2.78   3.38  94   463     0  3.4
 12   229 J5    82   215 J7   452   205 J5    50   890  9031  9.4  8.7  0.82  0.04   4.17   0.92   2.52   2.76  93   489     0  5.0
 13  2358 J5  1793  1997 J6  1411  1396 J5   965  5895 16632  8.1  7.4  1.20  0.09   9.65   3.45   6.58   7.34  83  4296     3  4.0
 1998
  1   368 J5   112   610 J7   897   289 J5    72  1283 10128  7.5  6.8  0.75  0.06  -1.61  -6.55  -4.06  -3.17  81   695     0  3.1
  2   932 J5   377  1111 J6  1403   665 J5   210  2768 13047  8.0  6.8  0.83  0.09   5.72   0.10   2.95   4.04  82   432     0  4.2
  3  2171 J8   884  2874 J8  2763  1107 J8   305  5193 16301  6.1  5.3  0.78  0.12   5.28  -1.88   1.46   2.86  80   516     0  2.9
  4  3198 J8  1200  2099 J8  2504  2184 J8   483  8015 19520  8.8  7.5  0.82  0.14   8.87   2.47   5.71   6.63  81   380     0  3.8
  5  4457 J8  1888  3211 J8  3492  2647 J8   562 10348 22361  8.0  6.6  1.34  0.14  14.10   5.96  10.15  10.99  76   257     0  3.0
  6  4487 J8  2016  3314 J8  3759  2581 J8   499 11436 23906  7.3  6.3  1.92  0.14  17.94   8.58  13.47  14.21  76   152     0  2.6
  7  4102 J8  1935  2818 J8  4049  2513 J8   556 10828 22975  7.7  7.2  2.13  0.12  18.11  10.19  14.10  14.86  84   130     0  3.1
  8  3218 J8  1499  1959 J8  2607  2198 J8   400  8785 20287  8.5  7.7  1.91  0.09  15.61   9.16  12.37  13.10  87   184     0  3.8
  9  1925 J8   853  1166 J8  2351  1456 J8   382  6092 17185  8.8  8.5  1.55  0.06  12.44   6.89   9.54  10.38  90   260     0  3.3
 10  1084 J8   650  1166 J8  2065   743 J8   198  3476 13967  8.7  8.4  1.22  0.04   8.85   3.21   6.07   7.06  88   381     0  3.2
 11   614 J8   327  1324 J8  1680   375 J8   111  1622 10860  7.2  6.6  0.75  0.04   3.25  -1.82   0.61   1.55  89   528     0  2.0
 12   272 J8    99   601 J8  1012   209 J8    39   892  9034  7.4  7.1  0.68  0.04  -0.07  -4.38  -2.29  -1.83  84   637     0  3.3
 13  2236 J7  1609  1854 J8   996  1414 J7   963  5895 16631  7.8  7.1  1.22  0.09   9.04   2.66   5.84   6.72  83  4552     0  3.2
 1999
