703855 KAKE SEAPLANE BASE     AK  -9  N56 58  W133 57     0  1013
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   438 J8    47   943 J8   293   285 J8    17  1489 10535  7.2  6.6  0.97  0.07   1.82  -2.30  -0.13   0.36  79   576     0  3.1
  2  1088 J8   196  1855 J8   738   586 J8    42  3003 13258  6.7  5.9  0.93  0.10   2.85  -1.71   0.68   1.47  78   502     0  3.0
  3  2174 J8   286  2766 J8   833  1083 J8    65  5423 16333  6.6  5.9  0.86  0.12   5.08  -0.54   2.35   3.26  74   498     0  3.5
  4  3746 J8   483  4051 J8  1156  1701 J8   164  8181 19362  6.1  5.1  1.00  0.14   8.79   1.37   5.23   6.31  71   398     0  3.0
  5  4866 J8   396  4608 J8   908  2198 J8   170 10426 21998  6.2  5.4  1.30  0.15  12.40   4.23   8.61   9.53  71   311     0  2.7
  6  4983 J8   685  4292 J8  1356  2379 J8   201 11457 23394  6.6  6.0  1.70  0.14  15.15   7.82  11.71  12.48  74   206     0  2.3
  7  4557 J8   578  3891 J8  1196  2250 J8   175 10868 22526  7.1  6.4  2.17  0.12  16.58   9.72  13.28  13.97  77   161     0  2.2
  8  3757 J8   563  3693 J8  1269  1784 J8   136  8899 20040  6.8  6.3  2.19  0.09  16.71   9.61  13.18  14.10  80   160     0  2.2
  9  2376 J8   327  2636 J8   955  1260 J8    91  6277 17125  7.3  6.8  1.85  0.07  13.14   7.26  10.29  11.22  81   244     0  2.7
 10  1319 J8   150  1904 J8   627   752 J8    49  3695 14094  7.4  6.8  1.36  0.05   8.92   4.08   6.57   7.36  82   367     0  3.3
 11   674 J8    90  1449 J8   590   406 J8    33  1833 11194  7.1  6.5  1.04  0.05   4.91   0.66   2.89   3.48  81   466     0  3.6
 12   362 J8    43   937 J8   405   243 J8    14  1086  9536  7.2  6.8  0.96  0.05   3.20  -0.64   1.41   1.82  80   529     0  3.5
 13  2528 J8   190  2752 J8   492  1244 J8    68  6053 16616  6.9  6.2  1.36  0.09   9.13   3.30   6.34   7.11  77  4415     0  2.9
 1991
  1   425 J8   225   883 J8  1171   283 J8    81  1482 10521  6.8  6.3  0.98  0.06   1.53  -2.77  -0.49   0.27  84   587     0  2.8
  2   778 J8   522   929 J8  1416   517 J8   157  2980 13224  8.7  7.9  1.06  0.08   4.37   0.87   2.71   3.40  92   440     0  3.6
  3  2243 J8   988  3142 J8  2617  1028 J8   324  5382 16286  6.0  5.3  0.88  0.11   5.28  -1.97   1.94   3.29  83   517     0  3.8
  4  3044 J8  1430  2730 J8  2782  1688 J8   425  8141 19315  7.7  6.7  1.08  0.13   9.55   1.54   5.87   6.93  89   383     0  3.4
  5  4541 J8  1886  4226 J8  3619  2106 J8   512 10400 21963  6.6  5.7  1.30  0.14  13.76   2.85   8.86  10.20  85   311     0  2.7
  6  5365 J8  2055  5197 J8  3835  2240 J8   524 11454 23389  5.5  5.1  1.66  0.13  17.20   7.17  12.99  14.15  81   185     1  2.8
  7  3875 J8  1662  2413 J8  2197  2427 J8   421 10889 22557  8.9  7.7  1.99  0.11  16.91   9.62  13.51  14.30  83   157     0  2.1
  8  2725 J8  1397  1562 J8  2306  1824 J8   382  8936 20083  8.9  8.4  2.26  0.12  15.96   6.62  11.70  12.95  87   218     0  3.1
  9  1730 J8   770  1090 J8  1569  1257 J8   341  6318 17172  8.7  8.5  2.05  0.13  13.42   8.31  10.90  11.68  89   224     0  2.4
