703860 PETERSBURG             AK  -9  N56 48  W132 57    33  1009
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   413 J8    51   675 J8   297   299 J8    18  1515 10582  7.9  7.2  0.88  0.11   1.04  -3.47  -1.15  -0.51  83   606     0  1.5
  2   986 J8   146  1243 J8   517   639 J8    34  3031 13282  7.5  6.6  0.85  0.14   3.08  -1.79   0.64   1.41  82   500     0  1.7
  3  1936 J8   223  1774 J8   598  1221 J8    67  5449 16334  7.4  6.5  0.79  0.18   5.11  -0.97   2.05   3.07  78   504     0  2.1
  4  3461 J8   366  2934 J8   792  1936 J8   111  8199 19342  6.9  5.7  0.92  0.21   8.80   1.22   5.15   6.24  75   400     0  2.1
  5  4380 J8   463  3228 J8   900  2489 J8   142 10435 21955  6.9  5.9  1.21  0.22  12.67   4.25   8.68   9.62  72   306     0  2.1
  6  4570 J8   553  3003 J8   999  2722 J8   129 11460 23333  7.4  6.6  1.60  0.22  15.25   8.00  11.81  12.52  76   202     1  1.8
  7  3941 J8   609  2491 J8  1165  2476 J8   110 10874 22477  7.9  7.2  2.01  0.18  16.75   9.94  13.38  14.04  81   155     0  1.5
  8  3485 J8   493  2771 J8  1021  1988 J8   108  8914 20013  7.4  6.7  2.03  0.14  16.19   9.19  12.63  13.51  83   175     0  1.4
  9  2170 J8   279  1765 J8   708  1392 J8    60  6300 17120  8.2  7.5  1.70  0.10  12.90   6.93   9.84  10.67  85   253     0  1.5
 10  1160 J8   111  1186 J8   453   794 J8    43  3723 14110  8.4  7.8  1.24  0.07   8.67   3.74   6.21   6.98  85   376     0  1.8
 11   561 J8    70   774 J8   356   410 J8    20  1860 11234  8.2  7.6  0.95  0.07   4.14   0.11   2.13   2.56  85   486     0  1.7
 12   330 J8    46   603 J8   342   249 J8    15  1110  9593  7.8  7.3  0.87  0.07   2.42  -1.75   0.43   0.78  84   558     0  1.8
 13  2283 J8   139  1871 J8   320  1385 J8    41  6072 16614  7.7  6.9  1.25  0.14   8.92   2.95   5.98   6.74  81  4519     1  1.8
 1991
  1   431 J8   180   776 J8   986   307 J8    92  1508 10569  6.5  5.9  0.90  0.10  -0.92  -5.90  -3.90  -3.06  87   674     0  2.2
  2   747 J8   472   590 J8  1100   569 J8   153  3008 13248  9.0  8.4  1.00  0.13   4.40   0.51   2.38   2.97  88   445     0  2.8
  3  1941 J8   918  2170 J8  2273  1098 J8   322  5408 16286  6.7  6.2  0.79  0.17   4.32  -1.75   1.06   2.10  78   528     0  2.6
  4  2996 J8  1564  2153 J8  2522  1833 J8   490  8160 19296  8.0  6.7  0.98  0.20   9.28   1.58   5.60   6.71  78   387     0  2.9
  5  3875 J8  1874  2803 J8  3423  2219 J8   375 10408 21923  7.3  6.6  1.25  0.21  13.72   4.11   9.48  10.59  70   292     0  3.1
  6  4905 J8  2064  3574 J8  3396  2699 J8   528 11456 23327  6.8  6.2  1.59  0.21  16.97   7.84  12.87  13.79  76   181     3  2.8
  7  3189 J8  1398  1316 J8  2186  2436 J8   374 10894 22504  9.0  8.5  1.86  0.18  16.01   8.94  12.79  13.51  85   182     0  2.1
  8  2958 J8  1300  1720 J8  2360  2029 J8   448  8951 20056  8.2  7.7  2.09  0.17  16.64   9.19  13.08  14.03  85   168     0  2.7
  9  1773 J8   715   772 J8  1219  1434 J8   392  6341 17163  9.0  8.4  1.79  0.16  14.13   9.00  11.52  12.20  88   203     0  2.3
 10  1040 J8   406   890 J8  1219   771 J8   161  3758 14156  7.3  7.1  1.31  0.16   8.51   3.63   5.89   6.62  81   380     0  2.9
 11   434 J8   207   198 J8   382   391 J8   147  1879 11273  9.4  9.0  1.13  0.17   6.33   3.25   4.66   4.99  84   406     0  3.3
 12   265 J8    80    69 J8   172   255 J8    65  1112  9599  9.2  8.9  1.05  0.20   4.52   1.81   3.16   3.36  85   470     0  3.4
 13  2046 J8  1529  1419 J8  1082  1337 J8   888  6074 16617  8.0  7.5  1.31  0.17   9.49   3.52   6.55   7.32  82  4316     3  2.8
 1992
  1   390 J8   172   250 J8   523   340 J8    92  1500 10547  9.3  8.6  0.99  0.26   5.33   2.16   3.73   4.37  83   452     0  3.2
