703870 WRANGELL               AK  -9  N56 29  W132 22    13  1011
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   457 J8    48   874 J8   327   310 J8    18  1564 10670  7.4  7.2  0.95  0.08   1.50  -2.35  -0.41  -0.13  79   581     0  3.4
  2  1036 J8   137  1457 J8   561   628 J8    32  3084 13327  7.2  6.8  0.92  0.10   3.52  -0.43   1.53   1.99  77   474     0  3.3
  3  1979 J8   245  1972 J8   658  1185 J8    57  5498 16337  7.4  6.9  0.87  0.13   5.59   0.81   3.15   3.80  74   469     0  3.5
  4  3302 J8   356  2832 J8   848  1853 J8   142  8234 19304  7.0  6.5  0.99  0.15   9.23   2.94   6.01   6.82  74   367     0  3.1
  5  4363 J8   436  3501 J8   892  2343 J8   137 10451 21875  6.9  6.3  1.31  0.15  13.23   5.97   9.54  10.27  73   271     0  2.7
  6  4399 J8   516  3051 J8  1000  2551 J8   161 11465 23226  7.4  7.0  1.71  0.15  16.04   9.16  12.50  13.13  77   173     1  2.3
  7  3977 J8   567  2688 J8  1217  2383 J8   185 10885 22385  7.8  7.4  2.14  0.12  16.94  10.91  13.75  14.27  82   137     0  1.9
  8  3522 J8   460  2986 J8   997  1920 J8   101  8943 19963  7.5  6.9  2.15  0.10  16.78  10.72  13.54  14.22  82   143     1  2.0
  9  2160 J8   280  1796 J8   733  1378 J8    71  6345 17110  8.2  7.8  1.83  0.07  13.43   8.46  10.76  11.38  85   221     0  2.5
 10  1239 J8   155  1382 J8   524   810 J8    33  3776 14140  8.2  7.9  1.35  0.05   9.18   5.10   7.06   7.57  82   347     0  3.3
 11   614 J8   101   972 J8   569   426 J8    29  1910 11309  7.9  7.7  1.04  0.05   5.36   1.62   3.49   3.83  80   445     0  3.6
 12   356 J8    46   702 J8   371   261 J8    14  1156  9697  7.7  7.4  0.95  0.05   3.41  -0.35   1.52   1.76  78   521     0  3.8
 13  2284 J8   149  2018 J8   387  1337 J8    52  6109 16612  7.5  7.1  1.35  0.10   9.52   4.38   6.87   7.41  79  4149     2  3.0
 1991
  1   473 J8   216  1139 J8  1544   298 J8    96  1557 10654  5.9  5.9  1.01  0.06  -1.72  -5.28  -3.37  -3.05  83   677     0  3.5
  2   933 J8   612   957 J8  1778   634 J8   185  3061 13292  8.5  8.1  1.10  0.09   4.86   0.78   2.68   3.34  89   434     0  3.6
  3  1951 J8   924  2205 J8  2673  1103 J8   356  5458 16290  7.0  6.7  0.90  0.11   4.23  -1.06   1.45   2.24  80   519     0  3.3
  4  2679 J8  1258  1610 J8  2347  1842 J8   410  8195 19261  8.3  8.1  1.03  0.14   9.79   2.31   5.92   6.91  81   368     0  3.3
  5  4189 J8  1787  3033 J8  3274  2396 J8   516 10425 21843  7.4  6.7  1.40  0.14  13.85   5.64   9.81  10.67  74   266     0  3.1
  6  4694 J8  2058  3677 J8  3536  2414 J8   388 11461 23221  6.8  6.5  1.77  0.14  16.81   7.88  12.41  13.22  78   181     1  3.0
  7  3506 J8  1585  1766 J8  2501  2425 J8   439 10905 22414  8.9  8.3  2.14  0.12  16.86  10.05  13.54  14.09  85   151     0  2.3
  8  3035 J8  1455  1880 J8  2608  2015 J8   384  8979 20002  8.4  7.7  2.26  0.13  17.15   9.93  13.26  14.13  86   148     0  3.0
  9  1579 J8   538   548 J8  1044  1354 J8   288  6386 17147  9.2  9.0  2.02  0.13  14.28   9.41  11.47  12.13  93   195     0  2.7
 10  1097 J8   453  1199 J8  1779   752 J8   203  3810 14185  7.1  7.0  1.57  0.14   7.96   3.38   5.63   6.21  86   392     0  3.5
 11   440 J8   180   111 J8   229   415 J8   134  1930 11346  9.6  9.3  1.38  0.16   6.20   2.69   4.30   4.79  93   417     0  3.8
 12   261 J8    45    50 J8    92   254 J8    36  1158  9702  9.0  8.7  1.21  0.18   4.24   1.18   2.67   2.96  92   484     0  4.3
 13  2070 J8  1529  1515 J8  1098  1325 J8   862  6110 16613  8.0  7.7  1.48  0.13   9.54   3.91   6.65   7.30  85  4233     1  3.3
 1992
  1   353 J8   159    92 J8   241   333 J8   123  1549 10638  9.1  9.0  1.15  0.22   4.84   1.97   3.41   3.87  93   463     0  4.3
  2   917 J8   382   705 J8   945   715 J8   226  3081 13318  7.6  6.8  1.18  0.27   4.29  -0.10   1.96   2.69  89   471     0  4.7
  3  1850 J8   850  1304 J8  1790  1297 J8   358  5525 16364  7.8  7.4  1.14  0.31   6.83   1.24   3.89   4.66  85   443     0  3.5
  4  2905 J8   761  1079 J8  1209  2329 J8   442  8258 19328  8.0  7.6  1.03  0.32   9.96   2.78   6.26   7.25  79   359     0  3.8
  5  3962 J8  1703  2175 J8  2634  2641 J8   517 10466 21891  7.3  6.6  1.28  0.31  12.95   4.77   9.04   9.84  79   294     0  3.8
  6  4486 J8  1855  2483 J8  2850  2900 J8   548 11467 23227  7.1  6.9  1.83  0.29  18.27   8.43  13.48  14.48  76   153     4  2.9
  7  3810 J8  1577  1875 J8  2323  2641 J8   486 10872 22367  8.3  7.9  2.15  0.25  17.49  10.73  14.15  14.76  83   131     0  2.5
  8  3645 J8  1513  2685 J8  2657  2152 J8   548  8921 19945  7.6  6.4  2.05  0.20  17.70   9.60  13.69  14.66  81   145     0  2.7
  9  1846 J8   712   789 J8  1184  1493 J8   423  6320 17088  8.9  8.5  1.58  0.16  11.45   6.97   9.00   9.68  86   274     0  3.3
 10  1104 J8   565   915 J8  1450   794 J8   196  3753 14114  8.2  7.8  1.27  0.13   8.19   3.27   5.52   6.28  89   391     0  3.1
 11   493 J8   191   469 J8   673   403 J8   113  1897 11287  7.8  7.6  1.19  0.12   6.26   2.48   4.38   4.76  87   419     0  3.4
 12   312 J8   138   490 J8   834   243 J8    63  1154  9690  6.1  5.7  0.97  0.11   0.33  -3.86  -1.69  -1.52  79   623     0  4.5
 13  2140 J8  1551  1255 J8   853  1495 J8   999  6105 16605  7.8  7.3  1.40  0.22   9.88   4.02   6.92   7.62  84  4164     4  3.5
 1993
  1   426 J8   185   797 J8  1159   297 J8    67  1574 10693  6.0  5.9  0.87  0.13  -0.03  -5.17  -2.70  -2.61  82   649     0  4.4
  2  1113 J8   669  1682 J8  2083   617 J8   211  3097 13351  5.8  5.6  1.03  0.15   3.69  -1.42   1.13   1.53  76   482     0  3.0
  3  2117 J8  1128  2082 J8  2164  1224 J8   316  5505 16346  6.3  5.5  0.78  0.16   6.51   0.13   3.18   4.04  74   465     0  2.9
  4  2960 J8  1255  2045 J8  2280  1921 J8   395  8241 19315  7.7  6.8  1.06  0.18  11.47   4.17   7.45   8.42  79   315     0  2.4
  5  4668 J8  1982  4042 J8  3531  2332 J8   436 10456 21885  5.9  5.3  1.59  0.18  16.05   7.45  11.41  12.28  75   204     0  2.3
  6  4252 J8  1489  2317 J8  2632  2857 J8   517 11466 23229  8.2  7.9  1.64  0.17  17.29   9.53  13.00  13.74  75   148     0  2.1
  7  4403 J8  1659  3019 J8  2585  2588 J8   400 10882 22377  7.5  7.1  2.01  0.15  19.55  11.06  14.89  15.69  77    96     2  2.1
  8  3683 J8  1587  3130 J8  3040  1988 J8   422  8937 19953  7.1  6.8  2.15  0.12  19.17  10.28  14.34  15.40  77   112     0  2.0
  9  2559 J8  1223  2583 J8  2634  1339 J8   302  6338 17094  7.0  6.7  1.92  0.08  15.61   7.67  11.06  12.23  84   201     0  2.0
 10  1238 J8   725  1310 J8  1957   786 J8   253  3770 14131  8.4  8.1  1.57  0.06  11.14   6.07   8.35   9.09  88   301     0  2.4
 11   523 J8   269   603 J8  1312   406 J8   119  1907 11302  8.4  8.2  0.99  0.05   5.81   2.02   3.98   4.37  83   433     0  3.1
 12   318 J8   111   390 J8   586   263 J8    45  1155  9693  8.8  8.5  1.07  0.06   5.40   2.21   3.87   4.21  78   450     0  2.2
 13  2355 J8  1634  2000 J8  1108  1385 J8   931  6111 16614  7.3  6.9  1.39  0.12  10.97   4.50   7.50   8.20  79  3855     2  2.6
 1994
  1   368 J8   205   363 J8   670   300 J8   107  1566 10672  9.1  8.9  1.09  0.08   1.75  -1.44   0.12   0.42  81   563     0  1.3
  2   898 J8   447  1024 J8  1487   619 J8   180  3080 13320  7.9  7.7  0.74  0.10  -1.81  -5.53  -3.63  -3.31  62   616     0  1.7
  3  1727 J8   792  1336 J8  1474  1160 J8   253  5483 16321  8.6  7.9  0.94  0.13   6.37   2.11   4.19   4.76  78   437     0  2.2
  4  3640 J8  1465  3489 J8  2992  1810 J8   444  8219 19286  7.2  6.1  1.02  0.15  10.13   3.51   6.77   7.60  72   345     0  2.0
