703950 KETCHIKAN INTL AP      AK  -9  N55 22  W131 43    23  1010
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   465 J7    66   660 J8   341   341 J7    19  1738 10964  7.8  7.6  1.07  0.12   3.75  -0.73   1.66   2.20  85   521     0  3.8
  2   962 J7   192  1004 J8   593   659 J7    34  3273 13479  7.5  7.3  1.03  0.16   4.84  -0.13   2.45   3.22  83   451     0  3.9
  3  1786 J7   270  1280 J8   618  1253 J7    65  5671 16348  7.8  7.4  0.99  0.20   5.84   0.14   3.09   3.98  80   475     0  4.0
  4  3061 J7   301  2109 J8   620  1937 J7    97  8355 19178  7.3  6.9  1.12  0.24   9.40   2.59   6.06   7.05  80   370     0  3.9
  5  4097 J7   509  2621 J8   894  2514 J7   135 10507 21609  7.2  6.6  1.39  0.25  13.06   5.76   9.58  10.41  77   277     0  3.7
  6  4230 J7   539  2419 J8   875  2704 J7   128 11483 22865  7.6  7.2  1.82  0.24  15.79   9.32  12.61  13.26  79   175     1  3.7
  7  3826 J7   573  2250 J8  1051  2445 J7   130 10923 22078  7.8  7.4  2.23  0.20  17.33  11.41  14.37  14.96  83   125     3  3.5
  8  3496 J7   419  2650 J8   837  2015 J7   115  9041 19793  7.4  6.7  2.25  0.15  17.61  11.55  14.55  15.36  84   119     3  3.4
  9  2214 J7   304  1813 J8   757  1399 J7    70  6501 17076  7.8  7.4  1.96  0.11  14.32   8.79  11.58  12.44  87   203     0  3.5
 10  1184 J7   132  1099 J8   436   822 J7    32  3961 14242  8.2  7.9  1.52  0.08  10.09   5.06   7.70   8.49  87   333     0  3.7
 11   595 J7    94   772 J8   464   432 J7    23  2090 11558  8.1  8.0  1.19  0.07   6.18   1.80   4.09   4.64  86   430     0  3.8
 12   362 J7    55   556 J8   400   277 J7    16  1320 10050  8.0  7.8  1.07  0.08   4.12  -0.08   2.18   2.62  85   506     0  3.8
 13  2190 J7   163  1603 J8   368  1400 J7    45  6238 16603  7.7  7.4  1.47  0.16  10.19   4.62   7.49   8.22  83  3986     7  3.7
 1991
  1   543 J5   247  1054 J7  1295   351 J5   108  1732 10949  6.2  5.9  1.04  0.11   1.86  -4.33  -0.99  -0.01  84   607     0  3.5
  2   866 J5   536   548 J7  1141   681 J5   179  3250 13448  8.4  8.2  1.28  0.15   6.39   2.16   4.21   4.59  87   394     0  4.9
  3  1981 J5   871  1792 J7  2116  1259 J5   327  5630 16309  6.7  6.4  0.96  0.19   4.76  -0.83   2.17   2.97  78   507     0  3.7
  4  2765 J5  1455  1535 J7  2343  1917 J5   570  8316 19136  8.2  7.9  1.16  0.23   8.99   3.10   5.95   6.63  83   369     0  4.4
  5  3819 J5  1779  2255 J6  2675  2420 J5   446 10481 21577  7.6  7.1  1.50  0.24  12.28   6.19   9.40  10.03  81   282     0  4.2
  6  4296 J5  1597  2429 J6  2431  2736 J5   441 11479 22861  7.9  7.6  1.83  0.23  15.19   9.47  12.18  12.70  81   181     1  3.8
  7  3299 J5  1418  1184 J6  2016  2586 J5   532 10942 22107  9.1  8.5  2.17  0.20  16.06  10.60  13.39  13.85  86   155     0  3.1
  8  2982 J5  1483  1609 J7  2278  2047 J5   440  9076 19834  8.1  7.8  2.40  0.18  16.67  11.87  14.09  14.61  85   129     3  3.7
  9  1714 J5   698   568 J7   865  1440 J5   423  6541 17119  9.0  9.0  2.27  0.17  14.09   9.23  11.72  12.44  90   200     0  3.0
 10  1084 J5   549   995 J7  1649   772 J5   214  3995 14288  7.4  7.2  1.67  0.17   8.84   3.55   6.43   7.27  82   376     0  3.4
 11   408 J5   109    64 J7   175   395 J5    96  2109 11593  9.6  9.4  1.54  0.18   7.50   4.19   5.92   6.19  89   375     0  3.9
 12   309 J5    86    83 J7   259   295 J5    67  1323 10054  9.4  9.2  1.38  0.21   6.17   2.60   4.48   4.78  90   432     0  5.1
 13  2005 J5  1399  1176 J7   779  1408 J5   914  6240 16606  8.1  7.9  1.60  0.19   9.90   4.82   7.41   8.00  85  4005     3  3.9
 1992
  1   377 J5   110    34 J7    81   370 J5   100  1723 10933  9.6  9.4  1.32  0.27   6.12   2.71   4.43   4.78  90   431     0  5.4
  2   808 J5   288   210 J7   430   746 J5   226  3270 13468  8.7  8.4  1.23  0.33   6.27   1.19   3.83   4.51  84   423     0  4.8
  3  1659 J5   693   515 J7   929  1432 J5   393  5697 16372  8.2  7.9  1.27  0.39   7.15   2.08   4.90   5.59  83   425     0  5.0
  4  2956 J5  1085  1230 J7  1636  2273 J5   538  8378 19202  7.9  7.2  1.23  0.41   9.43   3.03   6.31   7.27  79   363     0  4.6
  5  3944 J5  1641  1777 J6  2137  2831 J5   667 10522 21626  7.7  7.0  1.46  0.40  12.58   6.23   9.49  10.16  74   277     0  5.1
  6  4472 J5  1803  2148 J6  2213  3040 J5   606 11484 22865  7.4  6.9  1.96  0.38  16.33   9.72  13.24  13.90  79   161     2  4.9
  7  4038 J5  1738  2249 J6  2423  2619 J5   534 10911 22064  7.6  7.2  2.28  0.32  17.02  11.92  14.39  14.90  83   120     0  4.6
  8  3436 J5  1369  1980 J7  2055  2306 J5   578  9019 19770  7.4  6.7  2.21  0.26  17.48  11.59  14.51  15.26  81   118     0  4.3
  9  1823 J5   861   736 J7  1055  1470 J5   467  6476 17052  8.7  8.3  1.88  0.20  12.10   6.86   9.55  10.29  88   266     0  4.5
 10  1075 J5   561   668 J7  1157   831 J5   267  3938 14213  7.9  7.6  1.51  0.16   9.08   3.57   6.38   7.31  88   372     0  4.1
 11   480 J5   185   250 J7   446   426 J5   124  2076 11538  8.7  8.6  1.41  0.14   7.54   3.26   5.46   5.96  87   388     0  4.7
 12   359 J5   136   326 J7   597   306 J5    80  1318 10044  7.5  7.2  1.06  0.14   2.37  -1.99   0.26   0.69  81   562     0  4.6
 13  2119 J5  1564  1010 J7   825  1554 J5  1022  6234 16596  8.1  7.7  1.57  0.28  10.29   5.01   7.73   8.39  83  3906     2  4.7
 1993
  1   497 J5   211   867 J7  1136   339 J5    78  1749 10986  6.7  6.5  0.89  0.17   2.84  -2.32   0.44   1.17  81   560     0  5.3
  2  1131 J5   700  1521 J7  1929   650 J5   189  3286 13503  5.9  5.8  1.11  0.20   6.61   0.86   3.70   4.76  74   409     0  5.3
  3  1915 J5  1085  1505 J7  2158  1248 J5   286  5678 16362  7.0  6.8  0.92  0.24   6.79  -0.17   3.35   4.56  79   466     0  4.7
  4  2530 J5  1148  1077 J7  1702  1951 J5   389  8362 19183  8.6  8.1  1.26  0.27  10.06   3.96   6.99   7.82  85   340     0  4.7
  5  4171 J5  1916  2445 J6  2887  2637 J5   609 10512 21617  7.1  6.6  1.65  0.28  14.92   8.45  11.48  12.10  79   206     0  5.2
  6  4084 J5  1398  1869 J6  1932  2870 J5   498 11484 22869  7.8  7.6  1.80  0.27  16.37   9.45  12.89  13.57  78   163     0  4.5
  7  4181 J5  1864  2533 J6  2775  2528 J5   547 10920 22074  7.3  6.9  2.16  0.22  18.65  12.05  15.38  16.06  79    93     0  4.6
  8  3856 J5  1749  3163 J7  3139  2044 J5   378  9035 19786  6.6  6.1  2.14  0.17  19.30  12.85  15.87  16.73  77    79     9  4.7
  9  2876 J5  1361  3137 J7  2834  1377 J5   345  6495 17067  5.6  5.2  1.90  0.13  16.01  10.06  12.98  13.94  81   160     1  4.6
 10  1319 J5   745  1429 J7  1806   806 J5   233  3955 14235  7.9  7.4  1.79  0.09  11.53   7.39   9.45  10.02  90   275     0  4.8
 11   533 J5   217   517 J7  1010   432 J5   116  2086 11549  8.4  8.3  1.31  0.08   7.08   2.33   4.84   5.44  85   409     0  4.5
 12   296 J5    87   140 J7   281   276 J5    56  1320 10048  9.3  9.0  1.30  0.09   6.59   3.20   5.05   5.49  86   416     0  4.1
 13  2282 J5  1534  1684 J7   979  1430 J5   950  6240 16607  7.4  7.0  1.52  0.18  11.40   5.67   8.54   9.30  81  3575    10  4.7
 1994
