703980 ANNETTE ISLAND AP      AK  -9  N55  3  W131 34    33  1009
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   486 J7    71   670 J8   379   357 J7    22  1789 11043  7.6  7.4  1.08  0.12   4.88   0.22   2.72   3.33  81   489     0  3.9
  2   999 J7   143  1003 J8   440   695 J7    48  3327 13520  7.5  7.2  1.03  0.16   5.90   0.89   3.44   4.23  79   422     0  3.7
  3  1933 J7   179  1498 J8   409  1299 J7    70  5719 16352  7.5  7.1  1.00  0.21   6.56   1.41   4.08   4.83  76   445     0  4.0
  4  3223 J7   249  2259 J8   548  2007 J7   115  8388 19143  7.0  6.5  1.13  0.24   9.94   3.86   6.98   7.81  76   343     0  3.6
  5  4274 J7   513  2870 J8   842  2549 J7   146 10522 21536  6.8  6.3  1.40  0.25  13.41   6.97  10.23  10.94  75   253     0  3.2
  6  4385 J7   516  2655 J8   701  2711 J7   144 11488 22771  7.4  7.0  1.83  0.24  16.05   9.85  12.92  13.53  79   164     3  3.1
  7  4038 J7   544  2584 J8   840  2460 J7   139 10933 21995  7.5  7.0  2.24  0.20  17.53  11.82  14.59  15.16  82   117     3  2.9
  8  3669 J7   396  2941 J8   717  2029 J7    95  9068 19746  7.0  6.3  2.26  0.16  17.96  11.98  14.83  15.63  83   109     5  2.9
  9  2293 J7   304  1969 J8   693  1411 J7    67  6545 17066  7.4  7.0  1.97  0.11  14.76   9.36  12.03  12.90  86   188     0  3.2
 10  1244 J7   125  1214 J8   372   845 J7    38  4013 14271  7.8  7.6  1.53  0.08  10.69   5.87   8.39   9.12  84   312     0  3.7
 11   647 J7    98   849 J8   482   465 J7    33  2141 11626  7.9  7.6  1.20  0.07   7.12   2.52   4.93   5.54  82   405     0  4.0
 12   389 J7    55   585 J8   349   298 J7    13  1368 10142  7.8  7.5  1.08  0.08   5.15   0.79   3.13   3.63  80   476     0  4.2
 13  2298 J7   139  1758 J8   250  1427 J7    52  6275 16601  7.4  7.0  1.48  0.16  10.83   5.46   8.19   8.89  80  3722    12  3.5
 1991
  1   616 I5   276  1389 I6  1408   356 I5   111  1782 11032  5.9  5.3  0.97  0.11   3.01  -2.72   0.36   1.44  76   564     0  3.7
  2   971 I5   635   872 I6  1481   684 I5   212  3303 13486  8.1  7.8  1.20  0.15   7.46   2.66   4.98   5.47  83   371     0  4.8
  3  2098 I5   856  1904 I6  1855  1306 I5   341  5679 16308  6.6  6.1  0.89  0.19   5.59   0.05   2.81   3.76  72   481     0  3.8
  4  3078 I5  1332  1730 I7  1809  2091 I5   445  8350 19102  7.5  6.9  1.11  0.23   9.71   3.12   6.47   7.24  79   357     0  4.0
  5  4274 I5  1860  3172 I7  3085  2385 I5   504 10497 21504  6.6  6.1  1.44  0.24  13.03   6.60   9.92  10.64  76   264     0  4.0
  6  4481 I5  1841  2775 I7  2827  2702 I5   572 11485 22767  7.4  7.1  1.77  0.24  15.49   9.13  12.28  12.87  79   184     3  3.5
  7  3853 I5  1544  2060 I7  2006  2605 I5   471 10953 22022  8.1  7.6  2.09  0.20  16.94  11.13  14.03  14.58  81   135     1  3.2
