704540 ADAK NAS               AK -10  N51 53  W176 39     5  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   657 J8    74   683 J8   293   498 J8    27  2306 11768  8.6  8.3  0.79  0.08   2.35  -1.59   0.53   0.86  74   556     0  6.8
  2  1162 J8   100   933 J8   282   849 J8    51  3870 13910  8.7  8.1  0.77  0.11   2.69  -1.25   0.82   1.32  72   497     0  6.9
  3  1973 J8   177  1297 J8   326  1379 J8    77  6207 16395  8.6  8.1  0.81  0.14   3.27  -0.89   1.24   1.77  74   531     0  6.6
  4  2701 J8   266  1280 J8   326  1987 J8   113  8727 18840  8.9  8.5  0.93  0.16   4.63   0.36   2.45   3.02  71   475     0  6.9
  5  3140 J8   363  1212 J8   512  2359 J8   193 10680 20895  9.1  8.9  1.19  0.17   6.88   2.73   4.72   5.20  75   419     0  5.6
  6  3271 J8   366  1162 J8   444  2490 J8   156 11539 21914  9.3  9.0  1.71  0.16   9.34   4.96   6.94   7.38  77   335     0  5.2
  7  2997 J8   504  1156 J8   619  2228 J8   145 11031 21248  9.3  9.0  2.43  0.14  11.57   7.34   9.28   9.72  81   275     0  4.8
  8  2702 J8   331  1380 J8   437  1891 J8   164  9324 19315  9.0  8.7  2.42  0.10  12.86   8.18  10.38  10.94  82   242     0  5.1
  9  2209 J8   245  1402 J8   522  1544 J8   102  6962 16969  8.7  8.4  1.70  0.08  11.26   6.68   8.95   9.66  79   281     0  6.5
 10  1508 J8   111  1364 J8   375  1023 J8    51  4522 14516  8.2  7.9  1.17  0.06   8.26   3.52   5.95   6.75  76   386     0  6.2
 11   867 J8    84  1054 J8   354   605 J8    27  2655 12230  8.3  7.9  0.94  0.05   5.26   1.09   3.24   3.82  75   455     0  7.1
 12   551 J8    56   774 J8   289   402 J8    24  1859 10989  8.2  8.0  0.80  0.06   2.93  -1.30   1.07   1.48  74   543     0  6.8
 13  1978 J8   136  1141 J8   196  1438 J8    75  6640 16583  8.7  8.4  1.30  0.11   6.78   2.49   4.63   5.16  76  4996     0  6.2
 1991
  1   523 J8   168   258 J8   427   463 J8   101  2299 11757  9.3  9.1  1.00  0.07   2.96  -0.46   1.36   1.65  75   530     0  6.2
  2  1168 J8   423   830 J8   986   898 J8   232  3847 13881  8.7  8.3  0.70  0.10   1.30  -3.67  -1.11  -0.39  63   546     0  5.6
  3  2069 J8   729  1461 J8  1436  1406 J8   317  6168 16357  8.7  8.0  0.93  0.13   4.24  -0.54   1.95   2.56  67   511     0  6.6
  4  3082 J8  1044  1583 J8  1295  2150 J8   356  8691 18802  8.8  8.3  0.84  0.15   4.59  -0.16   2.04   2.71  67   483     0  5.0
  5  3452 J8   917  1238 J8  1055  2654 J8   391 10657 20866  9.1  9.0  1.19  0.16   6.95   2.44   4.54   5.08  73   423     0  4.4
  6  3648 J8  1677  1745 J8  2275  2466 J8   388 11536 21912  9.1  8.6  1.67  0.15   8.85   4.35   6.20   6.63  77   352     0  4.1
  7  2897 J8  1164   868 J8  1359  2326 J8   451 11049 21271  9.7  9.4  2.31  0.13  11.32   7.38   9.13   9.56  80   278     0  2.8
  8  2857 J8  1114  1376 J8  1395  2004 J8   376  9356 19350  9.4  8.9  2.19  0.13  12.86   8.56  10.34  10.80  80   236     0  4.1
  9  2075 J8   750   980 J8  1091  1586 J8   339  7000 17008  9.0  8.9  1.44  0.14  10.50   5.92   8.20   8.94  75   304     0  5.1
 10  1342 J8   493   677 J8   729  1079 J8   262  4555 14553  8.8  8.6  1.21  0.14   8.26   3.55   5.83   6.81  75   385     0  3.5
 11   756 J8   227   563 J8   565   613 J8   140  2675 12261  8.4  8.1  0.97  0.16   5.45   0.49   3.07   3.92  74   461     0  3.5
 12   465 J8   136   287 J8   265   406 J8    92  1862 10992  8.2  8.1  0.82  0.19   2.54  -1.79   0.66   1.18  68   557     0  6.2
 13  2028 J8  1158   989 J8   496  1504 J8   811  6641 16584  8.9  8.6  1.27  0.14   6.65   2.17   4.35   4.96  73  5066     0  4.8
 1992
  1   553 J8   147   189 J8   175   506 J8   120  2290 11743  9.0  8.7  0.73  0.24   1.46  -1.98  -0.11   0.14  68   576     0  5.4
  2  1070 J8   338   477 J8   610   906 J8   220  3867 13906  9.0  8.4  0.86  0.28   3.00  -0.58   1.38   1.84  67   496     0  6.6
  3  1845 J8   881   880 J8  1088  1409 J8   450  6231 16417  8.6  8.2  0.72  0.32   2.60  -1.52   0.62   1.13  72   552     0  7.4
  4  2538 J8  1030   763 J8  1163  2076 J8   442  8748 18860  9.3  8.9  0.93  0.33   4.39   0.56   2.32   2.85  65   476     0  5.3
  5  3485 J8  1230  1115 J8  1420  2719 J8   518 10693 20908  9.2  9.0  1.14  0.32   7.15   2.89   4.71   5.20  69   413     0  4.9
  6  3392 J8  1298   995 J8  1381  2715 J8   548 11541 21915  9.5  9.1  1.42  0.29   8.81   4.65   6.47   6.85  78   348     0  5.5
  7  3149 J8  1376  1172 J8  1560  2360 J8   426 11020 21236  9.4  8.9  1.97  0.25  10.58   6.15   7.95   8.40  79   309     0  4.2
  8  2837 J8  1217  1205 J8  1725  2108 J8   420  9304 19293  9.1  8.5  1.94  0.21  11.83   6.48   8.89   9.58  79   284     0  5.3
  9  2029 J8   712   866 J8   994  1575 J8   340  6938 16950  9.0  8.8  1.90  0.16  10.95   6.00   8.36   8.94  76   296     0  5.9
 10  1347 J8   592   842 J8   895  1027 J8   309  4500 14492  8.6  8.2  1.18  0.13   7.51   2.68   5.21   6.10  71   410     0  4.7
 11   746 J8   228   519 J8   496   610 J8   134  2641 12213  8.5  8.4  0.88  0.12   4.33  -0.45   2.17   2.70  64   492     0  7.2
 12   449 J8   153   302 J8   308   386 J8    98  1857 10989  8.7  8.6  0.95  0.12   3.55  -1.44   1.28   1.81  62   535     0  6.3
 13  1953 J8  1121   777 J8   337  1533 J8   853  6636 16577  9.0  8.7  1.22  0.23   6.35   1.95   4.10   4.63  71  5187     0  5.7
 1993
  1   653 J8   293   584 J8   742   504 J8   128  2317 11785  8.1  7.9  0.70  0.13   2.27  -2.92  -0.19   0.63  55   578     0  6.1
  2  1173 J8   568   829 J8   980   878 J8   261  3884 13926  8.8  8.3  0.71  0.15   3.11  -1.04   1.13   1.84  56   484     0  5.2
  3  2150 J8   794  1344 J8  1250  1513 J8   413  6214 16403  8.8  8.1  0.72  0.17   3.73  -1.14   1.24   2.09  53   528     0  4.6
  4  3211 J8  1290  1859 J8  1781  2141 J8   453  8733 18848  8.7  8.1  0.70  0.19   4.42  -0.45   1.92   2.60  50   490     0  5.5
  5  3409 J8   966  1281 J8  1048  2530 J8   358 10685 20904  9.3  9.1  1.02  0.19   6.31   1.90   3.84   4.35  52   441     0  4.9
  6  3444 J8  1113  1147 J8  1213  2623 J8   355 11541 21917  9.3  9.2  1.55  0.19   9.11   4.53   6.55   6.98  54   345     0  4.6
  7  3174 J8  1212  1201 J8  1399  2371 J8   465 11029 21244  9.5  9.1  2.26  0.16  10.90   6.79   8.59   9.00  72   294     0  4.8
  8  3090 J8  1143  1723 J8  1521  2016 J8   302  9319 19310  8.8  8.6  2.23  0.12  12.70   7.47   9.87  10.50  81   256     0  5.2
  9  2191 J8   776  1205 J8  1396  1603 J8   289  6955 16959  8.8  8.7  1.68  0.09  10.56   5.91   8.19   8.99  80   303     0  5.0
