704890 DUTCH HARBOR           AK  -9  N53 54  W166 33     4  1013
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   530 J8    56   577 J8   238   413 J8    23  1976 11326  8.5  8.2  0.73  0.08   2.09  -1.13   0.52   0.71  73   553     0  5.5
  2   982 J8   114   762 J8   253   751 J8    48  3528 13675  8.4  8.2  0.72  0.10   2.41  -0.89   0.81   1.11  72   496     0  5.3
  3  1806 J8   244  1172 J8   445  1302 J8    87  5903 16374  8.3  8.1  0.71  0.13   2.54  -0.96   0.82   1.14  72   544     0  5.4
  4  2600 J8   254  1293 J8   415  1911 J8    67  8518 19033  8.6  8.3  0.84  0.15   4.20   0.81   2.51   2.81  73   475     0  5.2
  5  3362 J8   507  1573 J8   759  2407 J8   101 10584 21293  8.6  8.3  1.11  0.16   6.87   3.29   4.98   5.32  75   411     0  4.5
  6  3532 J8   407  1509 J8   567  2562 J8   154 11508 22439  8.9  8.6  1.54  0.15   9.83   6.23   7.87   8.14  78   309     0  4.0
  7  3331 J8   318  1524 J8   427  2375 J8    99 10968 21704  8.9  8.6  2.15  0.13  12.47   8.34  10.18  10.50  80   246     0  3.5
  8  2823 J8   212  1387 J8   314  2058 J8    98  9159 19576  8.7  8.5  2.19  0.10  13.45   9.38  11.27  11.64  79   215     0  3.8
  9  2026 J8   192  1108 J8   332  1536 J8    65  6694 17024  8.7  8.4  1.52  0.07  11.21   7.66   9.38   9.80  76   267     0  4.9
 10  1320 J8   149  1003 J8   330   985 J8    55  4195 14359  8.5  8.2  1.04  0.05   7.51   4.30   5.96   6.31  72   385     0  5.5
 11   729 J8    70   806 J8   259   547 J8    30  2324 11854  8.2  7.9  0.84  0.05   5.07   1.66   3.45   3.71  71   449     0  5.7
 12   438 J8    53   559 J8   268   343 J8    13  1543 10469  8.4  8.1  0.75  0.06   3.17  -0.02   1.62   1.79  72   519     0  5.6
 13  1956 J8   137  1106 J8   222  1432 J8    46  6408 16594  8.6  8.3  1.18  0.10   6.74   3.22   4.95   5.25  74  4869     0  4.9
 1991
  1   461 J8   257   360 J8   904   382 J8   124  1969 11313  9.0  8.8  1.12  0.07   2.13  -0.32   0.89   0.99  85   540     0  5.2
  2   930 J8   415   621 J8   993   745 J8   223  3505 13643  9.1  8.5  0.86  0.09  -1.42  -4.28  -2.80  -2.54  82   593     0  5.4
  3  1658 J8   559   842 J8   995  1315 J8   233  5863 16332  8.4  8.1  1.05  0.12   4.83   0.76   2.74   3.04  80   482     0  5.4
  4  2369 J8   820   989 J8  1308  1859 J8   293  8481 18993  9.0  8.5  0.94  0.14   3.69   0.31   2.01   2.32  82   490     0  4.9
  5  3013 J8  1266   987 J8  1508  2361 J8   448 10560 21264  9.3  9.0  1.25  0.15   6.35   2.76   4.43   4.79  83   427     0  5.5
  6  3000 J8  1479  1027 J8  2203  2338 J8   286 11504 22435  9.3  9.2  1.64  0.14   9.16   5.67   7.21   7.53  83   327     0  4.6
  7  3670 J8  1858  2205 J8  3057  2262 J8   455 10986 21729  8.6  8.2  1.98  0.13  12.46   7.58   9.79  10.22  83   258     0  3.5
  8  2331 J8   796   634 J8  1049  1961 J8   355  9193 19615  9.4  9.3  2.34  0.13  12.41   8.86  10.49  10.85  83   239     0  4.2
  9  1738 J8   702   763 J8  1453  1405 J8   244  6733 17066  9.1  8.9  1.69  0.13  10.63   7.41   9.00   9.39  81   279     0  5.0
 10  1124 J8   535   602 J8  1049   894 J8   264  4229 14399  9.0  8.8  1.42  0.14   7.97   5.13   6.55   6.90  76   365     0  6.0
 11   672 J8   264   665 J8   762   513 J8   148  2344 11889  7.8  7.2  1.08  0.16   4.64   1.69   3.19   3.46  75   455     0  4.9
 12   395 J8   120   216 J8   376   356 J8    72  1546 10476  8.8  8.3  0.97  0.19   2.56  -0.14   1.14   1.36  79   531     0  4.9
 13  1780 J8  1099   826 J8   499  1366 J8   778  6409 16596  8.9  8.6  1.36  0.13   6.28   2.95   4.55   4.86  81  4985     0  5.0
 1992
  1   494 J8   140   284 J8   484   436 J8    99  1961 11298  8.5  8.3  0.92  0.23   1.83  -0.39   0.76   0.91  78   546     0  7.3
  2   889 J8   308   314 J8   560   792 J8   221  3524 13667  8.8  8.7  0.89  0.27   1.26  -1.25  -0.03   0.08  73   531     0  6.7
  3  1596 J8   640   583 J8   814  1320 J8   330  5928 16397  8.9  8.7  0.77  0.31   2.08  -0.75   0.69   0.96  78   548     0  6.3
  4  2339 J8  1028   674 J8  1313  1955 J8   428  8541 19053  9.0  8.8  1.00  0.32   3.39   0.15   1.75   2.10  77   497     0  4.1
  5  3827 J8  1822  2021 J8  2580  2525 J8   545 10598 21310  7.8  7.4  1.19  0.31   7.26   2.84   4.99   5.42  77   412     0  3.8
  6  3535 J8  1094  1004 J8  1049  2893 J8   506 11509 22439  9.0  8.6  1.53  0.29  10.41   6.52   8.33   8.65  80   296     0  4.0
  7  2996 J8  1176   861 J8  1199  2448 J8   529 10956 21688  9.4  8.9  1.99  0.25  11.76   8.01   9.60   9.88  83   262     0  4.0
  8  2785 J8   884  1178 J8  1268  2142 J8   369  9139 19555  8.7  8.5  1.91  0.20  12.34   8.18  10.15  10.57  79   250     0  4.7
  9  1758 J8   676   648 J8  1317  1453 J8   318  6670 17002  8.9  8.5  1.72  0.16  10.51   6.67   8.63   9.07  80   292     0  4.6
 10   980 J8   492   391 J8   793   834 J8   228  4172 14338  9.2  8.8  1.21  0.13   6.46   3.71   5.11   5.36  75   411     0  5.3
 11   604 J8   240   396 J8   529   509 J8   159  2310 11835  8.7  8.2  1.03  0.12   4.38   1.31   2.83   3.08  73   465     0  5.2
 12   375 J8   130   335 J8   473   315 J8    70  1541 10467  8.3  8.0  1.11  0.11   4.21   0.27   2.31   2.49  67   499     0  4.5
 13  1848 J8  1225   724 J8   499  1468 J8   904  6404 16587  8.8  8.5  1.27  0.23   6.32   2.94   4.60   4.88  77  5008     0  5.0
 1993
  1   487 J8   186   396 J8   606   405 J8   113  1987 11347  8.5  8.1  0.70  0.13   1.72  -1.46   0.25   0.33  63   564     0  5.3
  2   895 J8   403   642 J8  1146   716 J8   221  3541 13692  8.5  8.2  0.72  0.15   2.72  -0.39   1.20   1.48  67   480     0  4.5
  3  1636 J8   709  1092 J8  1703  1186 J8   273  5910 16384  8.4  8.4  0.76  0.17   3.45  -0.13   1.79   2.23  71   517     0  4.1
  4  2868 J8  1072  1638 J8  1569  1976 J8   314  8525 19042  8.2  7.5  0.77  0.18   4.90   1.54   3.17   3.52  70   453     0  3.2
  5  2896 J8  1164  1050 J8  1525  2258 J8   392 10589 21300  9.4  9.0  1.21  0.19   7.27   4.11   5.52   5.82  75   392     0  3.8
  6  3945 J8  1758  2016 J8  2372  2583 J8   519 11509 22442  8.9  8.2  1.36  0.18   9.66   6.31   7.78   8.05  70   310     0  3.5
  7  3237 J8  1438  1343 J8  2128  2385 J8   445 10965 21699  9.2  8.6  2.37  0.15  12.97   8.91  10.65  10.97  76   229     0  3.7
  8  2654 J8  1036  1266 J8  1487  1982 J8   397  9154 19571  9.0  8.7  2.35  0.12  13.19   9.52  11.27  11.60  74   216     0  3.6
  9  2004 J8   748  1207 J8  1675  1472 J8   276  6687 17016  8.7  8.3  1.79  0.09  11.80   7.95   9.86  10.28  75   254     0  3.6
 10  1222 J8   407   760 J8   812   979 J8   220  4189 14350  8.3  8.0  1.12  0.06   8.48   5.02   6.82   7.18  72   359     0  3.9
 11   725 J8   277   830 J8   938   537 J8   147  2320 11844  8.1  7.6  0.98  0.06   6.66   2.84   4.73   5.07  72   407     0  4.7
 12   377 J8   148   294 J8   452   326 J8    85  1542 10465  8.6  8.4  0.68  0.06   2.96   0.15   1.58   1.73  72   520     0  5.0
 13  1912 J8  1195  1044 J8   499  1400 J8   818  6410 16596  8.6  8.2  1.23  0.13   7.15   3.70   5.38   5.69  71  4702     0  4.1
 1994
