722010 KEY WEST INTL ARPT     FL  -5  N24 33  W081 45     1  1013
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3803 K5   233  4438 K6   632  1461 K5   112  6857 15218  3.9  3.4  2.68  0.15  23.57  18.29  20.82  21.86  77    18    98  4.9
  2  4613 K5   300  4918 K6   745  1688 K5   168  8033 15839  3.5  3.1  2.65  0.15  24.27  18.99  21.52  22.56  76    10   103  4.7
  3  5695 K5   269  5539 K6   571  1987 K5   165  9404 16555  3.4  2.9  2.71  0.16  25.64  20.39  22.95  23.95  74     4   149  4.9
  4  6527 K5   342  6027 K6   656  2169 K5   175 10490 17236  3.5  2.7  2.91  0.17  27.23  22.36  24.74  25.70  72     0   194  5.0
  5  6722 K5   311  5857 K6   507  2368 K5   128 11065 17769  3.6  2.8  3.54  0.17  29.24  24.54  26.85  27.63  73     0   265  4.4
  6  6420 K5   481  5339 K6   897  2411 K5   219 11227 17996  4.4  3.4  4.62  0.17  30.94  26.32  28.64  29.31  75     0   309  3.9
  7  6438 K5   343  5384 K6   650  2388 K5   205 11089 17779  3.8  2.8  4.62  0.18  31.68  27.02  29.31  29.96  73     0   342  3.8
  8  6129 K5   328  5413 K6   675  2168 K5   220 10607 17222  4.1  3.0  4.83  0.15  31.89  26.93  29.44  30.27  73     0   343  3.7
  9  5260 K5   333  4568 K6   671  2111 K5   186  9692 16550  4.6  3.4  4.92  0.16  30.97  26.23  28.62  29.42  76     0   308  3.9
 10  4622 K5   292  4476 K6   678  1839 K5   164  8400 15863  4.1  3.3  4.17  0.16  29.14  24.74  26.85  27.68  76     0   267  4.5
 11  3911 K5   223  4165 K6   539  1598 K5   108  7117 15259  3.7  3.2  3.19  0.17  26.45  22.11  24.13  24.91  75     1   179  5.0
