722015 KEY WEST NAS           FL  -5  N24 35  W081 41     7  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3743 K5   280  4228 K6   823  1505 K5   147  6852 15216  4.7  4.6  2.69  0.15  23.81  18.18  20.79  21.95  75    17    99  4.4
  2  4500 K5   406  4554 K6  1049  1771 K5   220  8029 15838  4.6  4.4  2.66  0.16  24.66  18.91  21.57  22.73  75     8   106  4.3
  3  5655 K5   385  5391 K6   820  2021 K5   168  9401 16555  4.4  4.2  2.72  0.17  26.06  20.47  23.06  24.17  72     3   156  4.6
  4  6389 K5   581  5725 K6  1223  2215 K5   300 10490 17237  4.4  4.2  2.92  0.17  27.61  22.26  24.74  25.85  70     0   198  4.9
  5  6623 K5   572  5619 K6  1190  2387 K5   344 11065 17771  4.8  4.5  3.55  0.18  29.49  24.33  26.77  27.64  72     0   266  4.3
  6  6298 K5   596  5079 K6  1167  2445 K5   314 11228 17999  5.7  5.3  4.63  0.18  31.10  26.08  28.48  29.24  73     0   308  3.7
  7  6269 K5   538  5059 K6  1079  2420 K5   305 11090 17783  5.5  5.1  4.62  0.19  31.85  26.73  29.14  29.92  72     0   340  3.6
  8  5964 K5   420  5020 K6  1050  2231 K5   370 10606 17224  5.8  5.3  4.83  0.16  31.95  26.73  29.25  30.21  73     0   341  3.5
  9  5212 K5   286  4363 K6   808  2160 K5   281  9690 16550  6.0  5.5  4.93  0.17  31.28  26.14  28.56  29.50  75     0   311  3.7
 10  4588 K5   413  4374 K6  1039  1843 K5   248  8396 15862  5.3  5.0  4.19  0.16  29.45  24.71  26.85  27.79  74     0   271  4.3
 11  3839 K5   315  3983 K6   794  1612 K5   132  7112 15258  4.7  4.5  3.21  0.17  26.68  22.02  24.10  25.00  75     0   181  4.5
 12  3431 K5   294  3977 K6   756  1389 K5   103  6458 14966  4.8  4.6  2.87  0.14  24.74  19.56  21.93  23.03  76     8   126  4.3
 13  5209 K5   327  4781 K6   815  2000 K5   215  9202 16522  5.1  4.8  3.65  0.17  28.22  23.01  25.44  26.42  74    36  2704  4.2
 1991
  1  3434 J5   801  3410 J6  1750  1620 J5   304  6846 15212  4.7  4.6  3.41  0.14  25.18  20.66  22.81  23.75  69     0   142  3.7
  2  4813 J5   815  5655 J6  1970  1471 J5   435  8013 15828  2.8  2.3  2.78  0.14  24.12  19.07  21.42  22.46  59     7    99  3.9
  3  5659 J5   861  5899 J6  2037  1800 J5   547  9381 16538  2.8  2.6  2.87  0.16  25.63  20.75  23.03  24.04  60     2   152  4.3
  4  5935 J5   698  4614 J6  1489  2572 J5   451 10476 17224  5.0  4.8  3.35  0.16  27.67  23.48  25.35  26.26  56     0   217  4.5
